date,open,high,low,close,volume
2016-04-21,1.705,1.7401,1.705,1.7401,11310200
2016-04-22,1.7085,1.7331,1.7085,1.7155,9162200
2016-04-25,1.7085,1.7225,1.7014,1.7085,5093000
2016-04-26,1.705,1.712,1.6382,1.6522,9668400
2016-04-27,1.6311,1.6557,1.6311,1.6452,8469800
2016-04-28,1.6452,1.6874,1.6417,1.6874,4166600
2016-04-29,1.6698,1.6874,1.6593,1.6698,4548800
2016-05-03,1.6698,1.6733,1.6136,1.6347,6615200
2016-05-04,1.6311,1.7085,1.6311,1.6698,5436200
2016-05-05,1.6593,1.6804,1.6522,1.6698,6222400
2016-05-06,1.6839,1.6839,1.6522,1.6628,3762000
2016-05-09,1.6557,1.6979,1.6557,1.6663,3439800
2016-05-10,1.6593,1.6909,1.6593,1.6698,2921400
2016-05-11,1.6698,1.6698,1.6593,1.6698,17087400
2016-05-12,1.6628,1.6733,1.6593,1.6663,6044200
2016-05-13,1.6663,1.6698,1.6311,1.6557,1873600
2016-05-16,1.6522,1.6663,1.6417,1.6663,2461800
2016-05-17,1.6452,1.6698,1.6452,1.6593,3298200
2016-05-18,1.6452,1.6628,1.6452,1.6557,1952400
2016-05-19,1.6557,1.6804,1.6557,1.6733,2163600
2016-05-20,1.6522,1.6804,1.6522,1.6733,1463400
2016-05-23,1.6522,1.6804,1.6522,1.6768,4188200
2016-05-24,1.6557,1.6768,1.6557,1.6733,4920600
2016-05-25,1.6557,1.6733,1.6557,1.6733,3220200
2016-05-26,1.6557,1.6733,1.6522,1.6628,2554200
2016-05-27,1.6522,1.6768,1.6522,1.6768,5519600
2016-05-30,1.6628,1.6874,1.6522,1.6768,3301200
2016-05-31,1.6874,1.6944,1.6593,1.6874,12715600
2016-06-01,1.6909,1.7014,1.6628,1.7014,2523200
2016-06-02,1.6944,1.705,1.6804,1.6804,1459600
2016-06-03,1.705,1.7155,1.6733,1.7085,1796400
2016-06-06,1.7155,1.7155,1.6768,1.7085,5301400
2016-06-07,1.712,1.719,1.705,1.719,5680800
2016-06-08,1.719,1.7225,1.7085,1.7225,5610200
2016-06-09,1.7155,1.7155,1.7014,1.705,6078800
2016-06-10,1.7085,1.7085,1.7014,1.705,3039000
2016-06-13,1.705,1.705,1.6487,1.6733,5793200
2016-06-14,1.6522,1.6944,1.6522,1.6944,7075600
2016-06-15,1.6768,1.6909,1.6698,1.6733,4812600
2016-06-16,1.6944,1.6944,1.6698,1.6698,5224200
2016-06-17,1.6768,1.6768,1.6347,1.6522,7776800
2016-06-20,1.6557,1.6768,1.6487,1.6698,4610400
2016-06-21,1.6628,1.705,1.6593,1.705,2522800
2016-06-23,1.6733,1.712,1.6733,1.7014,3189000
2016-06-24,1.7014,1.7014,1.6698,1.6944,11743600
2016-06-27,1.6909,1.6944,1.6698,1.6874,3880600
2016-06-28,1.6698,1.6874,1.6628,1.6874,11116400
2016-06-29,1.6909,1.6979,1.6804,1.6909,4844000
2016-06-30,1.6909,1.7085,1.6839,1.7085,5754200
2016-07-01,1.7085,1.7155,1.7014,1.712,1736400
2016-07-04,1.7014,1.7225,1.7014,1.719,6898600
2016-07-05,1.719,1.7225,1.712,1.719,1452200
2016-07-06,1.719,1.719,1.719,1.719,0
2016-07-07,1.719,1.719,1.719,1.719,0
2016-07-08,1.7225,1.7296,1.705,1.7261,12463800
2016-07-11,1.7261,1.7261,1.719,1.7261,3894200
2016-07-12,1.7261,1.7261,1.6979,1.712,5014400
2016-07-13,1.7225,1.7261,1.712,1.719,6167200
2016-07-14,1.7226,1.7226,1.7012,1.7155,5228000
2016-07-15,1.7155,1.7404,1.7155,1.7297,6949800
2016-07-18,1.7226,1.7368,1.7226,1.7261,2571600
2016-07-19,1.7261,1.7404,1.7226,1.7404,4516400
2016-07-20,1.7368,1.7368,1.7083,1.7261,3612000
2016-07-21,1.7261,1.7333,1.7119,1.7155,3284400
2016-07-22,1.7083,1.7155,1.7012,1.7155,5577600
2016-07-25,1.7226,1.7439,1.7226,1.7439,4620400
2016-07-26,1.7404,1.7439,1.7261,1.7297,3041800
2016-07-27,1.7297,1.7368,1.7261,1.7333,5753800
2016-07-28,1.7226,1.7297,1.7048,1.7155,11035400
2016-07-29,1.7261,1.7368,1.7155,1.7333,11007000
2016-08-01,1.7261,1.7368,1.7155,1.7333,5663800
2016-08-02,1.719,1.7368,1.7119,1.7119,6683000
2016-08-03,1.7155,1.7333,1.7155,1.7155,5377000
