date,open,high,low,close,volume
2016-04-21,38.3405,38.8024,38.2666,38.7378,1670400
2016-04-22,38.784,38.784,38.3867,38.6177,1396300
2016-04-25,38.5345,38.6731,38.3682,38.4606,1500400
2016-04-26,38.6362,38.6916,38.1188,38.1742,1869000
2016-04-27,38.2019,38.5715,37.9155,38.4144,1189300
2016-04-28,38.1095,38.5992,37.934,38.0449,1549800
2016-04-29,37.8047,37.9155,37.1949,37.8047,2027900
2016-05-02,38.0633,38.5715,37.9987,38.5345,1285300
2016-05-03,38.1742,38.3313,37.7954,38.1003,1334000
2016-05-04,37.703,38.0633,37.315,37.4351,1603000
2016-05-05,37.546,37.9063,37.4259,37.8416,1084000
2016-05-06,37.7492,38.4514,37.6199,38.2758,1403500
2016-05-09,38.3497,38.5992,38.1465,38.1835,1741500
2016-05-10,38.3405,38.8024,38.2019,38.8024,2094300
2016-05-11,38.978,39.9111,38.9133,39.2274,3329000
2016-05-12,39.3475,39.6709,39.1905,39.4769,2504900
2016-05-13,39.3106,39.6616,39.1627,39.3752,2430600
2016-05-16,39.366,39.791,39.2644,39.6709,3979300
2016-05-17,41.5371,41.8882,40.3084,41.029,7130400
2016-05-18,41.0659,41.3338,40.6409,40.9458,3476500
2016-05-19,40.7149,41.4078,40.6317,41.1676,3659500
2016-05-20,41.4447,41.7773,41.2876,41.4724,2567400
2016-05-23,41.4724,41.5371,41.1398,41.1768,1689700
2016-05-24,41.3523,41.842,41.2969,41.6018,3236300
2016-05-25,41.6849,42.1376,41.6849,41.9621,2352400
2016-05-26,42.1099,42.1284,41.7588,42.0452,2569600
2016-05-27,42.0822,42.3593,41.9159,42.3316,1822700
2016-05-31,42.3039,42.4979,42.1099,42.3963,2256400
2016-06-01,42.267,42.5903,41.9898,42.4517,1733600
2016-06-02,42.4148,42.6365,42.3316,42.4055,2209400
2016-06-03,42.2485,42.3593,41.7496,42.2392,2395100
2016-06-06,42.2392,42.5072,42.2392,42.3686,2359000
2016-06-07,42.3224,42.4517,42.1376,42.2669,1500400
2016-06-08,42.2669,42.6642,42.23,42.6365,1552100
2016-06-09,42.4794,42.6642,42.3871,42.5811,1203900
2016-06-10,42.2485,42.2947,41.7496,41.9067,1261700
2016-06-13,41.8697,42.0545,41.4909,41.5001,1272800
2016-06-14,41.2969,41.5278,41.1675,41.4909,1624100
2016-06-15,41.6757,41.9251,41.4817,41.5186,2029200
2016-06-16,41.3154,41.9713,41.1953,41.9159,1784700
2016-06-17,41.9621,41.9621,41.454,41.9067,3434800
2016-06-20,42.1007,42.8213,42.1007,42.6273,3161300
2016-06-21,42.6919,42.8028,42.2762,42.6457,2112900
2016-06-22,42.6365,42.9321,42.4517,42.5256,2411900
2016-06-23,42.9598,43.1261,42.8582,43.1261,1487900
2016-06-24,41.1675,41.6387,40.5763,40.761,5263600
2016-06-27,40.3083,40.3822,38.784,39.0426,4328100
2016-06-28,39.4214,39.8279,38.9503,39.8279,4300800
2016-06-29,40.2344,40.6317,39.9018,40.4285,2402600
