date,open,high,low,close,volume
2016-04-22,23.7827,24.1156,23.6944,23.9345,134732400
2016-04-25,23.7804,23.9277,23.6695,23.7986,112126400
2016-04-26,23.5336,23.8484,23.5336,23.6332,224064800
2016-04-27,21.7421,22.3559,21.6697,22.1543,458408400
2016-04-28,22.1068,22.1679,21.3458,21.4771,328970800
2016-04-29,21.2869,21.4522,20.9517,21.2303,274126000
2016-05-02,21.2824,21.3073,20.9268,21.2076,192640400
2016-05-03,21.3345,21.6832,21.2167,21.5564,227325200
2016-05-04,21.5609,21.7195,21.2484,21.3322,164102000
2016-05-05,21.4188,21.4347,21.118,21.2456,143562000
2016-05-06,21.2752,21.2935,20.9289,21.1271,174799600
2016-05-09,21.1909,21.3664,21.0975,21.1431,131745600
2016-05-10,21.2661,21.3208,20.9881,21.2866,134747200
2016-05-11,21.3003,21.3208,21.0679,21.0793,114876400
2016-05-12,21.1271,21.1408,20.3866,20.5848,305258800
2016-05-13,20.5073,20.8879,20.5073,20.6258,177571200
2016-05-16,21.0519,21.5076,20.8833,21.3914,245039200
2016-05-17,21.5441,21.5783,21.1932,21.3026,187667600
2016-05-18,21.4552,21.6945,21.3937,21.5464,168249600
2016-05-19,21.5646,21.5646,21.3208,21.4644,121768400
2016-05-20,21.5646,21.7446,21.5373,21.6968,128104000
2016-05-23,21.8449,22.1456,21.7993,21.9725,152074400
2016-05-24,22.1525,22.3507,22.0659,22.3074,140560800
2016-05-25,22.4829,22.7267,22.3553,22.6994,152675200
2016-05-26,22.713,22.9523,22.4761,22.8794,225324800
2016-05-27,22.6583,22.893,22.615,22.8657,145364800
2016-05-31,22.6948,22.8771,22.5171,22.754,169228800
2016-06-01,22.5626,22.6811,22.4054,22.435,116693200
2016-06-02,22.2391,22.2938,22.0181,22.2664,160766400
2016-06-03,22.2824,22.3917,22.2049,22.312,114019600
2016-06-06,22.3279,23.2166,22.2277,22.4738,93170000
2016-06-07,22.615,22.7563,22.549,22.5649,89638000
2016-06-08,22.5626,22.6857,22.4852,22.5444,83392400
2016-06-09,22.4441,22.7837,22.435,22.7062,106405600
2016-06-10,22.451,22.6378,22.4396,22.5193,126851600
2016-06-13,22.4874,22.5854,22.1251,22.1798,152082000
2016-06-14,22.1753,22.4396,22.0454,22.2072,127727600
2016-06-15,22.2892,22.4236,22.1092,22.1343,117780800
2016-06-16,21.977,22.2733,21.8905,22.2277,125307200
2016-06-17,22.0158,22.0226,21.715,21.7218,244032800
2016-06-20,21.8745,22.0044,21.6535,21.6694,137647600
2016-06-21,21.633,21.9542,21.5737,21.854,142185600
2016-06-22,21.9315,22.0773,21.7264,21.772,116876400
2016-06-23,21.8608,21.9406,21.7036,21.8973,128960800
2016-06-24,21.1704,21.5692,21.1112,21.2821,301245600
2016-06-27,21.1909,21.2023,20.8491,20.9722,181958400
2016-06-28,21.1681,21.3413,20.995,21.3254,161779600
2016-06-29,21.4119,21.5441,21.3345,21.5099,146124000
2016-06-30,21.519,21.8221,21.4871,21.7834,143345600
2016-07-01,21.7583,21.9816,21.7218,21.8494,104106000
