date,open,high,low,close,volume
2016-04-21,98.5907,99.3088,97.8299,97.8641,2327300
2016-04-22,97.4538,98.283,97.146,97.411,2634600
2016-04-25,97.3341,97.6675,96.8041,97.5393,1805900
2016-04-26,97.8043,98.3599,97.317,97.9752,2177200
2016-04-27,97.5735,98.8814,97.5735,98.719,1990200
2016-04-28,98.3001,99.1977,97.4367,97.7359,2028200
2016-04-29,97.6162,97.6162,95.992,96.5305,2451100
2016-05-02,96.5134,98.0522,96.0091,97.7957,2293900
2016-05-03,97.0092,97.3512,95.9578,96.8554,2031600
2016-05-04,95.9663,97.3768,95.9663,97.0691,1822100
2016-05-05,97.1546,97.8214,97.0007,97.5222,1704600
2016-05-06,97.2999,98.8814,96.8981,98.7788,1917600
2016-05-09,98.548,99.3601,98.3086,98.7104,1452900
2016-05-10,98.813,99.9756,98.719,99.9671,1622200
2016-05-11,100.0098,100.0098,99.0438,99.1464,1582900
2016-05-12,99.5225,99.702,98.7104,99.4712,2114300
2016-05-13,99.3516,99.702,98.4283,98.6848,1803400
2016-05-16,98.8386,100.5227,98.3172,100.1466,2609800
2016-05-17,100.2833,100.4458,99.0523,99.3515,2136800
2016-05-18,99.2148,100.3175,98.7019,99.608,1367300
2016-05-19,99.3943,99.3943,97.9582,99.1891,1752500
2016-05-20,99.249,99.9414,99.249,99.5653,1538200
2016-05-23,99.7533,99.7533,99.0267,99.3174,1256200
2016-05-24,99.6593,101.9076,99.6593,101.8306,2066400
2016-05-25,101.9247,102.3435,101.275,101.3434,2123600
2016-05-26,101.3776,101.899,100.916,101.2237,1435900
2016-05-27,101.5913,101.6768,100.6766,101.6768,1317400
2016-05-31,101.634,101.8563,100.9501,101.7024,1955700
2016-06-01,101.7024,101.8307,100.9672,101.7366,1202900
2016-06-02,101.4716,101.9588,100.8732,101.9332,1605700
2016-06-03,101.6255,101.7281,100.7963,101.6426,1196700
2016-06-06,101.7281,102.3778,101.3177,102.241,1202900
2016-06-07,102.5316,102.7111,101.9332,102.2837,1317300
2016-06-08,102.2324,102.5402,101.3348,102.0016,2072100
2016-06-09,101.1724,102.1811,100.7022,102.1042,1197200
2016-06-10,101.3006,101.634,100.8219,101.104,1452100
2016-06-13,100.7535,101.6768,100.044,100.0867,1992300
2016-06-14,100.0867,101.1468,99.8046,100.9501,1425300
2016-06-15,101.1297,101.2066,100.3005,100.403,1453300
2016-06-16,99.8645,101.3177,99.702,101.1297,1568800
2016-06-17,100.9501,100.9672,99.8388,100.5056,2216500
2016-06-20,101.8135,102.865,101.6426,101.7708,2092700
2016-06-21,102.2495,102.4462,101.899,102.0957,2040400
2016-06-22,102.5316,103.2497,101.6597,101.7537,3275500
2016-06-23,101.3348,101.6511,99.5909,101.6511,2858800
2016-06-24,96.4023,98.2231,94.8294,95.2739,6814300
2016-06-27,94.325,94.6755,92.8888,93.4274,3648000
2016-06-28,94.5472,94.8892,93.6753,94.513,2873000
2016-06-29,95.4619,95.7611,94.8037,95.5389,3603000
2016-06-30,96.0176,96.8639,95.8381,96.8468,3682600
2016-07-01,97.1631,97.6504,96.8468,97.0434,2195500
2016-07-05,97.0349,97.0776,96.2826,96.6844,2041100
2016-07-06,96.2826,97.0434,95.7099,97.0434,2667200
2016-07-07,97.0349,97.3683,96.18,96.3425,2050500
2016-07-08,97.223,98.5138,96.7442,98.4027,1962800
2016-07-11,98.907,99.1464,98.4197,98.7019,1522300
2016-07-12,99.078,100.3774,98.8215,99.5909,2431400
2016-07-13,100.0183,100.1551,99.4114,99.873,1537200
2016-07-14,100.4458,100.8732,99.7277,99.8217,1502000
2016-07-15,99.5738,99.7106,97.6675,98.3856,2749000
2016-07-18,98.4625,98.5822,97.3768,97.5735,2390700
2016-07-19,97.1546,97.488,96.6331,96.9152,1827000
2016-07-20,97.3426,99.2062,97.3426,98.6933,2665700
2016-07-21,98.3685,98.5565,95.7184,96.0518,2465300
2016-07-22,96.4108,96.71,95.6158,96.4792,1982800
2016-07-25,96.4108,96.6929,95.7953,96.6587,1834100
2016-07-26,96.9409,97.8128,96.5647,97.676,2796100
2016-07-27,97.8384,97.8384,96.7784,97.2058,2275800
2016-07-28,97.3939,97.3939,95.6757,95.8124,2224600
2016-07-29,96.086,96.7015,95.1713,96.4365,2678700
2016-08-01,96.2399,97.0691,96.0005,96.4963,2235300
2016-08-02,96.2912,96.5904,95.8125,96.4536,2120100
2016-08-03,96.4365,97.1204,96.2484,97.1204,1601600
2016-08-04,96.7442,97.4452,96.3339,97.2058,2215300
2016-08-05,96.7699,98.0863,96.2057,97.9667,2746700
2016-08-08,97.9667,98.0949,97.0178,97.1802,1481900
2016-08-09,97.0007,97.2913,96.3852,96.4963,1820000
2016-08-10,96.7613,97.0092,96.4023,96.787,1498600
2016-08-11,97.052,97.4452,96.9237,96.9323,1297600
2016-08-12,96.7699,97.0691,96.3168,96.6245,1414700
2016-08-15,96.5989,97.5478,96.3852,97.1118,2284400
2016-08-16,96.6844,96.8212,96.0347,96.5818,1998500
2016-08-17,96.6759,97.2144,96.0946,96.5391,1566900
2016-08-18,96.3766,96.71,95.6757,96.0433,2405600
2016-08-19,95.9236,96.7271,95.5132,96.6417,1519000
2016-08-22,96.3681,97.3255,96.0518,97.2486,1458600
2016-08-23,97.4025,99.078,97.146,98.719,2385100
2016-08-24,98.7104,98.9241,97.6846,97.941,2266800
2016-08-25,97.6589,98.5309,97.1717,98.3428,1869300
2016-08-26,98.4539,99.3344,97.9154,98.4796,1419300
2016-08-29,98.377,98.7873,97.753,98.1804,1367700
2016-08-30,98.2915,98.7788,98.0778,98.6078,1319000
2016-08-31,98.2488,98.6335,97.8641,98.3086,1999400
2016-09-01,98.0949,98.7361,97.488,98.3599,1572700
2016-09-02,98.7361,99.3858,98.5138,98.8728,1539600
2016-09-06,99.0181,99.1635,98.1633,98.6164,1479200
2016-09-07,98.6249,99.0438,98.2573,98.4112,1484300
2016-09-08,97.8214,97.9325,95.9578,96.0005,3078500
2016-09-09,95.4962,95.821,94.3165,94.3677,3282700
2016-09-12,94.2224,96.5647,94.1284,96.3937,2370900
2016-09-13,95.385,95.7099,94.1797,94.4874,2483200
2016-09-14,94.6755,95.3508,93.4274,93.8633,2328100
2016-09-15,93.7266,95.2482,93.0342,94.6498,2903300
2016-09-16,94.3165,94.4532,93.2821,93.9318,2604900
2016-09-19,94.5558,95.1286,94.154,94.4618,1785700
2016-09-20,95.0431,95.5303,94.6327,94.6327,1995200
2016-09-21,95.3081,95.65,94.6755,95.4876,2466900
2016-09-22,95.7269,97.6846,95.6671,97.1631,2596200
2016-09-23,94.4703,97.2743,93.6069,96.6759,2265200
2016-09-26,96.1287,97.411,96.1287,97.2229,3224200
2016-09-27,97.2401,99.3516,97.2401,99.2746,3134700
2016-09-28,98.8899,100.0696,98.6249,99.7192,3640300
2016-09-29,103.0616,106.823,102.8821,103.9849,7643400
2016-09-30,104.1046,105.1731,104.1046,104.438,4815800
2016-10-03,103.9421,104.6944,103.13,103.3181,3667500
2016-10-04,103.5916,103.8139,100.668,101.0784,3973700
2016-10-05,101.2921,101.4801,100.4543,101.0527,2875100
2016-10-06,101.0527,101.5656,100.5996,101.3177,2504500
2016-10-07,101.3177,101.4203,99.1037,99.1635,3034300
2016-10-10,99.4883,100.8561,99.4883,100.4116,2157600
2016-10-11,100.3432,100.3945,99.343,99.9927,2708200
2016-10-12,100.3688,100.8476,99.7704,100.5484,2366500
2016-10-13,100.0867,101.3006,99.1891,100.9672,3106600
2016-10-14,101.2664,101.8648,100.7535,101.0869,2508500
2016-10-17,101.0869,101.0869,99.8046,99.8901,1904900
2016-10-18,100.6167,101.0955,100.3175,100.4714,2472900
2016-10-19,100.8083,101.4993,100.3073,100.9033,2263100
2016-10-20,100.7132,101.1797,100.1604,100.2382,2247800
2016-10-21,100.1518,100.195,99.2535,99.8409,1979100
2016-10-24,100.2123,100.6269,99.7458,100.0222,1539800
2016-10-25,100.0223,100.0827,99.2881,99.5645,1456400
2016-10-26,99.1499,100.1086,98.908,99.7199,1830900
2016-10-27,99.8927,100.2901,99.504,99.7286,1871600
2016-10-28,100.0654,100.696,99.3572,99.91,1656200
2016-10-31,99.8754,100.6787,99.7372,100.4023,1877800
2016-11-01,100.6269,100.7996,99.7286,100.3159,2444400
2016-11-02,100.3159,102.959,100.195,102.4494,5361100
2016-11-03,102.0348,102.3544,100.7651,101.0156,2086400
2016-11-04,101.0933,102.0262,100.5751,101.2574,2068300
2016-11-07,102.0175,103.65,102.0175,103.6241,2311100
2016-11-08,103.5637,104.5138,103.2268,103.4859,2118800
2016-11-09,100.0914,101.9225,99.0376,101.2402,5797600
2016-11-10,101.3524,104.341,101.3092,103.935,4357500
2016-11-11,103.3564,104.5138,102.5358,102.9417,3201800
2016-11-14,102.9331,103.2959,100.3678,101.2747,3622500
2016-11-15,101.5338,101.7843,99.6595,100.1864,3119900
2016-11-16,100.3591,101.9484,99.9877,101.3352,2147100
2016-11-17,101.4906,102.3889,101.2402,102.2421,1313600
