date,open,high,low,close,volume
2016-04-21,48.7035,48.7777,48.2334,48.5056,1464600
2016-04-22,48.588,48.9674,48.0024,48.2334,1944800
2016-04-25,48.2086,48.5716,47.6313,48.1922,1282400
2016-04-26,48.4726,49.3798,48.2664,48.9344,1776000
2016-04-27,48.2499,49.2891,48.0107,49.1901,1775700
2016-04-28,48.8272,49.1242,47.4746,47.722,2470400
2016-04-29,47.5076,47.5323,46.089,46.4519,2612100
2016-05-02,46.4436,47.0457,46.1549,47.0209,1704000
2016-05-03,46.4601,46.7818,46.2539,46.3776,1653800
2016-05-04,46.0147,46.2951,45.7673,46.0477,2345000
2016-05-05,46.1714,46.3611,45.7095,45.9322,1523300
2016-05-06,45.7508,45.924,45.2312,45.7508,2666900
2016-05-09,45.9322,46.2622,45.5116,45.5528,2125700
2016-05-10,45.8168,46.3281,45.5034,46.2704,2622800
2016-05-11,46.2292,46.6168,45.924,45.9817,1591700
2016-05-12,46.1549,46.3694,44.9342,45.2807,2279000
2016-05-13,45.1652,45.6271,44.8105,45.1322,1882100
2016-05-16,45.2559,46.0312,44.9837,45.7178,1897100
2016-05-17,45.6188,46.2044,45.5693,45.6683,2907300
2016-05-18,43.7631,46.3034,43.7136,46.0395,3217600
2016-05-19,45.9157,46.2127,45.3879,45.9405,1779100
2016-05-20,46.1962,47.0952,46.1714,46.6333,1928900
2016-05-23,46.823,47.3756,46.691,46.8148,1515300
2016-05-24,47.0952,48.1262,46.9797,48.0189,1649100
2016-05-25,48.1436,48.5091,48.0273,48.4094,1445400
2016-05-26,48.3596,48.5922,48.1768,48.426,1034300
2016-05-27,48.4759,48.7833,48.2931,48.5506,1000800
2016-05-31,48.5423,48.6919,48.2183,48.6005,1348300
2016-06-01,48.2765,48.8248,48.2765,48.7251,1077100
2016-06-02,47.5205,48.4676,47.5205,48.4177,1708200
2016-06-03,48.6503,48.6503,48.0023,48.2765,1462900
2016-06-06,48.2266,48.5174,47.3876,47.4291,4243500
2016-06-07,47.7531,48.1436,47.2546,48.0106,3267900
2016-06-08,48.0854,48.2848,47.7697,48.0023,1241200
2016-06-09,47.8279,47.8611,47.5205,47.8196,1052700
2016-06-10,47.2629,47.5869,47.0303,47.3211,1364100
2016-06-13,47.238,47.8113,47.1051,47.2463,1103200
2016-06-14,47.2048,47.562,46.9971,47.4125,2202500
2016-06-15,47.5703,47.5953,47.13,47.2463,2391100
2016-06-16,46.9472,47.3543,46.4405,47.2712,1088000
2016-06-17,47.2297,47.2297,46.1995,46.5152,2659100
2016-06-20,47.1715,47.6617,47.13,47.1799,1850700
2016-06-21,47.346,47.4872,47.0636,47.4042,1243600
2016-06-22,47.4706,47.8195,47.1715,47.2297,1718400
2016-06-23,47.7863,48.2848,47.6202,48.2765,1608900
2016-06-24,45.618,46.8309,45.4851,45.726,8490000
2016-06-27,44.7457,45.0115,43.3417,43.6574,3599600
2016-06-28,44.4715,45.1278,44.1226,45.1195,3244200
2016-06-29,45.4352,46.2328,45.3688,46.2078,2484700
2016-06-30,46.3159,47.0968,46.0251,47.0553,2573300
2016-07-01,46.6482,47.2878,46.3989,47.0469,1910900
2016-07-05,46.5152,46.8558,45.726,45.9918,1711600
2016-07-06,45.8174,46.1912,45.3189,46.0749,1434000
2016-07-07,46.0998,46.8226,45.9337,46.482,1382000
2016-07-08,46.9472,48.0106,46.8808,47.9691,2287100
2016-07-11,48.1768,48.642,48.0522,48.3928,1788500
2016-07-12,48.75,49.0408,48.4011,49.0076,1309500
2016-07-13,49.2402,49.531,49.0076,49.4479,2477700
2016-07-14,49.8467,49.9962,49.5725,49.8633,1721700
2016-07-15,50.0543,50.0543,49.8217,49.9713,1984700
2016-07-18,50.262,50.5362,50.0627,50.2039,1836800
2016-07-19,49.9214,50.2454,49.7553,50.071,1366100
