date,open,high,low,close,volume
2016-04-18,46.4398,46.6226,46.0461,46.5734,1757100
2016-04-19,46.6648,46.707,46.0672,46.2922,2621200
2016-04-20,46.3062,46.482,44.6891,44.7875,4650600
2016-04-21,44.7172,44.7172,43.5993,43.7751,4528300
2016-04-22,43.9438,44.2883,43.8313,44.1126,3059900
2016-04-25,44.0704,44.1829,43.9157,44.1618,2469500
2016-04-26,44.2391,44.4711,44.1055,44.2251,1977300
2016-04-27,44.2954,45.2938,44.2251,44.9493,3967600
2016-04-28,43.4868,44.5836,43.1845,44.3376,5010200
2016-04-29,44.1055,44.7383,43.6555,44.6469,2992800
2016-05-02,44.7172,45.2938,44.5837,45.2516,5028000
2016-05-03,45.2235,45.4906,45.0477,45.35,4468600
2016-05-04,45.2656,46.2008,45.118,45.9758,3535900
2016-05-05,45.8352,46.3766,45.5469,45.8071,2817300
2016-05-06,45.807,45.9418,45.1404,45.7858,3189400
2016-05-09,45.8283,46.3673,45.6156,46.3035,3933000
2016-05-10,46.4808,46.495,46.0411,46.1333,2757700
2016-05-11,46.1333,46.3389,45.7645,46.2467,2100800
2016-05-12,46.1829,46.7006,45.9418,46.5659,2146000
2016-05-13,46.5021,46.6652,46.0411,46.5304,2781400
2016-05-16,46.4028,46.7857,46.112,46.7574,2341600
2016-05-17,46.7148,46.729,45.5163,45.7503,3411800
2016-05-18,45.4099,45.7574,44.6581,44.8922,4397800
2016-05-19,44.8071,45.2964,44.4028,45.2822,2869700
2016-05-20,45.4241,45.4595,44.9276,45.2468,2226200
2016-05-23,45.2468,45.2964,44.6156,44.644,2521100
2016-05-24,44.8567,45.2468,44.7078,45.1262,2288300
2016-05-25,44.8851,45.2326,44.6794,44.9844,2407900
2016-05-26,44.9135,45.6581,44.9064,45.6227,3277300
2016-05-27,45.573,45.7929,45.2893,45.6085,2135600
2016-05-31,45.5446,45.9843,45.4099,45.9063,3362400
2016-06-01,45.9063,46.1262,45.7574,46.0198,1938600
2016-06-02,45.878,45.9843,45.417,45.8709,1948900
2016-06-03,46.2396,46.963,46.2396,46.6723,2307500
2016-06-06,46.7574,46.8496,46.4169,46.5942,1960500
2016-06-07,46.7716,46.963,46.573,46.6935,2182100
2016-06-08,46.6297,46.9489,46.5801,46.9489,1555700
2016-06-09,46.9559,47.5233,46.885,47.4878,1803100
2016-06-10,47.4311,47.7573,47.1971,47.4098,1768800
2016-06-13,47.4595,47.658,47.1474,47.1971,2802400
2016-06-14,47.1971,47.3956,46.8708,47.3956,2090400
2016-06-15,47.4524,47.5162,46.7715,46.9772,2131200
2016-06-16,47.0694,47.5446,46.9843,47.4311,2217600
2016-06-17,47.5375,47.7148,47.1403,47.6651,2620800
2016-06-20,47.5942,47.7148,47.0481,47.3673,2036700
2016-06-21,47.4666,47.6226,47.0907,47.3531,1383300
2016-06-22,47.4453,47.4878,47.1049,47.1616,1458200
2016-06-23,47.2396,47.2538,46.8779,47.2254,1831000
2016-06-24,46.7503,48.1829,46.6935,47.7006,4034600
2016-06-27,47.6368,48.5942,47.5446,48.4736,3506700
2016-06-28,48.4169,48.6864,47.8708,48.6793,2394300
2016-06-29,48.8637,48.9913,48.4523,48.736,2522400
2016-06-30,48.8069,49.7147,48.6367,49.7076,2858400
2016-07-01,49.97,49.9913,49.2537,49.7431,2113600
2016-07-05,49.8495,50.2963,49.7502,50.2182,1935200
2016-07-06,50.2182,50.5799,49.9487,50.5445,2990400
2016-07-07,50.3246,50.3388,49.7289,49.8424,2989800
2016-07-08,49.658,50.2182,49.2537,50.1473,2690500
2016-07-11,49.9488,50.1828,49.4169,50.1402,2064800
2016-07-12,49.8211,49.9417,49.2963,49.3459,2865500
2016-07-13,49.5871,49.7431,49.3814,49.6509,2007100
2016-07-14,49.2608,49.5729,49.041,49.2041,2473300
2016-07-15,49.2466,49.4594,49.0552,49.3885,2263600
2016-07-18,49.4523,49.7218,49.4169,49.6083,1581300
2016-07-19,49.6438,49.7147,49.1615,49.4807,1821600
2016-07-20,49.502,49.5516,49.0835,49.1828,1458500
2016-07-21,49.0623,49.2537,48.7218,49.2396,3186400
2016-07-22,49.2679,49.8211,49.0481,49.6864,2452800
2016-07-25,49.7005,49.7573,49.2537,49.4807,1966600
2016-07-26,49.814,49.8353,49.1686,49.4594,2375100
2016-07-27,49.3176,49.3814,48.4027,48.8353,3190500
2016-07-28,48.9133,49.0906,48.6367,48.8779,2641200
2016-07-29,48.8211,49.3317,48.8069,49.1474,2490200
2016-08-01,48.8424,49.275,48.8424,49.1544,1669500
2016-08-02,48.8991,49.119,48.6367,48.9417,1893900
