date,open,high,low,close,volume
2016-04-21,7.7559,7.8041,7.6114,7.6458,3405600
2016-04-22,7.6733,7.7834,7.6183,7.694,2706900
2016-04-25,7.6871,7.7146,7.5632,7.5701,3372000
2016-04-26,7.5838,7.7146,7.5838,7.7146,3576900
2016-04-27,7.7352,7.9004,7.6595,7.8316,3914800
2016-04-28,7.7829,7.8594,7.6857,7.7274,4888700
2016-04-29,7.7274,7.7621,7.5884,7.7552,4691900
2016-05-02,7.7482,7.9011,7.7274,7.8524,3722700
2016-05-03,7.7829,7.8107,7.6092,7.7343,4572100
2016-05-04,7.6996,7.7968,7.6648,7.7552,4180300
2016-05-05,7.8107,7.8316,7.6509,7.6926,3350200
2016-05-06,7.6648,7.7204,7.6092,7.6996,3152900
2016-05-09,7.6092,7.8107,7.505,7.7552,4775400
2016-05-10,7.7829,7.9845,7.7343,7.9567,3476500
2016-05-11,7.9289,7.9706,7.8107,7.8663,4283700
2016-05-12,7.915,7.9497,7.7899,7.8316,3482300
2016-05-13,7.8038,7.8246,7.6926,7.7552,3384800
2016-05-16,7.7691,7.8107,7.7135,7.7204,3072800
2016-05-17,7.6996,7.7482,7.6023,7.6579,3695600
2016-05-18,7.6231,7.6996,7.4216,7.4563,4378700
2016-05-19,7.4008,7.4841,7.2896,7.4633,7749600
2016-05-20,7.4772,7.5745,7.4563,7.5675,2864700
2016-05-23,7.5467,7.5675,7.4563,7.4633,2852100
2016-05-24,7.5189,7.6023,7.4772,7.5814,3485800
2016-05-25,7.5675,7.6926,7.5189,7.6231,3651800
2016-05-26,7.637,7.6648,7.5606,7.5675,4934000
2016-05-27,7.5745,7.7343,7.5675,7.7204,3013800
2016-05-31,7.7274,7.8038,7.637,7.7065,6156100
2016-06-01,7.6718,7.6926,7.5814,7.6023,4592200
2016-06-02,7.5745,7.6509,7.498,7.5328,5454800
2016-06-03,7.5953,7.8524,7.5467,7.7968,7127800
2016-06-06,7.8107,7.9497,7.7968,7.915,3685300
2016-06-07,7.915,8.0262,7.8941,7.9984,4208700
2016-06-08,8.0262,8.0262,7.908,7.9428,4651400
2016-06-09,7.9011,7.9636,7.7968,7.9497,3313900
2016-06-10,7.8594,7.915,7.7552,7.783,4540200
2016-06-13,7.7621,7.8038,7.7274,7.7621,3823100
2016-06-14,7.7413,7.7621,7.6509,7.7274,3944000
2016-06-15,7.7274,7.7899,7.6579,7.6857,4433200
2016-06-16,7.644,7.8316,7.5814,7.8246,4554000
2016-06-17,7.8455,8.0748,7.8316,8.0679,7971200
2016-06-20,8.1374,8.2763,8.1165,8.2346,7611300
2016-06-21,8.2485,8.3945,8.1929,8.3458,6218900
2016-06-22,8.3597,8.3806,8.2972,8.3319,5205700
2016-06-23,8.3875,8.4362,8.3458,8.4084,3924900
2016-06-24,8.2346,8.3389,8.0818,8.2624,8944300
2016-06-27,8.1513,8.1582,7.8455,7.9289,10444200
2016-06-28,7.9845,8.1999,7.8663,8.1929,8064500
