date,open,high,low,close,volume
2016-04-18,26.4317,26.6575,26.3089,26.6218,4058200
2016-04-19,26.6376,26.7882,26.606,26.7604,5338200
2016-04-20,26.8436,27.0575,26.7882,26.9545,5629200
2016-04-21,26.7565,26.9664,26.6733,26.6971,3930600
2016-04-22,26.7406,26.9981,26.7129,26.903,5285200
2016-04-25,26.7921,26.9347,26.6218,26.8832,3827800
2016-04-26,26.9506,27.2041,26.8357,26.9347,5450200
2016-04-27,26.8951,27.517,26.8634,27.4576,6161600
2016-04-28,27.3546,27.5685,27.2358,27.3348,5512000
2016-04-29,27.2595,27.418,27.1407,27.3189,6065400
2016-05-02,27.1209,27.4497,27.0694,27.3823,4545800
2016-05-03,27.2397,27.3467,27.0377,27.3189,5691200
2016-05-04,27.1803,27.2358,26.9427,27.1051,4295200
2016-05-05,27.1249,27.3229,27.0971,27.1961,3943200
2016-05-06,27.1011,27.2952,27.01,27.2714,3201600
2016-05-09,27.1922,27.3229,27.0892,27.1882,2941400
2016-05-10,27.1011,27.4259,27.0258,27.4021,3834200
2016-05-11,27.2278,27.4497,27.1526,27.2358,3017800
2016-05-12,27.414,27.5051,27.2397,27.4259,5062000
2016-05-13,27.3784,27.6041,27.2516,27.2793,3847000
2016-05-16,27.3192,27.6061,27.2793,27.5025,6213400
2016-05-17,27.5065,27.5543,27.1996,27.2714,4350200
2016-05-18,27.2594,27.6499,27.1957,27.4945,6059800
2016-05-19,27.4307,27.4786,27.104,27.3351,4867000
2016-05-20,27.367,27.4347,27.2674,27.3869,5036200
2016-05-23,27.2833,27.355,27.1837,27.2953,3666000
2016-05-24,27.4068,27.8133,27.4068,27.7137,6480000
2016-05-25,27.8731,27.9288,27.7774,27.8332,3288600
2016-05-26,27.8013,27.8531,27.5543,27.5662,4594600
2016-05-27,27.5941,27.7177,27.5622,27.7177,3820600
2016-05-31,27.7575,27.8372,27.4547,27.6778,5246800
2016-06-01,27.4985,27.6937,27.3949,27.6579,3584600
2016-06-02,27.5862,27.7296,27.4826,27.7256,5340200
2016-06-03,27.4826,27.63,27.3072,27.5423,3917000
2016-06-06,27.638,27.8133,27.4427,27.634,3224400
2016-06-07,27.7097,27.7894,27.5822,27.618,3398000
2016-06-08,27.5862,27.877,27.5304,27.8531,3619400
2016-06-09,27.7137,27.8053,27.5941,27.7734,3085400
2016-06-10,27.4786,27.634,27.4148,27.4746,3019200
2016-06-13,27.4068,27.5224,27.2116,27.2435,3708800
2016-06-14,27.2116,27.3351,27.1359,27.2196,3077400
2016-06-15,27.2993,27.3869,27.1399,27.1598,2997400
2016-06-16,26.9526,27.4228,26.8649,27.4188,2840200
2016-06-17,27.4068,27.5304,27.3112,27.4108,4496600
2016-06-20,27.7934,27.9767,27.7655,27.8053,3710000
2016-06-21,27.9129,28.14,27.8452,28.1121,4021800
2016-06-22,28.1679,28.3153,28.1121,28.2277,4025600
2016-06-23,28.5305,28.678,28.395,28.5983,4539200
2016-06-24,27.367,28.0882,27.3192,27.5981,7990200
2016-06-27,27.2754,27.3311,26.7494,26.8291,7116600
2016-06-28,27.2235,27.5383,27.0243,27.4347,4928000
2016-06-29,27.5822,27.9408,27.5224,27.9249,3987600
2016-06-30,27.9687,28.7577,27.893,28.7537,5148400
2016-07-01,28.7656,29.0127,28.6939,28.8892,3694800
2016-07-05,28.666,28.6899,28.403,28.4907,4164000
2016-07-06,28.399,28.7776,28.3632,28.7736,4582600
2016-07-07,28.7497,28.7537,28.2994,28.4588,3914800
2016-07-08,28.7935,28.9928,28.6541,28.8852,3451600
2016-07-11,28.8891,29.1123,28.8891,28.9529,3766000
2016-07-12,29.1043,29.2996,29.0884,29.1681,2976600
2016-07-13,29.2318,29.3275,29.1322,29.1999,3799800
2016-07-14,29.4869,29.5307,29.3673,29.3673,4770800
2016-07-15,29.459,29.5426,29.1721,29.2318,5128000
2016-07-18,29.2358,29.3394,29.1641,29.1721,3004600
2016-07-19,29.1083,29.2956,29.0485,29.1721,2849200
2016-07-20,29.3474,29.3912,29.2079,29.2677,2679800
