date,open,high,low,close,volume
2016-04-22,37.8794,38.3795,37.8624,38.1676,1462500
2016-04-25,38.1337,38.1845,37.8539,38.0658,819400
2016-04-26,38.1252,38.2862,37.9641,38.2015,684200
2016-04-27,38.2777,38.5151,38.1506,38.2608,480400
2016-04-28,38.0235,38.0997,37.5912,37.659,993300
2016-04-29,38.7185,39.3712,38.4134,39.0236,2004300
2016-05-02,39.1762,39.8288,39.1253,39.7526,1607000
2016-05-03,39.3881,39.5915,39.0914,39.3203,1030600
2016-05-04,39.1169,39.939,39.1169,39.8882,1249700
2016-05-05,40.0408,40.2018,39.8034,39.9051,895100
2016-05-06,39.7187,39.8967,39.5746,39.8034,739900
2016-05-09,39.6424,39.9221,39.6,39.7611,735600
2016-05-10,39.9984,40.4646,39.7271,40.4646,813000
2016-05-11,40.3205,40.5069,39.9221,39.956,583000
2016-05-12,40.1509,40.295,40.0069,40.2527,732900
2016-05-13,40.117,40.2103,39.7526,39.9475,640100
2016-05-16,39.8882,40.49,39.8882,40.1848,683900
2016-05-17,40.134,40.3374,39.7441,39.9984,851200
2016-05-18,39.8712,40.7443,39.8712,40.3204,1140700
2016-05-19,40.0662,40.4307,39.9306,40.3628,926200
2016-05-20,40.4052,40.7527,40.4052,40.4984,835100
2016-05-23,40.3713,40.5239,40.2442,40.3459,450300
2016-05-24,40.6171,40.9138,40.2527,40.7951,794000
2016-05-25,40.9138,41.0494,40.6002,40.8036,3177000
2016-05-26,40.8545,40.9053,40.5578,40.6934,1831200
2016-05-27,40.6256,41.2274,40.5663,40.8545,37176900
2016-05-31,41.0748,41.1172,40.6849,40.9646,2179700
2016-06-01,40.8707,40.939,40.2983,40.9219,1139000
2016-06-02,40.8707,41.2209,40.6742,41.2209,1144700
2016-06-03,40.9561,41.0074,40.5289,40.8878,1241200
2016-06-06,40.8877,41.1782,40.6913,40.8536,1022600
2016-06-07,40.9732,41.0073,40.7852,40.9048,1110000
2016-06-08,40.8536,41.127,40.734,40.939,840200
2016-06-09,40.8707,41.3149,40.7169,41.3149,1618000
2016-06-10,41.0073,41.2209,40.7681,41.033,1236200
2016-06-13,40.9646,41.1697,40.6144,40.64,904600
2016-06-14,40.435,40.4862,39.8797,39.9822,1348700
2016-06-15,40.0761,40.0761,39.5635,39.5977,1373400
2016-06-16,39.4525,39.8199,39.3073,39.8199,927000
2016-06-17,39.8711,39.8711,39.4098,39.8028,1476200
2016-06-20,40.1872,40.3495,39.9566,39.9822,975600
2016-06-21,40.0249,40.2043,39.8711,39.9736,1304700
2016-06-22,40.0676,40.2299,39.9566,39.9822,848600
2016-06-23,40.4093,40.6315,40.2556,40.6315,902900
2016-06-24,39.1962,39.5977,38.7178,38.7434,2948000
2016-06-27,38.2308,38.4786,37.5046,37.6413,1921600
2016-06-28,38.0087,38.7776,37.966,38.6836,1828100
2016-06-29,39.0082,39.6148,38.9228,39.6063,953000
2016-06-30,39.7942,40.6827,39.5806,40.6656,1292600
2016-07-01,40.6656,40.8707,40.3837,40.8365,1175700
2016-07-05,40.5375,40.6485,40.3495,40.6229,1113800
2016-07-06,40.2897,40.9476,40.2812,40.8963,1343400
2016-07-07,40.9988,41.1697,40.7425,41.0074,876900
2016-07-08,41.238,41.6566,41.1355,41.6054,1137500
2016-07-11,41.7762,41.9044,41.6566,41.8446,816100
2016-07-12,42.0496,42.1949,41.8702,42.0069,813500
2016-07-13,41.9129,42.0325,41.6139,41.6652,1248900
2016-07-14,41.9727,42.0838,41.6396,41.819,1638100
2016-07-15,41.819,41.9557,41.6566,41.8788,855900
2016-07-18,41.7848,41.9129,41.4943,41.5456,634700
2016-07-19,41.4431,41.6823,41.3747,41.6054,589500
2016-07-20,41.6908,41.7933,41.537,41.6737,401600
2016-07-21,41.6054,41.7762,41.4601,41.5456,717200
2016-07-22,41.5541,42.0411,41.5541,41.9984,595700
2016-07-25,41.9129,42.3145,41.8788,42.3059,1199100
2016-07-26,42.2974,42.4597,42.0411,42.2547,966500
2016-07-27,42.2376,42.5195,42.135,42.2888,949300
2016-07-28,42.1692,42.3145,41.9727,42.2119,1286100
2016-07-29,41.9044,42.0838,41.127,42.024,1929000
2016-08-01,42.024,42.3572,41.8617,42.3316,1133700
2016-08-02,42.229,42.417,41.6994,41.8446,1250200
2016-08-03,41.7506,42.0411,41.7335,41.8617,1122000
2016-08-04,41.7335,42.118,41.6994,41.7762,1056700
2016-08-05,42.0325,42.2632,41.9984,42.118,832900
2016-08-08,42.1265,42.4341,42.0411,42.2119,774800
2016-08-09,42.1607,42.5024,42.1607,42.3572,726500
2016-08-10,42.4084,42.5366,42.3401,42.4853,598900
2016-08-11,42.5024,42.6904,42.4341,42.5024,663400
2016-08-12,42.3743,42.5879,42.1522,42.1863,841900
2016-08-15,42.229,42.4768,42.1094,42.118,1042400
2016-08-16,41.9898,42.2547,41.6566,41.6652,2022000
2016-08-17,41.6139,41.6908,41.3491,41.52,1379700
2016-08-18,41.5712,41.631,41.3491,41.4516,1480200
2016-08-19,41.2893,41.6225,41.1697,41.4687,5072900
2016-08-22,41.4687,41.7848,41.3234,41.6908,859600
2016-08-23,41.8702,41.9898,41.3234,41.4089,1591200
2016-08-24,41.332,41.537,41.2295,41.5285,1659900
2016-08-25,41.4772,41.8617,41.4174,41.7677,833300
2016-08-26,41.8617,42.1607,41.6481,41.8788,1076100
2016-08-29,41.8873,42.3743,41.8702,42.3486,723300
2016-08-30,42.4597,42.6647,42.1009,42.323,711400
2016-08-31,42.3833,42.6588,42.1939,42.5382,1002000
2016-09-01,42.5641,42.6502,42.2369,42.5469,583600
2016-09-02,42.719,43.0376,42.6157,43.0376,636400
2016-09-06,43.0031,43.0892,42.6932,43.0892,955400
2016-09-07,42.9429,43.4336,42.8396,43.4336,864500
