date,open,high,low,close,volume
2016-04-22,18.7178,19.0039,18.6553,18.8608,9139300
2016-04-25,18.7893,18.8877,18.6553,18.7178,6772300
2016-04-26,18.8787,19.1737,18.7715,19.0128,9230900
2016-04-27,18.9949,19.2363,18.9234,19.1469,9512600
2016-04-28,19.0039,19.0307,18.5212,18.6016,10875700
2016-04-29,18.4586,18.4765,18.0295,18.2977,14884500
2016-05-02,18.3245,18.4586,18.1457,18.1547,11773500
2016-05-03,17.9759,18.1815,17.8597,17.967,16630800
2016-05-04,17.8776,17.8955,17.6184,17.7435,12115100
2016-05-05,17.7793,17.8597,17.6094,17.7435,9268100
2016-05-06,17.6541,17.7882,17.5468,17.7614,7069100
2016-05-09,17.7614,17.8865,17.6988,17.7793,5616400
2016-05-10,17.7882,17.8776,17.6899,17.8597,11661700
2016-05-11,17.7793,18.0206,17.7346,17.8865,20502400
2016-05-12,18.0027,18.0385,17.3949,17.5468,11787900
2016-05-13,17.5021,17.6273,17.4485,17.529,10177800
2016-05-16,17.4664,17.8597,17.4664,17.7435,7795900
2016-05-17,17.6988,17.8597,17.5111,17.5558,7844900
2016-05-18,17.5558,17.967,17.5111,17.8061,10025000
2016-05-19,17.6899,17.9133,17.6273,17.7971,14193300
2016-05-20,19.4151,20.3626,19.3972,20.2553,53385000
2016-05-23,20.452,20.5771,20.3536,20.4698,24854300
2016-05-24,20.5865,21.0893,20.5776,21.0893,19040300
2016-05-25,21.3587,21.4395,20.9906,21.2419,14740200
2016-05-26,21.2509,21.4305,21.1881,21.3048,12330500
2016-05-27,21.4215,22.0679,21.3676,21.9422,18555600
2016-05-31,21.8345,21.9692,21.637,21.9243,18801400
2016-06-01,21.8165,21.9781,21.7537,21.8884,10480900
2016-06-02,21.9961,22.1308,21.9422,22.014,18034800
2016-06-03,21.9153,21.9692,21.6459,21.8973,16194500
2016-06-06,21.9243,22.023,21.637,21.6998,13550500
2016-06-07,21.8255,21.8704,21.646,21.6998,10476100
2016-06-08,21.7268,21.8165,21.628,21.7537,8014900
2016-06-09,21.5741,21.9602,21.4664,21.9243,11920900
2016-06-10,21.9063,21.9512,21.5113,21.61,12630200
2016-06-13,21.5292,21.6819,21.4125,21.4933,11253000
2016-06-14,21.2958,21.4395,21.0624,21.3138,14600500
2016-06-15,21.4035,21.5023,21.1162,21.2778,13912700
2016-06-16,21.1162,21.3227,20.9367,21.2689,12827600
2016-06-17,21.233,21.233,20.9726,21.0354,22138500
2016-06-20,21.4305,21.5113,21.215,21.215,13020700
2016-06-21,21.2689,21.4754,21.224,21.3946,7720100
2016-06-22,21.3946,21.7896,21.3497,21.5203,11645700
2016-06-23,21.8524,22.023,21.6639,22.014,10942900
2016-06-24,21.0983,21.5113,20.7841,20.8559,35722800
2016-06-27,20.6853,20.802,19.9042,20.012,20293800
2016-06-28,20.4249,20.6225,20.2544,20.5955,13573800
2016-06-29,20.8738,21.2868,20.811,21.1522,13315300
2016-06-30,21.2868,21.5292,21.0714,21.5203,10256700
2016-07-01,21.3407,21.5651,21.3138,21.4484,8593000
2016-07-05,21.3227,21.4305,21.0893,21.4035,8747100
2016-07-06,21.206,21.5651,21.1162,21.5472,9625800
2016-07-07,21.5651,21.9602,21.5472,21.8076,10056500
2016-07-08,21.9961,22.4181,21.9332,22.3821,14148100
2016-07-11,22.445,22.7143,22.445,22.5797,11026200
2016-07-12,22.7323,22.858,22.5617,22.8131,10623000
2016-07-13,22.8849,23.3159,22.8221,23.262,15989700
2016-07-14,23.4146,23.5583,23.1094,23.4326,14888600
2016-07-15,23.4775,23.648,23.2979,23.648,11635400
2016-07-18,23.8186,23.9174,23.666,23.8815,13473000
2016-07-19,23.7917,24.079,23.6301,23.6929,15996700
2016-07-20,23.8545,24.0341,23.7199,23.9264,9809500
2016-07-21,23.8904,23.9353,23.3967,23.5493,14638500
2016-07-22,23.6929,23.7109,23.4146,23.675,5292100
2016-07-25,23.7378,23.8635,23.5672,23.7827,6859600
2016-07-26,23.9353,24.088,23.7558,24.07,11877000
2016-07-27,24.1328,24.3393,23.8994,24.1508,10220900
2016-07-28,24.079,24.1957,23.8635,23.8994,8239100
2016-07-29,23.8635,23.9533,23.4864,23.6031,8805600
2016-08-01,23.7109,23.7558,23.5134,23.5852,6456700
2016-08-02,23.5493,23.5672,23.0555,23.3159,10462200
2016-08-03,23.253,23.5403,23.2171,23.5223,5615600
2016-08-04,23.5224,23.675,23.4685,23.675,4926200
2016-08-05,23.7917,24.1239,23.684,24.07,6914600
2016-08-08,24.1059,24.1688,23.9892,24.088,5746100
2016-08-09,24.1957,24.1957,23.9802,24.052,6923700
2016-08-10,24.061,24.1149,23.675,23.7109,6234300
2016-08-11,23.8456,24.2316,23.7109,24.079,7599100
2016-08-12,24.1149,24.4381,24.1149,24.4022,9852900
2016-08-15,24.5997,24.9139,24.5548,24.6626,10768500
2016-08-16,24.6266,24.7074,24.4291,24.4381,6704700
2016-08-17,24.6266,24.6266,24.2406,24.501,10255300
2016-08-18,24.7793,24.878,24.474,24.8511,20765000
2016-08-19,26.0272,26.7006,25.713,26.6108,53886000
2016-08-22,26.4851,26.512,25.9195,26.1709,29150800
2016-08-23,26.351,27.1618,26.306,26.9817,23549500
2016-08-24,26.9817,27.0267,26.6754,26.7564,12402100
2016-08-25,26.6934,26.9907,26.6573,26.7114,10441700
2016-08-26,26.8285,27.1708,26.7564,26.9997,12175200
2016-08-29,26.9546,27.2699,26.6663,27.0717,9799100
2016-08-30,27.1979,27.2069,26.7564,27.0177,12069300
2016-08-31,26.9276,26.9456,26.6213,26.8826,10595700
2016-09-01,26.9727,27.288,26.8736,27.288,10705200
2016-09-02,27.3781,27.3961,26.8645,27.0447,11528100
2016-09-06,27.0627,27.2249,26.8375,27.0087,14689400
2016-09-07,27.0537,27.2519,26.9096,26.9456,11248800
2016-09-08,26.9006,26.9997,26.7024,26.8375,8170400
2016-09-09,26.5763,26.7114,25.8285,25.9997,14681900
2016-09-12,25.8015,26.8195,25.7024,26.6573,16269100
