date,open,high,low,close,volume
2016-04-18,118.4811,120.42,118.4142,120.1228,2081100
2016-04-19,119.4542,120.7171,119.1125,120.42,2693000
2016-04-20,121.1034,121.7126,120.1971,120.9103,2374300
2016-04-21,120.6726,122.2326,120.368,122.0915,2348400
2016-04-22,122.2177,122.3515,120.4794,121.2297,2757200
2016-04-25,121.2,121.6457,120.524,121.4303,1596300
2016-04-26,121.3783,121.7646,120.3605,120.9771,2156600
2016-04-27,120.8806,121.0143,119.2314,119.6028,2729500
2016-04-28,119.0234,121.5937,118.3845,119.276,3354100
2016-04-29,118.4068,120.2863,116.1707,117.5971,5386600
2016-05-02,117.8348,118.4291,116.7873,118.1097,2433700
2016-05-03,117.6491,117.7159,115.8885,116.1485,2862900
2016-05-04,115.3536,115.7845,114.0536,114.5364,3048400
2016-05-05,114.4993,116.0445,113.9273,114.5884,2325400
2016-05-06,114.0239,114.737,112.4415,113.801,3004800
2016-05-09,114.1799,115.9479,113.6747,115.4502,2990100
2016-05-10,115.8513,117.0028,115.1084,116.8096,2585000
2016-05-11,117.1736,117.5599,114.4696,114.5364,2741800
2016-05-12,114.9078,115.1455,112.8946,113.5855,2981600
2016-05-13,113.0771,115.2157,113.0771,113.9221,2451200
2016-05-16,113.922,115.0511,113.436,114.61,2415100
2016-05-17,113.9968,114.3408,111.7461,112.2471,4486500
2016-05-18,112.0975,113.2341,111.5741,112.7855,3234500
2016-05-19,111.7535,112.3367,110.0112,111.1702,3023600
2016-05-20,111.3572,113.4435,111.1553,112.2994,3075800
2016-05-23,112.1947,112.7256,111.5292,111.6413,1543400
2016-05-24,112.6957,114.3632,112.4564,114.1987,2581000
2016-05-25,114.8119,116.5318,114.5203,116.3299,3053100
2016-05-26,115.8438,116.8607,115.5671,116.3149,1808600
2016-05-27,116.8009,117.3094,115.9859,117.2047,1364000
2016-05-31,117.7132,118.4685,117.2945,118.1095,3204400
2016-06-01,117.8553,118.775,117.1524,118.1843,1716400
2016-06-02,118.3189,119.5452,118.1095,119.5452,2386300
2016-06-03,119.5377,119.635,117.2645,119.0367,2149300
2016-06-06,119.3284,120.2033,118.8124,119.7845,1897600
2016-06-07,118.9919,119.3732,118.3563,118.8124,1896700
2016-06-08,118.5058,118.8498,117.8029,118.1469,2476000
2016-06-09,117.9675,118.8797,116.6514,117.2346,2383200
2016-06-10,116.098,116.8907,114.8867,115.7391,2626100
2016-06-13,115.9485,116.7411,114.4006,114.4679,2340300
2016-06-14,114.2137,114.767,113.3911,114.4006,2115200
2016-06-15,114.5053,115.2157,113.5258,113.5856,2443700
2016-06-16,113.421,114.3333,112.6882,113.8846,2321700
2016-06-17,114.1165,114.2286,111.8283,111.8806,4681500
2016-06-20,113.5033,114.1763,112.4415,112.6508,3250500
2016-06-21,113.0173,113.264,111.0432,111.7311,2622200
2016-06-22,111.4769,113.7949,111.417,112.0227,4470100
2016-06-23,113.0695,113.9594,112.6358,113.8622,3000400
2016-06-24,110.0711,111.6414,109.1962,109.5102,4919200
2016-06-27,109.2934,109.9739,107.5436,108.1119,4176700
2016-06-28,109.0915,110.9833,108.8746,110.9833,4348000
2016-06-29,111.4993,112.7256,111.1403,112.2396,3771100
2016-06-30,112.7854,113.9818,112.0377,113.7725,3480700
2016-07-01,113.9818,115.8662,113.8472,115.3652,2758100
2016-07-05,115.3727,115.8587,114.6922,115.3577,2349100
2016-07-06,114.7371,117.2645,114.3707,116.6888,3834000
2016-07-07,116.5467,117.2197,116.0906,117.0926,2437100
2016-07-08,117.8628,120.4725,116.8009,120.465,3741500
2016-07-11,120.6594,121.3773,119.6424,119.777,2464700
2016-07-12,120.1061,121.3474,120.0238,121.1081,2407200
2016-07-13,121.6165,121.6315,119.8742,120.0313,2691800
2016-07-14,121.138,121.8783,120.1958,121.6913,2444800
2016-07-15,122.2222,123.0597,120.8089,122.0951,3179700
2016-07-18,122.4989,122.6335,121.7287,121.8334,1815600
2016-07-19,122.0353,123.1644,121.0931,121.5044,2249500
2016-07-20,121.4745,122.3718,121.0034,122.0727,2161400
2016-07-21,122.1774,122.828,121.6689,122.7756,1971800
2016-07-22,123.2168,124.3758,122.6335,123.8823,2500400
2016-07-25,123.9047,124.8394,122.6859,124.5478,2704900
2016-07-26,124.0468,125.662,123.9571,125.3778,2883600
2016-07-27,125.2133,127.9352,125.2058,127.6286,4200200
2016-07-28,126.32,128.4661,124.5104,128.0772,5192500
2016-07-29,128.2941,128.81,127.5164,128.638,3121600
2016-08-01,129.2961,130.844,128.825,130.2308,3571900
2016-08-02,130.8963,131.9805,129.4905,130.2233,6589000
2016-08-03,129.9167,130.4028,128.825,129.6849,3911800
2016-08-04,129.5877,129.8644,128.6455,129.1166,2122200
2016-08-05,129.6251,130.5,128.997,129.8569,2228300
2016-08-08,129.5952,130.2308,128.4885,128.8699,2706500
2016-08-09,129.1091,129.5877,128.3763,128.6754,2094200
2016-08-10,128.5334,128.7652,127.651,128.0398,2476600
2016-08-11,128.7951,129.1989,127.9052,128.9371,2142800
2016-08-12,128.0473,129.4756,127.6286,129.3784,1863200
2016-08-15,128.9722,131.409,128.9722,131.3037,2784300
2016-08-16,131.2737,131.552,129.416,129.4836,2622800
2016-08-17,129.3708,131.2436,129.1226,131.1006,2580900
2016-08-18,131.1909,132.8531,130.5441,131.4316,3422400
2016-08-19,130.9427,131.5895,129.5588,130.5817,2696400
2016-08-22,130.672,131.755,130.2809,131.1308,2603700
2016-08-23,131.1985,132.3643,130.6118,131.1684,2375700
2016-08-24,130.8675,131.5219,128.0697,128.4909,3055000
2016-08-25,127.7989,128.9571,126.9264,128.032,2623800
2016-08-26,128.4608,130.1079,127.6861,129.3407,2925300
2016-08-29,129.6416,129.7393,128.7014,128.9948,2512200
2016-08-30,128.7316,129.3182,127.9494,128.4307,1803100
2016-08-31,128.4081,128.9045,127.7237,127.9042,2936400
2016-09-01,128.2728,128.2803,126.8212,127.9569,1876100
2016-09-02,128.2728,128.6488,127.0393,127.6861,2083800
2016-09-06,127.7463,129.1903,127.4003,128.4909,1919700
2016-09-07,127.6937,128.9422,127.2574,128.333,2013000
2016-09-08,127.9117,128.8819,127.656,128.5886,2611200
2016-09-09,127.6259,127.6786,125.2492,125.2643,3131400
2016-09-12,124.9108,129.7995,124.798,129.3934,4451500
2016-09-13,128.7917,128.9872,126.2119,127.3326,3162600
2016-09-14,127.5959,129.1904,127.4831,127.9644,2799000
2016-09-15,127.8892,130.4087,127.4605,129.8447,2923900
