date,open,high,low,close,volume
2016-04-18,94.9663,96.5842,94.8566,96.5842,792700
2016-04-19,96.8858,97.0504,96.0814,96.1545,1109500
2016-04-20,96.5659,96.6208,95.0211,95.4598,902500
2016-04-21,95.1399,95.6701,94.3172,94.3263,1067700
2016-04-22,94.4818,95.0668,94.0978,94.3629,1011300
2016-04-25,94.1892,94.6189,93.4854,94.564,932200
2016-04-26,94.9754,95.7706,94.8108,95.7341,736300
2016-04-27,95.5238,95.7341,95.0394,95.3501,843100
2016-04-28,94.5524,95.5152,94.2864,94.5982,1252100
2016-04-29,94.1397,96.6248,94.048,96.3955,1760600
2016-05-02,96.7899,97.9178,96.3864,97.7711,892100
2016-05-03,97.0283,97.3309,95.9921,96.9916,1189600
2016-05-04,96.5789,97.3951,96.0471,97.175,1152800
2016-05-05,97.2208,97.8352,96.5331,96.6615,1018200
2016-05-06,96.4414,96.5973,95.6436,96.0838,1447900
2016-05-09,95.9921,96.3864,95.6986,96.0196,851700
2016-05-10,96.689,97.4868,96.2947,97.3125,943300
2016-05-11,97.2667,97.5876,96.689,96.7532,831600
2016-05-12,97.0283,97.2025,96.0196,96.9457,1086400
2016-05-13,96.9733,97.3492,96.4322,97.0283,1065700
2016-05-16,96.8357,97.6335,96.7807,97.3676,662200
2016-05-17,97.3309,97.661,96.6523,96.9457,1004400
2016-05-18,96.9641,97.7894,96.203,96.6431,1218400
2016-05-19,96.2396,96.4781,95.3135,96.0838,774200
2016-05-20,96.4597,97.0008,95.9554,96.6431,1020900
2016-05-23,96.2488,96.7348,95.2585,96.4047,728300
2016-05-24,96.7715,98.092,96.3955,98.0553,1369500
2016-05-25,98.1195,98.5505,97.6519,97.8628,1046700
2016-05-26,98.1195,98.3213,97.4685,98.1012,875500
2016-05-27,98.3213,99.9535,98.0003,99.6142,1559500
2016-05-31,99.8343,100.5496,99.5042,100.2011,2964400
2016-06-01,99.6051,100.3295,99.1007,100.2653,1205500
2016-06-02,100.0911,100.357,99.5592,100.3478,742500
2016-06-03,99.8435,99.8618,98.8439,99.6968,657900
2016-06-06,99.7701,100.3662,99.4858,100.3203,1124100
2016-06-07,100.3754,100.9072,99.7151,100.4304,958500
2016-06-08,100.2103,100.8889,99.8985,100.6596,1189100
2016-06-09,100.4946,100.8797,100.2011,100.7422,569400
2016-06-10,99.7701,100.7146,99.7701,100.2928,1176300
2016-06-13,99.8251,100.3937,99.064,99.064,1106300
2016-06-14,98.8073,99.3666,98.2479,98.5597,2173700
2016-06-15,98.5046,98.6697,97.551,97.7344,1361200
2016-06-16,96.9458,98.1562,96.3681,98.1104,1114400
2016-06-17,98.1287,98.1837,97.0741,97.9911,1641100
2016-06-20,99.0182,99.5409,98.4038,98.468,1032300
2016-06-21,99.0182,99.3391,98.6605,98.8531,815200
2016-06-22,98.9998,99.3208,98.6422,98.7889,765700
2016-06-23,99.6509,99.9719,99.1924,99.8618,1043900
2016-06-24,95.7261,96.4781,94.8275,95.3777,4711500
2016-06-27,94.0572,94.3414,92.2048,92.4341,1594400
2016-06-28,93.3969,95.3226,93.1585,95.2951,1505100
2016-06-29,96.0287,97.661,96.0287,97.5968,1335000
2016-06-30,98.0737,100.1736,97.7344,100.1644,1992700
2016-07-01,100.2195,101.0264,100.0544,100.6596,1432200
2016-07-05,100.0727,100.4395,98.7889,99.3025,1062400
2016-07-06,98.7064,99.385,98.4221,99.119,904100
2016-07-07,99.1282,100.2745,98.9907,99.9077,1027600
2016-07-08,100.4487,100.6504,100.0635,100.4762,832100
2016-07-11,100.8522,101.2465,100.4762,101.0264,913400
2016-07-12,101.8976,102.2093,101.2648,101.384,755100
2016-07-13,101.6041,101.7967,101.0081,101.1089,454800
2016-07-14,102.191,102.3377,101.3199,101.3749,877600
2016-07-15,101.595,101.8792,101.0356,101.6408,944000
2016-07-18,101.7509,101.9067,101.2465,101.3474,809800
2016-07-19,100.8889,101.164,100.0361,100.6229,1019700
2016-07-20,100.8705,101.0264,100.5404,100.8522,457900
2016-07-21,100.7238,101.0264,99.9444,100.2103,684300
2016-07-22,100.6321,101.4115,100.4304,101.384,504000
2016-07-25,101.329,101.4116,101.0173,101.164,597100
2016-07-26,101.3749,101.8517,101.1731,101.8059,818500
2016-07-27,101.6775,101.9893,100.7421,101.3107,895500
2016-07-28,101.1359,101.7522,100.7772,101.5038,778200
2016-07-29,99.2596,99.7011,96.8959,98.4778,2218900
2016-08-01,98.4778,100.0506,98.3491,99.6275,1032500
2016-08-02,99.6367,100.1978,99.1125,99.7103,911900
2016-08-03,99.6643,100.906,99.6459,100.906,1036400
2016-08-04,100.8324,101.4854,100.814,101.1267,1276500
2016-08-05,101.8717,102.0189,101.3199,101.7706,808300
2016-08-08,101.6326,101.9361,101.3199,101.5682,923200
2016-08-09,101.3843,101.697,101.3291,101.3935,571700
2016-08-10,101.6234,101.6326,100.7404,100.9612,667500
2016-08-11,101.3475,101.3567,100.8968,101.0807,719300
2016-08-12,100.952,101.2463,100.6577,100.814,757200
2016-08-15,100.86,101.1727,100.4829,100.7588,660500
2016-08-16,100.5565,101.0716,100.4001,100.4093,564500
2016-08-17,100.4461,100.7681,100.1794,100.6853,757500
2016-08-18,100.8324,100.9336,100.4001,100.6485,654900
2016-08-19,100.2898,100.8324,99.4528,99.8483,1068000
2016-08-22,99.8667,100.998,99.7747,100.6117,527300
2016-08-23,100.7128,101.0255,100.5289,100.6577,543200
2016-08-24,100.7128,100.7772,100.3174,100.6945,520700
