date,open,high,low,close,volume
2016-04-18,104.7462,106.093,104.3624,106.0568,738864
2016-04-19,106.7592,108.0336,106.1799,108.0336,1177101
2016-04-20,108.1277,108.1277,107.3095,107.7656,991493
2016-04-21,107.7222,108.2001,107.1067,107.3964,719514
2016-04-22,107.925,108.2508,106.8461,107.2516,777023
2016-04-25,106.6578,107.1864,106.2016,107.1357,933119
2016-04-26,107.3095,107.6933,106.4333,106.7954,1017870
2016-04-27,106.8677,107.7366,105.7309,107.3891,1484862
2016-04-28,107.0271,110.1769,106.3465,107.5557,2242210
2016-04-29,106.8678,107.6353,105.311,105.6368,1780299
2016-05-02,104.8621,106.4985,104.8621,105.6224,1470160
2016-05-03,104.4204,104.9996,102.8129,103.6456,4028130
2016-05-04,103.0953,103.718,102.8419,103.4356,2060170
2016-05-05,103.9352,104.5435,103.3415,103.7253,1394382
2016-05-06,104.0294,105.4558,103.5442,104.681,1651660
2016-05-09,104.3117,104.9851,103.0446,103.2618,938416
2016-05-10,103.6601,104.5435,103.0591,104.5,990088
2016-05-11,104.4638,104.7824,103.0663,103.1243,763402
2016-05-12,104.4131,104.5941,103.2908,103.7904,1097756
2016-05-13,103.5442,104.0149,102.2481,102.697,730432
2016-05-16,102.8129,104.2176,102.7333,103.9425,903500
2016-05-17,103.9063,104.4711,102.9795,103.4574,1761490
2016-05-18,102.8202,103.9715,102.183,102.6029,729675
2016-05-19,102.6319,103.2763,101.7268,102.6029,717892
2016-05-20,103.2112,103.4429,102.1612,102.4147,681787
2016-05-23,102.6319,103.1387,102.5015,102.5812,899068
2016-05-24,102.7622,103.9642,102.5088,103.7615,652384
2016-05-25,104.1525,104.8331,103.8991,104.0366,725027
2016-05-26,104.2683,104.4421,103.5514,103.5949,475532
2016-05-27,103.6239,103.928,103.4356,103.5877,474775
2016-05-31,104.0366,104.0366,103.0157,103.2836,740377
2016-06-01,102.936,104.3842,102.2771,104.2683,887609
2016-06-02,103.8628,103.9063,103.0229,103.9063,726540
2016-06-03,103.8266,103.9063,103.0157,103.7253,549256
2016-06-06,104.1742,105.6296,104.1742,105.3979,781347
2016-06-07,105.282,105.6731,105.0069,105.1734,962198
2016-06-08,105.5355,106.5854,104.9997,106.3609,865016
2016-06-09,105.6223,106.3319,105.0648,106.1509,632926
2016-06-10,105.5717,106.1437,105.0359,105.9989,772699
2016-06-13,105.6658,105.9772,104.1959,104.2901,893555
2016-06-14,104.2394,104.5724,103.4356,104.1959,956036
2016-06-15,104.8186,105.5427,103.928,104.0149,838532
2016-06-16,103.6528,104.6448,102.364,104.529,748052
2016-06-17,104.6448,104.6448,103.327,103.7687,1181965
2016-06-20,104.8476,105.7671,104.1742,104.2972,1346602
2016-06-21,104.4566,104.6014,103.2112,103.6528,1201748
2016-06-22,103.9859,104.109,103.4356,103.9063,1038409
2016-06-23,105.0503,105.8758,104.9996,105.731,1337089
2016-06-24,102.1105,103.3487,100.8434,101.4589,2061791
2016-06-27,100.6117,100.7493,97.1361,97.6212,1610582
2016-06-28,98.5408,99.0549,97.2737,98.997,1594799
2016-06-29,99.6746,101.7149,99.2302,101.4745,1536750
2016-06-30,101.7076,103.5366,101.1611,103.5002,1635229
2016-07-01,103.1868,103.9738,102.429,102.6986,1184127
2016-07-05,102.0282,102.48,100.4689,100.9134,972143
2016-07-06,100.8332,101.642,100.0535,101.5473,913877
2016-07-07,101.9116,102.3343,101.2558,101.7732,722000
2016-07-08,102.7205,105.453,102.3051,105.1834,1580530
2016-07-11,105.9995,106.0651,104.5713,105.555,1119159
2016-07-12,106.0432,107.7556,105.8975,107.6244,2352256
2016-07-13,107.8139,107.843,106.9103,107.7847,854855
2016-07-14,108.1563,109.0453,107.8722,108.4988,1152346
2016-07-15,108.8632,109.0745,108.1637,108.8268,877772
2016-07-18,108.834,109.0672,108.3167,108.7101,1031058
2016-07-19,108.2875,108.8777,108.0325,108.8486,878313
2016-07-20,108.7393,109.3004,108.5717,108.8268,662869
2016-07-21,108.936,108.936,107.7118,108.0616,499530
2016-07-22,108.2,108.4842,107.7046,108.3021,390241
2016-07-25,108.1637,108.426,107.6827,108.2219,671301
2016-07-26,108.5717,109.7011,107.9887,109.191,1366925
2016-07-27,109.2639,109.3586,108.3094,108.579,1219584
2016-07-28,110.3861,111.2605,108.1928,108.5644,1635769
2016-07-29,108.4332,109.8469,108.0398,108.8777,1621068
2016-08-01,107.6609,108.834,107.2018,108.681,1042084
2016-08-02,108.5862,108.681,107.5078,108.0106,672814
2016-08-03,108.3896,108.3896,107.69,107.9961,928039
2016-08-04,107.9669,108.9579,107.5297,108.5717,889339
2016-08-05,108.9287,109.3004,108.3677,108.7247,1009870
2016-08-08,109.0817,109.0817,108.098,108.3968,679300
2016-08-09,108.4551,108.7757,108.2001,108.6445,756484
2016-08-10,108.7538,108.7538,108.2438,108.5935,571525
2016-08-11,109.0016,109.2056,108.3167,108.6081,666328
2016-08-12,109.3004,110.816,108.8632,109.1838,1406922
2016-08-15,109.4242,110.5609,109.3076,110.4079,794967
2016-08-16,111.2386,112.8781,111.1293,111.3188,2038442
2016-08-17,111.3771,112.2515,110.4735,112.011,1160237
2016-08-18,111.9965,112.9437,111.7706,112.9219,1077433
2016-08-19,112.3244,113.6287,111.9892,113.4392,1061434
