date,open,high,low,close,volume
2016-04-22,60.937,61.0814,60.0709,60.7365,2332554
2016-04-25,60.4639,61.0493,60.3034,60.9852,1697758
2016-04-26,61.2338,62.4849,61.1295,62.4528,1911783
2016-04-27,62.3726,62.5571,61.4102,61.7711,2111610
2016-04-28,60.9531,61.1055,59.2528,60.143,2218622
2016-04-29,60.2874,60.2874,58.7315,59.0523,2588810
2016-05-02,59.4052,59.4052,58.8037,59.1165,2485019
2016-05-03,58.4989,59.2688,57.4402,58.6834,2794960
2016-05-04,58.2262,58.948,55.8603,56.2132,6123192
2016-05-05,56.7104,56.9991,55.5796,55.5876,3541898
2016-05-06,55.4914,56.6783,55.2107,56.5099,2356652
2016-05-09,56.3166,56.9126,56.3086,56.3891,1394498
2016-05-10,56.6066,57.5407,56.4133,57.4199,1575476
2016-05-11,57.4844,57.7018,56.5905,56.5985,1661253
2016-05-12,57.13,57.3716,55.9703,56.1073,1584901
2016-05-13,55.8898,56.5019,54.9959,55.1409,1941250
2016-05-16,55.3341,55.5516,54.7382,55.2294,2227570
2016-05-17,54.867,55.0281,53.7074,54.0053,3569098
2016-05-18,53.8443,54.8268,53.498,54.2067,3237921
2016-05-19,53.957,54.3033,52.8457,53.0389,2649892
2016-05-20,53.3128,54.0617,53.1275,53.7637,2023567
2016-05-23,53.6268,53.8845,53.2322,53.3128,1009517
2016-05-24,53.659,54.9959,53.4335,54.8107,2907341
2016-05-25,55.1167,55.6402,54.714,54.7624,2230671
2016-05-26,54.706,55.0523,53.5866,54.11,2389579
2016-05-27,53.9973,54.6335,53.957,54.5852,1548156
2016-05-31,54.7785,55.1247,54.4483,54.7301,3079133
2016-06-01,54.1342,54.2711,53.0551,54.0053,2476429
2016-06-02,53.9731,55.0684,53.7557,55.0362,2664685
2016-06-03,54.706,55.1247,53.2725,54.0134,2096817
2016-06-06,54.1906,54.553,53.6349,54.3838,2252384
2016-06-07,53.8201,55.2053,53.8201,55.0362,1857024
2016-06-08,55.3744,55.8495,55.1086,55.5999,1984675
2016-06-09,55.0684,55.608,54.7221,55.5113,1529665
2016-06-10,54.8912,55.1409,54.0698,54.2228,1597785
2016-06-13,53.8201,54.0537,53.0873,53.0873,1713625
2016-06-14,52.7571,53.2242,52.0242,52.4672,1779956
2016-06-15,52.6927,53.796,52.443,53.0309,1733071
2016-06-16,52.4913,53.4013,51.6941,53.345,1977994
2016-06-17,53.2966,54.2067,53.1597,53.5221,3321551
2016-06-20,55.0523,56.373,55.0523,56.1234,4502859
2016-06-21,56.0106,56.2764,55.157,55.7046,3065414
2016-06-22,56.1153,56.4374,55.4469,55.5918,2044802
2016-06-23,56.365,56.9609,56.0831,56.9448,2073434
2016-06-24,53.6993,53.8604,49.8579,49.9868,7418074
2016-06-27,49.3022,49.3989,46.7413,47.5627,5523471
2016-06-28,48.4647,49.7291,48.1264,48.8996,4057632
2016-06-29,49.5036,50.6632,49.2297,50.5344,4209620
2016-06-30,50.7357,51.227,50.0029,50.4136,3782287
2016-07-01,51.1303,52.3303,50.7115,51.235,3715241
2016-07-05,50.6391,50.6391,48.2311,48.4727,2522718
2016-07-06,48.6418,49.2297,47.4902,49.0606,2382063
2016-07-07,49.2056,50.6391,49.1734,50.4861,3723472
2016-07-08,51.2028,52.4511,51.1867,52.2256,2906029
2016-07-11,52.6524,53.651,52.4752,52.5235,2480844
2016-07-12,53.2242,54.0214,53.2,53.6913,2669457
2016-07-13,53.7235,53.9731,52.7812,53.957,3300554
2016-07-14,54.7624,54.867,54.0778,54.0939,1928962
2016-07-15,54.1584,54.5852,53.8282,54.0134,1944232
2016-07-18,53.345,54.4885,53.345,54.0295,1589195
2016-07-19,53.6027,53.9812,53.2644,53.7476,1533005
2016-07-20,53.7798,55.1409,53.7154,54.9717,1784609
2016-07-21,55.2053,55.9784,55.1006,55.3744,2264791
2016-07-22,55.3019,55.318,54.3919,55.0523,2087273
2016-07-25,55.1247,55.2133,54.7865,55.0362,1675449
2016-07-26,55.2053,55.9301,55.0684,55.8979,1919656
2016-07-27,56.3086,56.679,55.5113,55.761,2066753
2016-07-28,53.9812,54.6899,52.7168,54.4966,4382128
2016-07-29,54.4724,55.0523,54.2147,54.6174,3116593
2016-08-01,54.5932,54.9315,54.2469,54.6013,2492416
2016-08-02,54.1664,54.2711,52.443,52.6041,4099029
2016-08-03,51.1384,53.0148,50.2284,51.5813,5978362
2016-08-04,51.8471,51.984,51.0901,51.1303,3687921
2016-08-05,51.541,53.5785,51.4605,53.3611,3358534
2016-08-08,53.5148,54.0972,53.0942,53.1265,1813360
2016-08-09,53.1912,53.6442,52.9162,53.0375,1540044
2016-08-10,53.1346,53.3287,52.6412,52.7221,1440667
2016-08-11,53.1589,53.3287,52.8515,52.8596,1574879
2016-08-12,52.6331,52.6331,51.5169,51.7514,2210390
2016-08-15,51.8647,52.4956,51.436,52.3985,2725886
2016-08-16,52.2448,52.6331,51.8485,52.1963,1748938
2016-08-17,52.4471,52.6169,52.1559,52.536,2693317
2016-08-18,52.5927,52.9728,52.2853,52.6331,1859291
2016-08-19,52.3823,52.9081,52.3419,52.8272,2910324
2016-08-22,52.7302,52.7787,52.3096,52.625,1473474
2016-08-23,54.5987,55.0274,53.7251,54.8898,3627317
2016-08-24,55.1244,55.909,55.1001,55.5288,5352514
2016-08-25,55.0921,55.7634,54.4531,55.5288,3475567
2016-08-26,55.6097,56.4267,55.5046,56.3134,3785866
2016-08-29,56.2326,57.3003,55.8847,57.3003,3929384
2016-08-30,57.3164,57.8179,56.8069,56.9525,2970689
2016-08-31,56.7745,58.279,56.5076,57.1547,3444788
2016-09-01,57.4378,58.3437,56.4914,56.8635,3978059
2016-09-02,57.2356,57.3164,56.5561,56.7583,2375144
2016-09-06,57.3488,57.4459,56.4833,57.001,2732924
2016-09-07,57.0091,57.2194,56.5076,56.8554,1949481
2016-09-08,56.6451,57.2679,56.5885,57.1628,1933257
2016-09-09,56.5642,57.0172,54.9465,55.0112,5514404
2016-09-12,54.2832,56.087,54.0001,55.8281,4951904
2016-09-13,55.1163,55.6664,54.4692,55.1487,2616130
2016-09-14,54.8332,55.8039,54.7442,55.359,3735880
