date,open,high,low,close,volume
2016-04-18,89.2885,90.3452,89.2253,89.6227,342600
2016-04-19,90.5349,90.9865,89.7311,90.0924,833800
2016-04-20,89.424,89.9207,85.9196,87.0938,2104400
2016-04-21,87.8254,87.8254,86.2629,86.5428,626600
2016-04-22,86.4616,87.1299,86.0913,86.588,275500
2016-04-25,86.9764,87.1751,86.6422,86.8228,367000
2016-04-26,87.1118,87.5905,86.9673,87.0757,348200
2016-04-27,88.2679,89.7943,88.2318,89.6317,600200
2016-04-28,88.7827,89.9388,88.286,88.5208,902200
2016-04-29,88.8189,89.0085,86.7506,87.2473,786700
2016-05-02,87.3376,88.1234,87.1931,88.024,461300
2016-05-03,86.9411,86.9959,86.0271,86.2922,604700
2016-05-04,85.5428,85.7621,85.1955,85.7073,1430900
2016-05-05,84.7934,85.8352,84.7203,84.903,464400
2016-05-06,84.4278,84.7477,83.916,84.3821,336300
2016-05-09,85.232,85.561,84.574,84.9853,456800
2016-05-10,84.5557,85.4605,84.5009,85.3143,367700
2016-05-11,83.9068,85.2229,83.8703,84.6106,897100
2016-05-12,84.8208,84.9396,82.6456,83.651,1099600
2016-05-13,83.7606,84.4278,83.3037,83.4408,770000
2016-05-16,86.0546,88.0926,85.7073,87.5808,1553600
2016-05-17,86.9868,87.3249,86.0637,86.1825,710300
2016-05-18,86.0729,87.3249,85.9815,86.3836,349400
2016-05-19,85.4514,85.7895,84.8116,85.2777,573700
2016-05-20,86.9593,87.3523,86.7766,87.2609,571700
2016-05-23,87.1147,87.9555,87.0142,87.462,387200
2016-05-24,87.3066,89.2533,87.3066,89.1253,785500
2016-05-25,89.8839,90.6881,89.7011,90.4048,1000800
2016-05-26,90.6516,91.1816,89.9387,90.8526,748900
2016-05-27,90.8252,91.8397,90.8252,91.465,765500
2016-05-31,91.4375,91.6112,90.7887,91.3736,509600
2016-06-01,90.3957,91.4558,90.3682,91.2547,1335700
2016-06-02,91.1268,91.5929,90.743,91.5198,614600
2016-06-03,92.1687,92.3697,91.5381,92.1687,279900
2016-06-06,92.3697,92.5708,91.3919,91.4558,389000
2016-06-07,92.4611,92.6531,91.995,92.4794,444400
2016-06-08,92.1687,92.516,91.7026,92.3971,527300
2016-06-09,90.8983,91.9128,90.8435,91.8945,624600
2016-06-10,89.235,89.7833,88.4581,88.9973,1514900
2016-06-13,87.4072,88.8146,87.398,88.0378,1055100
2016-06-14,85.4513,86.548,85.296,86.4567,1624300
2016-06-15,86.5572,87.0325,86.0271,86.0728,740100
2016-06-16,85.7164,87.3889,85.1863,87.3432,501300
2016-06-17,86.4658,86.7857,85.2412,86.5024,702400
2016-06-20,88.9517,89.2167,88.3851,88.513,949900
2016-06-21,89.7102,90.3043,89.3995,90.0118,691700
2016-06-22,90.6607,90.9806,90.1946,90.2494,501700
2016-06-23,91.8854,92.6805,90.7704,92.6622,888700
2016-06-24,85.9815,88.2845,85.8718,86.8314,2063600
2016-06-27,84.4461,84.903,83.3037,84.5375,2285900
2016-06-28,85.5428,86.4293,85.0401,86.2739,707900
2016-06-29,87.6082,88.2754,87.398,87.8367,556100
2016-06-30,88.9882,90.6699,88.577,90.6699,669800
2016-07-01,89.9022,90.1764,89.6554,89.9662,957500
2016-07-05,88.3302,88.7598,86.8405,87.133,1007800
2016-07-06,85.3782,86.7948,84.8482,86.7217,1257500
2016-07-07,85.9997,87.0416,85.9814,86.4658,827900
2016-07-08,87.8276,88.8877,87.6905,88.8512,588200
2016-07-11,90.5876,91.3461,90.4779,91.1725,493000
2016-07-12,92.187,93.0643,91.3919,92.1961,1280100
2016-07-13,92.388,93.046,92.1778,92.4063,547200
2016-07-14,94.8008,94.9104,93.768,94.1062,1023800
2016-07-15,92.5342,93.1648,92.4794,92.8633,538600
2016-07-18,93.9051,94.4717,93.6401,94.2524,802800
2016-07-19,94.3803,97.1495,94.2798,96.5372,3330400
2016-07-20,98.3193,99.0231,97.8441,98.8494,1642100
2016-07-21,96.3361,97.2135,95.9249,96.4001,2199400
2016-07-22,96.4641,96.7474,96.1351,96.5372,397800
2016-07-25,97.049,97.3963,96.8114,97.314,500300
2016-07-26,98.2371,99.5349,98.0726,99.4069,926600
2016-07-27,100.202,100.4488,99.0505,100.1289,876300
2016-07-28,100.4122,100.723,100.0649,100.6042,530000
2016-07-29,100.9697,101.3079,99.9004,100.1837,1399700
2016-08-01,100.1838,100.6681,99.8822,100.2569,419800
2016-08-02,100.138,100.1563,99.416,99.9644,358600
2016-08-03,98.6575,99.3886,98.6027,99.1145,414200
2016-08-04,100.2568,100.7412,100.1106,100.6133,288500
2016-08-05,100.4853,101.1342,99.9827,100.1655,599800
2016-08-08,99.8456,100.1289,99.6537,99.8456,352200
2016-08-09,100.0375,100.6316,100.0375,100.4305,558600
2016-08-10,100.8143,100.8966,99.809,100.0649,840300
2016-08-11,101.1251,101.4815,100.6407,101.1616,879600
2016-08-12,101.3901,101.5638,100.5219,100.7778,540400
2016-08-15,101.7008,101.975,101.253,101.2896,329400
2016-08-16,101.2896,101.3901,97.7984,98.6575,1531000
2016-08-17,96.2448,96.6834,95.7147,96.3727,2084100
2016-08-18,96.985,97.3506,96.6195,96.9028,679500
2016-08-19,97.6065,97.7619,97.1221,97.5425,525400
2016-08-22,97.771,98.1092,97.4237,97.9355,486300
2016-08-23,99.3064,99.745,98.8951,99.151,723200
2016-08-24,98.4473,98.5661,97.2958,97.4968,473600
2016-08-25,97.3871,97.5973,97.1038,97.3049,271700
2016-08-26,97.5791,98.6849,96.4458,97.1587,870400
2016-08-29,97.0947,97.899,97.0947,97.8624,280400
2016-08-30,99.3429,99.3704,98.0909,98.2645,602800
2016-08-31,97.6339,97.7345,96.784,97.378,346400
2016-09-01,97.1678,98.2736,97.1221,98.2371,455400
2016-09-02,98.7489,98.9317,98.2462,98.5753,259200
2016-09-06,98.5021,98.7398,98.228,98.6392,346300
2016-09-07,98.7123,98.9774,96.9302,97.1769,992100
2016-09-08,95.1755,95.7238,94.7185,95.1206,919700
2016-09-09,94.2798,94.5723,92.9455,92.9546,818200
2016-09-12,92.3332,94.3804,92.2418,94.2615,502100
2016-09-13,93.6767,94.1153,92.7353,92.9821,516200
2016-09-14,92.2875,93.4847,92.1504,93.2014,1069200
2016-09-15,93.5121,94.9104,93.3111,94.7185,1072000
2016-09-16,93.2563,93.6675,92.6439,93.4025,1040000
2016-09-19,94.3347,95.212,94.3164,94.4443,550000
2016-09-20,95.6873,96.2173,95.34,95.8518,773900
2016-09-21,96.592,97.6704,96.3361,97.5242,832500
2016-09-22,99.6537,100.1289,99.3338,99.4252,579500
2016-09-23,99.3978,99.8547,99.087,99.2241,664700
2016-09-26,99.151,99.7633,98.9591,99.4069,663300
2016-09-27,98.6666,100.3483,98.557,100.1837,591600
2016-09-28,99.873,100.5676,99.4983,100.4031,316300
2016-09-29,99.8639,100.2934,98.2919,99.3703,551900
2016-09-30,99.7908,100.659,99.6354,100.1472,338000
2016-10-03,99.9461,100.1746,99.1967,99.5531,416800
2016-10-04,99.9735,100.3939,99.2607,99.5806,324300
2016-10-05,99.7085,99.8913,99.3521,99.4435,280100
2016-10-06,98.9499,99.608,98.5295,99.3795,473500
2016-10-07,97.8259,97.9447,96.2905,97.2227,861900
2016-10-10,98.3651,98.4656,97.7801,97.7801,686400
2016-10-11,96.5189,96.5464,93.5944,93.8686,959100
2016-10-12,93.503,93.832,92.6896,93.7497,794500
2016-10-13,91.9311,91.9859,91.4284,91.7483,1161200
2016-10-14,92.8359,93.3202,92.2601,92.4155,331200
2016-10-17,91.9585,92.6165,91.8579,92.452,399000
2016-10-18,93.6858,93.7498,93.0643,93.5213,955700
2016-10-19,95.733,95.733,94.3164,95.1298,1109900
2016-10-20,93.6949,94.7002,93.6492,94.6637,739900
2016-10-21,94.5631,96.2539,94.4992,96.1991,1638300
2016-10-24,95.8883,96.3453,95.7512,96.2173,971000
2016-10-25,95.669,96.0894,95.1663,95.541,567100
2016-10-26,95.4771,95.7147,94.8008,94.9104,376200
2016-10-27,96.1259,96.2082,94.9196,95.0932,606800
2016-10-28,95.8335,96.8296,95.6781,96.3818,915500
2016-10-31,96.4275,97.2044,95.9066,96.5281,794000
2016-11-01,96.5555,96.5829,94.3986,94.947,936100
2016-11-02,95.0567,95.7147,94.7459,95.0749,564400
2016-11-03,94.4535,94.682,93.0186,93.0186,707000
2016-11-04,93.4208,94.1428,92.7445,93.6675,791600
2016-11-07,94.8647,95.7421,94.6819,95.7329,413000
2016-11-08,94.6728,96.1625,94.618,95.7878,516600
2016-11-09,93.5213,94.883,93.5213,94.7459,495700
2016-11-10,93.9325,94.5083,92.0407,92.6713,934900
2016-11-11,91.1177,91.858,90.222,91.6203,1212200
2016-11-14,90.4231,91.1816,90.2129,90.6607,687800
2016-11-15,90.5876,91.6477,90.2494,91.4101,491100
2016-11-16,90.6607,92.0955,90.615,92.0316,1036300
2016-11-17,92.5251,93.9965,92.4794,93.7315,1344700
2016-11-18,94.6637,95.7329,94.4809,95.5867,1914300
2016-11-21,95.1298,96.062,95.0658,96.0437,1408200
2016-11-22,96.3727,96.5189,95.7786,96.2539,876300
2016-11-23,95.4862,96.2813,95.276,96.0528,432300
2016-11-25,95.0384,95.4679,94.8373,95.1755,251900
2016-11-28,94.4078,94.9653,94.3347,94.7094,453200
2016-11-29,94.0239,95.0566,93.8685,94.8556,1194200
2016-11-30,94.8373,94.883,94.0696,94.2524,434200
2016-12-01,93.832,93.896,91.0994,91.3827,837900
2016-12-02,90.4871,91.666,90.3317,91.1908,701100
2016-12-05,93.4847,94.1519,92.9364,94.0605,818600
2016-12-06,93.1192,94.0422,93.0278,93.8686,399900
2016-12-07,93.2014,94.9744,93.0643,94.6363,566600
2016-12-08,94.3073,94.8008,93.8137,94.2341,478800
2016-12-09,94.0605,94.2341,93.3019,93.8229,362500
2016-12-12,94.289,94.4443,93.5944,94.0422,308500
2016-12-13,95.1481,95.8335,95.0475,95.6324,308400
2016-12-14,95.5776,95.9066,94.618,94.7094,390800
2016-12-15,95.4771,96.3179,95.34,95.9889,655400
2016-12-16,97.113,97.5334,96.8388,97.0947,865800
2016-12-19,99.0322,100.9697,99.0322,100.7321,1709400
2016-12-20,99.9553,100.3482,99.7176,100.266,810500
2016-12-21,100.5584,100.8052,100.2751,100.5767,659500
2016-12-22,100.86,100.9149,100.3208,100.5127,324200
2016-12-23,100.9149,101.3079,100.7778,101.1982,183900
2016-12-27,101.253,102.0116,101.253,101.911,308500
2016-12-28,101.2713,101.7283,100.924,101.2439,509900
2016-12-29,101.4175,101.7831,101.1708,101.5912,754900
2016-12-30,102.4137,102.9621,101.6917,102.5417,858700
2017-01-03,101.4267,101.7008,100.6681,100.9423,874700
2017-01-04,100.3848,100.8509,100.1837,100.4579,846200
2017-01-05,101.2622,102.2675,101.2165,101.6643,493800
2017-01-06,101.0428,101.9842,100.8052,101.5546,360200
2017-01-09,101.4632,103.026,101.4541,102.8067,554800
2017-01-10,102.8889,103.3916,102.8889,102.9529,816100
2017-01-11,102.5873,103.7389,102.5325,103.7115,419900
2017-01-12,104.1319,104.9361,103.2728,104.8904,713900
2017-01-13,104.8904,105.5941,104.8721,105.3748,1474200
2017-01-17,105.6764,106.307,105.0001,105.9323,1381400
2017-01-18,111.562,115.044,111.4432,112.3845,4392000
2017-01-19,110.4562,111.4889,110.0906,111.3701,1936700
2017-01-20,111.0594,111.7814,111.0594,111.5437,786900
2017-01-23,111.4706,111.7905,110.2186,111.6534,1570600
2017-01-24,111.7539,112.412,111.562,112.0007,975100
2017-01-25,111.9642,112.3846,111.7448,112.2109,649500
2017-01-26,110.8583,111.6443,110.6481,110.7029,611200
2017-01-27,110.9863,111.5712,110.6207,111.2878,663500
2017-01-30,110.5019,111.3701,109.6885,111.233,1161000
2017-01-31,111.169,111.498,110.575,110.9497,1435700
2017-02-01,111.1782,111.5986,110.5841,110.8674,1324600
2017-02-02,112.4942,112.5856,111.7631,112.1744,632800
2017-02-03,112.3297,112.9329,112.2932,112.4211,358300
2017-02-06,111.7174,112.0738,111.3793,111.7083,260700
2017-02-07,111.5255,112.9329,111.3792,112.6496,1117200
2017-02-08,112.7867,113.5635,112.4028,113.4081,853100
2017-02-09,113.7006,114.7425,113.6183,113.8011,820400
2017-02-10,114.057,114.4683,113.463,114.1027,791500
2017-02-13,115.2817,115.7386,114.9252,115.6107,1052600
2017-02-14,115.2269,115.6107,114.8065,115.3822,1825300
2017-02-15,114.6511,116.3236,114.514,116.3053,900800
2017-02-16,115.6564,116.4698,115.5924,116.3144,1023500
2017-02-17,115.0075,115.958,114.9892,115.958,808100
2017-02-21,114.4957,116.616,114.4683,116.6068,3895800
2017-02-22,114.3312,114.7059,112.942,113.1705,2312100
2017-02-23,113.8103,113.8925,112.6404,113.1248,764500
2017-02-24,111.7631,112.3663,111.1691,111.9824,1442500
2017-02-27,111.7631,112.4303,111.5712,112.3206,736500
2017-02-28,111.0411,111.6991,110.9588,111.2147,1033500
2017-03-01,111.955,113.2528,111.891,112.8415,1274400
2017-03-02,111.297,112.0007,111.0228,111.1051,961800
2017-03-03,112.1926,112.4028,111.3427,112.3937,783800
2017-03-06,110.8126,111.4158,110.3831,111.1325,495300
2017-03-07,110.8126,110.9406,109.5149,109.652,1234500
2017-03-08,110.4196,110.7395,109.9809,110.3557,575800
2017-03-09,110.7486,111.0777,110.2734,110.8126,405700
2017-03-10,113.7554,114.3403,113.2711,114.2398,1016100
2017-03-13,112.9238,113.7463,112.805,113.4995,838100
2017-03-14,114.0296,114.0844,113.1979,113.3167,412900
2017-03-15,114.1027,115.437,113.856,115.2177,838900
2017-03-16,114.1393,115.3822,114.0662,115.3274,424200
2017-03-17,116.2413,117.3746,116.0037,116.8902,1030300
2017-03-20,117.7492,118.0417,116.9633,117.2283,577600
2017-03-21,118.5261,118.6449,115.2908,115.4462,1398800
2017-03-22,116.1316,118.1148,116.0768,117.8223,529900
2017-03-23,118.0783,118.5352,117.7127,118.0965,266000
2017-03-24,121.807,122.0538,120.6007,120.8566,1709800
2017-03-27,121.3501,121.7339,120.9663,121.277,2238000
2017-03-28,121.8893,122.7301,121.6608,122.2732,1370300
2017-03-29,121.6974,121.9716,121.1307,121.4689,358300
2017-03-30,120.9845,121.7248,120.948,121.213,361100
2017-03-31,120.884,121.7248,120.7469,121.3684,535400
2017-04-03,120.9571,121.3227,119.8878,120.8018,564100
2017-04-04,120.9114,121.3501,120.5002,121.3135,584000
2017-04-05,120.2716,120.6463,119.6502,119.7507,557200
2017-04-06,119.6776,119.9427,119.3121,119.705,370000
2017-04-07,119.3029,120.3173,119.2938,119.8878,546900
2017-04-10,119.3852,119.5314,118.5352,118.7272,1180800
2017-04-11,118.4804,118.6723,117.2649,118.6358,613200
2017-04-12,118.5809,118.782,117.2557,117.9046,485300
2017-04-13,117.9046,118.6997,117.2923,117.3288,575600
2017-04-17,117.7949,119.0744,117.7949,118.9648,334800
2017-04-18,119.1567,119.6868,118.6266,119.4035,915700
2017-04-19,121.6517,122.2,115.1903,115.9671,3355400
2017-04-20,118.9008,119.5588,118.1605,118.8551,2259500
2017-04-21,119.1293,119.2572,118.5535,118.8368,1298800
2017-04-24,122.1269,122.7301,121.2861,121.9716,685100
2017-04-25,123.2876,123.3333,122.3371,122.6844,681300
2017-04-26,121.5877,121.9441,120.6372,121.0576,633600
2017-04-27,121.2404,122.3645,120.9571,121.5054,453100
2017-04-28,122.878,122.9149,121.475,121.6965,753400
2017-05-01,121.8811,122.7672,121.5765,122.6287,264200
2017-05-02,123.6625,124.6501,123.4317,124.5947,850700
2017-05-03,123.5056,124.5671,123.441,123.8379,1008300
2017-05-04,123.4502,124.9639,123.441,124.6593,871400
2017-05-05,124.244,125.4531,124.1148,125.3792,481000
2017-05-08,123.2656,123.4779,122.8226,123.0071,957800
2017-05-09,123.9578,124.7424,123.9025,124.567,438200
2017-05-10,123.7271,124.1425,123.2287,123.4964,703900
2017-05-11,122.9703,123.9302,122.5919,123.8287,639900
2017-05-12,123.7825,125.0378,123.7733,125.0101,443300
2017-05-15,124.9824,125.6562,124.7978,125.287,577500
2017-05-16,126.3392,126.6992,125.9884,126.6899,729100
2017-05-17,125.2131,125.4993,122.5734,122.5826,645700
2017-05-18,122.3888,123.9394,122.1211,123.6809,689500
2017-05-19,124.604,125.0008,124.1701,124.4655,619200
2017-05-22,123.6625,124.1609,123.3764,123.8748,548800
2017-05-23,124.2717,124.4286,123.4225,123.5979,687200
2017-05-24,123.6533,123.9394,122.9149,123.2102,938000
2017-05-25,123.2102,124.6224,123.2102,124.5024,457600
2017-05-26,123.5517,124.2347,123.2656,123.8655,731800
2017-05-30,122.8133,123.5056,122.758,123.1364,1020200
2017-05-31,122.8133,123.0718,121.4842,121.8257,1436000
2017-06-01,122.6657,123.5241,122.4072,123.5056,707400
2017-06-02,124.2532,124.4101,123.2656,124.327,334300
2017-06-05,122.6656,123.524,122.5549,122.9056,519500
2017-06-06,122.1673,123.0533,122.1488,122.4072,614500
2017-06-07,123.4871,124.1055,122.8503,123.6717,413400
2017-06-08,124.1517,124.687,123.3672,124.6132,312400
2017-06-09,123.8933,124.0963,118.7522,120.0167,1203900
2017-06-12,119.2691,119.5921,116.3247,119.1398,1941400
2017-06-13,121.0966,121.918,120.312,121.7703,1373900
2017-06-14,122.2134,122.3426,119.1029,120.1274,857700
2017-06-15,118.023,118.2814,117.22,117.7553,1551700
2017-06-16,119.2506,120.072,118.8629,119.6475,925300
2017-06-19,121.0873,121.6688,120.7089,121.3273,388000
2017-06-20,120.5705,120.9674,118.5399,118.5953,604100
2017-06-21,118.6783,120.5705,118.6045,120.3859,710600
2017-06-22,120.2474,120.7182,119.6936,120.0075,660400
2017-06-23,122.7026,124.9916,122.6656,124.2717,1276100
2017-06-26,125.3516,125.5916,123.3671,123.4779,978400
2017-06-27,124.3455,124.5116,122.1026,122.1765,1783600
2017-06-28,122.961,124.8624,122.2964,124.5947,773900
2017-06-29,122.4534,122.9241,118.466,119.6198,1988500
2017-06-30,121.0135,121.355,119.8782,120.2751,899500
2017-07-03,121.0043,121.2258,119.3706,119.6844,427900
2017-07-05,119.5182,121.4381,119.4721,121.355,796200
2017-07-06,120.7181,121.6227,120.0813,121.115,832000
2017-07-07,121.6781,123.2564,121.6781,122.6564,588700
2017-07-10,123.681,124.6501,123.2287,124.4286,439700
2017-07-11,123.4041,125.5823,123.3764,125.3608,1100900
2017-07-12,126.0899,126.9576,125.7854,126.4868,841300
2017-07-13,126.2284,126.976,125.8684,126.3115,484300
2017-07-14,127.4098,129.2651,127.2714,129.1451,1164700
2017-07-17,129.6066,129.9481,128.3883,129.422,869900
2017-07-18,130.4003,132.3386,130.2619,132.2186,1252200
2017-07-19,137.1751,139.2057,136.5659,139.0303,2528800
2017-07-20,140.5163,142.4639,139.7041,141.9747,2971500
2017-07-21,141.3009,142.4638,140.8947,142.4084,938400
2017-07-24,142.0301,142.6023,141.2732,141.9008,1272100
2017-07-25,142.4638,142.4915,140.8117,140.9686,974600
2017-07-26,141.2178,142.7869,141.1347,142.6299,768800
2017-07-27,142.9715,143.7376,139.8148,141.4393,1019400
2017-07-28,140.0179,141.107,139.9717,140.784,539100
2017-07-31,140.0548,140.6086,138.3658,138.7534,868100
2017-08-01,140.2486,140.3871,138.9749,139.298,391600
2017-08-02,140.8209,141.1163,138.735,139.3903,855200
2017-08-03,140.904,141.0609,139.7964,140.4518,924000
2017-08-04,140.8578,141.2732,140.2486,141.1624,491200
2017-08-07,141.5409,142.75,141.5317,142.5285,476000
2017-08-08,142.5838,143.2484,141.1347,141.3378,490700
2017-08-09,140.904,141.8916,140.6179,141.7347,547100
2017-08-10,140.7194,140.7563,138.5319,138.615,844800
2017-08-11,137.8858,139.6856,137.4796,139.5471,416900
2017-08-14,139.2426,141.4947,139.2241,140.8578,552600
2017-08-15,139.7872,140.8763,139.6856,140.7194,376800
2017-08-16,140.4794,142.2608,140.3317,141.8362,518900
2017-08-17,141.0886,141.3932,139.0026,139.0488,486000
2017-08-18,140.2948,140.8578,139.3534,140.5348,688800
2017-08-21,140.4425,140.5717,139.3164,139.9164,562600
2017-08-22,140.2025,142.8884,140.1748,142.4823,839100
2017-08-23,142.0485,142.3254,141.3378,141.587,532300
2017-08-24,141.4855,142.0485,140.9501,141.6331,400200
2017-08-25,141.9009,142.8792,141.7255,142.3439,535300
2017-08-28,141.8362,142.4731,141.5778,142.2516,261400
2017-08-29,141.7993,143.553,141.6793,143.2023,575500
2017-08-30,141.9932,143.3407,141.6055,142.8885,834200
2017-08-31,142.99,144.6052,142.6854,144.2729,787400
2017-09-01,145.0574,145.4359,144.3375,145.1682,739700
2017-09-05,143.9038,144.4114,141.6517,142.8885,493400
2017-09-06,144.2729,145.1682,143.876,144.4298,496400
2017-09-07,146.765,148.5464,146.1281,148.4725,1027800
2017-09-08,147.9095,148.694,146.8388,147.4203,659400
2017-09-11,148.7032,150.3369,148.5463,150.2446,698200
2017-09-12,149.4048,149.6171,148.4725,148.9248,439400
2017-09-13,148.2325,148.6017,147.6787,147.7433,613300
2017-09-14,148.3248,149.4231,147.9464,148.9986,525500
2017-09-15,150.4846,150.5677,149.6632,149.9032,632300
