date,open,high,low,close,volume
2016-04-21,127.5565,129.0672,125.9603,126.5731,865400
2016-04-22,127.3926,128.7893,126.8296,128.3902,575300
2016-04-25,128.0411,129.4592,128.0411,129.4449,481600
2016-04-26,129.7015,131.2835,128.9105,129.5162,494600
2016-04-27,128.5969,128.604,125.1907,127.9271,1213500
2016-04-28,126.9793,130.806,126.4591,127.9556,628900
2016-04-29,127.25,127.6206,124.478,125.9816,897300
2016-05-02,126.5803,129.1599,126.5803,128.8606,569400
2016-05-03,128.433,129.3523,127.9627,129.2525,621700
2016-05-04,127.927,131.996,127.5422,131.939,1074100
2016-05-05,131.6967,133.4141,131.5186,132.9224,737400
2016-05-06,132.7799,134.0056,131.2977,133.7633,648300
2016-05-09,133.97,134.6968,133.3357,134.6683,525900
2016-05-10,134.9319,137.027,134.0412,136.1077,848100
2016-05-11,135.9867,136.1791,132.4735,133.3144,682000
2016-05-12,133.2787,133.9343,131.8036,133.7205,558700
2016-05-13,133.6279,133.6279,132.2241,132.6089,495300
2016-05-16,132.5448,134.2052,132.2526,133.7277,427800
2016-05-17,133.2431,133.2859,130.692,131.369,1165500
2016-05-18,131.3618,131.3618,128.1337,129.5946,846200
2016-05-19,128.0126,128.6539,127.0149,127.7774,678600
2016-05-20,128.205,128.9033,127.5565,128.5827,900100
2016-05-23,129.0174,129.0245,127.9627,128.4188,369900
2016-05-24,129.5233,130.4212,127.7561,128.3333,994300
2016-05-25,128.7893,129.2027,127.3784,128.8464,919400
2016-05-26,128.8819,128.9176,127.7275,128.2263,939400
2016-05-27,128.5399,129.8369,127.4853,128.376,857000
2016-05-31,128.7537,128.7537,126.8439,128.1836,964300
2016-06-01,126.9152,127.4211,124.4638,125.718,1328900
2016-06-02,125.4115,125.9389,123.9578,125.8106,805200
2016-06-03,126.6301,126.8012,123.516,123.5731,1065700
2016-06-06,123.5374,124.2571,119.8318,121.3069,1283600
2016-06-07,121.4922,122.6467,120.7654,120.9934,887100
2016-06-08,119.9316,120.9792,118.7131,120.8651,952800
2016-06-09,120.5231,122.1763,119.8746,121.3212,820300
2016-06-10,120.744,121.4138,120.3663,121.1858,811200
2016-06-13,121.7987,123.174,121.3782,121.592,675800
2016-06-14,121.3639,121.5136,120.5658,121.143,920400
2016-06-15,121.421,123.5018,120.8651,123.003,1276300
