date,open,high,low,close,volume
2016-04-21,23.1681,23.4341,22.993,23.007,2898200
2016-04-22,23.014,23.3711,23.0,23.2591,2052900
2016-04-25,23.091,23.1471,22.6639,22.734,3209200
2016-04-26,22.797,23.2451,22.776,23.2101,2034500
2016-04-27,22.6289,23.5671,22.5449,23.4411,4881800
2016-04-28,23.2381,23.4061,22.804,22.86,2501800
2016-04-29,22.818,22.902,22.3139,22.4609,2898300
2016-05-02,22.6079,22.748,22.1248,22.5939,3120500
2016-05-03,22.4539,22.4539,21.9148,22.2229,3453300
2016-05-04,22.1178,22.2649,21.8378,22.0548,2980600
2016-05-05,21.9428,22.1948,21.6837,22.1318,3478900
2016-05-06,22.2859,22.5799,22.0338,22.3909,2720400
2016-05-09,22.4189,22.923,22.3489,22.867,3305900
2016-05-10,22.902,23.1471,22.5729,23.084,3571100
2016-05-11,22.888,22.888,22.0198,22.0758,4009000
2016-05-12,22.1879,22.2089,21.5997,21.8798,4088400
2016-05-13,21.5927,22.2158,21.5227,21.6697,4517300
2016-05-16,21.6557,22.3979,21.6487,22.2089,3891900
2016-05-17,22.2228,22.867,22.1318,22.3279,4496500
2016-05-18,21.6277,21.8798,21.2496,21.5297,7425200
2016-05-19,21.5647,22.0968,21.5437,22.0758,4937200
2016-05-20,22.0548,22.692,22.0548,22.6429,4733800
2016-05-23,22.797,23.2591,22.6569,23.105,9777500
2016-05-24,21.8938,22.2229,21.0396,21.3897,30027700
2016-05-25,21.2146,22.5799,21.1866,22.4539,13456300
2016-05-26,22.6499,22.825,22.2579,22.3699,6112700
2016-05-27,22.3559,22.6219,22.3209,22.4259,4521900
2016-05-31,22.5659,22.6569,22.3839,22.5239,5005000
2016-06-01,22.5239,22.755,22.4189,22.5589,3721900
2016-06-02,22.5099,22.881,22.4399,22.727,3802100
2016-06-03,22.6569,22.741,22.2579,22.6499,2886700
2016-06-06,22.4049,22.4399,21.5367,21.9358,8113100
2016-06-07,22.0198,22.2579,21.8448,22.1178,4843100
2016-06-08,22.2509,22.2649,21.9568,21.9988,3349000
2016-06-09,21.9358,21.9498,21.0326,21.0746,6128700
2016-06-10,20.9333,20.9615,20.4103,20.806,6608200
2016-06-13,20.7778,21.0251,20.6647,20.7354,5908000
2016-06-14,20.7,20.9474,20.3537,20.6152,6143200
2016-06-15,20.3537,21.0958,20.3255,20.7354,7017800
2016-06-16,20.6223,21.0887,20.4527,20.9686,6010400
2016-06-17,20.9686,21.8732,20.8767,21.4138,7643100
2016-06-20,21.6541,21.8732,21.4492,21.4704,4227100
2016-06-21,21.5269,21.6188,21.2089,21.2442,4067200
2016-06-22,21.2513,21.3644,21.1382,21.2371,3588000
2016-06-23,21.4562,21.8308,21.3856,21.5057,3339500
2016-06-24,20.9545,21.4492,20.8484,21.3078,4192800
2016-06-27,21.1735,21.2725,20.5304,20.7566,3964200
2016-06-28,20.9403,21.3926,20.8555,21.2159,3910300
2016-06-29,21.5622,21.7248,21.3432,21.5552,4960900
2016-06-30,21.5481,21.7743,21.322,21.6258,3588700
2016-07-01,21.6683,22.3608,21.6683,22.163,4114900
2016-07-05,22.0711,22.2336,21.3078,21.4562,4923700
2016-07-06,21.3008,21.6541,21.0534,21.6471,4961300
2016-07-07,21.5622,21.7601,21.4986,21.6258,3290300
2016-07-08,21.8873,22.057,21.6965,21.8732,3696500
2016-07-11,21.8873,22.2831,21.8873,22.0852,2787300
2016-07-12,22.276,22.6153,22.2548,22.2831,3937200
2016-07-13,22.2902,22.4527,21.8661,22.1912,5332200
2016-07-14,22.3821,22.5658,22.2548,22.4457,4721300
2016-07-15,22.4881,22.4881,21.9156,22.1771,4086200
2016-07-18,22.269,22.7213,22.2548,22.6011,3220600
2016-07-19,22.587,22.6365,22.3114,22.3962,2901100
2016-07-20,22.481,22.5941,22.4033,22.4669,2580500
2016-07-21,22.5022,23.0605,22.4103,22.8132,4654200
2016-07-22,22.7213,22.9474,22.5517,22.7142,3515000
2016-07-25,22.7142,22.9757,22.5941,22.9474,3277400
2016-07-26,22.9686,23.5128,22.9686,23.4563,4998300
2016-07-27,23.2089,23.5481,23.1029,23.4209,4917600
2016-07-28,23.3715,23.6047,23.0534,23.5199,4539700
2016-07-29,23.4916,23.7672,23.3432,23.746,3931300
2016-08-01,23.6118,23.746,23.3785,23.6542,3653300
2016-08-02,23.6754,23.6754,23.004,23.223,4718800
