date,open,high,low,close,volume
2016-04-22,24.7309,25.0486,24.7125,24.8531,1856900
2016-04-25,24.6698,24.8225,24.4192,24.5353,1971700
2016-04-26,24.627,24.682,24.352,24.5537,2723300
2016-04-27,23.9548,24.3276,23.5515,24.2298,4508000
2016-04-28,23.9303,23.9609,23.2154,23.3131,4728600
2016-04-29,23.1359,23.197,22.6776,22.8182,4244900
2016-05-02,22.8365,23.1482,22.5432,23.0626,3696900
2016-05-03,22.7571,22.8365,22.1643,22.4882,2616400
2016-05-04,22.2254,22.4698,21.8771,22.0176,2550100
2016-05-05,22.0543,22.2254,21.816,21.8954,2633000
2016-05-06,21.6876,22.1032,21.6204,22.0604,2253400
2016-05-09,22.0054,22.1276,21.9015,21.9687,3312600
2016-05-10,22.1337,22.3598,22.0176,22.3293,1854700
2016-05-11,22.1887,22.2682,21.7854,21.7976,5034400
2016-05-12,21.9565,22.1521,21.7121,21.9015,5272800
2016-05-13,21.8832,22.1826,21.3515,21.4126,3796800
2016-05-16,21.4799,21.7243,21.4188,21.541,2033100
2016-05-17,21.4921,21.7793,21.3515,21.431,3035500
2016-05-18,21.3638,21.8587,21.3149,21.761,4552900
2016-05-19,21.5532,21.6571,21.2538,21.5165,3699900
2016-05-20,21.6693,21.9382,21.6449,21.7304,1796900
2016-05-23,21.6632,21.9076,21.6326,21.7976,3101300
2016-05-24,21.9504,22.4148,21.9199,22.3476,2407600
2016-05-25,22.4515,22.9648,22.4515,22.9098,3896600
2016-05-26,22.8854,22.9893,22.6104,22.6287,1997800
2016-05-27,22.6409,22.8548,22.6409,22.8304,1768400
2016-05-31,22.9526,23.0015,22.6532,22.8243,3576200
2016-06-01,22.5798,22.6471,22.3171,22.5004,3582600
2016-06-02,21.9749,22.0176,21.6571,21.8649,5612100
2016-06-03,21.6449,21.8343,21.3821,21.7488,3194300
2016-06-06,21.7793,22.1521,21.6815,21.8771,3433600
2016-06-07,21.8893,21.9626,21.6632,21.6632,3221200
2016-06-08,21.6571,21.8221,21.4921,21.541,1745500
2016-06-09,21.4615,21.5104,20.881,21.0338,4774100
2016-06-10,20.7221,20.7343,20.5021,20.6488,3803500
2016-06-13,20.496,20.661,20.3005,20.331,3509000
2016-06-14,20.2394,20.4471,20.0499,20.111,3748400
2016-06-15,20.3127,20.5816,20.1782,20.1966,3928900
2016-06-16,19.9644,20.2455,19.6772,20.1966,3027900
2016-06-17,20.2271,20.4777,20.1721,20.3799,3796200
2016-06-20,20.7649,21.0216,20.6182,20.6305,3755100
2016-06-21,20.6671,20.7771,20.5205,20.661,1896000
2016-06-22,20.6549,20.8016,20.551,20.6182,4293600
2016-06-23,20.991,21.1315,20.8504,21.1315,2051100
2016-06-24,19.7016,20.1844,19.561,19.5855,5237600
2016-06-27,19.3349,19.4144,18.675,18.7422,4423900
2016-06-28,19.0741,19.1909,18.8037,19.068,6799000
2016-06-29,19.3138,19.9716,19.2093,19.9654,4994800
2016-06-30,19.9839,20.5248,19.8302,20.5125,4878200
2016-07-01,20.5125,20.8014,20.2175,20.3281,2843800
2016-07-05,20.0392,20.0761,19.6827,19.8548,2459500
2016-07-06,19.6028,20.0085,19.4183,19.9962,2986800
2016-07-07,19.9777,20.3281,19.8609,20.0392,3317900
2016-07-08,20.2482,20.9059,20.2482,20.8875,3337400
2016-07-11,20.9182,21.0903,20.6539,20.869,2480700
2016-07-12,21.1334,21.5513,21.1211,21.4161,3052100
2016-07-13,21.4407,21.5206,21.0289,21.1887,2663700
2016-07-14,21.662,21.7296,21.1825,21.2932,3371300
2016-07-15,21.3178,21.5206,21.1272,21.3239,2151300
2016-07-18,21.4161,21.5391,21.2993,21.5083,1738300
2016-07-19,21.3669,21.4776,21.2194,21.2563,2076200
2016-07-20,21.4346,21.619,21.1088,21.5882,3778800
2016-07-21,21.5391,21.7419,21.4837,21.5206,1468700
2016-07-22,21.5391,21.6559,21.453,21.619,1243700
2016-07-25,21.5759,21.6497,21.2747,21.3055,2656500
2016-07-26,21.3178,21.3731,20.9858,21.2624,2837100
2016-07-27,21.2686,21.5821,21.1518,21.4223,3879100
2016-07-28,21.4899,22.2029,21.4161,21.5268,4134400
2016-07-29,21.4592,22.2767,21.2686,22.246,5839200
