date,open,high,low,close,volume
2016-04-18,31.8919,31.9252,31.5722,31.6022,1637000
2016-04-19,31.6555,32.1682,31.6122,32.1682,2261750
2016-04-20,32.2182,32.5844,32.1449,32.4779,1748750
2016-04-21,32.4379,32.5844,31.1993,31.2259,2005500
2016-04-22,31.1993,31.2526,30.863,31.0495,2881500
2016-04-25,31.1327,31.3192,30.9662,31.3192,2688000
2016-04-26,31.4324,31.4623,31.0128,31.0828,1362000
2016-04-27,31.3058,31.5456,31.0828,31.459,1235500
2016-04-28,31.3191,31.9984,31.2292,31.7687,1682500
2016-04-29,31.6488,32.1216,31.5289,32.0717,2047750
2016-05-02,32.2015,32.2914,31.7054,32.2015,1335250
2016-05-03,31.9784,32.1915,31.7953,31.9418,1106500
2016-05-04,31.8619,32.0184,31.5989,31.9052,998000
2016-05-05,31.9085,32.3214,31.9019,31.9718,1088250
2016-05-06,31.9651,32.4746,31.9385,32.388,965250
2016-05-09,32.428,32.7243,32.388,32.6477,874000
2016-05-10,32.681,32.9507,32.5844,32.9507,915000
2016-05-11,32.7942,33.0639,32.5412,32.6011,774250
2016-05-12,32.671,32.8841,32.4679,32.7543,668750
2016-05-13,32.5911,32.8042,32.3647,32.5079,1271500
2016-05-16,32.4846,32.7276,32.4546,32.6311,932000
2016-05-17,32.6144,32.6744,32.125,32.1982,1389750
2016-05-18,32.1649,32.3081,31.4657,31.7354,1625500
2016-05-19,31.6655,31.8386,31.5389,31.7354,1625500
2016-05-20,31.8819,31.9618,31.5789,31.802,1147000
2016-05-23,31.8652,32.0783,31.6655,31.7554,886500
2016-05-24,31.7986,32.2548,31.7986,31.9951,1547750
2016-05-25,32.075,32.3414,31.9918,32.1483,1277000
2016-05-26,32.1116,32.4013,31.5489,32.2548,1245500
2016-05-27,32.3847,32.8242,32.2948,32.7509,2614250
2016-05-31,32.6577,32.8109,32.5045,32.6544,2570750
2016-06-01,32.6544,32.7909,32.1116,32.428,1902000
2016-06-02,32.4647,32.7454,32.2809,32.428,1284250
2016-06-03,32.4981,32.6485,32.4213,32.5048,2680000
2016-06-06,32.6719,32.9024,32.4881,32.7988,1336000
2016-06-07,32.7988,32.9659,32.4981,32.5282,2140500
2016-06-08,32.7487,33.8681,32.4146,33.681,3701750
2016-06-09,33.6776,33.7645,32.9926,33.0428,2092750
2016-06-10,32.8924,33.0795,32.6852,32.8155,1784000
2016-06-13,32.6685,32.996,32.4981,32.5015,1833250
2016-06-14,32.5482,32.7788,32.2642,32.732,1303000
2016-06-15,32.879,33.0093,32.6251,32.712,1204000
2016-06-16,32.4112,32.6685,32.3277,32.6251,1713750
2016-06-17,32.6385,32.6886,32.2843,32.301,2065250
2016-06-20,32.8122,32.8657,32.575,32.6953,1194500
2016-06-21,32.8556,32.8556,32.5917,32.6786,1347750
2016-06-22,32.7788,32.7788,32.291,32.3077,873000
2016-06-23,32.6385,32.7354,32.5382,32.7354,1515000
2016-06-24,32.0136,32.0938,31.3554,31.3754,3784250
2016-06-27,31.2351,31.5258,30.9878,31.4155,3052000
2016-06-28,31.5592,31.8299,31.3253,31.5024,1691000
2016-06-29,31.8165,32.1272,31.7597,32.0704,1869750
2016-06-30,32.311,33.3401,32.2074,33.3335,2378750
2016-07-01,33.4571,33.6242,33.0294,33.0394,1606500
2016-07-05,33.0829,33.1864,32.7721,32.8222,1603750
2016-07-06,32.4079,32.722,32.1907,32.4213,1443250
2016-07-07,32.5649,32.6585,32.4213,32.4413,1409750
2016-07-08,32.6953,32.849,32.4046,32.8356,1184000
2016-07-11,32.8289,33.1263,32.7187,32.9358,1135000
2016-07-12,32.9626,33.0862,32.8156,32.8857,934250
2016-07-13,32.7253,32.8256,32.4213,32.742,1243500
2016-07-14,32.7721,32.9559,32.722,32.8957,1167500
2016-07-15,33.0227,33.0361,32.8022,32.9659,1056250
2016-07-18,32.7855,33.0461,32.6351,32.7988,791000
2016-07-19,32.6451,32.8289,32.6151,32.8189,663250
2016-07-20,32.7922,33.0261,32.7788,33.0127,900500
2016-07-21,33.0127,33.0361,32.6919,32.9058,702500
2016-07-22,33.0294,33.3903,33.0227,33.3769,1048250
2016-07-25,33.3134,33.4103,32.7721,32.9693,871500
2016-07-26,33.006,33.0428,32.6251,32.8022,757500
2016-07-27,32.9826,33.0428,32.0203,32.2776,860000
2016-07-28,32.2776,32.7788,32.2776,32.7487,826750
2016-07-29,32.6585,32.8957,32.4547,32.8089,1201250
2016-08-01,32.8456,32.8924,32.5282,32.6552,983000
2016-08-02,32.5616,32.6418,32.2843,32.3678,797250
2016-08-03,32.3678,32.4447,32.1239,32.3678,1009250
2016-08-04,32.3544,32.5783,32.2074,32.3578,668000
2016-08-05,32.4848,32.7387,32.4012,32.5783,1094750
