date,open,high,low,close,volume
2016-04-18,42.7047,43.1593,42.6152,43.1518,1382000
2016-04-19,43.04,44.3443,43.0326,44.1132,1645900
2016-04-20,44.143,44.6946,43.912,44.3592,1916300
2016-04-21,44.3964,45.0001,44.0163,44.2921,1365100
2016-04-22,43.9716,44.6424,43.8226,44.6349,1430700
2016-04-25,44.6349,44.784,43.8673,44.1803,1231900
2016-04-26,44.1356,44.8063,44.0238,44.6946,1085900
2016-04-27,44.702,45.1566,44.3741,45.0597,1675200
2016-04-28,46.1106,47.385,46.1106,46.5876,3258200
2016-04-29,46.6994,46.8112,45.7901,46.5801,1822100
2016-05-02,46.595,46.8633,46.446,46.595,1163000
2016-05-03,46.3715,46.4981,45.6485,46.051,1127100
2016-05-04,45.9168,46.3416,45.6411,46.2596,1229100
2016-05-05,46.4385,46.4385,45.0821,45.1566,1436300
2016-05-06,45.1268,45.492,44.8138,45.4249,1115200
2016-05-09,45.4995,46.051,44.8511,45.2237,893700
2016-05-10,45.4547,45.6932,45.0299,45.6932,865900
2016-05-11,45.5814,46.0286,45.3877,45.5963,828900
2016-05-12,45.9168,46.2298,45.3728,45.7379,826900
2016-05-13,45.7007,45.7081,44.866,45.2014,767200
2016-05-16,45.3131,45.9392,45.179,45.4175,835800
2016-05-17,45.245,45.815,44.9825,45.1025,966900
2016-05-18,45.1025,46.0025,44.9075,45.6575,1351800
2016-05-19,45.56,45.905,44.975,45.8225,1071100
2016-05-20,45.9649,47.2474,45.755,47.0524,1319700
2016-05-23,46.8799,48.3348,46.8649,47.8023,1655600
2016-05-24,48.0048,48.8898,47.7348,48.3348,1414400
2016-05-25,48.4923,49.5198,48.4173,49.1373,1867700
2016-05-26,49.4148,49.9397,48.9498,49.4223,1386900
2016-05-27,49.6547,49.7522,48.8748,49.3398,726500
2016-05-31,49.3773,50.3747,49.3698,50.2997,2342900
2016-06-01,50.1047,50.7722,49.8872,50.6147,1489400
2016-06-02,50.2097,51.1697,50.1347,50.8022,1497400
2016-06-03,50.8022,50.9597,50.5397,50.8247,1130900
2016-06-06,50.8247,51.1622,50.4947,50.5847,954800
2016-06-07,50.7272,50.7272,50.2397,50.3597,1033600
2016-06-08,50.3372,50.7497,49.8497,49.8722,1351500
2016-06-09,49.6997,49.9847,49.0623,49.6172,1620700
2016-06-10,49.5123,49.5873,48.8298,49.0473,1098800
2016-06-13,49.0473,49.0473,46.6999,46.8199,2517800
2016-06-14,46.6324,47.0149,46.2574,46.6249,1008000
2016-06-15,46.7524,47.2099,46.4149,46.4899,1380500
2016-06-16,46.1974,46.3474,45.53,46.0325,979700
2016-06-17,45.9874,46.3024,45.7625,46.1749,1362000
