date,open,high,low,close,volume
2016-04-18,52.1808,53.757,52.1808,53.142,15972500
2016-04-19,53.3977,53.4024,52.3536,52.844,10867500
2016-04-20,52.8762,53.5724,52.5515,53.0097,10410000
2016-04-21,52.747,53.3015,52.4993,52.6171,6740000
2016-04-22,52.2637,52.9928,52.2637,52.5582,13175000
2016-04-25,52.3029,52.6563,51.9672,52.4313,9835000
2016-04-26,52.3815,52.4926,51.8902,52.3795,8000000
2016-04-27,52.2931,53.2846,52.1066,53.1566,9887500
2016-04-28,52.2244,53.2418,51.4449,51.7371,18585000
2016-04-29,52.319,53.7346,52.319,52.7608,25450000
2016-05-02,52.9704,53.3545,52.0281,53.2724,12702500
2016-05-03,52.8613,53.3451,52.4239,53.1919,21537500
2016-05-04,49.3972,49.7113,47.3259,49.2024,72120000
2016-05-05,49.2354,49.6297,48.6519,48.7238,20422500
2016-05-06,48.3374,49.2009,48.3374,49.087,14312500
2016-05-09,49.087,49.2009,48.3417,48.8836,10635000
2016-05-10,49.1911,50.0471,49.1031,49.8005,13495000
2016-05-11,49.738,50.031,49.4757,49.7628,12442500
2016-05-12,50.0054,50.6616,49.877,50.3494,17662500
2016-05-13,50.0255,50.6145,49.9081,50.2077,12072500
2016-05-16,50.3376,50.6321,49.8315,50.3973,10810000
2016-05-17,50.4531,50.8874,50.0318,50.1833,11415000
2016-05-18,49.9159,50.5752,49.2943,49.7612,9462500
2016-05-19,49.1137,49.4325,48.4505,49.0952,13720000
2016-05-20,49.2484,49.4298,48.9134,49.0552,11142500
2016-05-23,48.9397,49.237,48.4831,48.5918,9992500
2016-05-24,48.6064,49.5802,48.5706,49.3434,9797500
2016-05-25,49.4172,50.1523,49.1223,49.8755,8620000
2016-05-26,49.9049,50.2607,49.5374,49.8299,8262500
2016-05-27,49.7514,50.0098,49.5739,49.9862,7677500
2016-05-31,50.2002,50.5104,49.2794,49.6458,19605000
2016-06-01,49.4388,50.362,49.0638,50.1825,18882500
2016-06-02,50.2375,50.6675,49.9536,50.6537,11175000
2016-06-03,50.2921,51.1944,50.106,51.1135,14917500
2016-06-06,51.1453,53.078,51.0103,52.9744,21065000
