date,open,high,low,close,volume
2016-04-21,284.4526,287.2007,282.7976,284.2419,607900
2016-04-22,285.0773,288.2391,284.039,285.3193,512100
2016-04-25,284.1795,284.9524,281.4158,283.9062,482700
2016-04-26,283.9687,285.733,282.8523,285.7018,413400
2016-04-27,285.7331,288.3328,284.0234,286.8807,451200
2016-04-28,283.5472,285.6394,279.2377,280.1355,509400
2016-04-29,278.4181,279.5188,275.7012,278.1838,586700
2016-05-02,280.0887,283.1412,277.2392,282.22,739000
2016-05-03,277.9262,278.418,274.8659,277.6842,485300
2016-05-04,275.264,277.5592,273.8119,274.9361,599400
2016-05-05,275.1313,276.7551,274.1554,274.8658,521600
2016-05-06,273.6792,278.7771,273.4216,277.934,509500
2016-05-09,277.8871,279.2923,275.8105,277.1533,410700
2016-05-10,279.4876,281.2831,277.7466,281.1895,456600
2016-05-11,279.7998,280.8771,275.9119,276.2242,482900
2016-05-12,278.3633,279.2611,275.3342,277.6138,393800
2016-05-13,276.9269,279.3704,270.33,271.1263,559100
2016-05-16,271.3761,276.4818,271.3761,274.6706,489000
2016-05-17,273.8509,275.4747,271.3839,272.3207,647200
2016-05-18,270.9389,278.4804,270.9389,275.9666,625500
2016-05-19,273.5386,275.7558,269.8772,273.687,554900
2016-05-20,276.0603,278.9645,274.9362,276.3726,516000
2016-05-23,276.3647,278.3398,275.7167,276.2866,341100
2016-05-24,279.4875,282.3839,278.2384,281.9701,611400
2016-05-25,283.7344,285.3192,283.4924,284.2419,485700
2016-05-26,284.2497,284.8352,282.1731,283.469,342700
2016-05-27,283.6564,285.7721,283.6564,285.0226,314400
2016-05-31,285.9673,285.9673,282.6026,284.0547,625700
2016-06-01,282.2668,285.6706,280.1511,284.6323,447500
2016-06-02,283.5167,285.3079,280.2406,283.6974,518900
2016-06-03,281.6391,282.7312,276.4461,282.3305,473900
2016-06-06,281.9454,286.345,281.9454,284.4437,435600
2016-06-07,285.3866,285.6851,281.8905,282.0869,484500
2016-06-08,281.694,284.1373,281.5683,283.1003,335700
2016-06-09,280.1936,282.0398,279.2037,281.2227,331400
2016-06-10,276.1474,276.8309,271.5437,272.5886,768400
2016-06-13,271.9522,275.4169,270.6245,270.7188,532800
2016-06-14,269.5325,270.7188,266.7121,266.9478,748600
2016-06-15,268.9433,270.3182,266.3351,266.7593,747400
2016-06-16,264.6617,267.0343,260.8357,266.6886,660600
2016-06-17,267.372,269.6818,266.7828,268.5898,596900
2016-06-20,274.5843,276.5169,273.2723,273.7358,677600
2016-06-21,274.2699,275.4326,272.2273,273.3978,343200
2016-06-22,273.7906,276.3361,272.4079,273.1386,442300
2016-06-23,277.1767,280.4135,276.4697,280.3507,421200
2016-06-24,264.8581,270.161,260.05,261.2285,1480700
2016-06-27,256.4911,256.6089,249.5147,251.0388,1230200
2016-06-28,254.8021,256.8762,249.8291,254.5114,648600
2016-06-29,258.4709,264.6931,257.0961,264.5517,852800
2016-06-30,265.5101,269.2104,262.5797,269.1004,753600
2016-07-01,268.7077,272.0623,266.7987,268.1185,475700
2016-07-05,266.0601,266.4607,261.2442,264.0331,513800
2016-07-06,261.2206,265.6987,258.9266,264.0567,708100
2016-07-07,263.1847,265.188,260.2072,263.2711,776600
2016-07-08,268.354,271.3473,266.3586,271.198,533900
2016-07-11,273.4293,274.5292,271.151,273.005,403800
2016-07-12,274.9769,281.1284,274.6155,280.7591,874800
2016-07-13,280.9242,281.9534,278.1195,280.8614,569300
2016-07-14,278.5044,284.3966,277.3181,279.0465,799400
2016-07-15,279.6358,280.932,275.8569,280.3507,654400
2016-07-18,280.9085,282.5819,280.3114,281.0814,448400
2016-07-19,279.2586,280.8456,279.2115,280.1385,353200
2016-07-20,281.7726,283.3989,279.3529,282.6525,433400
2016-07-21,282.2597,283.061,280.9869,282.4325,589400
2016-07-22,283.1396,285.3472,282.2518,285.2215,503900
2016-07-25,285.1822,285.795,282.8882,283.9409,419400
2016-07-26,283.4146,284.978,281.7805,284.3416,358300
2016-07-27,284.5459,287.2798,283.7759,285.4258,458400
2016-07-28,284.8994,286.7377,283.3674,285.4729,407300
2016-07-29,285.0801,288.4976,285.0251,287.7355,648500
2016-08-01,288.0576,289.4639,287.162,289.3617,806300
2016-08-02,287.6176,289.0475,286.7377,288.3875,745200
2016-08-03,288.3876,289.896,287.8298,289.2361,821800
2016-08-04,288.8511,290.0217,287.2641,287.7355,452400
2016-08-05,290.9016,294.814,289.9038,294.4133,675500
2016-08-08,294.2483,295.3561,291.4122,292.0093,550600
2016-08-09,292.6456,292.6456,289.2989,289.621,534600
2016-08-10,290.3045,290.3045,287.1541,287.8848,489000
2016-08-11,287.767,289.7468,287.767,288.6312,495600
2016-08-12,286.7534,288.3797,285.9678,288.0104,360400
2016-08-15,289.1104,292.0722,288.8983,291.263,369000
2016-08-16,289.9903,291.428,288.3169,288.3798,312300
2016-08-17,288.3404,291.0115,287.979,290.7601,338300
2016-08-18,289.9116,291.3886,289.9116,291.3022,291200
2016-08-19,290.6267,293.0229,288.9062,292.2922,378900
2016-08-22,292.1743,292.6378,290.4852,291.8993,390600
2016-08-23,294.2011,294.2011,292.3706,292.4727,284000
2016-08-24,291.9779,292.8499,289.3932,289.9902,401400
2016-08-25,289.1104,290.1788,288.0655,289.5032,485300
2016-08-26,290.6816,293.7534,289.5189,291.538,362000
2016-08-29,292.3628,295.1753,292.1428,293.6669,362900
2016-08-30,293.9026,295.9059,293.5098,295.3953,631400
2016-08-31,294.4548,295.6563,292.9846,294.684,618100
2016-09-01,295.7193,297.0709,289.87,294.1779,457500
2016-09-02,296.0277,296.9604,293.9726,295.506,293500
2016-09-06,295.4744,296.0119,292.2732,293.7197,532200
2016-09-07,292.3521,295.3479,290.8819,295.261,378500
2016-09-08,294.0594,295.1819,293.3955,294.344,380100
2016-09-09,292.194,292.5971,286.242,286.2815,648200
2016-09-12,284.5584,291.9253,283.3095,290.961,868700
2016-09-13,288.9613,290.6844,283.6574,285.2778,689200
2016-09-14,285.9654,288.3051,283.9893,285.1117,394500
2016-09-15,285.1117,289.9808,284.0446,288.9058,588900
2016-09-16,286.6452,289.7595,284.6453,289.2773,1122300
2016-09-19,291.5696,294.3677,289.712,290.8503,547500
2016-09-20,293.8935,293.8935,289.0718,289.0718,461800
2016-09-21,290.6132,293.4429,289.5619,292.7552,488100
2016-09-22,295.3715,297.1659,294.2807,295.5217,556900
2016-09-23,294.1149,295.0397,288.9454,289.0244,549700
2016-09-26,286.9297,288.1628,284.4794,285.1117,487000
2016-09-27,283.7678,286.6213,283.2066,285.9732,496200
