date,open,high,low,close,volume
2016-04-22,49.6842,50.2642,49.6842,49.9884,5804000
2016-04-25,49.9388,50.0944,49.5357,49.953,4231400
2016-04-26,49.96,50.2642,49.5993,50.1156,4608400
2016-04-27,50.1157,50.2147,48.5243,49.6701,7572200
2016-04-28,50.7663,51.6716,49.1538,51.1058,13740700
2016-04-29,50.9644,51.4099,50.4764,51.0492,9503400
2016-05-02,51.0563,51.1624,50.5612,50.8936,7739100
2016-05-03,50.8865,50.9431,50.0378,50.3066,5758700
2016-05-04,49.8045,50.1793,49.6064,50.0591,6835200
2016-05-05,49.9035,50.349,49.5357,50.3208,6368300
2016-05-06,50.2147,50.5683,49.4225,50.3703,4770100
2016-05-09,50.4551,50.9078,50.4198,50.4551,5283500
2016-05-10,50.7451,50.7451,50.1086,50.5895,5758800
2016-05-11,50.441,50.5824,49.9318,50.0803,5356500
2016-05-12,50.243,50.4905,49.9247,50.4127,4922600
2016-05-13,50.4056,50.8512,50.2147,50.342,3935200
2016-05-16,50.5117,51.6362,50.2288,51.5089,5030700
2016-05-17,51.0846,51.6079,50.1439,50.3632,10779600
2016-05-18,50.151,50.7805,49.9601,50.2783,5071000
2016-05-19,49.953,50.2147,49.1962,49.7408,5425000
2016-05-20,49.8964,50.3278,49.7337,50.052,5164000
2016-05-23,50.1652,50.2147,49.2316,49.7903,5905300
2016-05-24,50.1722,50.5259,50.0944,50.3773,3878800
2016-05-25,50.4269,50.6178,49.8893,49.9954,5810100
2016-05-26,49.8893,50.2005,49.7125,50.0237,3995000
2016-05-27,50.1722,50.5966,50.0096,50.4339,3630900
2016-05-31,50.4693,50.837,50.1722,50.7097,7162500
2016-06-01,50.7168,50.9997,50.4976,50.83,3726000
2016-06-02,50.8653,51.6292,50.7734,51.6292,4610800
2016-06-03,51.4594,51.8908,51.1553,51.5514,5039500
2016-06-06,51.9262,53.1285,51.9191,52.5415,9599500
2016-06-07,52.5062,52.7961,52.1172,52.2728,5037500
