date,open,high,low,close,volume
2016-04-18,85.8176,86.3549,85.1475,86.2488,700900
2016-04-19,86.4412,87.0117,86.0365,86.9984,433600
2016-04-20,87.0581,87.1245,85.2404,85.3665,430400
2016-04-21,85.3664,86.0697,84.5438,84.849,661900
2016-04-22,85.2404,85.8839,84.8556,85.8441,416100
2016-04-25,85.3134,86.3483,84.9949,86.2421,564000
2016-04-26,86.7662,87.0647,86.0298,86.607,585300
2016-04-27,86.4412,87.2903,85.5257,86.6402,613100
2016-04-28,86.4146,87.005,85.6915,86.0099,466500
2016-04-29,85.5721,86.0299,84.9419,85.4859,821400
2016-05-02,85.9502,87.2041,85.4063,86.9785,459800
2016-05-03,86.4345,86.9453,85.6517,86.2023,492100
2016-05-04,85.5522,86.9188,85.1608,86.6269,805900
2016-05-05,86.5738,86.9984,86.1758,86.8127,596100
2016-05-06,86.7596,87.0979,85.9303,86.8392,922700
2016-05-09,87.0515,87.7812,86.806,87.7481,760100
2016-05-10,88.1992,88.6237,87.8078,88.3186,850400
2016-05-11,88.2323,88.2323,86.4942,86.8392,968000
2016-05-12,86.9851,87.3036,86.3151,87.1576,606100
2016-05-13,86.8856,86.8856,85.8574,86.282,635100
2016-05-16,86.335,86.9188,85.9104,86.7795,462100
2016-05-17,86.4876,86.9653,85.937,86.5009,922700
2016-05-18,86.1758,86.7198,83.4293,84.4178,1555400
2016-05-19,83.217,83.7013,81.8968,82.0693,1193600
2016-05-20,82.7327,83.0445,82.0561,82.5204,1094600
2016-05-23,82.7261,82.9251,82.0959,82.5536,712400
2016-05-24,83.2104,84.305,82.7792,83.4957,767700
2016-05-25,83.6747,83.6747,82.4342,83.0976,863000
2016-05-26,83.0976,83.1706,82.5735,82.7924,632300
2016-05-27,82.9649,83.7676,82.6996,83.1971,573100
2016-05-31,83.5222,84.0264,82.9782,83.3431,948500
2016-06-01,83.0578,84.378,82.8654,84.3249,732100
2016-06-02,84.0927,84.5239,83.4824,84.4244,624700
2016-06-03,84.8689,85.3532,84.1723,84.7694,737000
2016-06-06,84.6964,84.9153,83.7079,84.2917,761900
2016-06-07,84.431,85.1873,84.431,84.8424,378000
2016-06-08,84.7694,85.1011,84.6632,84.9618,480900
2016-06-09,84.2851,85.7512,84.2851,85.5655,457200
2016-06-10,85.0546,85.6451,84.6367,85.0679,638600
2016-06-13,85.2537,85.9768,84.1524,84.3316,992000
2016-06-14,84.2387,84.6235,83.2768,83.7345,747300
2016-06-15,83.8141,84.7959,83.5156,84.0463,731400
2016-06-16,83.7013,84.0861,83.2104,83.96,839700
2016-06-17,83.7478,84.2918,83.1972,84.0463,910000
2016-06-20,84.6898,85.4593,84.0728,84.1524,913100
2016-06-21,84.6367,85.2006,84.3315,84.6433,537500
2016-06-22,84.9219,85.9038,84.6831,85.0281,795000
2016-06-23,85.6849,86.2488,85.5257,86.2289,489300
2016-06-24,84.2121,85.8109,83.6482,84.9352,2652300
2016-06-27,84.3448,84.5505,83.0313,83.9202,1168600
2016-06-28,84.5337,85.9941,84.3603,85.974,986000
2016-06-29,86.4808,87.6878,86.4808,87.6878,969400
2016-06-30,87.7745,88.0146,86.8209,87.9545,818500
2016-07-01,88.0812,88.7147,87.8945,88.0412,462000
2016-07-05,87.9612,89.1015,87.8745,89.0015,883300
2016-07-06,88.728,89.0014,87.6211,87.6745,968700
2016-07-07,87.5478,87.5478,86.3475,86.7076,803400
2016-07-08,87.3344,89.0948,87.1277,88.9015,658000
2016-07-11,89.3549,89.895,88.5213,89.7083,460200
2016-07-12,89.6483,90.7753,89.2349,90.6686,894500
2016-07-13,91.042,91.122,90.3885,91.0953,544400
2016-07-14,91.0419,91.4421,90.4418,90.5952,439600
2016-07-15,90.7152,90.8352,89.8283,90.7219,571600
2016-07-18,90.8953,91.0953,90.0884,91.042,484000
2016-07-19,91.0353,91.7621,90.6952,91.6554,618100
2016-07-20,91.6488,91.6488,91.102,91.4554,486200
2016-07-21,91.142,91.7488,90.9219,91.7288,356600
2016-07-22,91.7021,92.9357,91.282,92.6357,503900
2016-07-25,92.5823,92.7624,92.0222,92.7357,429600
2016-07-26,93.0024,93.0024,91.6955,92.589,559200
2016-07-27,92.5957,92.9024,91.6021,92.4556,747200
2016-07-28,92.5157,93.6959,92.3956,92.9824,624800
2016-07-29,92.8024,95.1096,92.8024,94.7762,834000
2016-08-01,94.7762,95.2563,94.5628,95.0029,619500
2016-08-02,92.9157,95.3096,92.9157,93.7826,680600
2016-08-03,93.7293,94.0827,93.0624,93.6292,623900
2016-08-04,93.816,94.1027,93.0291,93.936,585800
2016-08-05,94.1627,94.9695,93.9493,94.7628,835400
2016-08-08,94.6895,95.3363,94.2694,95.223,640800
2016-08-09,94.8095,95.6697,94.7228,95.623,516300
2016-08-10,95.7697,96.0365,95.2296,95.6164,610200
2016-08-11,95.6697,95.7631,94.3227,94.9229,455000
2016-08-12,95.0029,95.9831,95.0029,95.2363,317200
2016-08-15,95.5297,95.9565,95.4097,95.7631,620700
2016-08-16,95.2896,95.2896,94.4895,94.9229,429300
2016-08-17,94.8962,95.3097,94.056,95.2763,558200
2016-08-18,95.323,95.5897,94.5295,94.9362,639600
2016-08-19,94.4761,94.6695,93.756,94.2561,764800
2016-08-22,94.3361,94.8829,94.016,94.6028,468800
2016-08-23,94.9696,95.1229,94.2427,94.2561,518100
