date,open,high,low,close,volume
2016-04-18,33.0495,33.6671,32.8933,33.5629,22929900
2016-04-19,33.7935,34.173,33.6522,33.9498,18833300
2016-04-20,34.0316,34.7831,34.0242,34.7757,21645700
2016-04-21,34.8129,34.9319,34.3962,34.6715,21538600
2016-04-22,34.7385,35.2295,34.6864,34.9468,17425900
2016-04-25,34.6938,34.917,34.3292,34.7384,13480500
2016-04-26,34.7533,35.0881,34.5376,35.0435,15573600
2016-04-27,34.8872,35.5941,34.8128,35.2146,19444700
2016-04-28,34.8497,35.4008,34.6709,34.805,18399500
2016-04-29,34.6486,34.9018,34.306,34.4698,23922700
2016-05-02,34.6635,34.8795,34.1868,34.7677,13802500
2016-05-03,34.09,34.1347,33.5016,33.941,21186200
2016-05-04,33.4271,33.5314,32.8983,33.2632,24310500
2016-05-05,33.3526,33.576,32.8908,32.943,14912000
2016-05-06,32.6301,33.0845,32.5631,33.077,17632500
2016-05-09,33.0025,33.226,32.511,32.6897,14251900
2016-05-10,33.0249,33.442,32.8536,33.3973,13608900
2016-05-11,33.2632,33.7995,33.1143,33.1217,15997900
2016-05-12,33.3973,33.6431,32.6003,32.7716,15551500
2016-05-13,32.7567,33.1962,32.0268,32.1088,19433500
2016-05-16,32.1088,32.3992,31.9821,32.1386,17158400
2016-05-17,32.079,32.6897,31.8853,32.5482,19943000
2016-05-18,32.5854,34.3655,32.5854,34.1644,37645200
2016-05-19,33.9633,34.306,33.2409,33.5611,23036100
2016-05-20,33.8293,34.0378,33.36,33.442,19610200
2016-05-23,33.4047,33.6505,33.1962,33.5984,15050500
2016-05-24,33.8516,34.4028,33.7473,34.157,18976500
2016-05-25,34.4028,35.453,34.4028,34.9614,23944600
2016-05-26,35.0359,35.0954,34.3134,34.3432,16956600
2016-05-27,34.44,34.7603,34.3208,34.6932,13854500
2016-05-31,34.9167,34.9316,34.4922,34.6858,21404000
2016-06-01,34.291,34.9986,33.874,34.9614,17212500
2016-06-02,34.9018,35.0508,34.7082,34.9837,15483800
2016-06-03,33.5984,33.9633,32.9578,33.8069,36961500
2016-06-06,33.8069,34.4549,33.6729,34.0676,17321400
2016-06-07,34.2911,34.3357,33.8963,33.9186,12089800
2016-06-08,33.874,34.1868,33.7399,33.9335,13147300
2016-06-09,33.6505,33.6729,33.2558,33.5239,17069000
2016-06-10,32.9727,33.0696,32.5333,32.6972,23071100
2016-06-13,32.1982,32.8163,32.1386,32.146,20612100
2016-06-14,32.0566,32.429,30.9245,31.2522,27621300
2016-06-15,31.5055,31.9449,31.2597,31.2895,21934200
2016-06-16,30.9915,31.4161,30.6489,31.3714,19904800
2016-06-17,31.6097,31.9821,31.3937,31.6395,25113400
2016-06-20,32.3695,32.8089,31.863,31.8779,20244000
2016-06-21,32.1534,32.1832,31.6321,31.9672,14714900
2016-06-22,31.93,32.3471,31.7587,31.7885,18087600
2016-06-23,32.4067,33.1441,32.3769,33.1143,25703000
2016-06-24,30.2616,30.8277,29.9861,30.0158,71849800
2016-06-27,29.4796,29.5243,28.5337,28.6603,53380200
2016-06-28,29.6509,30.2616,29.1966,30.1201,38605600
2016-06-29,30.6415,31.4235,30.4627,31.3714,34004100
2016-06-30,31.7885,31.8779,31.0437,31.5725,34485400
2016-07-01,31.5055,31.7959,31.2597,31.4086,19399600
2016-07-05,30.8202,30.9096,30.1052,30.3734,25571100
2016-07-06,29.9041,30.5968,29.8147,30.5819,27713900
2016-07-07,30.783,31.3267,30.6042,30.7532,24585500
2016-07-08,31.1331,31.4831,31.0065,31.2671,29468600
2016-07-11,31.5725,31.8406,31.498,31.498,19752600
2016-07-12,31.8928,32.3843,31.8481,32.3545,23803600
2016-07-13,32.2726,32.5333,32.0417,32.2726,20488200
2016-07-14,33.0547,33.3452,32.861,33.1068,37093600
2016-07-15,33.1068,33.5388,32.6599,33.0174,29198800
2016-07-18,32.9802,33.442,32.9504,33.1962,18683900
2016-07-19,32.9132,33.2856,32.8163,33.0323,15297300
2016-07-20,33.1664,33.293,32.9206,33.1217,16547100
2016-07-21,33.144,33.293,32.8536,32.8685,14924900
2016-07-22,32.8461,33.0398,32.645,32.9951,12764200
2016-07-25,33.0025,33.0398,32.7046,32.8014,14391400
2016-07-26,32.7195,32.9504,32.6972,32.8834,16152500
2016-07-27,32.9206,33.3005,32.8685,32.9876,17814200
2016-07-28,32.8905,33.0175,32.6513,32.9503,13239600
2016-07-29,32.7933,33.0101,32.7111,32.7484,13773700
2016-08-01,32.8307,32.9054,32.3224,32.4569,14794400
2016-08-02,32.3149,32.6139,31.7692,32.1355,20089100
2016-08-03,32.0906,32.8456,32.0383,32.8082,14708300
2016-08-04,32.6961,32.9204,32.6363,32.7709,11747900
2016-08-05,33.3614,34.1837,33.2717,34.1762,28566800
2016-08-08,34.2584,34.5051,33.9968,34.3556,16861600
2016-08-09,34.3481,34.4677,34.1388,34.3107,12203800
2016-08-10,34.236,34.3107,33.9295,33.9744,16566700
2016-08-11,34.0192,34.3182,33.8548,34.1837,14819400
2016-08-12,33.9444,34.0865,33.8024,34.0715,12472900
2016-08-15,34.2509,34.7592,34.2509,34.677,12252700
