date,open,high,low,close,volume
2016-04-22,24.0283,24.1364,23.7636,24.0878,2708266
2016-04-25,23.9797,24.1796,23.8986,24.0716,2557150
2016-04-26,24.0824,24.3471,24.0337,24.0986,3301936
2016-04-27,24.1203,24.4626,24.0605,24.3866,2837537
2016-04-28,24.1964,24.43,24.1692,24.2833,2733709
2016-04-29,24.1909,24.3594,24.0388,24.2127,2381876
2016-05-02,24.2453,24.6093,24.2236,24.3974,2686678
2016-05-03,24.267,24.3214,23.9953,24.0877,2603153
2016-05-04,24.0008,24.4518,23.9573,24.3322,2455635
2016-05-05,24.2942,24.5061,24.1855,24.3866,2159314
2016-05-06,24.3866,24.4844,23.9464,24.4463,2009483
2016-05-09,24.4952,24.9028,24.4626,24.8213,2967194
2016-05-10,24.9082,25.1853,24.7778,25.1799,3307205
2016-05-11,25.1527,25.2723,24.8376,24.9028,2257488
2016-05-12,25.0169,25.3429,25.006,25.2288,2561648
2016-05-13,25.1908,25.256,24.7561,24.9299,2333560
2016-05-16,24.9299,24.9625,24.7669,24.8321,2695416
2016-05-17,24.718,24.8104,24.1312,24.2725,3538376
2016-05-18,24.1909,24.4192,23.8812,24.2996,3204919
2016-05-19,24.2398,24.3322,24.0279,24.2996,1940992
2016-05-20,24.3431,24.4083,24.0171,24.1149,2916179
2016-05-23,24.0714,24.2562,24.0062,24.0931,3054702
2016-05-24,24.1312,24.2779,24.0388,24.229,3674715
2016-05-25,24.2072,24.3703,24.1855,24.2996,1953328
2016-05-26,24.3594,24.7234,24.3105,24.6963,2693103
2016-05-27,24.6963,24.805,24.5115,24.6093,1677054
2016-05-31,24.9245,25.1582,24.7724,24.8321,6052864
2016-06-01,24.8158,24.9462,24.6202,24.8321,3341514
2016-06-02,24.7941,25.1093,24.7452,25.093,3112270
2016-06-03,25.0495,25.419,25.0006,25.2723,3505609
2016-06-06,25.2342,25.3483,25.0603,25.1581,2528752
2016-06-07,25.1962,25.4298,25.1527,25.3538,3138998
2016-06-08,25.3375,25.5005,25.2723,25.3972,2563061
2016-06-09,25.3755,25.6309,25.3103,25.62,2441629
2016-06-10,25.5113,25.6526,25.3809,25.5113,1718688
2016-06-13,25.4461,25.6309,25.2125,25.2505,2641189
2016-06-14,25.256,25.3755,25.0332,25.332,2426980
2016-06-15,25.3538,25.4244,25.1962,25.2614,2478894
2016-06-16,25.2397,25.5765,25.1853,25.5602,2756968
2016-06-17,25.5168,25.5331,25.2016,25.4679,4638208
2016-06-20,25.6418,25.87,25.5765,25.582,3021421
2016-06-21,25.6472,25.8482,25.6472,25.7885,2832783
2016-06-22,25.8754,26.0004,25.6635,25.7559,3499184
2016-06-23,25.9678,26.0493,25.7613,26.033,4410763
2016-06-24,25.5765,25.7885,25.3483,25.5113,10813404
2016-06-27,25.3755,25.5928,25.207,25.5168,5703216
2016-06-28,25.5874,25.6961,25.3809,25.5928,4279179
2016-06-29,25.5059,25.8645,25.3755,25.8645,8824609
2016-06-30,25.4407,26.1145,25.0495,25.9786,7637140
2016-07-01,26.033,26.522,25.9841,26.2938,5119183
2016-07-05,26.1797,26.2884,25.9297,25.9352,5318101
2016-07-06,25.8537,25.9515,25.7939,25.8102,6102337
2016-07-07,25.9189,26.2286,25.8917,25.9352,5234833
2016-07-08,26.0167,26.2721,26.0167,26.2449,3939296
2016-07-11,26.2123,26.2395,26.0656,26.1416,3944950
2016-07-12,26.1634,26.196,25.8971,25.9297,2802585
2016-07-13,25.8917,26.2014,25.8156,26.1797,2628596
2016-07-14,26.1797,26.2775,26.0928,26.1362,2290898
2016-07-15,26.1851,26.2395,25.9949,26.071,3077832
2016-07-18,26.1036,26.2177,26.0601,26.1145,2056771
2016-07-19,25.9515,26.1254,25.8754,25.9569,3534907
2016-07-20,26.0112,26.0112,25.7559,25.7776,3506765
2016-07-21,25.8102,25.8102,25.4787,25.5385,2324051
2016-07-22,25.5548,25.745,25.5113,25.7124,3044422
2016-07-25,25.6635,25.783,25.6418,25.7396,1982626
2016-07-26,25.7504,25.8645,25.332,25.3483,3114840
2016-07-27,25.3756,25.4248,25.1025,25.1189,5201809
2016-07-28,25.0588,25.4084,25.0205,25.3538,3720718
2016-07-29,25.3429,25.698,25.3101,25.545,3049048
2016-08-01,25.5122,25.6816,25.4685,25.6269,3261587
2016-08-02,25.8181,25.8181,25.4849,25.5341,4001104
2016-08-03,25.5341,25.7417,25.4084,25.6433,4675473
2016-08-04,25.6433,25.8072,25.5013,25.5723,2148906
2016-08-05,25.6761,25.7581,25.2828,25.2992,4489533
2016-08-08,25.3647,25.5887,25.3156,25.4849,2900888
2016-08-09,25.3101,25.5286,25.2882,25.4904,2282160
2016-08-10,25.5341,25.5341,25.2828,25.3265,2844348
2016-08-11,25.3756,25.4194,25.1681,25.2118,2922476
2016-08-12,25.2664,25.4794,25.168,25.4467,2572185
2016-08-15,25.4194,25.4467,25.2773,25.2828,1686948
2016-08-16,25.1517,25.179,25.0151,25.0205,2038524
2016-08-17,25.0096,25.3046,24.873,25.2992,4324539
2016-08-18,25.2664,25.6379,25.1571,25.5996,2659565
2016-08-19,25.5177,25.6706,25.4084,25.6433,2018221
2016-08-22,25.6324,25.7581,25.5122,25.7034,2022204
2016-08-23,25.7034,25.7034,25.2227,25.2664,3205433
2016-08-24,25.321,25.3374,25.1244,25.2555,3591704
2016-08-25,25.2882,25.3593,25.1462,25.168,1924416
2016-08-26,25.2336,25.4412,25.0916,25.1517,2074632
2016-08-29,25.2281,25.4958,25.2118,25.4412,1841148
2016-08-30,25.4084,25.4084,25.2063,25.3101,3398568
2016-08-31,25.3319,25.5177,25.2063,25.4631,3353979
2016-09-01,25.3538,25.4576,25.0042,25.1407,3234988
2016-09-02,25.2227,25.5505,25.2008,25.4794,2012053
2016-09-06,25.4467,25.5122,25.2281,25.3538,2068593
2016-09-07,25.2882,25.3483,24.9714,25.0424,2484162
2016-09-08,24.9222,24.9277,24.5125,24.518,5670448
2016-09-09,24.3267,24.3267,23.6657,23.6657,6298171
2016-09-12,23.7204,24.3377,23.6767,24.2885,4817851
2016-09-13,24.1902,24.2667,23.988,24.0317,2751185
2016-09-14,24.0645,24.0754,23.8624,23.9389,2577710
2016-09-15,23.8078,23.9607,23.7149,23.8515,2795903
2016-09-16,23.8078,23.8132,23.5291,23.6275,6293673
2016-09-19,23.6657,23.7094,23.4909,23.6002,3827244
2016-09-20,23.7313,23.7313,23.3052,23.327,7259993
2016-09-21,23.3216,23.6657,23.2232,23.6275,4520759
2016-09-22,23.7695,23.8733,23.6493,23.8132,3921691
2016-09-23,23.7367,23.9061,23.6821,23.7914,4447128
2016-09-26,23.6985,23.7859,23.5018,23.5128,4267357
2016-09-27,23.6056,23.7805,23.5237,23.622,3615476
2016-09-28,23.5838,23.6493,23.4472,23.5619,3676514
2016-09-29,24.7419,25.5177,24.5453,25.2664,13067422
2016-09-30,25.4412,25.8728,25.403,25.7362,7648063
2016-10-03,25.5887,26.1678,25.5723,25.9657,5708998
2016-10-04,25.9657,26.1623,25.8619,25.9438,5136402
2016-10-05,25.9219,26.0312,25.7417,25.7581,5188316
2016-10-06,25.6543,25.8127,25.6051,25.7417,2985955
2016-10-07,25.7854,25.7963,25.4631,25.5832,3765435
2016-10-10,25.6925,25.9438,25.6761,25.8837,2361573
2016-10-11,25.8837,25.9493,25.5996,25.6652,2972334
2016-10-12,25.6925,25.8782,25.687,25.7963,2845761
2016-10-13,25.6706,25.7034,25.3975,25.6324,2495856
2016-10-14,26.0367,26.1131,25.8455,25.9766,4151835
2016-10-17,25.9984,26.0312,25.9056,25.9493,2524768
2016-10-18,26.1623,26.6649,26.0257,26.43,5399699
2016-10-19,26.4409,26.5447,25.9165,26.1405,4683054
2016-10-20,26.1241,26.1514,25.7963,25.9383,3549042
2016-10-21,25.8291,26.5393,25.6761,26.2279,6091671
2016-10-24,26.3317,26.3808,26.0257,26.0531,2519757
2016-10-25,26.0804,26.2443,26.0476,26.135,2176533
2016-10-26,26.1459,26.288,26.0585,26.2497,2838180
2016-10-27,26.2113,26.2882,26.041,26.063,2255175
2016-10-28,26.063,26.4968,26.063,26.409,3031958
2016-10-31,26.376,26.5902,26.3541,26.4584,2884697
2016-11-01,26.4474,26.4749,26.052,26.1344,3213657
2016-11-02,26.1619,26.2882,26.0301,26.1564,2849231
2016-11-03,26.2278,26.2937,25.7939,25.8543,3014610
2016-11-04,25.8708,25.9806,25.5633,25.5688,2323023
2016-11-07,25.8104,26.4035,25.8104,26.3925,3398183
2016-11-08,26.3211,26.8318,26.3211,26.733,5281479
2016-11-09,25.9916,26.3266,25.6621,26.2717,3905243
2016-11-10,26.0603,26.3708,23.8022,24.2044,12061900
2016-11-11,24.1479,24.7478,23.7175,24.649,9027900
2016-11-14,24.6278,25.2558,24.5713,25.0441,7192000
2016-11-15,25.0794,25.404,25.0371,25.277,4426100
2016-11-16,25.3052,25.6651,25.3052,25.5946,4167700
2016-11-17,25.5593,25.7992,25.3546,25.771,3200200
2016-11-18,25.7498,25.9827,25.6581,25.9685,5240400
2016-11-21,25.9686,26.2438,25.8415,26.1379,4294200
2016-11-22,26.2297,26.5825,26.2155,26.4978,3594300
2016-11-23,26.4202,26.5895,26.1591,26.2296,3240500
2016-11-25,26.2579,26.6178,26.2579,26.6107,1466100
2016-11-28,26.6107,26.773,26.4343,26.5754,2547000
2016-11-29,26.6037,26.7801,26.5049,26.6178,3840200
2016-11-30,26.3496,26.5119,25.8698,25.8909,4139500
2016-12-01,25.6722,25.8345,25.3758,25.7357,3842100
2016-12-02,25.8839,26.2014,25.8204,26.0321,2923900
2016-12-05,26.0532,26.3073,25.9756,26.2155,2891900
2016-12-06,26.2579,26.5825,26.145,26.5472,3352800
2016-12-07,26.4978,26.8224,26.4555,26.6672,3669300
2016-12-08,26.5119,26.8154,26.5119,26.5895,2318800
2016-12-09,26.6531,27.2035,26.4202,27.1259,4500200
2016-12-12,27.1117,27.3376,26.9071,27.2529,2264700
2016-12-13,27.267,27.4716,27.0624,27.1047,2897000
2016-12-14,27.1611,27.267,26.519,26.6319,4613600
