date,open,high,low,close,volume
2020-03-19,11.0972,11.0972,11.0972,11.0972,100
2020-03-20,12.022,12.022,11.0972,11.7908,2300
2020-03-23,11.7908,11.7908,10.6348,10.6718,18700
2020-03-24,11.9295,11.9295,10.6348,10.8198,96100
2020-03-25,10.9123,12.4381,10.9123,12.4381,19200
2020-03-26,12.9468,14.2877,12.9468,14.2877,76400
2020-03-27,13.8715,14.7963,13.4554,13.4554,486500
2020-03-30,14.1027,15.2587,14.1027,14.7038,210000
2020-03-31,15.1569,15.9522,13.4646,15.9522,461500
2020-04-01,14.7963,14.7963,13.4646,13.9178,2998900
2020-04-02,14.4819,14.7038,11.2082,12.2809,15966300
2020-04-03,12.7156,15.7211,12.3734,15.6471,66934300
2020-04-06,15.7765,15.8598,13.7328,14.2784,37138000
2020-04-07,14.0565,14.6113,13.4554,14.1027,23486000
2020-04-08,13.4091,14.1027,12.6971,13.1872,49372700
2020-04-09,12.9468,14.3339,12.8543,13.6681,34992600
2020-04-13,13.4091,13.4091,12.9283,12.9375,21497400
2020-04-14,12.9468,13.1317,12.7433,12.8265,22350000
2020-04-15,12.5121,12.6277,11.9665,12.3549,14990700
2020-04-16,12.1607,12.2532,11.3377,11.9203,21745200
2020-04-17,12.2994,12.7895,11.9573,12.7063,21336500
2020-04-20,12.4844,13.6311,12.4613,13.3629,20032200
2020-04-21,13.1502,14.1027,13.1132,13.5848,16235900
2020-04-22,13.8253,14.0195,13.1502,13.6773,12539500
2020-04-23,13.5941,14.7223,13.5109,14.5374,12226000
2020-04-24,14.4264,15.4159,14.1397,15.0275,17390000
2020-04-27,14.9535,15.5454,14.7732,15.5361,12186100
2020-04-28,15.6101,16.4146,15.3604,15.7211,12983800
2020-04-29,16.1464,16.7198,15.8783,16.3129,12523200
2020-04-30,15.9245,16.4979,15.7072,16.3776,19094100
2020-05-01,16.0262,16.0447,15.3696,15.5084,10727200
2020-05-04,14.935,15.2772,14.5096,15.1662,9700300
2020-05-05,15.4251,15.4991,14.6483,14.7685,16298000
2020-05-06,14.7963,15.1385,14.2692,15.0645,10647200
2020-05-07,14.9905,15.758,14.6853,15.1754,12454100
2020-05-08,15.758,17.0157,15.6609,16.9787,17693300
2020-05-11,17.0435,17.3394,16.6643,16.9695,9574600
2020-05-12,17.0065,17.0157,16.3591,16.4609,7743200
2020-05-13,15.9153,16.1252,14.8888,15.2032,10676300
2020-05-14,14.8148,15.4575,14.5374,15.3049,7797200
2020-05-15,15.0737,15.6887,14.7963,15.4529,7353800
2020-05-18,15.9985,16.3869,15.9892,16.2297,6135000
2020-05-19,16.128,16.5718,15.8598,16.4331,8338100
2020-05-20,16.7938,17.6168,16.6828,17.3209,11910000
2020-05-21,17.1452,18.0515,17.1082,17.9867,9711500
2020-05-22,18.0052,18.3659,17.5244,17.6168,5937100
2020-05-26,18.1347,19.0502,17.885,18.0422,7305400
2020-05-27,18.0977,18.6156,17.9682,18.4861,8969700
2020-05-28,18.5693,18.9208,18.0376,18.1255,8509200
2020-05-29,17.5336,19.4016,17.4596,18.93,32990600
2020-06-01,19.004,20.2987,19.004,20.1784,7695700
2020-06-02,20.0582,20.1868,19.3323,19.753,8295600
2020-06-03,19.8548,20.8813,19.7715,20.5484,9636300
2020-06-04,20.3726,21.3806,20.3726,20.9737,6651900
2020-06-05,21.769,22.5643,21.6211,21.7875,7843600
2020-06-08,21.8523,22.5458,21.5563,22.5366,8570400
2020-06-09,21.954,22.1574,21.4639,21.4639,6850000
2020-06-10,20.6316,21.4084,20.3819,20.5299,10262100
2020-06-11,18.6433,20.1599,18.4954,19.4756,6834800
2020-06-12,20.3449,20.6316,19.4386,19.9195,5212800
2020-06-15,19.1612,20.8443,19.078,20.3172,7735600
2020-06-16,21.2327,21.2512,20.2755,20.4096,7287800
2020-06-17,20.5021,20.6593,19.4941,19.6606,5737700
2020-06-18,19.4201,20.2432,19.4201,19.6513,3618900
2020-06-19,20.123,20.2062,19.4201,19.8363,14451100
2020-06-22,19.901,21.1078,19.7068,21.0292,5995500
2020-06-23,21.3806,21.4916,20.6408,20.7056,5961200
2020-06-24,20.4374,20.9552,19.8363,20.1784,6825600
2020-06-25,20.0671,20.2991,19.5241,19.9742,6141000
2020-06-26,19.9742,20.1784,19.112,19.4637,21346900
2020-06-29,19.5658,20.856,19.4916,20.5311,8086000
2020-06-30,20.2434,20.8003,19.8721,20.624,7082500
2020-07-01,20.7168,21.3572,20.2991,20.9859,9181500
2020-07-02,21.3387,21.5521,20.9488,21.2644,5667400
2020-07-06,21.4686,22.5453,21.4686,22.471,7145200
2020-07-07,22.0533,22.4432,22.0199,22.2854,4671900
2020-07-08,22.1647,22.3596,21.7749,22.2668,4692100
2020-07-09,22.2761,22.4803,22.0533,22.1926,5470300
2020-07-10,22.1276,24.1881,22.0162,23.1022,12262400
2020-07-13,23.3342,23.3992,21.5893,22.536,8562400
2020-07-14,22.5546,23.3528,22.4896,23.3435,7218300
2020-07-15,23.7426,24.6615,23.7055,24.5501,5798700
2020-07-16,24.2438,25.0513,24.0582,24.6986,4863400
2020-07-17,24.9585,24.9678,24.4387,24.578,3187100
2020-07-20,24.3366,24.6337,24.1928,24.513,2442800
2020-07-21,24.4016,24.875,24.281,24.6615,4952700
2020-07-22,24.448,25.1163,24.4295,24.6894,3503900
2020-07-23,24.745,25.6454,24.6151,25.3855,6245400
2020-07-24,25.2927,25.3019,24.6337,24.6708,8293000
2020-07-27,24.5965,24.8564,24.2067,24.3645,5734900
2020-07-28,24.1974,24.5037,23.9932,24.1974,9895100
2020-07-29,24.2346,25.7289,24.2346,25.2277,12657500
2020-07-30,23.9932,25.5247,23.7612,24.9678,6742900
2020-07-31,24.9214,25.3901,24.7172,25.2834,9261300
2020-08-03,25.2834,25.8867,25.0699,25.6361,4115900
2020-08-04,25.4319,25.8681,25.2091,25.7753,4382200
2020-08-05,25.6732,26.1512,25.6732,26.0909,4177300
2020-08-06,26.0074,26.49,25.9331,26.2394,3648700
2020-08-07,26.6571,26.9448,26.3972,26.8891,3477900
2020-08-10,26.9355,27.446,26.8334,27.3439,3516900
2020-08-11,27.9936,28.1421,27.3254,27.3718,5113800
2020-08-12,27.7245,28.0215,27.4924,27.6502,3523800
2020-08-13,27.7523,28.105,27.2604,27.4182,3643800
2020-08-14,27.576,27.8897,27.1768,27.3996,5008300
2020-08-17,27.381,28.0168,27.0497,27.6966,4588200
2020-08-18,27.5852,27.8915,27.2604,27.3439,3412900
2020-08-19,27.4182,27.5574,27.0283,27.149,3864000
2020-08-20,26.9355,27.2975,26.6849,26.9262,3166800
2020-08-21,27.0655,27.6781,26.9959,27.3996,3112600
2020-08-24,27.6224,28.2535,27.6038,28.1978,3117300
2020-08-25,28.3092,28.5923,28.2257,28.2814,3233600
2020-08-26,28.3185,28.9961,28.2257,28.8011,3316600
2020-08-27,28.8383,28.9961,27.9936,28.105,4144700
2020-08-28,28.1978,28.286,27.8034,28.1236,3689900
2020-08-31,28.0215,28.2721,27.6873,27.7059,3572700
2020-09-01,27.5296,28.1793,27.0748,28.1236,2778500
2020-09-02,28.0493,28.7269,27.6966,28.5691,3445400
2020-09-03,28.3092,28.4856,26.8798,27.2233,5049400
2020-09-04,27.3161,27.9333,26.7592,27.8451,4277400
2020-09-08,27.2418,28.0772,27.1026,27.446,4733300
2020-09-09,27.7802,28.1654,27.4275,27.9658,4782000
2020-09-10,27.7523,27.8544,26.5271,27.0469,9090300
2020-09-11,27.0748,27.5156,26.9262,27.1397,4547300
2020-09-14,27.2882,27.3254,26.7592,27.0562,4299400
2020-09-15,27.3625,27.8823,27.1963,27.5574,4052100
2020-09-16,27.9936,28.3417,27.4043,28.0772,4884300
2020-09-17,27.6317,28.4902,27.2604,28.4577,4735100
2020-09-18,28.3092,28.9589,28.3092,28.5784,8061000
2020-09-21,28.1143,28.5598,27.1212,27.3903,4516900
2020-09-22,27.3903,28.1514,27.3718,28.0865,4719700
2020-09-23,28.2164,28.235,27.0098,27.0191,3348800
2020-09-24,27.0283,27.8173,26.722,27.7338,4269300
2020-09-25,27.2882,28.3092,27.2418,28.2999,2845700
2020-09-28,28.5413,29.2931,28.2442,28.532,7027600
2020-09-29,28.3185,28.4856,27.9194,28.3092,6851300
2020-09-30,28.4113,28.9961,28.17,28.3463,5066600
2020-10-01,28.5134,28.829,28.3556,28.5598,3730300
2020-10-02,28.1607,29.2559,28.0865,28.9868,2483100
2020-10-05,29.3673,30.1377,29.3673,29.7757,5088600
2020-10-06,30.0171,30.0635,29.191,29.2467,2439400
2020-10-07,29.6365,29.9706,29.5994,29.8129,2209700
2020-10-08,29.9892,30.1349,29.3581,29.6551,2276400
2020-10-09,29.6179,30.212,29.4323,29.915,2700800
2020-10-12,30.2491,30.7782,29.8871,30.6296,3302600
