date,open,high,low,close,volume
2016-04-21,105.1742,105.7603,103.6856,104.7276,500700
2016-04-22,104.402,104.6066,101.797,102.5692,464700
2016-04-25,103.0437,105.2858,102.6157,104.6067,287000
2016-04-26,105.0067,105.2672,103.6298,104.2996,277600
2016-04-27,104.3554,105.0532,103.5367,104.7555,220900
2016-04-28,105.1657,105.3894,103.7581,103.9725,310200
2016-04-29,103.8234,104.6157,101.6048,104.4013,398900
2016-05-02,104.2521,106.8622,104.2521,106.7037,450200
2016-05-03,105.8834,106.7596,104.1123,105.7249,407600
2016-05-04,105.3148,106.2004,104.7182,106.0885,352700
2016-05-05,105.6784,106.3682,103.1243,104.5132,411000
2016-05-06,104.4386,104.7555,102.3692,103.9538,380100
2016-05-09,104.392,109.3603,104.2615,109.2951,462100
2016-05-10,109.7984,110.1713,108.0553,110.162,427300
2016-05-11,109.146,110.0035,106.6012,106.713,248000
2016-05-12,107.0673,108.6612,106.452,108.5121,240500
2016-05-13,107.8968,109.1459,107.1698,108.2697,309100
2016-05-16,109.1087,109.1087,107.3003,107.9901,393400
2016-05-17,107.5333,109.1459,106.8342,107.1791,637500
2016-05-18,106.8622,107.5986,104.2614,104.6436,471100
2016-05-19,104.858,106.8249,104.858,106.1724,384700
2016-05-20,105.9953,108.5307,105.4919,108.5214,336200
2016-05-23,108.9782,109.5282,107.9621,108.1299,287400
2016-05-24,108.0833,112.017,107.6638,111.8305,442500
2016-05-25,111.467,111.5416,109.5934,109.6773,254100
2016-05-26,109.3324,111.6535,108.9223,111.5136,223000
2016-05-27,111.8119,111.989,110.9636,111.8305,211400
2016-05-31,112.4365,112.4365,111.2526,112.0543,401500
2016-06-01,112.1661,115.2795,111.9051,115.1583,473200
2016-06-02,115.3634,116.2024,114.422,116.1464,337400
2016-06-03,116.7617,117.6472,115.2609,116.5193,350500
2016-06-06,116.8176,117.1811,115.121,115.3727,673100
2016-06-07,113.0237,113.0237,108.3629,111.5975,1153200
2016-06-08,111.3924,111.728,109.64,111.4111,517500
2016-06-09,111.6162,111.7839,110.162,111.2246,354200
2016-06-10,110.1527,111.7933,110.0315,111.5136,340100
2016-06-13,110.4324,111.6535,109.901,110.6654,353300
2016-06-14,110.8704,110.8704,109.1459,109.6866,242600
2016-06-15,109.7239,110.1247,108.9875,109.7425,255600
2016-06-16,109.7425,111.756,109.6493,110.917,324900
2016-06-17,110.6281,110.6281,108.1485,109.2858,826100
2016-06-20,109.7425,112.1382,109.5841,111.178,508400
2016-06-21,111.1501,111.3831,110.0688,110.7213,332400
2016-06-22,110.7306,110.8984,109.0154,109.3044,427300
2016-06-23,110.3205,111.6441,109.1646,111.5696,702700
2016-06-24,107.6825,115.0092,107.2071,114.4685,4565000
2016-06-27,114.5058,116.6125,113.1635,115.6617,1279600
2016-06-28,116.4354,116.5845,113.6296,115.6244,590000
2016-06-29,119.1573,121.4131,117.004,119.8471,807500
2016-06-30,120.0335,122.5969,119.6233,122.5876,689300
2016-07-01,122.2521,123.3707,120.9284,121.4411,706700
2016-07-05,121.1801,123.4918,121.1801,122.2707,668100
2016-07-06,122.2241,124.2468,121.5529,123.9858,1560200
2016-07-07,124.4333,124.4333,122.3266,123.3147,427900
2016-07-08,123.8833,125.4586,123.4172,125.0858,448300
2016-07-11,125.0112,125.1417,123.8367,125.0858,556600
2016-07-12,124.8528,124.9367,122.4851,122.6995,381900
2016-07-13,123.3707,123.585,122.2427,122.3826,277300
2016-07-14,122.6342,122.802,121.3199,121.4317,419900
2016-07-15,121.6368,122.3173,120.6021,121.3758,450400
2016-07-18,121.5342,122.5223,120.9004,121.8512,252600
2016-07-19,122.1029,122.6529,121.1428,122.2427,242200
2016-07-20,122.7647,124.0511,122.1402,123.7248,358800
2016-07-21,123.6782,123.8646,122.2334,123.1096,256500
2016-07-22,122.9232,124.4706,122.6063,124.452,282800
2016-07-25,125.7103,126.1112,124.4519,125.7103,401800
2016-07-26,126.6704,126.978,125.4679,126.6984,473200
2016-07-27,126.773,126.7823,123.2401,123.7621,407300
2016-07-28,123.7621,124.201,122.5201,123.2392,348100
2016-07-29,123.2672,125.6485,122.6042,124.7053,347300
2016-08-01,124.6586,125.415,123.4633,124.7147,298900
