date,open,high,low,close,volume
2016-04-18,100.9882,102.2197,100.5777,102.2197,1479300
2016-04-19,102.7139,103.1831,102.0186,102.2197,1308400
2016-04-20,102.3956,102.8396,101.7422,102.6972,1565900
2016-04-21,102.1694,102.6553,98.7514,98.9106,3110200
2016-04-22,99.1703,100.0667,99.0447,99.941,1618400
2016-04-25,100.1086,100.1086,99.0782,99.7316,1266600
2016-04-26,99.9494,100.3264,99.3044,99.4887,1347300
2016-04-27,99.6227,99.8238,98.5002,99.1871,1477700
2016-04-28,98.3996,99.1117,97.8634,98.1734,1810900
2016-04-29,98.0143,98.8185,97.7211,98.7347,2016200
2016-05-02,98.4582,100.0499,97.9891,99.6478,1826900
2016-05-03,98.8604,99.3714,98.4834,99.0698,1484800
2016-05-04,98.5923,99.4133,97.9221,98.7012,1789600
2016-05-05,100.2175,102.7223,100.0918,102.5883,3177400
2016-05-06,101.8678,102.7307,101.3233,102.4961,1929700
2016-05-09,102.0354,103.0825,101.784,102.9569,1243500
2016-05-10,103.2417,104.9506,102.9568,104.9004,1636200
2016-05-11,104.448,104.7412,103.5181,103.6773,1733600
2016-05-12,103.9035,105.403,103.8113,105.0344,1725300
2016-05-13,104.6993,105.4198,104.4313,104.8166,1510200
2016-05-16,104.6407,105.3611,104.4145,104.959,1246100
2016-05-17,104.7915,105.0595,103.5935,103.9286,1348900
2016-05-18,103.7024,105.6041,103.2165,105.2355,1637500
2016-05-19,104.6658,104.758,103.9454,104.5904,954500
2016-05-20,105.1601,106.0816,104.7161,105.3444,1291000
2016-05-23,105.0763,105.7046,104.7161,105.4533,1286500
2016-05-24,105.7632,107.2795,105.5957,106.4418,1668800
2016-05-25,106.7518,107.3465,106.2994,106.534,1761100
2016-05-26,106.8942,107.0282,105.6041,105.8638,1062200
2016-05-27,106.0564,106.6261,105.7884,106.5758,1240600
2016-05-31,106.7434,106.8942,105.5538,106.0648,1740400
2016-06-01,105.646,106.7853,105.1517,106.668,1286200
2016-06-02,106.601,107.0701,106.1151,107.0701,991100
2016-06-03,106.601,107.2293,105.4784,106.8607,1188800
2016-06-06,106.8355,107.1623,105.6208,106.224,1543400
2016-06-07,106.4083,106.7015,105.8386,105.8889,1234200
2016-06-08,105.7214,106.4586,105.6544,106.3245,1140900
2016-06-09,105.8889,106.1989,105.5203,105.9727,870200
2016-06-10,105.3277,106.0649,105.0428,105.3863,936100
2016-06-13,105.4114,105.9224,104.1715,104.2888,1219900
2016-06-14,104.1548,104.4313,103.7778,104.1967,1415800
2016-06-15,104.6575,105.0847,103.9621,104.0878,1369500
2016-06-16,103.3087,105.0009,103.2584,104.9674,1440600
2016-06-17,104.9507,104.9507,103.6438,103.8197,2489500
2016-06-20,104.6742,105.3695,104.3642,104.4647,1311400
2016-06-21,104.9925,105.4114,104.4899,105.1182,1045600
2016-06-22,105.1182,105.9224,104.691,105.1685,1224600
2016-06-23,106.3413,107.8827,105.8889,107.7654,1944300
2016-06-24,104.0376,105.5957,103.0407,103.8281,2523300
2016-06-27,102.8312,103.0071,101.4322,102.0605,1859600
2016-06-28,103.5349,105.4979,102.8187,105.4979,1762000
2016-06-29,106.3151,107.68,105.8265,107.6378,1379200
2016-06-30,107.7558,110.1738,107.4356,110.1232,1799700
2016-07-01,110.3676,110.3676,109.3903,109.7947,1074500
2016-07-05,108.9606,109.4745,108.3877,108.6657,1180600
2016-07-06,108.3034,109.1207,107.899,108.969,1456600
2016-07-07,108.8679,109.306,107.7137,108.3708,1410500
2016-07-08,109.6177,109.8283,108.5899,109.7272,1112500
2016-07-11,109.1712,110.0053,108.7836,109.4829,1169600
2016-07-12,110.199,110.199,108.9943,109.2217,1755600
2016-07-13,109.6346,109.6346,109.0027,109.1038,945200
2016-07-14,110.1822,110.317,109.0617,109.4408,1938100
2016-07-15,109.9968,109.9968,108.9521,109.1628,1074700
2016-07-18,109.0954,109.5082,108.8173,108.9269,896600
2016-07-19,108.6994,108.8089,107.9411,108.5393,1178700
2016-07-20,108.969,109.188,108.017,108.0844,1021500
2016-07-21,108.1265,108.3708,107.1913,107.5031,1584900
2016-07-22,107.7895,108.3624,107.3598,108.2529,939700
2016-07-25,108.2023,108.3539,107.4525,107.7895,1040000
2016-07-26,108.0844,108.5393,107.3935,108.0254,1185600
2016-07-27,107.2671,107.8653,107.0313,107.1492,1372000
2016-07-28,106.8038,107.166,106.2056,106.551,1456400
2016-07-29,106.155,106.5763,105.5147,105.5316,1909000
2016-08-01,104.6807,106.0792,103.3748,105.54,1969500
2016-08-02,105.3631,105.5821,105.0261,105.3378,1349000
2016-08-03,105.4305,106.1635,105.1693,105.7085,1450700
2016-08-04,105.9613,106.2477,105.4389,105.6917,1151500
2016-08-05,106.5595,106.9976,105.877,106.9976,1767600
2016-08-08,107.1997,107.4019,106.7195,107.0734,1532600
2016-08-09,106.9554,107.1239,106.7532,106.8459,1011200
2016-08-10,106.7532,106.9723,106.3235,106.3404,1079900
2016-08-11,106.4331,106.7532,106.155,106.6521,883800
2016-08-12,106.5763,106.7616,106.2983,106.4331,881200
2016-08-15,106.61,106.8375,106.2899,106.4499,1191500
2016-08-16,106.1129,106.5931,106.0034,106.214,881300
2016-08-17,106.1972,106.3994,105.7422,106.2309,1170900
2016-08-18,107.2335,107.3177,105.8939,107.2166,1599000
2016-08-19,106.8374,107.2755,106.1719,106.5594,1126300
2016-08-22,106.2477,106.5258,105.8181,106.4247,810200
2016-08-23,106.1972,106.5594,105.6074,105.6327,1196900
2016-08-24,105.4305,105.6917,105.2283,105.5316,794800
2016-08-25,105.4473,106.551,105.3378,106.2056,939300
2016-08-26,106.4162,106.9723,105.5316,106.0792,987600
2016-08-29,106.2393,107.2924,106.2393,107.0649,1033700
2016-08-30,107.0649,107.225,106.61,107.1997,1188700
2016-08-31,107.1829,107.4188,106.5763,106.9386,1408300
2016-09-01,106.9638,107.3093,106.1129,107.0818,1219600
2016-09-02,107.4188,108.1265,107.1408,107.68,1087200
2016-09-06,107.5452,107.9075,107.006,107.8738,1047200
2016-09-07,107.3682,107.9496,107.0396,107.444,1263800
2016-09-08,107.3093,107.4693,106.5173,106.5847,1082700
2016-09-09,105.9107,106.0371,104.7059,104.7059,1720500
2016-09-12,104.47,106.6521,104.1667,106.4162,1718200
2016-09-13,105.1777,106.6437,105.1777,106.0286,1839700
2016-09-14,106.0455,106.0708,104.7818,105.0177,1258500
2016-09-15,104.8323,106.0034,104.6217,105.6664,1188500
2016-09-16,105.1356,105.7085,104.3689,105.0682,1995200
2016-09-19,105.6496,106.0792,105.0598,105.5569,917700
2016-09-20,106.4247,106.6016,105.4305,105.4474,781100
2016-09-21,105.7591,106.6353,105.5316,106.5679,1449800
2016-09-22,106.9386,107.4525,106.7364,107.3767,953400
2016-09-23,106.5089,106.7195,105.7169,105.7169,1477500
2016-09-26,105.1862,105.3715,104.5711,104.7902,1451300
2016-09-27,104.8576,106.0539,104.6975,105.5484,1132400
2016-09-28,105.7264,106.5142,105.4299,106.4719,865300
2016-09-29,106.3193,106.6074,105.0655,105.379,899200
2016-09-30,105.7264,106.8446,105.6332,106.4464,1646200
2016-10-03,106.2686,106.3448,104.8962,105.2265,1033200
2016-10-04,105.5315,105.8195,103.888,104.1676,1585200
2016-10-05,104.7945,105.0317,103.9897,104.3455,1189800
2016-10-06,104.4217,104.625,102.9985,103.2526,2307400
2016-10-07,103.7863,105.972,103.7863,105.4129,2489700
2016-10-10,106.2685,106.3787,105.5739,105.7941,945200
2016-10-11,105.4468,105.6755,104.498,104.8283,1389600
2016-10-12,105.0401,105.9974,104.8199,105.8365,925900
2016-10-13,105.1587,106.26,104.5657,106.0821,1211400
2016-10-14,106.7599,107.2766,106.4464,106.6158,1403400
2016-10-17,106.6582,107.0056,106.2855,106.4719,869600
2016-10-18,107.158,107.3783,106.0906,106.1838,1491500
2016-10-19,106.4973,107.0056,106.1838,106.7684,915300
2016-10-20,106.438,106.438,104.1337,104.2269,2238800
2016-10-21,103.3543,103.583,102.9138,103.2696,2094300
2016-10-24,103.8626,104.4302,103.3797,103.5915,1302200
2016-10-25,103.6678,104.2354,103.2526,103.7355,1508800
2016-10-26,105.3536,107.7511,104.6844,107.5901,3248600
2016-10-27,107.8188,108.2085,107.4037,107.5986,2114200
2016-10-28,107.912,108.9117,106.9463,108.0222,2234500
2016-10-31,108.4712,108.7507,107.4885,107.5901,1615200
2016-11-01,107.8019,107.9629,105.7263,106.3109,1381400
2016-11-02,106.3533,106.7429,105.6247,105.6586,1227200
2016-11-03,106.0144,106.5989,105.2689,105.4298,1147000
2016-11-04,105.7602,106.2177,104.2692,104.2946,1565400
2016-11-07,105.54,105.8619,105.0401,105.4722,1893200
2016-11-08,105.4976,106.6074,105.1079,106.2177,1846500
2016-11-09,105.6331,107.031,104.625,106.6158,2500400
2016-11-10,107.048,107.3106,105.3706,107.1327,3074500
2016-11-11,106.9463,107.5732,106.2939,107.463,1781300
2016-11-14,107.9459,108.378,107.1157,107.5054,1914100
2016-11-15,106.9208,107.031,105.7433,105.9974,1962900
2016-11-16,105.5739,106.3871,105.1333,106.2516,2151400
2016-11-17,106.0991,106.726,105.4637,106.1838,1263800
2016-11-18,106.4295,107.3613,105.8957,106.9971,1989700
2016-11-21,107.4715,107.8019,106.8785,107.6325,1622200
2016-11-22,108.0899,108.0899,106.7853,107.0903,1645700
2016-11-23,107.2936,108.0137,106.7006,107.3275,1077700
2016-11-25,107.6325,107.7002,106.8022,107.2936,534200
2016-11-28,106.9548,107.5478,106.4888,107.3868,1576200
2016-11-29,107.5986,108.9371,106.9209,108.6406,1722900
2016-11-30,109.2336,109.7673,108.0476,108.4373,2924200
2016-12-01,108.7084,109.3607,108.1916,109.3099,1810900
2016-12-02,108.9286,109.2506,108.2509,108.2848,1663900
2016-12-05,108.6999,109.3522,108.4373,109.0472,1399200
2016-12-06,109.259,110.3773,108.7846,110.2079,2318100
2016-12-07,110.4959,111.953,110.0639,111.8937,2454500
2016-12-08,112.1902,112.6646,111.4447,111.9954,1951500
2016-12-09,112.097,112.6477,111.3939,112.2326,1244600
2016-12-12,112.3258,112.6647,111.7836,112.5545,1438100
2016-12-13,113.0204,113.4271,112.5545,112.8933,1628400
2016-12-14,112.8426,112.9866,110.4874,111.7243,1660100
2016-12-15,111.8513,113.1983,111.5972,112.1224,1586000
2016-12-16,112.4698,112.6308,111.5972,112.4274,2739900
2016-12-19,112.563,113.0882,112.3088,112.8764,951000
2016-12-20,113.2238,113.3254,112.3173,112.6646,1255300
2016-12-21,112.8679,113.1051,112.5375,112.9442,984500
2016-12-22,113.1644,113.2576,112.3003,112.9357,1224000
2016-12-23,112.9442,113.156,112.4105,112.7663,911200
2016-12-27,112.7578,113.0628,112.2156,112.402,968400
2016-12-28,112.7938,113.1514,112.5213,112.5468,1005500
2016-12-29,112.649,112.9555,112.2743,112.6149,953200
2016-12-30,112.9726,113.2537,112.2317,112.5128,1351400
2017-01-03,113.0407,113.0407,111.576,112.1636,1401100
2017-01-04,112.5042,112.6916,111.5674,112.0018,1324400
2017-01-05,111.9677,112.3169,110.5626,111.2439,1731400
2017-01-06,111.4482,112.3935,111.2779,111.84,1595500
2017-01-09,111.627,112.0188,111.0054,111.1416,1536900
2017-01-10,111.0991,111.7889,110.9799,111.0991,1134900
2017-01-11,110.6733,111.082,110.2475,111.0139,1545000
2017-01-12,110.6137,110.8862,109.8387,110.5285,1225700
2017-01-13,110.9628,111.346,110.6818,110.9202,1059700
2017-01-17,110.4689,111.9422,110.1368,111.5504,1999500
2017-01-18,111.7889,112.4616,111.4227,112.385,1868100
2017-01-19,112.4957,112.7512,111.4823,111.7889,1626900
2017-01-20,112.121,112.8193,111.3375,111.9081,1801700
2017-01-23,112.0188,112.104,111.5504,111.9251,1010600
2017-01-24,112.2147,113.1088,112.0188,112.385,1359800
2017-01-25,112.9215,113.5517,112.8448,113.3217,1294200
2017-01-26,113.2621,113.6028,112.7256,113.3132,1045800
2017-01-27,113.4239,113.5347,112.7001,113.5176,1105600
2017-01-30,113.4835,113.4835,111.7293,112.1636,1497300
2017-01-31,111.6867,112.4105,111.1672,111.9762,1521400
