date,open,high,low,close,volume
2016-04-21,57.6872,58.0657,57.2647,57.3351,215800
2016-04-22,57.1767,57.9689,57.1767,57.6784,273400
2016-04-25,57.432,57.6872,57.1855,57.2823,247500
2016-04-26,57.5464,57.8192,57.1239,57.6344,288400
2016-04-27,57.52,57.7048,56.9039,57.2119,443000
2016-04-28,56.8774,57.0007,56.2877,56.3757,449400
2016-04-29,56.6486,56.6486,53.8848,54.5362,1146900
2016-05-02,54.2017,55.918,54.0697,55.5132,598700
2016-05-03,55.4515,55.5572,54.721,54.985,390500
2016-05-04,55.0819,55.6892,54.8002,55.1523,336700
2016-05-05,55.1259,55.61,55.1259,55.1611,439700
2016-05-06,54.9938,55.5396,54.8002,55.5396,260300
2016-05-09,55.478,56.0501,55.478,55.6188,437400
2016-05-10,55.9092,56.3141,55.5572,56.2261,347300
2016-05-11,56.0061,56.3933,55.61,55.7068,384200
2016-05-12,55.874,56.763,55.7596,56.6222,488200
2016-05-13,56.4373,56.8422,55.8476,55.9708,313700
2016-05-16,55.9973,56.3845,55.2051,55.9973,335900
2016-05-17,56.0853,56.3493,55.1435,55.2315,282400
2016-05-18,54.897,55.5044,54.6242,55.2667,515400
2016-05-19,55.0291,55.9356,54.8706,55.7068,388100
2016-05-20,55.4428,56.3493,55.3107,56.0941,398300
2016-05-23,55.9797,56.2965,55.6892,55.8388,216000
2016-05-24,56.2085,56.8422,56.1117,56.5518,436700
2016-05-25,56.9038,57.1239,56.3405,56.4902,345400
2016-05-26,56.5254,56.6398,55.9092,56.0237,297600
2016-05-27,56.2613,56.6134,55.9445,56.2525,466100
2016-05-31,56.4726,56.499,55.4339,56.0237,506000
2016-06-01,55.7233,56.1562,55.6791,55.8558,263800
2016-06-02,55.4053,55.8293,55.3611,55.5378,576200
2016-06-03,55.1403,55.7852,55.0608,55.6438,416700
2016-06-06,55.2551,55.7057,54.9371,55.5025,533800
2016-06-07,55.3876,55.635,55.052,55.1491,305200
2016-06-08,55.2198,55.7322,55.0961,55.6526,345900
2016-06-09,55.4141,55.9177,55.1226,55.8735,392200
2016-06-10,55.3611,57.0484,55.3611,56.8982,745800
2016-06-13,56.8717,57.2869,56.6774,57.0661,688800
2016-06-14,56.8275,57.6844,56.7392,57.5607,799200
2016-06-15,57.7374,57.7374,56.7922,56.9159,346600
2016-06-16,56.907,57.2692,56.6509,57.2427,286900
2016-06-17,56.9601,57.3311,56.1208,56.1562,723700
2016-06-20,56.271,56.6244,55.794,55.8205,427600
2016-06-21,55.8912,56.1827,55.5996,55.847,364900
2016-06-22,55.8823,56.324,55.5732,56.3152,326100
2016-06-23,56.3682,57.1544,55.847,57.1191,613800
2016-06-24,56.4919,58.4353,56.2268,57.2339,1038200
2016-06-27,56.748,56.748,55.9353,56.1473,605300
2016-06-28,56.3505,56.6155,55.9,56.4565,672000
2016-06-29,56.8629,58.0996,56.7922,58.0819,526700
2016-06-30,58.1791,58.8505,57.8258,58.8505,535500
2016-07-01,58.983,59.089,57.9759,58.1879,405000
2016-07-05,58.3028,59.6543,58.0466,59.5483,667100
2016-07-06,59.5483,59.8399,59.0448,59.0978,540100
2016-07-07,58.9741,59.5042,58.7356,59.0801,341100
2016-07-08,59.6014,59.9194,58.6473,59.7515,371600
2016-07-11,60.1402,60.1844,59.5748,60.0872,303000
2016-07-12,60.1137,60.5289,60.1137,60.361,379700
2016-07-13,60.3787,60.6084,59.6632,59.8487,346700
2016-07-14,60.7321,60.7497,59.7515,60.3876,357000
2016-07-15,60.3876,60.5907,60.2815,60.5642,269200
2016-07-18,60.6967,60.7321,60.0165,60.2374,250600
2016-07-19,60.3787,60.626,59.9282,60.626,199600
2016-07-20,60.6172,60.7321,59.884,60.0519,359500
2016-07-21,59.9105,60.0607,59.5837,59.6455,300000
2016-07-22,59.8487,60.0342,59.6808,59.9459,250900
2016-07-25,60.0607,60.5112,60.0077,60.4406,302600
2016-07-26,60.5112,60.5907,59.937,60.2462,310000
2016-07-27,60.1314,60.8911,60.0695,60.8116,231500
2016-07-28,60.8116,61.0678,60.2904,60.3699,446900
2016-07-29,60.9529,61.3769,60.096,60.7762,559300
2016-08-01,60.7763,60.9706,60.3257,60.4406,351100
2016-08-02,60.4229,60.7497,60.1402,60.5289,523400
2016-08-03,60.7497,61.1119,60.4052,60.7674,285800
2016-08-04,60.8911,60.8911,60.573,60.7056,315600
2016-08-05,60.9441,60.9882,60.5554,60.7144,239500
2016-08-08,60.8115,60.8292,60.3787,60.5907,193100
2016-08-09,60.4759,60.6879,60.2639,60.3345,326300
2016-08-10,60.5024,60.5642,60.0695,60.3257,237500
2016-08-11,59.6278,59.8752,59.036,59.301,583200
2016-08-12,58.8416,59.4247,58.6826,59.2745,498900
2016-08-15,59.3275,60.202,59.0095,60.1932,573900
2016-08-16,60.1579,60.2109,59.3363,59.3805,329400
2016-08-17,59.407,60.3434,59.2922,60.2816,432700
2016-08-18,60.3257,60.8469,60.1402,60.626,268200
2016-08-19,60.4936,60.6614,60.096,60.2462,284300
2016-08-22,60.2462,60.6879,60.1137,60.4229,168000
2016-08-23,60.4317,60.6526,60.2109,60.2727,201700
2016-08-24,60.0695,60.7056,59.99,60.7056,273500
2016-08-25,60.6349,60.8557,60.2904,60.6084,383500
2016-08-26,60.5731,61.1384,60.4936,60.8646,439700
2016-08-29,60.9176,61.3416,60.8999,60.9971,280000
2016-08-30,61.0589,61.0589,60.2992,61.0236,384100
2016-08-31,61.1034,61.3871,60.7665,60.8995,403600
2016-09-01,60.9438,61.3694,60.6778,61.13,333100
2016-09-02,60.5359,61.0856,60.2966,60.7576,531900
2016-09-06,60.5537,60.7753,60.2522,60.7399,434600
2016-09-07,60.4384,61.1477,59.9597,60.8463,366300
2016-09-08,60.7399,60.864,60.4739,60.7665,215100
2016-09-09,60.4295,60.926,60.2877,60.2877,388800
2016-09-12,60.2788,61.7151,59.9065,61.5466,506100
2016-09-13,61.3959,61.4757,60.3586,60.5625,380000
2016-09-14,60.8197,60.8817,59.9686,60.0661,394400
2016-09-15,59.7912,60.4828,59.1972,60.4207,367900
2016-09-16,60.6423,61.2364,59.9951,61.1211,781900
2016-09-19,61.3162,61.7594,60.8817,61.5289,354900
2016-09-20,61.919,62.0432,61.5201,61.724,275300
2016-09-21,61.6974,62.052,61.2807,61.8304,415200
2016-09-22,62.0431,62.0431,61.3693,61.5378,384900
2016-09-23,61.6708,62.9918,60.2345,62.3268,1874800
2016-09-26,61.3161,62.5308,58.7539,59.0376,3242400
2016-09-27,59.5164,59.6316,58.7805,59.3213,2629900
2016-09-28,59.5784,59.7026,58.3106,58.7894,1562100
2016-09-29,58.7717,59.1174,57.5748,57.8673,1021000
2016-09-30,58.0713,58.1688,57.2911,57.495,1171800
2016-10-03,57.5482,58.4525,57.3088,58.3018,1026500
2016-10-04,59.1884,59.6937,58.8071,59.2593,1389100
