date,open,high,low,close,volume
2016-04-21,43.459,43.7651,42.908,43.0129,5332800
2016-04-22,42.943,43.7214,42.0946,42.4269,4882800
2016-04-25,42.6281,43.4677,42.5581,43.0654,3606200
2016-04-26,43.0042,43.459,42.7068,42.9692,3125500
2016-04-27,43.0392,43.5202,42.9517,43.284,3450200
2016-04-28,42.6718,43.2753,42.5144,42.6019,4475600
2016-04-29,42.9867,43.5464,42.1995,42.8992,5878700
2016-05-02,43.1441,43.5727,43.1354,43.319,3542200
2016-05-03,42.8992,43.6689,42.7943,43.284,3738600
2016-05-04,42.9517,43.1966,42.8118,42.9954,3200300
2016-05-05,42.8642,43.0129,42.2608,42.322,3216300
2016-05-06,42.3482,43.1091,42.1208,43.0479,3628400
2016-05-09,43.1179,43.6776,43.0654,43.5027,3313200
2016-05-10,42.9692,44.1587,42.3045,44.0712,6062100
2016-05-11,43.975,44.7271,43.94,43.975,4072400
2016-05-12,44.4997,44.8583,44.1761,44.6484,4010200
2016-05-13,44.2199,44.6922,43.3715,43.3802,4532300
2016-05-16,43.459,43.8875,43.4152,43.7214,4432500
2016-05-17,43.835,43.9925,43.5377,43.6689,2483100
2016-05-18,43.6776,44.1761,43.5727,44.0187,3565600
2016-05-19,43.6776,43.8088,43.0741,43.3365,3408700
2016-05-20,43.6426,44.0012,43.5464,43.7563,3087900
2016-05-23,43.94,44.0012,43.5814,43.6514,2182700
2016-05-24,43.9225,44.6484,43.87,44.456,2411700
2016-05-25,44.2358,44.2358,43.593,43.7074,5194800
2016-05-26,42.8708,42.9501,41.6555,41.9109,10709400
2016-05-27,42.4305,43.1174,42.2896,42.8004,5430600
2016-05-31,42.8004,43.0029,41.8492,42.043,6066500
2016-06-01,41.6379,42.3776,41.541,42.316,4547200
2016-06-02,42.1663,42.5714,42.0078,42.5626,3438100
2016-06-03,42.1927,42.2808,41.585,42.0518,3349400
2016-06-06,41.4794,41.7348,41.2416,41.4529,4198500
2016-06-07,41.8404,42.2103,41.77,41.8316,5054500
2016-06-08,41.7524,42.1399,41.5938,41.9901,3046400
2016-06-09,41.999,42.5714,41.9021,42.2984,3516700
2016-06-10,41.5058,41.6907,41.3208,41.5234,3790300
2016-06-13,40.951,41.6027,40.8453,41.0743,3660100
2016-06-14,40.5723,41.0566,40.537,40.9686,4327400
2016-06-15,41.5586,42.0958,41.4617,41.6203,4193800
2016-06-16,41.1887,41.8492,40.8365,41.8052,3061300
2016-06-17,41.8052,42.1487,41.7524,42.1046,5882300
2016-06-20,43.6106,43.7251,42.5978,42.7123,5553500
2016-06-21,42.9325,43.1526,42.7916,42.8444,3073600
2016-06-22,43.0293,43.4961,42.9325,43.0293,3174400
2016-06-23,44.0333,44.0333,43.3728,43.4697,4211000
2016-06-24,40.0351,41.5586,39.5947,40.2024,10970200
2016-06-27,38.4499,38.8374,38.1681,38.4323,10886700
2016-06-28,39.7621,40.6515,37.8158,38.5115,14384200
2016-06-29,38.582,39.7356,38.1857,39.1632,7537000
2016-06-30,38.855,39.0575,38.5467,38.9254,6542300
2016-07-01,39.3834,39.903,39.3217,39.5067,5651700
2016-07-05,39.1104,39.1104,38.3618,38.5291,6251900
2016-07-06,38.309,38.5467,37.9215,38.0272,6195600
2016-07-07,38.4323,39.0751,38.353,38.5908,4953500
2016-07-08,39.1896,39.6035,39.128,39.2072,4181700
2016-07-11,39.5947,40.2376,39.5859,40.1848,5547500
2016-07-12,40.6251,41.4618,40.5987,41.1359,4911900
2016-07-13,41.4353,41.726,40.995,41.0831,3609100
2016-07-14,41.4618,41.7524,40.7836,40.7924,4010400
2016-07-15,40.3169,40.3345,39.4098,39.9118,6204300
2016-07-18,40.0087,40.4842,39.9998,40.176,3072100
2016-07-19,40.22,40.405,39.6476,39.7445,3866800
2016-07-20,40.493,40.6603,40.176,40.5282,4223900
2016-07-21,40.449,40.5899,39.7797,39.9118,2972700
2016-07-22,40.0967,40.5194,39.991,40.4578,3842100
2016-07-25,40.4314,40.951,40.4226,40.7836,2964800
2016-07-26,40.9157,41.1623,40.5987,40.6603,2750000
2016-07-27,40.8013,40.9334,40.5635,40.7924,3431500
2016-07-28,40.7044,41.0831,40.5018,40.951,2588700
2016-07-29,41.1271,41.3473,40.9333,41.1447,3887100
2016-08-01,41.0214,41.312,40.9686,41.1359,4294000
2016-08-02,40.6692,41.0831,39.7004,39.8589,7242700
2016-08-03,39.718,40.5899,39.7004,40.1848,2826400
2016-08-04,40.2112,40.8717,40.2112,40.6515,2772300
2016-08-05,40.8101,41.497,40.7836,41.4353,2566300
2016-08-08,41.2328,41.4882,40.8717,40.9334,2823000
2016-08-09,40.2993,40.8101,39.6476,39.674,7587400
2016-08-10,39.8061,40.0263,39.6388,40.0175,4842700
2016-08-11,40.2552,40.7924,40.176,40.4402,4630700
2016-08-12,40.4402,40.6691,40.3433,40.5459,3423900
2016-08-15,40.4226,40.8365,40.3345,40.6427,3446500
2016-08-16,40.6339,41.0831,40.5811,41.0214,3012400
2016-08-17,40.9598,41.4001,40.7132,41.3825,3467900
2016-08-18,41.268,41.3032,40.8101,41.1887,3709100
2016-08-19,40.9069,41.1271,40.5811,41.0654,3132500
2016-08-22,40.9862,41.3473,40.7836,41.312,3481900
2016-08-23,41.5674,42.2543,41.5322,42.087,5136500
2016-08-24,42.1136,42.2999,41.9096,41.9539,5564600
2016-08-25,41.6346,41.9717,41.5725,41.8652,2753800
2016-08-26,41.9628,42.2911,41.608,41.7854,5077000
2016-08-29,41.7676,42.0782,41.6967,41.8564,2366100
2016-08-30,41.8564,42.1048,41.741,42.0604,2694300
2016-08-31,41.8918,42.5129,41.8652,42.4064,5859200
2016-09-01,42.6282,43.2048,42.5927,43.2048,4118500
2016-09-02,41.4216,41.8297,40.8805,41.1555,12104300
2016-09-06,40.703,41.049,40.5434,40.6942,5301400
2016-09-07,40.4546,40.6764,40.1175,40.1885,5083000
2016-09-08,40.0909,40.3216,39.7005,39.7981,6043100
2016-09-09,39.7006,39.7893,39.3191,39.3634,4629800
2016-09-12,39.1683,40.2506,39.1328,40.1175,3510000
2016-09-13,40.4724,40.703,39.9401,40.4813,9740700
2016-09-14,40.5167,41.1555,40.1796,41.0136,6272700
2016-09-15,41.0047,41.3684,40.8982,41.2265,6364700
2016-09-16,41.2353,41.3773,40.8006,41.0313,7241200
2016-09-19,41.1466,41.3684,40.4901,40.7208,4709300
2016-09-20,40.8982,41.2886,40.7474,40.9781,4927700
2016-09-21,41.0757,41.12,40.3304,40.6498,4510900
2016-09-22,40.9781,41.5813,40.9781,41.5547,4370300
2016-09-23,41.2797,42.1757,41.1378,41.9273,8279900
2016-09-26,42.5483,42.8056,40.6321,41.2265,10295600
2016-09-27,41.9451,43.0718,41.9185,42.8943,7849800
2016-09-28,43.1073,43.329,42.6459,43.2758,6648300
2016-09-29,43.0274,43.2492,42.6725,42.8145,4540800
2016-09-30,43.0718,43.675,42.9919,43.3113,4481500
2016-10-03,43.2403,43.9057,43.2403,43.5863,4338500
2016-10-04,43.746,44.0388,43.4887,43.6396,4205800
2016-10-05,43.3645,43.5154,43.125,43.2669,4068200
