date,open,high,low,close,volume
2016-04-22,37.3543,37.4874,37.0881,37.3454,491800
2016-04-25,36.1919,36.9018,35.2248,35.6418,1569100
2016-04-26,35.5886,36.3073,35.5265,36.2186,667400
2016-04-27,36.1032,36.3605,35.9701,36.254,610600
2016-04-28,36.0234,36.2807,35.5087,35.5975,429700
2016-04-29,35.6596,35.979,34.0092,34.1601,1328600
2016-05-02,34.0536,34.8965,33.8939,34.098,835200
2016-05-03,33.9471,34.1246,33.539,34.0181,1244700
2016-05-04,36.7864,37.0348,35.4466,36.0766,1553300
2016-05-05,36.3517,36.396,35.9169,35.9169,1190400
2016-05-06,35.9169,36.2807,35.4999,35.9524,1193100
2016-05-09,36.0322,36.4493,35.908,36.2097,599700
2016-05-10,36.4759,36.9195,36.1476,36.8929,958200
2016-05-11,36.813,37.1768,36.4492,36.8219,655100
2016-05-12,36.884,37.1679,36.4847,36.9284,954400
2016-05-13,36.7687,37.2478,35.7483,36.6888,471700
2016-05-16,36.8396,37.5406,36.813,37.3454,497000
2016-05-17,37.1413,37.5406,36.7509,36.8574,368200
2016-05-18,36.8042,37.6204,36.6267,37.3365,548900
2016-05-19,37.2034,37.4962,36.8396,37.4519,587400
2016-05-20,37.5406,38.1528,37.3277,37.8778,657000
2016-05-23,36.8263,37.4668,36.2926,37.2355,1538100
2016-05-24,37.1999,37.4668,36.8886,37.2355,1661400
2016-05-25,37.2889,37.4668,36.853,37.3334,995500
2016-05-26,37.2622,37.3245,36.8886,37.2444,1056200
2016-05-27,37.1199,37.4757,36.3638,37.3245,1961200
2016-05-31,37.4401,37.8938,37.1644,37.8582,2421900
2016-06-01,37.6269,38.0895,37.6269,37.9027,993600
2016-06-02,37.8137,38.0539,37.8137,37.9382,982400
2016-06-03,37.876,38.0272,37.6002,38.0005,966600
2016-06-06,37.9116,37.9205,37.28,37.7692,972300
2016-06-07,37.8404,38.1072,37.6803,37.8938,994400
2016-06-08,37.8938,38.303,37.5024,38.2496,1154600
2016-06-09,38.125,38.214,37.8493,38.1517,965400
2016-06-10,37.9471,38.2051,37.8137,38.0806,807600
2016-06-13,37.8493,38.0272,37.5735,37.7426,1258200
2016-06-14,37.5735,37.8137,37.1555,37.7426,771900
2016-06-15,37.7603,37.9916,37.5291,37.7159,536000
2016-06-16,37.1821,37.2533,35.8301,36.2926,2252600
2016-06-17,36.088,36.426,35.8212,36.0436,2015200
2016-06-20,36.3994,36.7819,36.0169,36.5862,998200
2016-06-21,36.6662,36.9064,36.3994,36.8619,1021200
2016-06-22,36.9064,36.942,36.6306,36.7996,1196400
2016-06-23,37.0131,37.2088,36.773,37.1199,947800
2016-06-24,35.8034,36.4883,35.2608,35.3052,3296000
2016-06-27,35.0028,35.5276,34.5936,34.9494,1566200
2016-06-28,35.2341,35.6077,35.0384,35.2608,1055500
2016-06-29,35.3586,35.581,35.0117,35.3319,1549500
2016-06-30,35.1451,35.6611,34.6381,35.6522,1746300
2016-07-01,35.7589,36.008,35.5098,35.8479,755700
2016-07-05,35.4476,35.7233,35.1807,35.4476,835300
2016-07-06,35.2163,35.581,34.8427,35.5721,1147400
2016-07-07,35.5632,35.7856,35.3853,35.5454,1061800
2016-07-08,35.7589,36.0436,35.581,35.9635,794400
2016-07-11,36.1948,36.5684,35.8834,36.3905,677100
2016-07-12,36.4972,36.7908,36.3015,36.4705,1131600
2016-07-13,36.4883,36.7018,36.3282,36.4439,644700
2016-07-14,36.4883,36.9153,35.9813,36.6573,848600
2016-07-15,36.6484,36.7641,36.4527,36.6929,627100
2016-07-18,36.8085,37.0665,36.1503,36.7908,746000
2016-07-19,36.604,37.0754,36.5417,37.0309,931000
2016-07-20,37.1555,37.7337,36.9064,37.7337,1602300
2016-07-21,37.6358,37.8849,37.3867,37.6892,1311500
2016-07-22,37.6536,37.8582,37.5024,37.5913,849000
2016-07-25,37.6714,37.9471,37.5646,37.9116,1193500
2016-07-26,37.8849,37.9738,37.6536,37.9471,837300
2016-07-27,37.9383,38.0094,37.6981,37.9027,707500
2016-07-28,37.8671,38.0272,37.7248,37.9738,484300
