date,open,high,low,close,volume
2022-01-19,36.6927,41.5206,36.6927,40.555,129900
2022-01-20,39.5412,46.7059,39.5412,43.4518,153400
2022-01-21,41.5206,48.2315,41.4724,43.4518,329500
2022-01-24,43.3746,43.4519,40.4392,41.3275,110000
2022-01-25,41.0378,43.3746,39.9081,40.4566,23500
2022-01-26,43.4615,43.5098,40.7964,41.7331,90500
2022-01-27,45.6341,47.9129,42.2448,44.1857,151600
2022-01-28,43.0173,45.9624,42.6311,45.1416,43600
2022-01-31,44.4174,46.3486,44.4174,46.3486,71300
2022-02-01,45.8658,48.2798,45.4313,48.0674,298800
2022-02-02,48.3136,54.2955,48.0867,51.1863,23860900
2022-02-03,50.3945,54.6238,48.5695,51.7753,8425500
2022-02-04,50.7904,52.4609,48.3957,48.415,6757800
2022-02-07,48.2798,48.3184,44.4174,44.485,9432500
2022-02-08,43.5774,45.9238,42.6504,43.9346,7277500
2022-02-09,43.2104,45.8175,42.3704,45.6824,4393100
2022-02-10,43.9443,46.8314,43.8188,45.4313,2450000
2022-02-11,45.1513,47.2273,44.4754,46.4355,3456800
2022-02-14,46.5321,47.3142,45.3734,46.4548,2155000
2022-02-15,46.059,46.7832,45.5762,46.3486,2359800
2022-02-16,46.0783,46.8025,45.3347,45.5761,5855300
2022-02-17,44.7264,45.4603,43.6353,43.7319,3142600
2022-02-18,43.5967,44.3209,43.2587,43.8477,2018700
2022-02-22,43.8477,44.1085,41.9938,42.0421,2611100
2022-02-23,42.1869,42.4766,40.7289,41.6075,2791200
2022-02-24,41.8023,43.1973,40.9013,42.9357,2447900
2022-02-25,42.9164,43.5267,42.3738,42.5385,2040700
2022-02-28,41.9476,45.1639,41.1338,44.5439,5534900
2022-03-01,44.1951,46.5492,43.9336,46.2974,4212900
2022-03-02,46.5008,48.729,45.8517,47.9152,3517100
2022-03-03,48.2639,48.758,46.0619,47.9733,2072200
2022-03-04,47.6342,49.4458,46.743,49.4071,2544600
2022-03-07,49.4652,50.9377,48.3124,50.0368,2726900
2022-03-08,49.5815,53.5922,49.2618,50.6859,3873700
2022-03-09,50.8021,52.0034,49.0099,49.7268,3050600
2022-03-10,48.9905,50.0271,47.7311,49.7171,2692700
2022-03-11,49.814,50.2209,46.7817,47.7796,3034100
2022-03-14,50.2402,50.2402,47.0724,49.3586,2916600
2022-03-15,49.7365,49.9787,48.3414,49.688,2117400
2022-03-16,50.0949,50.7634,48.7774,50.153,2989800
2022-03-17,50.2596,51.0637,49.3199,49.3974,2244600
2022-03-18,49.068,49.8043,47.3533,47.4792,9663900
2022-03-21,47.3824,47.8861,47.0821,47.6827,2452000
2022-03-22,48.7774,50.4243,48.448,49.5427,3841900
2022-03-23,49.1165,50.153,49.1165,49.3974,2396200
2022-03-24,49.5815,50.9377,49.1814,50.773,2335200
2022-03-25,50.6084,52.139,50.4049,52.1196,2441200
2022-03-28,52.6815,55.0744,52.3618,55.0066,3127000
2022-03-29,55.2197,55.5975,52.9237,54.5706,2201300
2022-03-30,54.4156,55.985,53.9603,55.7041,1934100
2022-03-31,56.5178,57.2347,54.0378,54.4931,3817600
2022-04-01,54.5997,56.4791,53.9603,56.2078,2156500
2022-04-04,56.5372,56.8666,55.7331,56.5566,1885100
2022-04-05,56.8182,58.436,56.6244,57.1572,2143100
2022-04-06,57.0604,58.2035,56.5469,57.7385,2559400
2022-04-07,57.8935,59.1626,57.4963,59.0076,3925800
2022-04-08,59.3079,62.8729,58.9979,62.0204,4762100
2022-04-11,62.1754,62.6424,58.5232,58.7847,3487700
2022-04-12,59.0948,61.2357,58.9785,59.9376,2553000
2022-04-13,60.1023,62.5339,59.8213,62.1948,3405700
2022-04-14,62.1173,62.6986,60.2389,60.5963,1860100
2022-04-18,60.3445,62.1657,60.3445,61.3326,1216800
2022-04-19,61.6426,64.8008,60.916,64.6264,2078800
2022-04-20,65.7017,66.5349,63.0328,63.367,2182800
2022-04-21,62.9698,64.2292,60.2088,60.7126,2493700
2022-04-22,60.5479,62.4428,60.3445,60.4801,2030500
2022-04-25,60.4123,60.8773,57.5835,60.3251,2261600
2022-04-26,59.8698,60.2766,58.0388,58.0775,2136500
2022-04-27,58.1357,59.2788,57.8644,58.2132,1991600
2022-04-28,58.3391,59.4338,56.9635,59.3951,3354600
2022-04-29,59.5791,59.9279,57.3025,57.3607,2578400
2022-05-02,57.4479,58.1163,55.1228,56.3822,2488200
2022-05-03,56.6244,58.5619,56.6244,57.8354,2224200
2022-05-04,58.2422,60.3493,57.9739,59.8795,2628900
2022-05-05,59.3079,60.0538,57.3219,58.281,1946800
2022-05-06,58.3779,59.3176,56.8666,58.3876,2861000
2022-05-09,58.6782,58.6782,54.8031,55.8203,2193700
2022-05-10,56.4306,58.0,54.963,55.2584,2156200
2022-05-11,55.3263,57.1863,54.7644,55.5781,1877000
2022-05-12,55.6568,56.1812,51.5488,51.9276,3785600
2022-05-13,52.957,54.2884,52.0829,53.0347,2317500
2022-05-16,52.8502,55.482,52.7725,54.9576,1631900
2022-05-17,55.2101,57.7642,54.3652,57.6088,2215100
2022-05-18,57.7059,58.5168,55.2878,55.6277,4609100
2022-05-19,55.482,55.851,53.3357,55.5791,2181100
2022-05-20,55.851,57.2398,53.8893,55.0158,2266200
2022-05-23,55.8413,55.9287,54.2486,54.9673,1581800
2022-05-24,54.9187,55.7053,53.4814,55.1421,1682300
2022-05-25,55.2392,57.6282,55.2392,57.4631,1974700
2022-05-26,57.4729,61.2244,57.4631,60.6679,3260100
2022-05-27,60.6,64.7176,60.2115,64.6788,2793800
2022-05-31,63.6494,64.4749,59.5997,60.2892,7389300
2022-06-01,60.5805,62.0761,60.3572,61.8139,2008600
2022-06-02,61.8528,62.2704,60.1921,61.911,1758500
2022-06-03,61.4351,63.9213,61.2992,63.2901,1793500
2022-06-06,63.6785,65.009,63.4989,64.4749,2033200
2022-06-07,63.63,64.7759,63.2813,64.6303,2721700
2022-06-08,64.5234,64.5526,61.3089,62.9016,1922200
2022-06-09,62.4063,62.6005,59.3957,59.4443,1811000
2022-06-10,58.1235,59.2986,57.502,58.0653,1540800
2022-06-13,56.5891,57.2883,53.6077,53.8796,2113200
