date,open,high,low,close,volume
2016-04-21,16.3655,16.7102,16.1863,16.2207,8222300
2016-04-22,16.2828,16.3862,16.1863,16.2828,5180600
2016-04-25,16.2552,16.2897,15.945,16.1173,3325900
2016-04-26,16.1863,16.3,16.0829,16.2345,4065900
2016-04-27,16.2138,16.4275,16.0932,16.2828,4806500
2016-04-28,16.1311,16.3035,15.9484,16.0208,3265900
2016-04-29,15.9105,16.0346,15.6555,15.752,5315000
2016-05-02,15.8282,16.0014,15.6411,15.9807,3123000
2016-05-03,15.7173,15.7658,15.447,15.5995,3869200
2016-05-04,15.4193,15.4817,14.9931,15.2391,5202100
2016-05-05,15.2461,15.3847,15.0936,15.3223,4871200
2016-05-06,15.1837,15.3985,15.0867,15.3084,3713900
2016-05-09,15.2669,15.3985,15.1283,15.1421,2712400
2016-05-10,15.2045,15.6064,15.1213,15.4956,10159300
2016-05-11,15.4956,15.6827,15.3777,15.3847,3672600
2016-05-12,15.4956,15.5718,14.9689,15.0798,5748800
2016-05-13,15.2461,15.3985,14.7263,14.8303,6519600
2016-05-16,14.8441,15.1768,14.761,15.0451,4284700
2016-05-17,14.9619,15.3084,14.8719,15.1213,4167700
2016-05-18,15.0659,16.0361,15.0659,16.0292,9873100
2016-05-19,15.8975,16.2752,15.6757,15.8698,4818800
2016-05-20,15.9321,16.2232,15.8421,15.9252,3933200
2016-05-23,15.9183,16.0153,15.745,15.9183,2941400
2016-05-24,16.0222,16.3341,15.9599,16.1123,3165600
2016-05-25,16.2163,16.5316,16.1193,16.4172,6771500
2016-05-26,16.4103,16.4311,16.1262,16.1816,4663400
2016-05-27,16.2371,16.3687,16.1193,16.3479,3513500
2016-05-31,16.4658,16.5004,16.1816,16.3202,6726900
2016-06-01,16.1331,16.4311,15.9114,16.3549,3952200
2016-06-02,16.3202,16.5489,16.14,16.5143,3508100
2016-06-03,15.8213,16.0985,15.6064,16.0361,7799800
2016-06-06,16.1054,16.4034,16.043,16.2648,5449800
2016-06-07,16.2579,16.4242,16.1608,16.2717,3722500
2016-06-08,16.2786,16.4172,16.1886,16.2579,3343100
2016-06-09,16.1193,16.1193,15.8074,15.8559,4449100
2016-06-10,15.6272,15.7242,15.4332,15.5648,4677600
2016-06-13,15.4609,15.745,15.2807,15.3015,5179700
2016-06-14,15.253,15.3708,14.5115,14.7679,8924700
2016-06-15,14.858,15.1352,14.761,14.8026,6084900
2016-06-16,14.6639,14.6847,14.4353,14.5115,4987500
2016-06-17,14.5531,14.7159,14.4976,14.6224,9968000
2016-06-20,14.9204,15.1213,14.7263,14.7679,6019400
2016-06-21,14.7818,14.9619,14.5946,14.9342,6220000
2016-06-22,14.9134,15.1213,14.7887,14.8095,4140200
2016-06-23,15.0728,15.3362,15.0312,15.3292,5342800
2016-06-24,14.1858,14.4283,13.8254,13.8254,21596300
2016-06-27,13.5551,13.5551,12.7097,12.779,13059000
2016-06-28,13.1047,13.3611,12.9003,13.1463,23334900
2016-06-29,13.3403,13.5759,13.07,13.5274,8301000
2016-06-30,13.7007,13.9432,13.6037,13.8462,10744100
2016-07-01,13.7769,13.7977,13.4304,13.6175,5723900
2016-07-05,13.3819,13.4027,12.98,13.0978,5693200
2016-07-06,12.9245,13.174,12.876,13.1601,7896000
2016-07-07,13.1601,13.472,13.1601,13.4581,8140400
2016-07-08,13.7145,13.867,13.5309,13.7561,8867100
2016-07-11,13.8809,14.016,13.8185,13.9432,4953400
2016-07-12,14.1719,14.3382,14.1095,14.165,6519500
2016-07-13,14.1165,14.2793,14.0056,14.2481,3949200
2016-07-14,14.5531,14.8026,14.4283,14.5461,4670500
2016-07-15,14.6501,14.7402,14.5184,14.5392,5157300
2016-07-18,14.5115,14.6085,14.3729,14.5392,8284900
2016-07-19,14.3937,14.6778,14.3937,14.5739,5204800
2016-07-20,14.5947,14.9204,14.4422,14.7748,8471000
2016-07-21,15.4263,15.5926,14.91,15.0243,12955900
2016-07-22,15.0728,15.2461,14.9758,15.1075,6390700
2016-07-25,15.0659,15.2946,15.0659,15.2669,5910700
2016-07-26,15.2391,15.6342,15.1837,15.5856,6197800
2016-07-27,15.5718,15.7658,15.4193,15.648,8846600
2016-07-28,15.6272,15.752,15.4574,15.5579,6201300
2016-07-29,15.5025,15.752,15.4401,15.4748,4011700
2016-08-01,15.5026,15.6942,15.4121,15.4678,4848100
2016-08-02,15.4399,15.635,15.2727,15.3633,5918500
2016-08-03,15.3772,15.6629,15.3284,15.6489,4841300
2016-08-04,15.642,15.8336,15.642,15.7535,5901700
2016-08-05,15.9904,16.3387,15.9277,16.2969,7331000
2016-08-08,16.3666,16.5059,16.29,16.3387,5396500
2016-08-09,16.2899,16.4363,16.2203,16.3666,5153000
2016-08-10,16.3387,16.3945,16.1367,16.1994,3478400
2016-08-11,16.2272,16.3875,16.1283,16.3039,3691000
2016-08-12,16.1785,16.2272,15.9973,16.2133,3080100
2016-08-15,16.3178,16.499,16.2691,16.4014,4491000
2016-08-16,16.2691,16.4885,16.2489,16.2969,4756500
2016-08-17,16.2482,16.4014,16.2475,16.3318,4241700
2016-08-18,16.3457,16.4398,16.2482,16.2969,3797000
2016-08-19,16.2412,16.4572,16.1645,16.4293,2948800
2016-08-22,16.4154,16.4572,16.283,16.3736,3139100
2016-08-23,16.4641,16.5547,16.377,16.3945,4698200
2016-08-24,16.4293,16.5477,16.3248,16.3666,4032600
2016-08-25,16.3527,16.5094,16.283,16.4711,2293600
2016-08-26,16.5129,16.8334,16.4711,16.8055,6155000
2016-08-29,16.8613,17.2027,16.8474,17.0424,6644600
2016-08-30,17.0424,17.2863,16.7777,17.2306,4555300
2016-08-31,17.2445,17.2793,17.0181,17.2584,6701900
2016-09-01,17.3211,17.3908,16.9275,17.0842,4631200
2016-09-02,17.133,17.3316,17.0076,17.1957,4892100
2016-09-06,17.1888,17.2306,16.8369,16.931,4998300
2016-09-07,16.8892,17.1699,16.8265,17.1191,3645400
2016-09-08,17.1539,17.3769,17.0738,17.3629,4293800
2016-09-09,17.2306,17.4675,17.2097,17.2863,7103200
2016-09-12,17.14,17.4953,16.9519,17.4675,6584000
2016-09-13,17.2236,17.2724,16.8752,17.1539,6656600
2016-09-14,17.147,17.2933,16.9658,17.0006,4671200
2016-09-15,16.9379,17.1539,16.9031,17.0564,5107800
2016-09-16,16.9031,16.9449,16.6801,16.7916,8753900
2016-09-19,16.9101,17.0912,16.7986,16.8543,4027900
2016-09-20,16.9937,17.0355,16.7045,16.8404,4080300
2016-09-21,16.9658,17.0947,16.7777,16.9379,3832600
2016-09-22,16.9937,17.0668,16.8334,16.8892,4438100
2016-09-23,16.8334,17.1156,16.7986,17.0076,4935700
2016-09-26,16.8543,16.9101,16.6105,16.6941,4708100
2016-09-27,16.6523,16.9519,16.5896,16.9379,3868500
2016-09-28,16.9379,17.0494,16.6453,17.0076,8700300
2016-09-29,17.0494,17.133,16.6105,16.7568,5070200
2016-09-30,16.917,17.2933,16.8056,17.2166,6661500
2016-10-03,17.1191,17.2236,17.0146,17.14,3174200
2016-10-04,17.1888,17.6556,17.1679,17.4117,5959300
2016-10-05,17.5232,17.8925,17.4535,17.8158,5297800
2016-10-06,17.8298,17.9691,17.6486,17.8994,3921100
2016-10-07,17.9064,17.9761,17.572,17.7671,4944000
2016-10-10,17.9691,18.052,17.7601,17.7949,3131200
2016-10-11,17.7949,17.9482,17.3002,17.3908,7271500
2016-10-12,17.4117,17.7566,17.3838,17.5929,4079400
2016-10-13,17.3769,17.3873,16.8752,17.0842,4791900
2016-10-14,17.3629,17.4884,17.147,17.2724,3596500
2016-10-17,17.3072,17.4187,17.025,17.1261,3493800
2016-10-18,17.3699,17.3839,17.1121,17.3142,3373900
2016-10-19,17.3699,17.7009,17.3699,17.6277,3578900
2016-10-20,17.5511,17.9343,17.5162,17.8019,6624300
2016-10-21,17.8925,18.1781,17.7671,18.0945,4308400
2016-10-24,18.3663,18.4568,18.2339,18.3593,5127100
2016-10-25,18.3941,18.4952,18.2478,18.4359,4255900
2016-10-26,18.3732,18.7216,18.3523,18.7216,4994900
2016-10-27,18.854,18.9585,18.6519,18.7216,5738000
2016-10-28,18.7216,18.7355,18.2617,18.3593,7858900
2016-10-31,18.4643,18.5763,18.3733,18.4363,5903400
2016-11-01,18.5623,18.7933,18.4363,18.7863,7868800
2016-11-02,18.6393,18.6603,18.1073,18.2683,7557200
2016-11-03,18.3803,18.5518,18.3068,18.3873,4931000
2016-11-04,18.3803,18.7303,18.1808,18.4853,3643500
2016-11-07,18.8563,19.1572,18.8563,19.1432,5132500
2016-11-08,18.7723,19.0067,18.5203,18.8632,5125100
2016-11-09,19.1012,19.9062,19.0382,19.7382,12784900
2016-11-10,20.0601,20.9981,20.0601,20.7181,12026100
2016-11-11,20.5921,20.9981,20.3331,20.8931,16252800
2016-11-14,21.089,21.705,21.0575,21.614,14672000
2016-11-15,21.348,21.8135,21.061,21.656,10089900
2016-11-16,21.243,21.551,21.18,21.509,7471500
2016-11-17,21.509,22.2579,21.481,22.2089,9743700
2016-11-18,22.2649,22.4924,22.1529,22.3769,8228300
2016-11-21,22.5589,22.5589,22.1879,22.3489,4587300
2016-11-22,22.5169,22.5799,22.2404,22.3419,8293900
2016-11-23,22.3909,22.8389,22.2719,22.6779,5667700
2016-11-25,22.6709,22.7199,22.5729,22.7199,1507000
2016-11-28,22.4959,22.6499,22.1809,22.2439,5531000
2016-11-29,22.3699,22.8074,22.2999,22.6709,5712900
2016-11-30,23.1329,23.5878,23.1329,23.4548,7345100
2016-12-01,23.7068,24.4347,23.6788,24.0638,7613600
2016-12-02,24.1758,24.1758,23.6648,23.9028,5881800
2016-12-05,24.1828,24.3227,23.7208,23.9028,6612000
2016-12-06,24.2248,24.3647,23.9518,24.2878,4585300
2016-12-07,24.3087,24.5537,23.8853,24.5397,6267200
2016-12-08,24.7567,25.0227,24.3297,24.8757,6598600
2016-12-09,24.8757,24.9107,24.4067,24.8547,4745900
2016-12-12,24.5537,24.9807,24.3297,24.5047,4836100
2016-12-13,24.6027,24.6377,23.8888,24.3577,6048200
2016-12-14,24.0988,25.0647,23.9098,24.2388,7098400
2016-12-15,24.5817,25.0647,24.2038,24.7777,6350200
2016-12-16,24.9947,25.2327,24.5817,24.7217,13133400
2016-12-19,24.7077,24.7917,24.4004,24.7567,5258300
2016-12-20,25.0017,25.2887,24.9037,25.2537,3430700
2016-12-21,25.2327,25.2677,24.9842,25.2117,2900300
2016-12-22,25.2117,25.3097,25.0997,25.1977,3788100
2016-12-23,25.2117,25.4286,25.1347,25.4286,1896100
2016-12-27,25.4706,25.5896,25.3167,25.5196,1935800
2016-12-28,25.5336,25.5609,25.1137,25.1977,2837800
2016-12-29,25.1627,25.2117,24.6622,24.6937,3783600
2016-12-30,24.7357,24.9667,24.6027,24.9387,3394300
2017-01-03,25.5056,25.9536,24.8897,25.0997,5045900
2017-01-04,25.2187,25.3727,25.0787,25.3167,4354900
2017-01-05,25.2117,25.3761,24.6552,25.0017,3725200
2017-01-06,25.1347,25.2537,24.9947,25.1347,3623500
2017-01-09,24.9387,25.0787,24.6027,24.9737,3035600
2017-01-10,25.1137,25.4566,25.0577,25.3936,3730400
2017-01-11,25.3167,25.4566,25.0857,25.3866,4273300
2017-01-12,25.2677,25.2957,24.6132,25.1417,3961600
2017-01-13,25.3377,25.8836,25.1277,25.4007,5200800
2017-01-17,25.0787,25.1347,23.7768,23.8818,8472300
2017-01-18,24.0498,24.5117,23.6578,24.4907,6386100
2017-01-19,24.4487,24.7952,24.0848,24.3087,5737300
2017-01-20,24.8897,25.3236,24.7077,25.0717,8164500
2017-01-23,24.9177,25.1767,24.7637,25.1207,4893700
2017-01-24,25.1697,25.4846,25.1102,25.4076,6052500
2017-01-25,25.7296,26.2756,25.6687,26.2616,5714200
2017-01-26,26.2546,26.5625,26.0446,26.2756,4795700
2017-01-27,26.1986,26.2336,25.8066,25.8906,4278600
2017-01-30,25.5756,25.7296,25.1277,25.5686,4981900
2017-01-31,25.5265,25.9059,25.2033,25.4141,4774900
2017-02-01,25.674,26.1097,25.5651,25.6389,4795900
2017-02-02,25.4281,25.4492,25.0487,25.3227,4355900
2017-02-03,25.8637,25.9305,25.5476,25.8497,3873300
2017-02-06,25.5124,25.941,25.4422,25.6248,4633600
2017-02-07,25.7162,25.8637,25.523,25.7092,3815800
2017-02-08,25.4703,25.4913,24.7606,24.8379,8451800
2017-02-09,24.8379,25.4878,24.7395,25.4632,5731000
2017-02-10,25.4,25.667,25.3578,25.5897,3283800
2017-02-13,25.8637,26.1378,25.7935,25.941,3506200
2017-02-14,25.941,26.749,25.8356,26.6858,5148600
2017-02-15,26.7701,27.002,26.5312,26.9598,3840400
2017-02-16,26.7771,26.9774,26.6858,26.8755,2756900
2017-02-17,26.5031,26.5874,26.3134,26.5874,5495900
2017-02-21,26.7069,26.8615,26.4293,26.735,4622400
2017-02-22,26.5664,26.6577,26.3556,26.468,5247700
2017-02-23,26.5874,26.6015,25.8356,26.1729,5960200
2017-02-24,25.8216,26.1097,25.6178,25.7513,7559300
2017-02-27,25.8356,26.1799,25.7583,26.1307,4015400
2017-02-28,25.9972,26.3029,25.8708,26.2572,4450200
2017-03-01,26.995,27.9295,26.9388,27.817,7133700
2017-03-02,27.8803,27.9224,26.7069,26.735,5930200
2017-03-03,26.8685,27.0723,26.7912,26.9177,4489400
2017-03-06,26.749,27.016,26.5242,26.8896,2723000
2017-03-07,26.8544,26.9458,26.5312,26.6788,2628300
2017-03-08,27.1003,27.1495,26.5382,26.5945,3445600
2017-03-09,26.6928,26.8825,26.3766,26.5101,2948900
2017-03-10,26.742,26.7982,25.9762,26.4469,4473000
2017-03-13,26.4118,26.6085,26.2003,26.2572,4176300
2017-03-14,26.1378,26.1799,25.8075,26.1307,3378100
2017-03-15,26.2783,26.4399,25.7513,25.8427,5340000
2017-03-16,26.0394,26.215,25.8356,26.0675,3363700
2017-03-17,26.0324,26.1378,25.5897,25.7302,13510100
2017-03-20,25.6459,25.7513,25.3649,25.4562,5881900
2017-03-21,25.66,25.7232,24.0369,24.1423,7594800
2017-03-22,23.9737,24.5217,23.5029,24.1915,7066700
2017-03-23,24.1001,24.7817,23.9315,24.2898,4736700
2017-03-24,24.4444,24.5428,23.9034,24.2477,4923000
2017-03-27,23.5029,24.1072,23.1797,24.058,5075300
2017-03-28,23.9456,24.7957,23.9245,24.6131,4379400
2017-03-29,24.592,24.7184,23.791,24.2336,11159000
2017-03-30,24.2758,24.7676,24.1072,24.5077,5519000
2017-03-31,24.3601,24.6131,24.1774,24.2758,5060900
2017-04-03,24.339,24.592,23.9526,24.4655,5149400
2017-04-04,24.2898,24.6974,24.1704,24.5217,4645400
2017-04-05,24.8309,24.9784,24.1493,24.1563,4949100
2017-04-06,24.1493,24.6201,23.9947,24.5358,3104300
2017-04-07,24.2688,24.5287,24.1001,24.332,3748100
2017-04-10,24.325,24.6552,24.0299,24.1563,3944900
2017-04-11,23.9737,24.1563,23.6294,24.1563,4157600
2017-04-12,24.0931,24.1282,23.538,23.6996,4051800
2017-04-13,23.5802,23.9877,23.3554,23.3554,3882500
2017-04-17,23.3835,23.8612,23.2816,23.8331,3349500
2017-04-18,23.6364,23.9526,23.4326,23.6786,4819000
2017-04-19,23.9175,24.2315,23.8121,24.0439,7394200
2017-04-20,24.3461,25.1189,24.3461,24.7817,5212300
2017-04-21,24.7887,24.9433,24.2582,24.5217,7131100
2017-04-24,25.3578,25.6951,25.0522,25.1892,7965300
2017-04-25,25.6319,25.7513,25.4,25.6108,7075100
2017-04-26,25.5335,26.0675,25.5194,25.8567,5828300
2017-04-27,25.8708,25.9551,25.4703,25.8356,7426000
2017-04-28,25.8356,26.1729,25.7092,25.7935,7819500
2017-05-01,26.0897,26.4353,26.0262,26.1884,4659400
2017-05-02,26.1602,26.3295,25.7653,25.9839,3858200
2017-05-03,25.8146,26.3084,25.7159,26.2449,3536900
2017-05-04,26.5764,26.8091,26.2872,26.3366,3838600
2017-05-05,26.393,26.4424,25.9769,26.0756,3105300
2017-05-08,26.1109,26.5341,26.1109,26.3507,2760600
2017-05-09,26.3859,26.5834,26.1109,26.2237,2615900
2017-05-10,26.132,26.2731,25.9769,26.2449,2499400
2017-05-11,26.125,26.2202,25.7511,26.0968,2632200
2017-05-12,25.9557,25.9557,25.3914,25.8499,3345100
2017-05-15,25.8993,26.1532,25.8358,26.1109,3529900
2017-05-16,26.1602,26.3154,25.8993,26.1532,3486200
2017-05-17,26.1532,26.1532,24.2277,24.3828,9944800
2017-05-18,24.2065,24.7073,24.2065,24.3052,6107700
2017-05-19,24.4675,24.6932,24.2841,24.3828,5270200
2017-05-22,24.538,24.6579,24.1861,24.3828,4214500
2017-05-23,24.4604,24.8907,24.27,24.7496,4377600
2017-05-24,24.8201,24.8201,24.2982,24.4252,4131700
2017-05-25,24.4745,24.665,24.2982,24.3828,3954000
2017-05-26,24.3405,24.5592,24.2206,24.4322,4866800
2017-05-30,24.277,24.3405,24.0654,24.1571,6637400
2017-05-31,24.2206,24.2559,23.6211,24.0513,5854200
2017-06-01,24.1712,24.4745,23.9596,24.3335,4073700
2017-06-02,24.1078,24.2629,23.8115,24.0725,5804100
2017-06-05,24.1078,24.3194,23.9596,23.9667,4939900
2017-06-06,23.7269,24.0372,23.5576,23.8821,3277100
2017-06-07,24.0161,24.4816,23.8468,24.3476,3642000
2017-06-08,24.3476,25.4126,24.2559,25.1234,5832400
2017-06-09,25.3139,25.9134,25.2997,25.6312,4730700
2017-06-12,25.6383,26.0826,25.5325,25.8217,6392400
2017-06-13,26.0121,26.2237,25.8922,26.0121,3774500
2017-06-14,25.7723,25.8182,25.1164,25.8005,5384300
2017-06-15,25.6242,26.0932,25.6171,25.8922,3167800
2017-06-16,25.9204,25.9416,25.596,25.6524,5086300
2017-06-19,25.8499,26.0897,25.6595,25.7794,3136800
2017-06-20,25.596,25.737,25.2786,25.3491,3048600
2017-06-21,25.4267,25.4338,24.7919,24.8272,3832900
2017-06-22,24.7849,24.8272,24.3581,24.672,4440900
2017-06-23,24.7849,24.8342,24.0161,24.3264,11276100
2017-06-26,24.404,24.6861,24.2629,24.4463,6672300
2017-06-27,24.6297,24.8836,24.4886,24.5733,3570900
2017-06-28,24.8131,25.1446,24.7567,24.9259,5225300
2017-06-29,25.5184,25.9063,24.8131,25.1446,5573700
2017-06-30,25.3139,25.3985,24.8907,25.1657,3281200
2017-07-03,25.3139,25.924,25.2222,25.7723,2328700
2017-07-05,25.8569,26.1355,25.5395,26.0121,5212900
2017-07-06,26.0051,26.2731,25.7653,25.8146,4151200
2017-07-07,25.9063,26.1884,25.6665,26.1461,4086600
2017-07-10,26.1461,26.2731,25.8922,26.132,4071800
2017-07-11,26.1743,26.2449,25.7864,25.9063,3533100
2017-07-12,25.8146,25.8217,25.4479,25.7582,3105300
2017-07-13,25.8428,26.0474,25.6736,25.991,2895600
2017-07-14,25.5466,25.7159,25.2433,25.5607,3606500
2017-07-17,25.5043,25.6454,25.3068,25.4549,2914000
2017-07-18,25.2574,25.3117,24.8907,25.1023,3338400
2017-07-19,25.2363,25.2363,24.6226,24.8766,3632200
2017-07-20,24.8624,24.9788,24.5592,24.8624,4893500
2017-07-21,24.8201,25.3209,24.21,24.3194,6953200
2017-07-24,24.3687,25.0952,24.3335,25.0035,4736300
2017-07-25,25.4902,25.6171,25.1763,25.2856,5392500
2017-07-26,25.3985,25.4126,24.6861,24.806,4156400
2017-07-27,24.8624,25.0458,24.471,24.7143,5039600
2017-07-28,24.7143,24.8342,24.5098,24.6438,2786000
2017-07-31,24.814,25.0054,24.697,24.8707,3430400
2017-08-01,25.0763,25.0975,24.7891,24.9699,3066300
2017-08-02,24.9487,25.2571,24.899,25.2535,3555500
2017-08-03,25.1897,25.2783,24.9203,24.9699,4182500
2017-08-04,25.2535,25.7356,25.1897,25.2535,3751300
2017-08-07,25.2535,25.3244,25.055,25.0621,4100800
2017-08-08,25.0054,25.5655,24.9664,25.055,3549400
2017-08-09,24.7856,24.8778,24.6013,24.8352,2555100
2017-08-10,24.5587,24.7005,23.871,23.8994,4239900
2017-08-11,23.9136,24.1333,23.552,23.6725,4223700
2017-08-14,24.0412,24.5445,23.9596,24.261,3061800
2017-08-15,24.5658,24.7501,24.0837,24.0979,3188800
2017-08-16,24.2113,24.3815,23.9632,24.0695,2988900
2017-08-17,23.9986,24.1014,23.233,23.2613,4202300
2017-08-18,23.2188,23.6902,23.0132,23.4385,3972300
2017-08-21,23.4386,23.474,23.1124,23.1833,6705200
2017-08-22,23.3677,23.7292,23.3322,23.6938,4825300
2017-08-23,23.4953,24.105,23.4527,23.7505,3893900
2017-08-24,23.8781,24.1404,23.7789,24.105,5454400
2017-08-25,24.183,24.3673,23.9915,23.9986,2763500
2017-08-28,24.0624,24.0908,23.6016,23.7292,5160400
2017-08-29,23.3393,23.7009,23.1621,23.6158,4448500
2017-08-30,23.6371,23.9632,23.6371,23.6725,3180800
2017-08-31,23.8143,23.8568,23.474,23.4882,3633600
2017-09-01,23.5945,24.0341,23.5024,23.8285,2883500
2017-09-05,23.6867,23.7151,23.0486,23.1479,3952300
2017-09-06,23.318,23.5236,23.1195,23.233,3997100
2017-09-07,23.1762,23.2117,22.3396,22.7438,5217000
2017-09-08,22.7721,23.4102,22.7721,23.2613,5447300
2017-09-11,23.5662,23.9419,23.4527,23.7221,4412800
2017-09-12,23.8427,24.6367,23.8285,24.4453,5623500
2017-09-13,24.3177,24.7821,24.261,24.5942,4051100
