date,open,high,low,close,volume
2016-04-22,39.8688,40.4263,39.5967,40.3955,1472000
2016-04-25,40.3824,40.7467,40.2902,40.5931,1097400
2016-04-26,40.6545,40.7994,40.356,40.4087,992000
2016-04-27,40.5097,40.6413,40.1409,40.5097,678000
2016-04-28,40.3341,40.9837,40.0927,40.7247,789800
2016-04-29,40.5053,40.7423,40.3209,40.6896,1080800
2016-05-02,40.6896,41.1242,40.5755,41.0364,937600
2016-05-03,41.0056,41.4621,40.8257,41.1066,1906800
2016-05-04,40.9047,41.2559,40.8389,41.212,1390800
2016-05-05,41.2471,42.1645,41.2164,41.7519,1684200
2016-05-06,41.8133,42.5507,41.6114,42.5068,1728400
2016-05-09,42.5727,42.9677,42.4278,42.6122,1678200
2016-05-10,42.6429,43.0379,42.6429,42.9853,2028400
2016-05-11,42.8975,42.9809,42.1381,42.4585,1184600
2016-05-12,42.6722,42.9366,42.3903,42.8969,1046200
2016-05-13,42.9057,42.9057,42.3594,42.5356,953000
2016-05-16,42.5445,42.7207,42.3066,42.496,1607000
2016-05-17,42.496,42.6414,41.9189,42.1127,2398400
2016-05-18,43.4828,43.7251,42.4255,42.7251,4533000
2016-05-19,47.1394,47.298,42.659,43.6546,9170600
2016-05-20,43.6547,43.8837,42.4828,42.5048,3742400
2016-05-23,42.6722,43.2802,42.4123,43.0687,1994600
2016-05-24,43.2714,43.4035,42.9894,43.126,1968200
2016-05-25,43.0511,43.1656,42.7119,42.8881,1482000
2016-05-26,42.9013,43.2714,42.8528,43.2582,997400
2016-05-27,43.267,43.4828,43.0158,43.2493,1147600
2016-05-31,43.2846,43.5974,43.1084,43.3859,2208200
2016-06-01,43.3551,43.7604,43.2538,43.5886,1346400
2016-06-02,43.593,43.7295,43.2846,43.7163,1111200
2016-06-03,43.7031,43.8705,43.4123,43.5621,1312800
2016-06-06,43.5269,43.8353,43.3242,43.4432,1161600
2016-06-07,43.5357,43.7251,43.3727,43.6723,1238200
2016-06-08,43.5665,43.6811,43.3903,43.5577,1861000
2016-06-09,43.6062,44.0071,43.5181,43.9807,1236600
2016-06-10,43.9014,44.126,43.6326,44.0027,1331000
2016-06-13,44.0071,44.2097,43.6238,43.6767,1302200
2016-06-14,43.6282,44.0027,43.3242,43.919,942800
2016-06-15,44.0556,44.0556,43.5049,43.5709,952800
2016-06-16,43.5577,43.8837,43.3331,43.7912,1470000
2016-06-17,43.7472,43.7472,43.0863,43.4256,2027800
2016-06-20,43.7736,43.9586,43.5357,43.7207,937600
2016-06-21,43.8485,44.0423,43.6106,43.9102,924800
2016-06-22,43.9939,44.2053,43.8925,44.1613,1094200
