date,open,high,low,close,volume
2016-04-18,123.6025,125.0569,123.5571,124.6388,950900
2016-04-19,125.6114,127.2112,124.9842,127.1384,1432900
2016-04-20,127.0839,129.9017,126.3931,128.411,1179500
2016-04-21,128.4837,129.8199,127.0112,127.5656,747300
2016-04-22,127.7838,129.1746,127.2839,128.911,572600
2016-04-25,128.6201,128.8655,127.4748,127.4839,788300
2016-04-26,127.3657,128.3019,126.6203,127.8747,1417700
2016-04-27,127.7747,128.1656,125.1569,126.5931,974900
2016-04-28,125.7386,128.1656,125.475,127.202,566000
2016-04-29,126.2931,126.4931,124.7842,125.9295,674900
2016-05-02,126.5658,127.0657,125.0114,125.6931,653600
2016-05-03,125.3659,126.4203,124.2479,125.2023,708100
2016-05-04,124.4751,125.2023,122.4481,122.9844,1038500
2016-05-05,122.7117,123.9297,122.2391,122.6481,815000
2016-05-06,124.5297,124.5297,117.3033,118.9395,2575300
2016-05-09,118.8031,120.7483,118.4032,119.4212,1265400
2016-05-10,119.6121,121.4028,119.3485,120.9392,751500
2016-05-11,120.9756,121.5755,118.2486,118.6304,1468400
2016-05-12,118.6486,118.6486,115.6853,116.4034,1795900
2016-05-13,116.6852,117.5033,114.5946,116.6761,1609100
2016-05-16,116.6307,119.0031,116.2217,118.1759,913300
2016-05-17,117.876,118.6668,116.3762,118.5668,1626400
2016-05-18,118.4577,118.7668,116.5307,117.6942,763300
2016-05-19,116.8943,118.2305,115.6217,117.3124,683900
2016-05-20,117.9123,119.3576,117.7123,119.3303,1976600
2016-05-23,116.7761,116.8034,113.6311,114.6673,4228400
2016-05-24,115.3399,116.3489,113.1857,113.4493,4518600
2016-05-25,114.6491,118.0487,113.7583,117.5306,3455000
2016-05-26,117.8487,118.6759,116.8579,117.1397,933100
2016-05-27,117.1761,118.1941,116.8398,117.0943,980100
2016-05-31,117.2579,117.4669,115.858,116.4489,2260900
2016-06-01,116.4489,116.7034,114.7855,116.0944,1643200
2016-06-02,116.1307,118.0214,116.0944,117.776,1492100
2016-06-03,117.2306,118.4214,117.167,117.8942,1236900
2016-06-06,117.9396,119.3031,116.7761,117.8305,857600
