date,open,high,low,close,volume
2016-04-22,90.909,92.3105,89.8391,92.2653,1402800
2016-04-25,91.9338,93.6141,91.7303,93.1544,1101400
2016-04-26,93.162,94.036,93.162,93.2524,1278000
2016-04-27,93.4634,94.2847,92.9133,94.021,1012600
2016-04-28,93.599,94.4806,93.5689,94.0134,794300
2016-04-29,93.7045,94.4429,93.4785,94.36,1282100
2016-05-02,94.3751,95.7013,94.0737,95.6636,1636700
2016-05-03,97.8638,99.8379,96.9294,97.5247,2943300
2016-05-04,97.2082,97.6528,96.3191,97.3891,1662000
2016-05-05,97.6001,98.3686,96.711,97.1555,1204300
2016-05-06,97.2912,98.444,96.937,98.3008,976900
2016-05-09,98.5193,99.303,98.331,99.2201,1022000
2016-05-10,99.4084,100.1092,99.107,100.0941,850400
2016-05-11,100.0941,100.1845,98.8358,99.6044,1063500
2016-05-12,100.0565,100.3051,99.6044,100.1243,872500
2016-05-13,100.29,100.3955,99.0694,99.4461,858100
2016-05-16,99.4461,100.0338,98.8132,99.4612,810800
2016-05-17,99.4461,100.1469,97.2459,97.5247,1428300
2016-05-18,97.5548,97.7357,95.8293,96.5527,1323600
2016-05-19,96.3945,98.2406,96.0705,97.9391,1272700
2016-05-20,98.0446,98.3234,96.7939,97.0726,1023800
2016-05-23,97.1932,97.5473,96.8239,97.2384,629600
2016-05-24,97.3665,98.4289,97.0952,98.007,777900
2016-05-25,97.9768,98.3687,97.2007,97.472,655600
2016-05-26,97.5322,98.0974,97.3439,97.6076,571000
2016-05-27,97.8487,98.022,97.4192,97.7281,481400
2016-05-31,97.9542,98.0371,96.3719,96.8541,1191600
2016-06-01,96.9294,97.9391,96.7411,97.8713,942000
2016-06-02,97.9843,97.9843,97.1103,97.8261,719900
2016-06-03,97.8261,98.0748,97.1555,97.8939,765300
2016-06-06,97.7281,98.022,97.1178,97.4494,825000
2016-06-07,97.6378,97.8186,97.2158,97.472,859200
2016-06-08,97.261,98.0672,96.9822,98.0371,541800
2016-06-09,97.9994,98.7228,97.7281,98.6399,492200
2016-06-10,98.2707,99.3256,97.9994,99.2879,708800
2016-06-13,99.1221,99.8229,98.7755,98.8433,757700
2016-06-14,98.5721,100.2147,97.9542,100.0565,1019800
2016-06-15,100.064,100.2523,99.3255,99.5742,681000
2016-06-16,99.4612,100.501,99.3934,100.2976,715000
2016-06-17,100.1318,100.1318,98.8057,99.74,1342700
2016-06-20,99.9359,100.2524,99.5591,99.7023,759300
2016-06-21,100.0791,100.8702,99.8606,100.2901,830300
2016-06-22,100.2373,100.8853,100.1544,100.8552,710100
2016-06-23,101.3223,101.3374,100.6969,101.1415,464600
2016-06-24,99.8756,102.8444,99.4612,101.6313,2116400
2016-06-27,101.4203,103.6958,101.4052,103.2513,2387500
2016-06-28,103.3793,103.3793,102.121,102.9725,1485800
2016-06-29,103.0026,103.5527,101.3374,101.8799,1518100
2016-06-30,102.1587,104.2911,101.5785,104.276,1577900
2016-07-01,104.5021,104.6302,102.8142,103.3492,945000
2016-07-05,103.7109,105.5494,103.6129,104.9165,1297400
2016-07-06,105.6474,105.8433,103.7712,104.1404,1269100
2016-07-07,103.9822,104.2007,103.1081,103.6205,1144700
2016-07-08,103.5451,104.3288,103.2287,104.2609,991700
2016-07-11,104.0274,104.2082,102.8971,103.7637,958600
2016-07-12,103.0252,103.3341,102.1738,102.6409,911100
2016-07-13,102.9047,103.5225,102.5354,103.2739,467800
2016-07-14,103.1759,104.2609,102.8971,103.0177,743200
2016-07-15,103.2287,103.741,102.6485,102.9122,880600
2016-07-18,103.0478,103.2287,102.4677,102.5656,635900
2016-07-19,102.4751,102.8218,102.1059,102.7389,675300
2016-07-20,102.8745,103.1533,101.9402,101.9854,545700
2016-07-21,101.8272,101.9251,101.1565,101.4504,702800
2016-07-22,101.4881,101.9327,101.3449,101.8573,640700
2016-07-25,101.7285,101.9786,101.3495,101.9331,484600
2016-07-26,101.8573,102.2666,101.0917,101.4859,627300
2016-07-27,101.3949,101.3949,98.8027,99.3181,1738100
2016-07-28,99.2953,99.4318,98.1887,99.1665,1482700
2016-07-29,98.8633,99.8941,98.5828,99.3484,973200
2016-08-01,99.0528,99.8259,99.0528,99.5606,887500
2016-08-02,99.4772,100.1822,98.4312,98.7647,1355300
2016-08-03,100.2731,100.5233,99.1362,99.7426,1444800
2016-08-04,99.7577,101.539,99.7577,101.5011,1066500
2016-08-05,101.4177,101.5465,99.8941,100.2201,1125300
2016-08-08,100.2201,100.3944,99.4621,100.1746,618100
2016-08-09,100.2731,100.7582,99.8562,100.5005,737600
2016-08-10,100.69,101.4556,100.4248,101.4556,618200
2016-08-11,101.8118,102.0998,100.8113,100.9629,598300
2016-08-12,101.2737,101.7436,100.8871,101.1296,404900
2016-08-15,100.9326,101.122,100.2049,100.2352,477500
2016-08-16,99.9927,100.2352,99.3181,99.356,500000
2016-08-17,99.6743,100.2352,98.6586,99.6743,916300
2016-08-18,99.5606,99.9017,99.1589,99.4621,657000
