date,open,high,low,close,volume
2016-04-18,59.3207,60.1659,59.0362,59.965,1765400
2016-04-19,60.2161,60.9943,59.7977,60.919,2349100
2016-04-20,61.3792,63.2202,61.3457,63.1198,4921500
2016-04-21,62.9691,63.8478,62.5005,62.534,2962000
2016-04-22,62.3415,63.3708,62.3248,63.2285,1783000
2016-04-25,62.8269,63.1532,62.3248,62.7516,2478000
2016-04-26,62.785,63.5967,62.4503,63.5632,2686100
2016-04-27,61.1951,62.3415,60.9357,62.1825,6388700
2016-04-28,61.555,62.1407,61.078,61.396,2641800
2016-04-29,61.078,61.329,60.1408,60.5759,2966500
2016-05-02,60.9776,61.6972,60.2496,61.5717,2721000
2016-05-03,60.7182,60.8437,59.781,60.2245,2184500
2016-05-04,59.5466,59.555,57.9651,58.3082,4057500
2016-05-05,58.5174,58.8521,57.4128,57.8396,5345400
2016-05-06,57.5718,58.099,57.2622,58.0655,3442600
2016-05-09,58.8353,58.8856,57.9483,58.2412,2788900
2016-05-10,58.5843,59.6471,58.5425,59.5299,2650200
2016-05-11,59.2705,59.7893,58.8688,58.8688,2411900
2016-05-12,59.054,59.5253,57.9347,58.3723,2109900
2016-05-13,58.1956,58.8772,57.5055,57.8253,2459700
2016-05-16,57.6738,58.6248,57.5475,58.305,2678700
2016-05-17,57.9683,58.6332,57.5728,57.9262,2679000
2016-05-18,57.9263,59.7609,57.7832,59.7357,3636900
2016-05-19,59.2307,60.4173,58.8099,59.3569,3460700
2016-05-20,59.5505,60.2322,59.298,59.6936,2052300
2016-05-23,59.601,60.1649,59.2644,59.4579,1889900
2016-05-24,59.6768,60.4678,58.5743,60.2743,2046000
2016-05-25,60.6277,61.8817,60.4678,61.6629,2767100
2016-05-26,61.4609,61.5703,60.8213,61.0653,1642400
2016-05-27,61.3347,62.1342,60.8718,62.1342,2811300
2016-05-31,62.4372,62.5718,61.2926,61.6376,2363400
2016-06-01,61.0233,61.7049,60.4594,61.6208,1594400
2016-06-02,61.5955,61.7554,61.1158,61.7554,1495800
2016-06-03,60.8297,60.9139,59.3064,60.2574,3478300
2016-06-06,60.3079,61.7134,60.0807,61.3094,2422700
2016-06-07,61.4357,61.4862,60.8634,60.8886,2249700
2016-06-08,60.3837,61.0654,60.1144,60.6782,3190400
2016-06-09,60.1312,60.1396,59.0287,59.6431,2749900
2016-06-10,59.1634,59.3738,58.7342,58.9446,2506000
2016-06-13,58.4564,59.2644,58.0357,58.0693,2488900
2016-06-14,57.6654,57.6654,53.6594,54.2233,14942400
2016-06-15,55.0649,55.7381,54.2569,54.4,9490900
2016-06-16,53.9456,54.2401,52.7926,54.0718,5296300
2016-06-17,54.1055,54.5347,53.7015,54.0213,6191200
2016-06-20,55.3678,55.5025,54.0045,54.097,5160200
2016-06-21,54.6357,54.6946,53.4827,54.0718,4496000
2016-06-22,54.1139,54.5683,53.7688,53.8025,2670200
2016-06-23,54.5094,55.25,54.3327,55.2079,2948300
2016-06-24,52.6411,54.097,51.9678,52.0772,8115300
2016-06-27,51.202,51.202,48.8371,48.9381,8924600
2016-06-28,49.8639,50.3015,49.3673,50.2089,6530600
2016-06-29,50.9748,52.153,50.6718,52.1109,4470700
2016-06-30,52.5317,53.4659,51.6901,53.449,6389700
2016-07-01,53.4238,53.4911,52.7926,52.9862,3152500
2016-07-05,52.296,52.4812,51.0421,51.2188,3331300
2016-07-06,50.7055,51.5891,50.2089,51.5723,2840200
2016-07-07,51.505,52.6411,51.505,52.0856,4644900
2016-07-08,53.4827,54.6525,53.1292,54.4589,4949000
2016-07-11,54.8545,55.8644,54.7535,55.7634,4910200
2016-07-12,56.4114,57.3203,56.3777,57.1015,4975400
2016-07-13,57.0089,57.4213,56.3441,57.1772,3611400
2016-07-14,58.3302,58.4901,57.3371,57.9431,3284800
2016-07-15,58.1451,58.2208,56.9921,57.354,5763900
2016-07-18,57.6065,57.6822,57.0763,57.3287,2240300
2016-07-19,57.2025,57.3203,56.8154,57.0005,2136000
2016-07-20,57.2614,57.3708,56.5208,56.8995,2895300
2016-07-21,56.7565,57.6233,56.5881,57.2193,3503100
2016-07-22,55.9654,56.6639,54.703,56.4114,8632900
2016-07-25,56.2683,57.1183,56.1757,56.6723,4373700
2016-07-26,56.6386,57.2109,56.3188,56.9668,2997700
2016-07-27,56.8322,57.6401,56.6975,57.152,3110100
2016-07-28,56.7985,57.0173,56.201,56.7901,3079700
2016-07-29,56.5461,56.9921,56.4198,56.4535,3632600
2016-08-01,56.6218,56.8322,56.1169,56.4114,3418500
2016-08-02,56.302,56.4619,55.5446,55.7971,4409200
2016-08-03,55.6708,56.3693,55.5446,56.0074,3965400
2016-08-04,56.0667,56.4308,55.9482,56.0498,2197400
2016-08-05,56.8118,57.8701,56.8118,57.6585,3695900
2016-08-08,57.7685,58.2765,57.5315,57.7177,1749800
2016-08-09,57.6838,57.7431,57.2012,57.3875,1793500
2016-08-10,57.3537,57.4299,56.3969,56.6001,2348300
