date,open,high,low,close,volume
2016-04-22,127.2709,127.9112,125.8469,126.3187,2233900
2016-04-25,126.3693,127.8017,125.9396,127.6584,1249000
2016-04-26,128.1387,129.293,127.7932,128.5768,1552900
2016-04-27,128.6529,128.8811,127.267,128.2557,1492800
2016-04-28,128.4585,129.8444,127.7233,127.9769,2198100
2016-04-29,126.7684,127.5881,124.6135,125.1797,3588800
2016-05-02,125.7121,127.9599,124.8585,127.5458,3361500
2016-05-03,126.8275,128.8979,126.4219,127.9514,2201300
2016-05-04,126.8614,128.4501,126.2867,128.036,2111600
2016-05-05,125.898,127.0811,123.6924,124.9346,4869300
2016-05-06,124.2754,124.6472,122.3149,123.7515,3692200
2016-05-09,124.081,125.8895,123.8106,125.5684,2843800
2016-05-10,126.236,126.743,125.7036,126.3881,1943900
2016-05-11,125.3993,125.6529,123.8698,124.3261,2812700
2016-05-12,124.4952,124.8754,123.6501,123.9881,2860400
2016-05-13,123.6585,123.9881,121.9431,122.1121,2993600
2016-05-16,122.1121,123.8698,121.1825,123.2022,2615000
2016-05-17,122.9572,123.5825,121.0304,121.3515,2928900
2016-05-18,118.4614,119.7121,117.1008,119.3994,5717000
2016-05-19,120.3797,120.9121,119.5093,120.591,2830500
2016-05-20,120.6163,121.267,120.0163,120.5825,2088400
2016-05-23,120.7092,121.6895,119.9233,120.0078,1828400
2016-05-24,120.4811,121.2501,120.3205,120.4811,2813100
2016-05-25,120.5233,123.1092,120.4304,122.1459,4156700
2016-05-26,125.9233,130.0388,124.8163,126.5149,7679400
2016-05-27,126.9627,127.4106,125.1627,125.9824,3349800
2016-05-31,126.3965,126.6585,124.7571,125.7205,3738900
2016-06-01,127.1824,129.2951,127.0303,128.8895,3487300
2016-06-02,126.8022,128.036,125.5346,128.036,3957600
2016-06-03,127.0135,128.2642,126.9881,128.205,1964200
2016-06-06,128.3064,128.8641,128.205,128.6529,1961600
2016-06-07,128.5177,130.0135,128.3656,128.974,2113000
2016-06-08,129.0247,129.6923,128.4923,129.6078,1528300
2016-06-09,129.2951,130.2585,129.2275,130.1825,1812100
2016-06-10,129.2951,131.112,129.2444,130.8754,3266500
2016-06-13,130.7824,131.7964,130.6218,130.9429,2576600
2016-06-14,130.605,132.1346,129.7768,131.7205,3274700
2016-06-15,131.5768,132.4895,130.6979,130.8669,2228500
2016-06-16,130.8669,132.2528,130.2331,132.1852,1937400
2016-06-17,132.7007,132.8866,131.6275,131.7374,2858200
2016-06-20,132.9966,133.8416,132.2106,132.236,2090800
2016-06-21,132.7345,133.4359,132.388,132.8444,1909700
2016-06-22,133.1909,133.8754,132.8106,133.6219,2094800
2016-06-23,134.0275,134.188,132.1176,132.7007,2912400
2016-06-24,129.4303,133.2585,129.3796,131.4585,3996100
2016-06-27,130.3431,130.9261,128.9149,130.36,2790800
2016-06-28,130.6979,131.7711,129.8951,131.4923,2156300
2016-06-29,132.2021,132.912,131.7373,132.743,1942500
2016-06-30,132.6416,133.3683,131.4078,132.7092,3091100
2016-07-01,132.836,132.836,131.3233,131.9233,2317200
2016-07-05,131.8979,131.9571,130.7317,131.1965,2807400
2016-07-06,131.1542,132.2951,130.7063,131.8387,2133200
2016-07-07,133.7993,138.7261,133.5205,138.3373,6497900
2016-07-08,139.3007,140.3655,139.005,139.8078,3932000
2016-07-11,139.4866,141.5402,139.4866,140.8895,2634300
2016-07-12,140.6951,141.0585,140.1289,140.5176,1642100
2016-07-13,141.1261,141.2866,140.2979,140.9402,1479800
2016-07-14,141.2528,141.9711,140.5176,141.0754,2150100
2016-07-15,141.4979,141.4979,139.943,140.6275,1962300
2016-07-18,140.7542,141.8528,140.2134,141.557,1993800
2016-07-19,141.5486,142.4443,141.4556,142.0725,1487800
2016-07-20,142.1824,142.1908,141.0838,142.0049,1336900
2016-07-21,141.4894,141.7598,140.5345,141.1683,1384600
2016-07-22,141.7007,141.7176,141.0922,141.5232,1335100
2016-07-25,141.2697,142.1401,140.619,141.9457,1732200
2016-07-26,141.6331,142.6641,140.8725,141.6077,1593900
2016-07-27,141.2613,141.5486,140.0697,140.4077,1440000
2016-07-28,140.5007,141.0077,140.112,140.5768,1866500
2016-07-29,140.8218,141.7007,140.6021,141.312,1359700
2016-08-01,141.2528,141.9711,141.0416,141.5993,986800
2016-08-02,141.1852,141.5824,139.0894,140.7035,2107300
2016-08-03,140.2134,140.5598,139.5204,140.3824,1837100
2016-08-04,140.3148,141.7514,140.188,140.7458,1638300
2016-08-05,141.0078,142.25,140.3486,141.7176,1526500
2016-08-08,141.3373,141.5908,140.6782,141.4641,1294400
2016-08-09,141.7514,142.4782,141.0247,141.8528,1286700
2016-08-10,141.8783,142.7764,141.5478,142.5985,1104300
2016-08-11,143.2933,143.7,141.785,142.2511,1497800
2016-08-12,141.641,143.5475,141.641,143.234,1399100
2016-08-15,143.234,143.4289,142.8527,142.9713,918600
2016-08-16,142.251,143.0306,142.251,142.7001,1023000
2016-08-17,141.8867,142.6578,141.4376,142.3188,1382500
2016-08-18,142.7087,142.9544,141.6749,142.1409,1353400
2016-08-19,141.6833,142.6323,141.5901,142.3697,1764800
2016-08-22,142.6409,142.9374,142.0308,142.3019,955000
2016-08-23,142.429,142.7341,141.7681,141.8105,1003700
2016-08-24,141.624,142.251,141.302,141.9884,1363800
2016-08-25,141.6748,141.8528,139.5057,139.6921,1817700
2016-08-26,140.1412,140.3615,138.5143,138.9041,2009900
2016-08-29,139.3616,139.6751,138.455,138.9464,1819200
2016-08-30,139.0227,139.2007,137.0484,137.2349,2010700
2016-08-31,137.1585,137.7517,136.5484,137.3449,1933200
2016-09-01,134.7267,134.7267,131.7949,132.3627,6038500
2016-09-02,132.871,134.964,132.8626,133.8624,2679000
2016-09-06,133.9895,134.0064,132.2016,133.9302,2716900
2016-09-07,133.5743,133.7692,131.6763,131.8797,2984100
2016-09-08,131.4984,131.7526,129.5919,130.041,2993100
2016-09-09,129.2952,129.4647,127.6938,127.6938,2993900
2016-09-12,127.5243,128.7868,127.3209,128.5326,2982400
2016-09-13,128.1005,128.4395,127.16,127.7277,2148600
2016-09-14,127.7023,129.0071,127.2701,127.6853,2188900
2016-09-15,127.7107,129.6172,127.1939,129.363,2284300
2016-09-16,128.7614,129.3546,128.0666,129.0919,2842000
2016-09-19,128.9055,129.6681,128.4564,128.6174,1321300
2016-09-20,129.1597,129.3969,128.5157,128.9394,1396700
2016-09-21,129.2953,129.5579,128.1598,129.3885,1535100
2016-09-22,129.6681,130.7273,129.3715,129.7698,2502200
2016-09-23,129.7698,130.2951,128.9394,129.2444,2282100
2016-09-26,128.8631,129.0326,127.9564,128.109,1862200
2016-09-27,128.3039,128.6005,127.1007,127.482,2569000
2016-09-28,127.6091,127.6684,126.2025,126.6007,2626300
2016-09-29,126.4143,126.838,124.7281,124.9739,4501300
2016-09-30,128.6174,131.2103,128.4564,129.2275,7318100
2016-10-03,128.9817,129.0071,127.3718,127.9564,3197100
2016-10-04,128.3463,128.4733,126.6685,127.5074,2840500
2016-10-05,127.6345,127.8802,126.9566,127.0837,2377700
2016-10-06,127.2956,127.643,126.2534,126.6516,2465500
2016-10-07,126.9058,127.2617,126.0754,127.0922,2282100
2016-10-10,127.3972,127.8209,126.8888,127.3379,1587700
2016-10-11,126.821,128.0666,126.6854,127.9564,2596800
2016-10-12,127.9226,128.3632,127.4311,127.4904,1664500
2016-10-13,127.0413,128.2361,126.8634,127.2871,1795300
2016-10-14,127.2532,127.948,126.4906,127.2278,1745000
2016-10-17,127.1684,127.2701,125.9398,125.9991,1988400
2016-10-18,126.6855,126.7787,125.7534,126.3465,1847800
2016-10-19,127.6938,128.2192,126.516,126.6346,1812000
2016-10-20,126.9736,127.7616,126.7617,127.1345,2251200
2016-10-21,126.6855,127.3464,125.8296,126.2279,2188000
2016-10-24,126.5499,129.0665,126.4991,128.897,2432800
2016-10-25,127.0159,128.7699,127.0159,127.9395,2060600
2016-10-26,127.3973,128.2954,127.3379,127.9311,2246100
2016-10-27,127.804,128.3378,126.9482,127.8294,1993500
2016-10-28,127.4734,127.8293,126.5753,126.8972,1843900
2016-10-31,126.1601,126.5499,124.6434,125.2959,3239400
2016-11-01,125.8127,125.9398,124.0333,124.2705,2112000
2016-11-02,124.4575,125.231,124.1941,124.3216,2260500
2016-11-03,124.687,124.687,122.5112,122.7747,2168200
2016-11-04,121.5422,123.2421,120.7858,120.8963,2702100
2016-11-07,121.8652,122.1032,121.3298,122.0012,3010100
