date,open,high,low,close,volume
2016-04-21,22.3244,22.4639,22.1383,22.146,230800
2016-04-22,22.2391,22.2778,22.0142,22.0995,291800
2016-04-25,22.3399,22.3554,22.1693,22.2701,310600
2016-04-26,22.7121,22.7586,22.5802,22.6423,415000
2016-04-27,22.9757,23.092,22.8516,22.9757,286200
2016-04-28,22.6811,22.9835,22.6423,22.6888,302400
2016-04-29,22.65,22.681,22.4096,22.5725,429600
2016-05-02,22.6268,22.7043,22.5492,22.557,264600
2016-05-03,22.2856,22.4872,22.0064,22.0685,1152900
2016-05-04,21.8591,22.0142,21.7816,21.9289,588300
2016-05-05,21.7195,21.9754,21.7118,21.9599,413600
2016-05-06,21.9522,22.4019,21.9289,22.3631,846800
2016-05-09,22.4019,22.5725,22.2778,22.4872,1292800
2016-05-10,22.6345,22.8904,22.6268,22.8439,917700
2016-05-11,22.7043,22.8051,22.588,22.5957,1014600
2016-05-12,22.9059,23.0688,22.7121,22.9292,1967600
2016-05-13,22.588,22.7741,22.5802,22.6345,636000
2016-05-16,22.6113,22.9524,22.6035,22.8284,1030100
2016-05-17,22.8672,22.9369,22.7121,22.7586,473700
2016-05-18,22.7353,22.8904,22.5337,22.7586,449700
2016-05-19,22.6888,23.0688,22.588,22.9835,1807300
2016-05-20,23.2549,23.3402,23.1385,23.1463,302400
2016-05-23,23.1308,23.1696,23.0222,23.0377,791100
2016-05-24,23.2704,23.5263,23.2704,23.4642,375700
2016-05-25,23.9217,23.9295,23.7821,23.8597,1397100
2016-05-26,23.6891,23.7589,23.565,23.6891,845400
2016-05-27,23.6736,23.8985,23.6736,23.7977,382200
2016-05-31,23.7977,23.8674,23.6426,23.7356,1631600
2016-06-01,23.3634,23.5418,23.3324,23.5418,319100
2016-06-02,23.4022,23.4797,23.2859,23.472,418000
2016-06-03,23.4177,23.5185,23.2859,23.472,632100
2016-06-06,23.3789,23.7046,23.3634,23.6969,380400
2016-06-07,23.8597,24.0225,23.8597,23.976,287400
2016-06-08,24.1776,24.4645,24.1699,24.3482,1303300
2016-06-09,23.8907,23.9683,23.7899,23.8287,984900
