date,open,high,low,close,volume
2016-04-18,20.2506,20.4039,20.2348,20.361,1351600
2016-04-19,20.4039,20.4264,20.2889,20.3971,2511200
2016-04-20,20.3814,20.4107,20.3047,20.3272,2031200
2016-04-21,20.2912,20.2912,20.0837,20.1018,2263600
2016-04-22,20.1243,20.2551,20.1243,20.2235,2158800
2016-04-25,20.2123,20.2393,20.086,20.1694,2277200
2016-04-26,20.1987,20.3047,20.1627,20.2528,3123600
2016-04-27,20.2799,20.4039,20.1333,20.2844,2510800
2016-04-28,20.2303,20.3859,20.0928,20.1288,5052000
2016-04-29,20.068,20.2528,19.9552,20.2416,2884000
2016-05-02,20.2551,20.3272,20.1852,20.2821,1885600
2016-05-03,20.1965,20.2393,20.1356,20.2032,2226400
2016-05-04,20.1897,20.3205,20.1491,20.2551,1789200
2016-05-05,20.3317,20.3791,20.2573,20.2776,1904000
2016-05-06,20.2461,20.5437,20.2032,20.5166,3155200
2016-05-09,20.582,20.6812,20.5369,20.6203,2725600
2016-05-10,20.6857,20.7376,20.6316,20.7195,2201200
2016-05-11,20.6722,20.7331,20.6068,20.6158,1863600
2016-05-12,20.6812,20.7286,20.573,20.6722,1823600
2016-05-13,20.6654,20.7804,20.5865,20.6339,2799600
2016-05-16,20.6587,20.7624,20.6113,20.6835,2588000
2016-05-17,20.679,20.7218,20.5595,20.5775,2550800
2016-05-18,20.555,20.7083,20.4152,20.5482,3188800
2016-05-19,20.5054,20.679,20.4355,20.6113,2314800
2016-05-20,20.7218,20.8638,20.6654,20.7534,4133600
2016-05-23,20.7421,20.8548,20.7398,20.8142,2064800
2016-05-24,20.8638,21.2291,20.8458,21.2133,4123600
2016-05-25,21.2764,21.2764,21.0667,21.1524,3258800
2016-05-26,21.1637,21.3125,21.1479,21.1817,2289600
2016-05-27,21.184,21.441,21.1118,21.4387,3155200
2016-05-31,21.4049,21.5289,21.2539,21.3734,14615600
2016-06-01,21.2832,21.3779,21.184,21.3756,1849200
2016-06-02,21.3689,21.5289,21.2967,21.5244,2648800
2016-06-03,21.4297,21.4793,21.2313,21.4162,1727600
2016-06-06,21.4162,21.5402,21.2854,21.4613,1246000
2016-06-07,21.4568,21.5289,21.0735,21.4004,3023200
2016-06-08,21.4252,21.4545,21.3283,21.4523,1902400
2016-06-09,21.45,21.547,21.3373,21.5402,2121200
2016-06-10,21.3801,21.441,21.2651,21.3102,1800400
2016-06-13,21.1479,21.3711,21.1073,21.2178,1628000
2016-06-14,21.2155,21.2561,21.0983,21.2223,1532000
2016-06-15,21.3012,21.3147,21.1817,21.202,1307200
2016-06-16,21.1817,21.3463,20.9743,21.3238,1400800
2016-06-17,21.3125,21.3147,21.0758,21.1975,1876000
2016-06-20,21.3824,21.4072,21.2268,21.2494,1504800
2016-06-21,21.3418,21.3689,21.2043,21.3057,1134800
2016-06-22,21.3553,21.4455,21.317,21.3283,1226000
2016-06-23,21.4478,21.574,21.4004,21.574,1347600
2016-06-24,20.9946,21.2606,20.9675,21.0419,4711600
2016-06-27,20.9585,20.9991,20.5707,20.6587,3159200
2016-06-28,20.848,21.0487,20.7601,21.0329,2994000
2016-06-29,21.2133,21.6191,21.1637,21.565,2700000
2016-06-30,21.6236,22.1286,21.547,22.1241,3268800
2016-07-01,22.0542,22.3338,21.8603,22.3022,2513200
2016-07-05,22.3428,22.4668,22.176,22.433,3245600
2016-07-06,22.2391,22.4759,22.2233,22.3879,2742000
2016-07-07,22.3969,22.4781,22.185,22.2662,1820400
2016-07-08,22.4713,22.4961,22.3473,22.4623,3339200
2016-07-11,22.4443,22.4443,21.9866,22.1106,3089200
2016-07-12,22.1715,22.2639,21.9663,21.9821,2418800
2016-07-13,22.1241,22.1557,21.9708,21.9798,1378400
2016-07-14,22.1084,22.1309,21.9798,22.0745,1876800
2016-07-15,22.1174,22.1873,21.9663,22.0046,1616000
2016-07-18,22.0881,22.1309,21.9212,22.0159,1828800
2016-07-19,21.9415,22.1196,21.8829,21.9641,2773600
2016-07-20,22.7825,24.5681,22.6833,24.0901,13518400
2016-07-21,24.1172,24.3539,24.0856,24.1916,5032800
2016-07-22,24.2096,24.3697,24.1668,24.3381,2791200
2016-07-25,24.2615,24.505,24.1961,24.399,2933200
2016-07-26,24.4193,24.5997,24.2209,24.4373,2675600
2016-07-27,24.4576,24.4576,24.2186,24.3404,1869200
2016-07-28,24.3336,24.4621,24.1487,24.39,2086800
2016-07-29,24.381,24.381,24.0991,24.1848,3634800
2016-08-01,24.1826,24.2908,24.1285,24.2164,1940800
2016-08-02,24.0879,24.2119,23.9706,23.9774,2487200
2016-08-03,23.9774,24.2998,23.8331,23.9706,3234000
2016-08-04,23.9796,24.2975,23.9639,24.0247,1981200
2016-08-05,24.1172,24.4418,23.9751,24.0991,2376800
2016-08-08,24.1239,24.1239,23.9391,24.0225,1731200
2016-08-09,24.0495,24.0834,23.9098,24.0834,2129600
2016-08-10,24.0631,24.2434,24.0495,24.2096,1506800
2016-08-11,24.3269,24.3336,23.9909,24.2389,2580400
2016-08-12,24.1533,24.257,24.1059,24.2029,1237600
2016-08-15,24.1916,24.2412,24.1014,24.2186,1716000
2016-08-16,26.0561,26.5251,25.4564,25.4744,9035200
2016-08-17,25.7946,26.1711,25.6029,26.0742,6874800
2016-08-18,26.1485,26.1485,25.5082,25.6773,2694400
2016-08-19,25.5624,25.6751,25.4429,25.6548,4075600
2016-08-22,25.6571,25.7788,25.6232,25.7089,1711600
2016-08-23,25.7157,25.8532,25.5691,25.8216,1593600
2016-08-24,25.8374,25.8712,25.6773,25.8036,1489200
2016-08-25,25.7968,26.3041,25.7968,26.1621,3157200
2016-08-26,26.144,26.3492,25.8712,26.0877,2191200
2016-08-29,26.0539,26.2996,25.9366,26.2387,1726000
2016-08-30,26.1688,26.392,26.126,26.3875,2093600
2016-08-31,26.3988,26.5341,26.2658,26.4935,2848000
2016-09-01,26.604,26.604,26.3988,26.5363,1903600
2016-09-02,26.6558,26.87,26.6198,26.7934,2232400
2016-09-06,26.8565,27.0414,26.5701,26.8632,2182400
2016-09-07,26.7979,26.8204,26.6355,26.6716,2840800
2016-09-08,26.5634,26.5747,26.4078,26.4214,1958000
2016-09-09,26.259,26.3582,25.5962,25.6593,5355600
2016-09-12,25.7202,25.9096,25.648,25.8667,3718800
2016-09-13,25.648,25.7878,25.4474,25.4632,4372000
2016-09-14,25.4834,25.7157,25.382,25.5082,3331200
2016-09-15,25.4744,25.8307,25.373,25.7224,2726400
2016-09-16,25.6007,25.6954,25.4564,25.5488,4370400
2016-09-19,25.5984,25.7675,25.4947,25.5488,1578400
2016-09-20,25.7269,25.763,25.5533,25.6706,2008000
2016-09-21,25.6841,25.9005,25.4789,25.8622,2166800
2016-09-22,25.9253,26.2072,25.8622,25.9501,1569600
2016-09-23,25.9231,26.1215,25.6954,25.7382,1412800
2016-09-26,25.6683,25.6976,25.4992,25.5195,1738400
2016-09-27,25.5195,25.639,25.3256,25.5736,2927600
2016-09-28,26.8046,26.8069,26.0674,26.1914,5900800
2016-09-29,26.0516,26.1688,25.0461,25.1069,6044800
2016-09-30,25.2287,25.4339,25.1002,25.3865,5656000
2016-10-03,25.4248,25.6796,25.2873,25.3459,3142000
2016-10-04,25.3504,25.4203,24.8973,25.134,3355600
2016-10-05,25.1047,25.2309,24.9378,25.0077,3086000
2016-10-06,24.8905,25.2512,24.8702,25.1971,2028000
2016-10-07,25.258,25.258,24.877,24.904,2446000
2016-10-10,24.9897,25.1069,24.913,24.9762,1872000
2016-10-11,24.8702,25.0032,24.5704,24.647,2054000
2016-10-12,24.7056,24.8251,24.629,24.7439,1552800
2016-10-13,24.656,24.7485,24.4373,24.6493,1660000
2016-10-14,24.6786,24.8341,24.6267,24.6312,1298400
2016-10-17,24.5794,24.6989,24.3855,24.4058,1822800
2016-10-18,24.638,25.0325,24.417,24.4396,2201200
2016-10-19,24.39,24.5253,24.302,24.3674,2196400
2016-10-20,24.3268,24.3449,23.9346,24.027,3856800
2016-10-21,23.9278,24.0698,23.8669,23.9999,2665600
2016-10-24,24.1397,24.2592,24.0202,24.1172,1520000
2016-10-25,24.0428,24.1059,23.9143,24.0631,2392800
2016-10-26,23.9706,24.0856,23.8444,24.036,1853600
2016-10-27,24.0856,24.1239,23.7677,23.8241,1653200
2016-10-28,23.7925,24.0631,23.7384,23.8827,1883200
2016-10-31,23.9999,24.1533,23.8444,24.0495,2906800
2016-11-01,23.9999,24.0202,23.4386,23.5287,3372000
2016-11-02,23.4991,23.6269,23.4054,23.4237,2933200
2016-11-03,23.4534,23.5516,23.3095,23.5196,2328000
2016-11-04,23.5744,23.7137,23.4922,23.5356,1973200
2016-11-07,23.7822,23.9466,23.6977,23.9352,1752400
2016-11-08,23.9307,24.1978,23.8279,24.1225,1649200
2016-11-09,23.6429,24.6295,23.4876,24.5473,3264800
2016-11-10,24.5952,24.7528,24.5176,24.6592,3221600
2016-11-11,24.5016,24.8555,24.4331,24.8281,2598400
2016-11-14,24.9263,25.1136,24.7117,24.9012,2839200
2016-11-15,24.9743,25.02,24.7459,24.9241,2519600
2016-11-16,24.8327,24.9081,24.6569,24.8898,2294800
2016-11-17,24.8944,25.2803,24.8898,25.2118,2324400
2016-11-18,25.2049,25.5247,25.0611,25.511,6089200
2016-11-21,25.5726,25.7622,25.3465,25.7576,2372000
2016-11-22,25.7622,26.2669,25.7622,26.2258,2892400
2016-11-23,26.2783,26.4267,26.1664,26.3354,2333600
2016-11-25,26.4381,26.6048,26.2783,26.6026,1143600
2016-11-28,26.5295,26.6254,26.445,26.5203,2686400
2016-11-29,26.5318,26.5523,26.381,26.3947,2168000
2016-11-30,26.4016,26.4336,26.1207,26.1709,2870000
2016-12-01,26.1732,26.4929,26.0819,26.4655,2524800
2016-12-02,26.429,26.6756,26.3445,26.6391,2213200
