date,open,high,low,close,volume
2016-04-21,52.8182,53.2945,52.6682,52.9681,2546400
2016-04-22,52.9064,53.4709,52.6506,53.3121,3295400
2016-04-25,53.0034,53.1975,52.6506,53.1093,2087500
2016-04-26,53.1622,53.762,53.0651,53.4797,2071300
2016-04-27,53.3651,54.0266,53.0211,53.4356,1913200
2016-04-28,53.0122,53.3651,52.5536,52.6859,3109800
2016-04-29,52.2625,52.483,50.9658,51.4863,4419100
2016-05-02,51.4863,51.7156,51.1158,51.4863,5368700
2016-05-03,51.1687,51.4245,50.7365,50.8512,4575200
2016-05-04,50.4542,51.0099,50.2778,50.7541,5061400
2016-05-05,50.7189,50.9482,50.3307,50.7982,6259400
2016-05-06,49.7927,53.6385,49.581,53.4092,7383400
2016-05-09,53.4268,53.956,52.9681,53.6473,4114800
2016-05-10,53.6297,54.6441,53.4268,54.4588,3720200
2016-05-11,54.3001,54.6705,53.7179,53.8943,2931600
2016-05-12,54.0443,54.2118,53.3739,53.9208,2631200
2016-05-13,53.762,54.7675,53.6209,54.1148,3493600
2016-05-16,54.0707,54.7234,53.6914,54.5206,2984600
2016-05-17,54.2383,54.7411,54.0795,54.3706,4455000
2016-05-18,54.2912,55.041,54.1501,54.7058,2891100
2016-05-19,54.3265,54.8205,54.203,54.697,3594900
2016-05-20,54.6088,55.7731,54.6088,55.5173,4664500
2016-05-23,55.4203,55.482,54.4235,54.4588,3078400
2016-05-24,54.7234,55.5702,54.6441,55.4908,3669400
2016-05-25,55.5702,55.7025,55.1557,55.2174,3847800
2016-05-26,55.1468,55.4026,54.7323,54.9175,3132400
2016-05-27,55.1116,55.3321,54.8117,55.0939,2273600
2016-05-31,55.2174,55.2439,54.0443,54.1942,4503700
2016-06-01,54.1854,54.2912,53.7179,53.9208,3064700
2016-06-02,53.9472,54.1148,53.5327,54.106,2946800
2016-06-03,54.0883,54.0972,53.0122,53.0299,3859800
2016-06-06,52.9681,53.2945,52.4565,53.2327,4511100
2016-06-07,53.5768,53.859,53.1534,53.5679,3233200
2016-06-08,53.5591,54.4765,53.4621,54.353,3670800
2016-06-09,53.709,53.9472,53.268,53.7973,4381400
2016-06-10,53.1534,53.6209,52.7476,53.1622,4264200
2016-06-13,52.8535,53.7884,52.7123,52.9681,3202200
2016-06-14,52.9064,53.5591,52.8182,53.4533,3393600
2016-06-15,53.6826,53.6826,52.4918,52.5977,3783900
2016-06-16,52.2625,52.8005,51.6803,52.6682,3225800
2016-06-17,52.8182,52.9417,51.989,52.5271,3821400
2016-06-20,53.365,54.4764,53.2945,54.0707,3638400
2016-06-21,54.2118,54.5558,53.9737,54.3353,3178900
2016-06-22,54.2295,54.8205,54.1854,54.4412,3895600
2016-06-23,55.0763,55.3144,54.3618,55.3056,2894100
2016-06-24,52.924,52.9593,51.1246,51.1687,9228100
2016-06-27,50.6483,50.763,48.6636,48.9371,7965400
2016-06-28,49.731,50.0044,49.0606,49.3958,6468500
2016-06-29,50.0485,50.7277,49.6604,50.3572,6184000
2016-06-30,50.6042,50.7012,50.0132,50.4895,5863100
2016-07-01,50.419,51.3098,50.2778,50.4542,8307100
2016-07-05,50.0132,50.1632,49.4751,49.7486,6498700
2016-07-06,49.3781,50.1367,48.8841,50.0749,5234600
2016-07-07,50.1367,50.6924,49.9338,50.1367,2161200
2016-07-08,50.6218,51.301,50.3748,51.0981,3657400
2016-07-11,51.2305,51.7862,51.2305,51.548,2851000
2016-07-12,51.1511,51.7597,51.1158,51.4774,3313100
2016-07-13,51.7685,51.9185,51.204,51.5921,3024100
2016-07-14,52.1037,52.4036,51.8038,51.989,2711200
2016-07-15,50.7365,51.2216,49.8544,50.9482,6336400
2016-07-18,51.0188,51.1864,50.8335,51.1423,3645500
2016-07-19,51.0276,51.1952,50.7012,50.8688,4218100
2016-07-20,50.9306,51.8832,50.7189,51.795,3589200
2016-07-21,51.6362,51.892,51.3539,51.4333,3195200
2016-07-22,51.6803,51.6803,50.7453,51.4774,3820100
2016-07-25,51.3804,51.5127,51.054,51.5127,3175500
2016-07-26,51.4598,51.9626,51.451,51.7068,3349000
2016-07-27,51.645,51.645,51.054,51.3804,2685000
2016-07-28,51.4333,51.7156,50.7453,51.0629,2459900
2016-07-29,51.1864,51.2305,50.4278,50.71,2937900
2016-08-01,50.7894,51.5833,50.5954,51.5568,2993500
2016-08-02,51.2922,51.6097,50.7453,51.0276,3796800
2016-08-03,51.0276,51.4333,50.7189,51.2922,2503600
2016-08-04,51.354,52.0155,51.0629,51.8391,5096900
2016-08-05,51.2393,53.3386,50.1455,52.6682,8793700
2016-08-08,52.6065,52.6682,51.3716,51.4333,5272100
2016-08-09,51.3363,51.5745,50.7982,50.8688,4352000
2016-08-10,51.0629,51.0629,50.5513,50.7453,2878100
2016-08-11,51.0011,51.0893,50.3837,50.5689,3232100
2016-08-12,50.419,51.3804,50.3308,51.3363,3788800
2016-08-15,51.1599,51.4333,50.5336,51.054,5675800
2016-08-16,50.8512,51.1422,50.5248,50.5424,3664400
2016-08-17,50.4983,50.6748,49.7662,50.2778,5413000
2016-08-18,50.0926,50.2778,49.678,50.2249,3386700
2016-08-19,50.2955,50.8512,50.2161,50.4013,3386300
2016-08-22,50.2602,50.9923,50.1455,50.9306,2510300
2016-08-23,50.8071,51.7421,50.7453,51.2922,5375200
2016-08-24,51.1863,51.3804,50.5865,50.8688,4697900
2016-08-25,50.8953,51.1334,50.5777,50.7806,2349500
2016-08-26,50.8247,51.3363,50.5689,51.0452,3397200
2016-08-29,50.9394,51.2481,50.6747,51.0276,2221100
2016-08-30,51.2393,51.3275,50.7277,51.0805,2430100
2016-08-31,50.9217,51.0805,50.3307,50.6659,3368000
2016-09-01,50.9394,51.0452,50.2337,50.7982,3352400
2016-09-02,51.1158,51.698,51.054,51.4774,3672700
2016-09-06,51.3981,51.7421,51.2657,51.7421,2586100
2016-09-07,51.7685,52.042,51.3539,51.4951,3824300
2016-09-08,51.0982,51.107,49.4487,49.5369,5701400
2016-09-09,49.7133,49.7133,48.7166,48.7166,4507500
2016-09-12,48.6636,49.8544,48.5578,49.7486,5593400
2016-09-13,49.1488,49.1929,48.055,48.5137,6676900
2016-09-14,47.6581,48.4961,47.5875,47.6581,4650700
2016-09-15,46.9789,47.9933,46.6702,47.7198,6539000
2016-09-16,47.5787,47.6052,46.6261,47.0318,7784700
2016-09-19,47.3846,47.6493,46.7584,47.0406,4467700
2016-09-20,47.2788,47.3494,46.7055,46.7143,5230600
2016-09-21,46.7319,47.1818,46.679,47.1465,3942100
2016-09-22,47.6581,47.9139,47.2964,47.8169,5048500
2016-09-23,47.7551,48.1256,47.3758,47.9933,4752200
2016-09-26,47.9403,47.9403,47.2876,47.7639,4193600
2016-09-27,47.7816,48.2932,47.5611,47.9845,2797800
2016-09-28,48.0638,48.4784,47.7816,48.4167,5013300
2016-09-29,48.6989,49.334,48.5049,48.5137,4911900
2016-09-30,43.0713,43.8917,40.0811,42.0834,53397200
2016-10-03,42.9214,45.2148,42.7802,44.4562,16804000
2016-10-04,45.0736,45.2059,44.0328,44.1827,7811100
2016-10-05,44.4209,45.3647,44.1563,44.8972,5255100
2016-10-06,45.056,45.3471,44.6502,45.1707,4083200
2016-10-07,45.2324,45.3118,44.3503,44.4121,3834100
2016-10-10,44.7825,44.9413,44.4209,44.5003,2792300
2016-10-11,44.4297,44.5973,43.6976,44.0063,3735500
2016-10-12,44.9325,44.9325,43.874,44.0857,3760900
2016-10-13,43.9181,45.3118,43.8211,45.2059,9047900
2016-10-14,44.7208,45.5676,44.3944,44.4033,6275400
2016-10-17,44.5356,44.9148,44.1563,44.1915,3351100
2016-10-18,44.3415,44.6591,43.8387,44.2974,4249700
2016-10-19,44.4826,44.8443,44.3239,44.4474,3236000
2016-10-20,44.7208,44.7208,43.8564,44.1739,5683200
2016-10-21,44.0416,44.121,43.53,43.8475,4665100
2016-10-24,44.2798,44.8972,44.2004,44.5003,6622600
2016-10-25,44.4474,45.0207,44.3768,44.6679,7715600
2016-10-26,44.5885,45.0913,44.4826,44.8708,3386500
2016-10-27,45.0207,45.4265,44.8619,45.25,3780300
2016-10-28,45.4441,45.8322,45.3383,45.4882,6042400
2016-10-31,45.7793,45.8498,45.1266,45.2941,3865700
2016-11-01,45.8587,45.8587,45.0913,45.4265,4121400
2016-11-02,45.4176,46.0351,45.1795,45.3471,3494500
2016-11-03,45.4441,45.8146,45.3206,45.5588,5407600
2016-11-04,45.4529,46.7319,45.4265,45.9381,8291600
2016-11-07,47.6316,48.7342,47.2082,48.2932,10761800
2016-11-08,48.2932,48.7166,47.9227,48.4167,6802200
2016-11-09,46.3173,46.9171,45.3912,46.7584,21742600
