date,open,high,low,close,volume
2016-04-21,66.4519,67.2104,66.1054,66.295,8278600
2016-04-22,66.5173,67.0142,66.3604,66.6938,5754000
2016-04-25,66.3408,66.5369,65.9224,66.367,6612100
2016-04-26,66.72,67.328,66.4977,66.8769,5650700
2016-04-27,67.2757,67.9557,66.9357,67.8968,8383600
2016-04-28,67.4261,68.1649,66.72,66.9488,7598000
2016-04-29,66.125,67.0992,65.7785,66.805,8826900
2016-05-02,66.5762,67.8969,66.5566,67.5438,6844500
2016-05-03,66.8573,66.9161,66.0662,66.2427,7033600
2016-05-04,66.0727,66.8834,65.6347,65.7654,7444100
2016-05-05,66.5893,67.0796,65.942,66.3081,6474300
2016-05-06,65.9289,67.145,65.9289,66.5958,5966800
2016-05-09,66.4389,66.5566,64.7782,65.6085,9342100
2016-05-10,65.7982,66.2231,65.6478,66.2101,6698100
2016-05-11,66.1904,66.5173,65.4778,66.125,6850700
2016-05-12,66.7854,66.9619,66.0858,66.7658,6532400
2016-05-13,66.4454,66.7135,65.6151,65.8635,5665200
2016-05-16,66.6023,67.0796,66.295,66.8769,6779400
2016-05-17,66.7778,67.5112,66.2955,66.5664,7028000
2016-05-18,66.6655,66.91,65.7009,66.1105,5927500
2016-05-19,65.5819,66.1237,65.093,65.9717,6241100
2016-05-20,66.2691,66.3352,65.7339,65.9321,4707100
2016-05-23,65.5291,66.1568,65.4564,65.6612,4231200
2016-05-24,66.0312,66.573,65.8198,66.1964,4383300
2016-05-25,66.6126,67.379,66.6126,67.2403,5428200
2016-05-26,67.2932,67.6367,66.7117,67.0619,4147200
2016-05-27,66.9826,67.4649,66.6457,67.4055,5008900
2016-05-31,67.4914,67.5773,66.4475,66.7316,8141800
2016-06-01,66.2294,66.9826,65.9982,66.8174,4815200
2016-06-02,66.3351,66.4475,65.8859,66.421,6714100
2016-06-03,66.5003,66.824,66.0708,66.5069,4957800
2016-06-06,66.9562,67.4187,66.6787,66.8439,5948200
2016-06-07,67.2865,68.5155,67.1346,68.2644,9807000
2016-06-08,68.4164,68.7665,67.8349,68.1124,6318100
2016-06-09,67.4187,68.1389,67.4121,67.9274,4247500
2016-06-10,67.7028,68.0332,66.9033,67.3791,8108400
2016-06-13,67.0619,68.119,66.9826,67.4583,6360100
2016-06-14,67.2337,67.4253,66.4144,66.9166,6924000
2016-06-15,66.4871,67.1544,66.236,66.4871,5627000
2016-06-16,66.051,66.9033,65.2582,66.7778,8043000
2016-06-17,67.0223,67.2205,66.3351,67.1082,8762200
2016-06-20,67.9737,68.3173,67.7887,67.7953,6627000
2016-06-21,67.8481,68.3503,67.5706,68.2115,4938700
2016-06-22,68.3833,68.4164,67.5178,67.5839,4866400
2016-06-23,68.3503,69.011,68.0992,69.0044,5593600
2016-06-24,67.0355,68.0596,66.8439,67.3262,11481400
2016-06-27,66.8968,66.9959,65.7537,66.3087,8248700
2016-06-28,66.8769,67.3923,66.4937,67.1478,7171100
2016-06-29,67.7358,69.163,67.5905,68.3305,8887500
2016-06-30,68.423,69.3744,68.238,69.2621,7649700
2016-07-01,69.229,69.2951,68.5683,68.8128,6117800
2016-07-05,68.3833,68.6278,67.9539,68.4296,7766600
2016-07-06,68.2248,69.1101,67.6962,69.0969,6166900
2016-07-07,69.3017,69.3744,67.4848,68.086,7707400
2016-07-08,68.6344,69.3546,68.053,69.2224,9043600
2016-07-11,69.2489,70.0351,69.2423,69.6321,7206100
2016-07-12,70.2333,70.894,70.154,70.5504,8377200
2016-07-13,70.5505,70.828,69.9426,70.4646,5959900
2016-07-14,70.828,71.079,70.3192,70.4976,4750900
2016-07-15,70.9139,71.0526,70.2928,70.7156,6164300
2016-07-18,70.4778,70.5306,70.0483,70.0946,4931500
2016-07-19,70.0219,70.2135,69.8039,70.0615,4630800
2016-07-20,69.9889,70.121,69.3744,69.7642,6802000
2016-07-21,69.6387,69.936,69.2885,69.6321,5701000
2016-07-22,69.8237,70.0351,69.5065,69.8105,5255400
2016-07-25,69.2819,69.4471,67.9076,68.0992,7784000
2016-07-26,67.7689,68.1587,67.4451,67.8415,6101100
2016-07-27,67.8415,68.2644,67.2601,67.564,5412200
2016-07-28,67.4517,67.5376,66.7184,67.2535,8226200
2016-07-29,66.421,67.8283,65.9717,67.7094,10157600
2016-08-01,66.9496,67.4584,65.1591,65.4828,11550600
2016-08-02,65.7537,66.1171,64.69,65.8,9752700
2016-08-03,65.8396,66.4937,65.6017,66.4739,6611700
2016-08-04,66.2559,66.7844,66.0709,66.3285,6088100
2016-08-05,66.725,66.7778,65.8859,66.4078,6710500
2016-08-08,66.725,67.1809,66.5466,66.8637,5447500
2016-08-09,67.2932,67.3923,66.5796,66.943,4957300
2016-08-10,67.161,67.2667,66.0312,66.1634,5081300
2016-08-11,66.5003,67.2998,66.3285,66.9958,4836600
2016-08-12,67.2205,67.6103,66.9033,67.498,5199000
2016-08-15,67.7953,68.0926,67.6698,67.901,4886300
2016-08-16,67.901,68.0067,67.6103,67.8019,5384300
2016-08-17,67.7685,68.3027,67.4481,68.2493,5311600
2016-08-18,68.523,69.1706,68.1424,69.1373,6944400
2016-08-19,68.8168,68.8568,68.1825,68.316,5057200
2016-08-22,67.9355,68.3695,67.595,68.0623,5494900
2016-08-23,68.1224,68.2159,67.7685,67.8887,4929700
2016-08-24,67.7018,68.296,67.6216,68.2359,5178300
2016-08-25,68.296,68.296,67.7886,68.0289,4490100
2016-08-26,68.1758,68.4229,67.3412,67.6484,4776200
2016-08-29,67.5949,68.2559,67.4347,68.1357,4026900
2016-08-30,68.1357,68.523,67.6817,67.9021,3712800
2016-08-31,67.5682,67.655,66.7136,67.1543,6249100
2016-09-01,67.0007,67.1543,66.4132,66.9072,6045000
2016-09-02,67.3612,67.7418,66.9406,67.388,4676600
2016-09-06,67.5749,68.5097,67.4147,68.3895,5429000
2016-09-07,68.6031,68.8034,68.2626,68.6899,5284300
2016-09-08,68.997,69.6714,68.4162,69.5178,5788800
2016-09-09,69.0037,69.0438,67.5882,67.6149,7808700
2016-09-12,67.5682,68.4696,67.1476,68.2693,8149100
2016-09-13,67.8687,67.8687,66.2128,66.3864,9300400
2016-09-14,66.1795,66.7337,65.5452,65.7121,8201400
2016-09-15,65.7655,67.0274,65.7188,66.4332,6701600
2016-09-16,65.652,65.9725,65.1179,65.3249,12725600
2016-09-19,65.652,65.9992,65.425,65.4584,6182000
2016-09-20,65.5452,65.7522,65.218,65.2314,5771900
2016-09-21,65.6653,66.56,65.5986,66.52,6361600
2016-09-22,67.1142,67.2678,66.6602,66.7537,5416700
2016-09-23,66.3264,67.1343,66.0126,66.2463,7396800
2016-09-26,66.4265,66.954,65.8724,65.9525,5781800
2016-09-27,65.5919,66.54,65.2915,66.086,6476100
2016-09-28,66.4465,68.2893,65.9324,68.2025,10190900
2016-09-29,68.1023,68.2826,67.0875,67.6149,8148400
2016-09-30,67.9889,69.1706,67.5883,68.7166,9431500
2016-10-03,68.4696,68.6565,68.0423,68.4028,4334700
2016-10-04,68.5764,68.7166,67.2744,67.6149,6505400
2016-10-05,68.0957,68.6832,67.9355,68.2559,5912800
2016-10-06,68.316,68.5697,67.6617,68.2225,4362900
2016-10-07,68.4362,69.0839,68.2292,68.2826,5844500
