date,open,high,low,close,volume
2016-04-21,40.9364,40.9629,39.5742,39.7776,15330300
2016-04-22,38.4154,39.5123,38.1766,39.468,14258600
2016-04-25,39.3796,39.698,38.7339,38.8577,8774300
2016-04-26,39.0523,39.3796,38.0882,38.557,11545700
2016-04-27,38.6985,39.1319,38.2828,38.6454,9097500
2016-04-28,38.4243,38.7427,37.8228,37.9113,10229800
2016-04-29,37.637,37.7786,36.4606,36.8587,16658500
2016-05-02,37.2479,37.584,36.9737,37.3009,10701800
2016-05-03,37.9643,38.212,37.0002,37.9643,14319500
2016-05-04,37.4778,37.6459,36.4164,36.6464,14925300
2016-05-05,36.7879,37.3894,36.6641,36.9294,10271100
2016-05-06,36.8056,37.3805,36.2218,37.1859,10777200
2016-05-09,37.3679,38.0156,37.2614,37.6252,10512100
2016-05-10,37.7051,38.1931,37.6341,38.1133,9299300
2016-05-11,37.8825,38.4327,37.5276,37.5364,9037700
2016-05-12,37.6607,37.6873,36.0634,36.445,13454000
2016-05-13,36.161,37.43,36.161,36.9153,10758600
2016-05-16,37.7583,38.2996,37.3146,38.1576,12303100
2016-05-17,37.9713,39.4,37.9358,38.7522,16203000
2016-05-18,38.5569,39.6307,38.5569,38.9208,10382900
2016-05-19,38.3972,38.9385,37.7583,38.2464,8860800
2016-05-20,38.5303,38.8853,38.131,38.2464,5964600
2016-05-23,38.1576,38.6901,38.0778,38.1133,5227000
2016-05-24,38.2464,38.8409,38.202,38.7167,9359900
2016-05-25,38.761,39.1426,38.4948,38.6013,7600800
2016-05-26,38.5747,38.6901,37.6252,37.9447,8512400
2016-05-27,38.0068,38.5481,37.989,38.2641,5509400
2016-05-31,38.3795,38.6102,37.847,38.5658,9315100
2016-06-01,38.5658,38.7877,38.2197,38.6102,7047600
2016-06-02,37.9535,38.5658,37.6252,37.6696,10103500
2016-06-03,37.4655,37.6252,36.6047,36.8887,15958000
2016-06-06,36.862,36.9153,36.3829,36.6313,11538400
2016-06-07,36.6934,37.989,36.3829,37.359,11445900
2016-06-08,37.4477,37.6696,36.4716,37.1371,13861700
2016-06-09,37.0484,37.7849,36.8443,37.6252,7618100
2016-06-10,37.3235,37.5276,36.7467,37.3057,6787900
2016-06-13,36.9064,37.004,35.9658,36.0013,9946500
2016-06-14,35.8593,35.9924,34.2886,34.7057,15065800
2016-06-15,34.9364,35.3002,34.4572,34.5105,11044000
2016-06-16,34.049,34.2265,33.5787,33.7384,13086600
2016-06-17,33.6674,33.9337,33.4367,33.7296,11157800
2016-06-20,34.1023,34.3685,33.7207,33.8006,9921200
2016-06-21,34.3152,34.6081,33.7651,34.3152,11997900
2016-06-22,34.2265,34.7501,34.1644,34.2088,7029400
2016-06-23,34.6081,34.6702,33.4811,33.9958,10956200
2016-06-24,32.0258,32.9043,31.2094,31.2183,26090700
2016-06-27,30.9166,31.0053,28.9288,29.6032,28380600
2016-06-28,30.4107,30.7657,29.8162,30.7657,19678200
2016-06-29,31.4135,32.2831,30.9787,32.1589,15059700
2016-06-30,32.1766,32.3275,31.7063,32.3275,12413700
2016-07-01,32.3098,32.8333,32.221,32.6292,9408400
2016-07-05,31.9459,32.1589,30.8633,31.6087,14239500
2016-07-06,31.023,31.5998,30.2421,31.5732,14540000
2016-07-07,31.5377,32.3719,31.5022,32.2742,8775800
2016-07-08,32.7446,33.4988,32.7091,33.1616,12621000
2016-07-11,33.4279,34.12,33.3657,33.8272,11994100
2016-07-12,34.7856,35.8593,34.7234,35.6818,19533000
2016-07-13,35.9392,36.0279,34.9808,35.105,13885600
2016-07-14,35.7883,36.6934,35.6375,36.3651,18543000
2016-07-15,35.9037,35.9747,35.2381,35.4777,15192400
2016-07-18,35.6463,35.9569,35.5487,35.5842,8285500
2016-07-19,35.389,36.0101,35.0518,35.9658,9297000
2016-07-20,36.1078,36.5781,35.4422,35.6818,9541900
2016-07-21,34.7057,34.8388,33.9603,34.1821,17399700
2016-07-22,34.6702,34.7767,34.1023,34.5726,9579300
2016-07-25,34.7589,34.8388,34.2088,34.5726,7160500
2016-07-26,34.5815,34.9009,34.262,34.6347,9038700
2016-07-27,34.5016,34.5371,34.1644,34.1999,8671900
2016-07-28,34.1644,35.0873,33.9425,34.9275,7354100
2016-07-29,34.9364,35.4067,34.3774,34.3862,10468200
2016-08-01,34.5371,35.0606,34.4129,35.034,8965300
2016-08-02,34.4483,34.475,32.2033,32.292,19993500
2016-08-03,32.2831,32.7179,32.0968,32.3719,10994100
2016-08-04,32.4074,32.5493,31.9637,32.4251,8825300
2016-08-05,32.8155,33.4811,32.7091,33.4278,8097500
2016-08-08,33.2415,33.9337,33.1528,33.2237,10029100
