date,open,high,low,close,volume
2016-04-21,25.0047,25.1724,24.7652,24.8994,9903606
2016-04-22,25.0814,25.3017,25.0335,25.2011,9076416
2016-04-25,25.1053,25.1676,24.7365,25.1676,12006172
2016-04-26,25.388,25.8095,25.3736,25.7089,13044777
2016-04-27,25.6514,25.8574,25.4981,25.6754,12006508
2016-04-28,25.4167,25.8047,25.1197,25.5891,15318289
2016-04-29,25.6323,25.7185,25.0431,25.2011,12015912
2016-05-02,25.3305,25.3688,25.0766,25.2203,18366263
2016-05-03,24.8754,24.9952,24.6598,24.7988,10783692
2016-05-04,24.473,24.7269,24.3964,24.6167,10405193
2016-05-05,24.7605,24.8994,24.2862,24.3581,8103302
2016-05-06,24.3102,24.5497,24.2862,24.5066,7151177
2016-05-09,24.4539,24.5018,24.2814,24.3533,6642202
2016-05-10,24.6359,24.7652,24.4635,24.6886,5334920
2016-05-11,24.7461,24.8131,24.4874,24.5497,6051280
2016-05-12,24.8898,24.9473,24.5257,24.6886,8138733
2016-05-13,24.6503,24.7221,24.1329,24.2144,8402709
2016-05-16,24.2527,24.7317,24.2383,24.7173,8641495
2016-05-17,24.6407,24.9808,24.612,24.6742,9086996
2016-05-18,24.5401,24.7796,24.1856,24.3389,8787253
2016-05-19,24.1186,24.3245,23.9557,24.3197,10737513
2016-05-20,24.4443,24.7796,24.406,24.6024,9216800
2016-05-23,24.5545,25.1772,24.5113,25.0335,13315134
2016-05-24,25.1628,25.3448,25.1293,25.3017,11516173
2016-05-25,25.3448,25.6323,25.3065,25.3209,16445726
2016-05-26,25.4167,25.4407,24.861,24.9042,8583898
2016-05-27,24.7796,25.0718,24.7509,24.9952,8044025
2016-05-31,24.9664,24.9904,24.473,24.6024,12418088
2016-06-01,24.4635,24.7652,24.2527,24.7078,8530498
2016-06-02,24.6742,25.0287,24.4682,25.0239,13362152
2016-06-03,25.0622,25.5077,24.976,25.4646,16245729
2016-06-06,25.5317,25.8095,25.5221,25.6897,15666058
2016-06-07,25.776,25.8047,25.6897,25.7233,11305429
2016-06-08,25.7424,25.7855,25.5844,25.7137,17617998
2016-06-09,25.5077,25.7137,25.3401,25.6706,10733483
2016-06-10,25.5556,25.7185,25.4454,25.57,12475350
2016-06-13,25.3975,25.546,25.1964,25.2395,9259621
2016-06-14,25.1964,25.2826,24.7509,24.9712,12791381
2016-06-15,24.9664,25.091,24.77,24.8419,10779158
2016-06-16,24.7413,25.0335,24.5736,25.0,12134802
2016-06-17,25.0095,25.3592,24.9473,25.3544,14073307
2016-06-20,25.5317,25.8382,25.4215,25.4215,16012148
2016-06-21,25.5029,25.6418,25.4071,25.5173,10716019
2016-06-22,25.57,25.6706,25.4598,25.4933,8330334
2016-06-23,25.7472,25.8382,25.6275,25.7137,12763338
2016-06-24,24.861,25.1676,24.612,24.703,25669243
2016-06-27,24.4587,24.5593,23.721,23.9365,20553295
2016-06-28,24.1686,24.2121,23.0856,23.4482,23645097
2016-06-29,23.719,24.0622,23.6561,23.8834,17696418
2016-06-30,23.9027,24.1734,23.777,24.0332,18784728
2016-07-01,24.0139,24.2508,23.9075,23.951,16289557
2016-07-05,23.8205,23.9075,23.5498,23.5739,13708578
2016-07-06,23.337,23.3902,22.9696,23.2645,14851295
2016-07-07,23.2887,23.5111,23.1098,23.3032,9195306
2016-07-08,23.5788,23.9849,23.25,23.8834,15849934
2016-07-11,23.9365,24.2895,23.9075,24.1009,9519734
2016-07-12,24.2943,24.831,24.2798,24.6327,12014401
2016-07-13,24.7488,24.7971,24.6037,24.7439,7443699
2016-07-14,24.9857,25.2371,24.8793,25.0437,8244357
2016-07-15,25.0969,25.2081,24.9905,25.1694,6032137
2016-07-18,25.1645,25.4981,25.0388,25.4304,6592832
2016-07-19,25.2371,25.445,25.1887,25.3144,5591339
2016-07-20,25.3241,25.6964,25.2177,25.5997,8314717
2016-07-21,25.619,25.6238,25.2806,25.3821,8065687
2016-07-22,25.4498,25.7495,25.3483,25.6819,6485530
2016-07-25,25.6045,25.7785,25.4981,25.7544,7082329
2016-07-26,25.8607,26.0976,25.8414,25.8849,11272852
2016-07-27,25.8462,26.0493,25.6722,25.9284,7618507
2016-07-28,26.059,26.1605,25.8076,25.9478,10991748
2016-07-29,26.1025,26.1943,25.9091,25.9478,16278642
2016-08-01,26.0009,26.1073,25.7834,25.9381,16995170
2016-08-02,25.9381,25.9381,25.474,25.6867,6854625
2016-08-03,25.735,25.9333,25.5803,25.8317,4718642
2016-08-04,25.7882,25.9381,25.6915,25.8607,4543666
2016-08-05,25.9333,26.0009,25.8414,25.9333,6550852
2016-08-08,25.8462,26.0396,25.8414,25.9139,8387260
2016-08-09,25.9574,25.9623,25.735,25.8124,4762638
2016-08-10,25.8946,25.9091,25.7592,25.8414,5293611
2016-08-11,25.8897,25.9526,25.6528,25.9333,9907300
2016-08-12,25.8607,25.9043,25.2129,25.2999,12360490
2016-08-15,25.2854,25.6819,25.2661,25.5223,9823843
2016-08-16,25.5223,25.6577,25.3096,25.3144,6262863
2016-08-17,25.3193,25.5513,25.1936,25.4498,6459669
2016-08-18,25.3773,25.735,25.3773,25.735,10190419
2016-08-19,25.5997,25.8994,25.5997,25.8269,7435975
2016-08-22,25.7737,25.9091,25.6335,25.8656,5576058
2016-08-23,25.9526,26.1025,25.7447,26.0009,8316900
2016-08-24,25.9864,26.0154,25.8511,25.9188,8015982
2016-08-25,25.9381,26.1653,25.9043,26.117,10170268
2016-08-26,26.175,26.291,25.8172,25.9284,8761560
2016-08-29,25.9671,26.3055,25.9671,26.1702,8538223
2016-08-30,26.1363,26.349,26.0686,26.1025,10631889
2016-08-31,25.9913,26.0638,25.8269,25.9333,8746279
2016-09-01,25.9816,26.1363,25.8317,26.0106,6204594
2016-09-02,26.1605,26.262,26.059,26.1943,6473103
2016-09-06,26.1992,26.2814,25.9719,26.059,6940266
2016-09-07,25.9864,26.088,25.8559,26.059,8940902
2016-09-08,26.0638,26.262,25.8511,26.2475,16719441
2016-09-09,26.0686,26.3926,25.7205,25.8221,21124738
2016-09-12,25.6238,25.677,25.2516,25.5803,12138160
2016-09-13,25.3821,25.3918,24.9325,25.1597,11352615
2016-09-14,25.1887,25.4063,25.0437,25.3241,10129295
2016-09-15,25.3047,25.619,25.2419,25.5513,9166759
2016-09-16,25.4498,25.5513,25.2999,25.4885,12588026
2016-09-19,25.619,25.7254,25.5707,25.6287,13548379
2016-09-20,25.8027,25.8366,25.4111,25.4159,8357201
2016-09-21,25.4159,25.6093,25.2854,25.4981,12022797
2016-09-22,25.6432,25.7254,25.4063,25.4111,6956554
2016-09-23,25.3144,25.503,25.1839,25.2564,10131142
2016-09-26,25.2419,25.2709,25.15,25.2032,8465176
2016-09-27,25.2129,25.4353,25.15,25.4159,6720790
2016-09-28,25.5671,25.5964,25.1965,25.5233,9942564
2016-09-29,25.5233,25.6647,25.1916,25.2306,8528483
2016-09-30,25.3818,25.4989,25.2599,25.2794,11166221
2016-10-03,25.5281,25.8013,25.4306,25.5671,11782499
2016-10-04,25.5915,25.7281,25.2355,25.294,11559833
2016-10-05,25.3769,25.85,25.3525,25.7037,10689487
2016-10-06,25.6793,26.1476,25.5476,26.1378,13636539
2016-10-07,26.1378,26.2061,25.7476,25.8452,11435737
2016-10-10,26.1085,26.289,26.0305,26.1134,8757866
2016-10-11,26.0646,26.1085,25.811,26.1037,8335371
2016-10-12,26.0988,26.1866,25.7964,25.9525,5132069
2016-10-13,25.6549,25.8793,25.4501,25.8061,7592647
2016-10-14,25.8598,26.2207,25.8598,26.0354,7814810
2016-10-17,25.9622,26.2158,25.7427,25.85,8009097
2016-10-18,26.1183,26.289,26.0305,26.1866,7156886
2016-10-19,26.2792,26.4207,26.1427,26.3036,10793263
2016-10-20,26.2012,26.3231,26.0988,26.25,6286373
2016-10-21,26.0939,26.4353,26.011,26.3865,11036248
2016-10-24,26.4987,26.5182,26.3329,26.4548,8965923
2016-10-25,26.4695,26.4841,26.2158,26.3914,12604483
2016-10-26,26.2646,26.3426,26.0939,26.2207,10901070
2016-10-27,26.45,26.9182,26.3036,26.6109,18671884
2016-10-28,26.5914,26.7962,26.2695,26.2987,13663406
2016-10-31,26.4109,26.4109,26.1427,26.2451,9997475
2016-11-01,26.3524,26.3524,25.9915,26.2305,11945888
2016-11-02,26.1768,26.2158,26.05,26.1427,10417955
2016-11-03,26.1963,26.2061,25.9671,25.9768,8144107
2016-11-04,25.9671,26.0354,25.8208,25.9134,10427694
2016-11-07,26.211,26.3085,25.9573,26.1671,12606330
2016-11-08,26.1622,26.2061,25.9866,26.0598,13732087
2016-11-09,25.3916,26.3622,25.1672,26.2744,18761890
2016-11-10,26.2451,26.4987,26.1427,26.4109,18531332
2016-11-11,26.2841,26.3719,25.7915,26.1671,20775457
2016-11-14,26.2207,26.3719,25.8842,26.0744,13340154
2016-11-15,26.0646,26.1037,25.5184,25.9329,14214194
2016-11-16,25.9281,26.1963,25.8598,25.9378,7858805
2016-11-17,26.0061,26.0598,25.7135,26.0256,7146139
2016-11-18,25.9427,26.0841,25.8549,25.9622,10645827
2016-11-21,26.1183,26.3963,26.0988,26.3378,12517834
2016-11-22,26.2939,26.6109,26.1671,26.4987,18704964
2016-11-23,26.3768,26.5134,26.2841,26.3719,8163754
2016-11-25,26.3622,26.4841,26.2597,26.4256,4188676
2016-11-28,26.4012,26.5524,26.289,26.4939,11197958
2016-11-29,26.3622,26.4792,26.1866,26.3329,9321584
2016-11-30,26.4743,27.3523,26.4012,27.1767,30758491
2016-12-01,27.3181,27.5474,27.2108,27.3669,18448378
2016-12-02,27.3084,27.3279,27.006,27.0304,12803640
2016-12-05,27.1864,27.5717,27.1767,27.3425,19026369
2016-12-06,27.2596,27.4303,26.9426,27.4205,16673430
2016-12-07,27.3425,27.7961,27.284,27.7522,13762313
2016-12-08,27.7912,28.157,27.5571,28.0107,13594894
2016-12-09,28.0302,28.1668,27.8644,28.1473,11102410
2016-12-12,28.2448,28.5667,28.1814,28.4204,17322621
2016-12-13,28.3716,28.5521,28.1375,28.3619,12187026
2016-12-14,28.2741,28.4009,28.0058,28.1229,16453618
2016-12-15,28.0058,28.5228,28.0058,28.4594,9860786
2016-12-16,28.7472,28.7765,28.2546,28.4887,16592155
2016-12-19,28.7472,28.7472,28.4594,28.6691,9806379
2016-12-20,28.7277,28.7765,28.6009,28.6789,8354851
2016-12-21,28.7472,28.9374,28.6057,28.8155,8933850
2016-12-22,28.7862,28.8496,28.4887,28.6545,9302273
2016-12-23,28.6004,28.7332,28.5316,28.7233,5162799
2016-12-27,28.7381,28.9544,28.6988,28.7184,3537134
2016-12-28,28.802,28.8708,28.453,28.4628,5611993
2016-12-29,28.512,28.5808,28.2023,28.2268,5489409
2016-12-30,28.2957,28.3055,27.9761,28.1285,8314885
2017-01-03,28.1187,28.4775,27.7844,28.3153,11896854
2017-01-04,28.453,28.6447,28.3645,28.5415,8810426
2017-01-05,28.5562,28.6054,28.2268,28.4136,6944632
2017-01-06,28.4136,28.4579,28.0744,28.2367,8554847
2017-01-09,28.217,29.0429,28.2121,28.4087,18640650
2017-01-10,28.3694,28.4284,28.099,28.3497,9922749
2017-01-11,28.4628,28.6594,28.2318,28.6398,10902413
2017-01-12,28.6447,28.8118,28.5415,28.6545,10170604
2017-01-13,28.6447,28.6742,28.3792,28.4136,9688832
2017-01-17,28.276,28.276,28.0056,28.1826,8856941
2017-01-18,28.2858,28.3694,28.0646,28.3694,6533388
2017-01-19,28.453,28.512,27.9024,28.0646,6861342
2017-01-20,28.1285,28.3301,28.0105,28.2072,11859072
2017-01-23,28.2072,28.3497,27.9466,28.0892,8243853
2017-01-24,28.3055,29.3821,28.1924,29.3182,15456994
2017-01-25,29.21,29.6672,29.1756,29.5984,14630644
2017-01-26,29.7262,30.3062,29.5984,30.1932,17517076
2017-01-27,30.1883,30.3456,30.0949,30.1391,8836286
2017-01-30,29.9081,29.9474,29.4017,29.5689,9144425
2017-01-31,29.4165,29.4705,29.1068,29.3132,9651721
2017-02-01,29.3034,29.6623,29.1658,29.6426,9408233
2017-02-02,29.6328,29.7852,29.3673,29.4263,7064865
2017-02-03,29.4804,29.6328,29.2542,29.5984,7635468
2017-02-06,29.5099,29.5689,29.3968,29.505,6664200
2017-02-07,29.4509,29.5984,29.328,29.3919,5270437
2017-02-08,29.4214,29.4951,29.2493,29.3624,7934707
2017-02-09,29.4263,29.6672,29.3132,29.6229,6448419
2017-02-10,29.7606,30.1342,29.7016,30.0801,8004059
2017-02-13,30.0949,30.4046,30.085,30.262,6739597
2017-02-14,30.0113,30.3505,29.8048,30.3407,7587777
2017-02-15,30.2227,30.2522,30.0162,30.0359,13098513
2017-02-16,29.8982,30.203,29.8884,30.1883,7743106
2017-02-17,30.085,30.144,29.7409,30.1145,6822887
2017-02-21,30.0998,30.4095,30.0064,30.0949,8399014
2017-02-22,30.0801,31.6384,30.026,31.2992,31541181
2017-02-23,31.2796,31.4025,30.9846,31.1518,10488986
2017-02-24,30.9502,31.2599,30.8814,31.2403,8847033
2017-02-27,31.0682,31.2697,30.8273,30.9256,12192399
2017-02-28,30.7732,30.9109,30.4636,30.6061,12255370
2017-03-01,30.906,31.2845,30.8322,31.196,14897642
2017-03-02,31.1764,31.2993,31.083,31.1419,9498240
2017-03-03,31.1911,31.2698,30.9945,31.0977,5997041
2017-03-06,31.0731,31.4467,30.9011,31.2206,12256042
2017-03-07,31.1272,31.2157,31.024,31.0436,12814555
2017-03-08,31.078,31.4861,30.9699,31.1075,11629857
2017-03-09,31.1026,31.3091,30.8765,31.2353,10025518
2017-03-10,31.3779,31.486,31.1813,31.3828,9234264
2017-03-13,31.4025,31.5795,31.3484,31.5155,7368470
2017-03-14,31.4566,31.5205,31.196,31.3042,5923826
2017-03-15,31.4221,31.7073,31.3484,31.6778,7437486
2017-03-16,31.663,31.6974,31.2943,31.3926,8066023
2017-03-17,31.5352,31.6483,31.373,31.4762,18374324
2017-03-20,31.4369,31.7859,31.3238,31.7073,11043637
2017-03-21,31.7269,31.8203,30.9256,31.0092,16657477
2017-03-22,30.9011,30.9355,30.4636,30.8667,15558923
2017-03-23,30.7978,31.4271,30.7241,31.3779,12840919
2017-03-24,31.2993,31.5893,30.8765,31.0092,9965570
2017-03-27,30.7831,31.7859,30.6356,31.4713,13956264
2017-03-28,31.3976,32.1595,31.2255,31.953,14265411
2017-03-29,31.8243,32.0273,31.7154,31.8936,6495773
