date,open,high,low,close,volume
2016-08-17,11.1426,11.2707,11.0145,11.0145,271519
2016-08-18,11.2707,11.2707,10.8864,10.9505,1767366
2016-08-19,10.9377,11.1426,10.9249,11.1426,4735900
2016-08-22,11.0145,11.6805,10.912,11.181,2245909
2016-08-23,11.2066,11.7573,11.1426,11.5268,1483020
2016-08-24,12.8076,12.8076,11.5524,11.6805,2525979
2016-08-25,11.847,11.847,11.5524,11.6318,371646
2016-08-26,11.7702,11.7702,11.6523,11.7189,223415
2016-08-29,11.7317,12.0391,11.7317,11.8598,1390019
2016-08-30,11.847,11.9751,11.4115,11.5652,4805026
2016-08-31,11.4628,11.5524,11.2707,11.4448,9033877
2016-09-01,12.18,12.18,11.1426,11.1426,9048130
2016-09-02,11.2476,11.2476,10.9377,11.0094,8127033
2016-09-06,11.0785,11.847,10.7635,11.6421,56316264
2016-09-07,11.5447,12.6487,11.5319,12.2953,147907159
2016-09-08,12.4105,13.0355,12.4003,12.887,41159318
2016-09-09,12.764,12.8511,12.3286,12.5719,26618101
2016-09-12,12.3106,12.7307,12.221,12.6539,13989272
2016-09-13,12.3286,12.7154,12.2978,12.4233,18045663
2016-09-14,12.3952,12.4541,12.2953,12.3849,17208658
2016-09-15,12.326,12.5591,12.3004,12.5232,17208302
2016-09-16,12.4566,12.5489,12.326,12.4157,17786615
2016-09-19,12.3567,12.5232,12.3362,12.4899,16264400
2016-09-20,12.472,12.536,12.3388,12.4823,12000986
2016-09-21,12.3926,12.5514,12.3644,12.4028,14885427
2016-09-22,12.4208,12.4874,12.2722,12.3029,17054370
2016-09-23,12.262,12.4157,12.2492,12.2978,7449305
2016-09-26,12.2235,12.3106,12.2133,12.2671,10128504
2016-09-27,12.2389,12.2901,12.2056,12.2415,9831330
2016-09-28,12.2645,12.3234,12.1749,12.2594,8013722
2016-09-29,12.1954,12.2773,12.1697,12.1851,5912124
2016-09-30,12.2389,12.3209,12.1826,12.244,6165827
2016-10-03,12.2005,12.3081,12.1902,12.2773,5345926
2016-10-04,12.2517,12.2953,12.1979,12.2594,5993010
2016-10-05,12.2287,12.5156,12.1672,12.4157,6621209
2016-10-06,12.4157,12.4413,12.2876,12.3952,5139258
2016-10-07,12.3952,12.4157,12.2799,12.3132,3515134
2016-10-10,12.3132,12.3977,12.1288,12.1723,5420398
2016-10-11,12.0801,12.2261,12.0289,12.075,6247425
2016-10-12,12.0289,12.1544,11.9776,12.0673,5851549
2016-10-13,12.0135,12.1544,11.9469,12.0724,4783291
