date,open,high,low,close,volume
2016-04-18,60.9992,61.5485,60.6958,61.2861,809300
2016-04-19,61.5485,61.655,60.7204,60.9746,792100
2016-04-20,60.8762,61.5157,60.4498,61.2615,942600
2016-04-21,61.4337,62.147,60.0235,61.4911,1202900
2016-04-22,61.6059,61.901,60.9992,61.7371,1008200
2016-04-25,61.8518,61.901,60.9008,61.7862,1126700
2016-04-26,61.9338,62.311,61.7125,62.065,768000
2016-04-27,61.9338,62.311,61.7124,62.0814,1094500
2016-04-28,61.7698,62.4749,61.6059,61.7616,722600
2016-04-29,61.8026,62.4258,61.1303,61.6305,1125700
2016-05-02,61.9748,62.188,61.4173,61.6141,1091500
2016-05-03,61.1221,61.4993,60.704,61.3599,756800
2016-05-04,61.0811,61.6386,60.8188,61.4829,973000
2016-05-05,61.573,62.0568,61.3107,61.9092,988300
2016-05-06,61.6305,62.311,61.6141,62.1306,984700
2016-05-09,62.065,63.0324,62.0158,62.7537,1079700
2016-05-10,62.8439,62.8439,61.9994,62.5651,804800
2016-05-11,62.5241,63.0571,62.3683,62.4995,784300
2016-05-12,62.5569,62.7373,61.5731,62.0814,817700
2016-05-13,62.1224,62.5733,61.8026,62.27,1252600
2016-05-16,62.3109,62.9914,62.2781,62.9669,923600
2016-05-17,62.9669,63.221,62.188,62.4503,1188900
2016-05-18,62.4011,63.139,61.7862,62.9095,1008700
2016-05-19,62.7865,63.3194,62.1224,62.4421,617600
2016-05-20,62.6307,62.9177,62.1962,62.7373,1152700
2016-05-23,62.7373,62.7373,61.8928,62.393,1280500
2016-05-24,62.7865,63.7458,61.9994,63.6392,945100
2016-05-25,63.6883,64.0327,63.2046,63.4342,1203100
2016-05-26,63.4014,63.6146,62.7127,63.3276,1054600
2016-05-27,63.426,63.6392,63.1308,63.303,1217800
2016-05-31,63.426,63.9999,63.0406,63.2702,1701000
2016-06-01,62.9669,63.5736,62.8275,63.3604,888800
2016-06-02,63.139,64.1311,63.139,64.1311,1141700
2016-06-03,64.1147,64.1393,63.098,63.3522,1562600
2016-06-06,63.3522,63.9671,63.2128,63.7621,794100
2016-06-07,63.7457,64.2377,63.467,64.0819,928500
2016-06-08,63.9589,64.6968,63.6965,64.6558,1109100
2016-06-09,64.5984,64.746,64.1229,64.5656,1244800
2016-06-10,64.1967,64.5574,63.2948,63.4998,1290000
2016-06-13,63.2948,63.4834,62.4667,62.7045,1417900
2016-06-14,62.6553,63.549,62.3847,63.4752,1853100
2016-06-15,63.5408,63.9097,62.7373,62.8193,1190300
2016-06-16,62.4421,63.2866,62.2208,63.2128,1234100
2016-06-17,63.2374,63.3522,61.655,62.0896,1953900
2016-06-20,62.9095,64.2623,62.9095,63.8195,2059800
2016-06-21,64.0983,64.1311,63.4178,63.8441,884200
2016-06-22,64.0245,65.6807,63.8769,65.2543,2284700
2016-06-23,65.6561,66.0332,65.3199,66.025,987900
2016-06-24,63.8933,65.1231,63.8359,64.6886,1556300
2016-06-27,64.3607,64.6148,63.3686,63.6064,2641400
2016-06-28,63.7375,64.2869,63.5408,64.1475,1632000
2016-06-29,64.7788,66.148,64.6886,65.7135,1344800
2016-06-30,65.5904,66.7465,65.5331,66.7465,1406400
2016-07-01,66.6476,67.0184,66.4334,66.936,1147700
2016-07-05,66.8042,67.0267,66.3016,66.796,1045200
2016-07-06,66.6641,67.0679,66.1368,66.8948,1496200
2016-07-07,66.8948,67.3068,66.7136,66.9278,1170300
2016-07-08,67.3809,67.9082,67.0678,67.7517,1516600
2016-07-11,68.0977,68.3696,67.8094,68.2378,1130800
2016-07-12,68.4026,68.6251,67.9577,68.3944,1242100
2016-07-13,68.691,69.037,68.279,68.4685,847900
2016-07-14,68.8558,69.1442,68.691,68.8475,1007400
2016-07-15,69.0535,69.1853,68.3696,68.6333,974500
2016-07-18,68.7569,69.0041,68.1554,68.4191,1039800
2016-07-19,68.4603,69.0288,68.1307,68.5097,936200
2016-07-20,68.7981,69.0947,68.5262,68.8475,964600
2016-07-21,68.6827,70.1246,68.5097,69.2265,1675100
2016-07-22,69.3913,70.1658,69.0453,70.034,1129800
2016-07-25,69.7538,69.9186,69.3172,69.5808,794400
2016-07-26,69.5479,69.9928,69.1112,69.9681,1278200
2016-07-27,69.6302,69.8197,69.037,69.4655,1144900
2016-07-28,69.3501,70.446,69.1853,70.2894,919800
2016-07-29,70.1329,71.2205,70.1081,71.1545,1471100
2016-08-01,71.2699,71.5583,70.9815,71.0557,971400
2016-08-02,70.998,71.0474,69.9269,70.2317,1057500
2016-08-03,70.3471,70.8497,70.0752,70.5695,865600
2016-08-04,70.7426,70.8167,70.2565,70.6931,942500
2016-08-05,70.9073,71.1792,70.5366,70.5942,874100
2016-08-08,70.6355,70.7178,69.8692,69.9763,1042800
2016-08-09,70.1576,70.5943,70.0093,70.4624,675100
2016-08-10,70.3306,70.3718,69.9269,70.3306,587700
2016-08-11,70.5531,71.0145,70.3224,70.9073,798000
2016-08-12,70.7096,70.8909,70.4542,70.6849,657200
2016-08-15,70.7013,70.965,70.5448,70.5942,718100
2016-08-16,70.5695,70.8414,70.0505,70.24,568100
2016-08-17,70.1988,70.4624,69.4243,69.7786,953900
2016-08-18,69.655,70.3553,69.655,70.1823,711800
2016-08-19,69.9022,70.0093,69.3501,69.9598,971400
2016-08-22,69.9104,70.4954,69.6467,70.1164,904700
2016-08-23,70.2812,70.4047,69.5231,69.6055,1363500
2016-08-24,69.6056,69.828,68.6663,68.7569,1466900
2016-08-25,68.4768,68.9299,68.2213,68.5262,1688100
2016-08-26,68.7404,69.0206,68.106,68.3697,1614300
2016-08-29,68.3861,69.6715,68.3532,69.482,1197000
2016-08-30,69.482,69.7703,68.6168,68.8311,896800
2016-08-31,68.106,68.4108,67.2738,68.2378,1644100
2016-09-01,68.3284,68.3284,67.5375,67.8588,1629300
