date,open,high,low,close,volume
2016-04-22,28.2177,28.674,27.7525,27.8599,3933100
2016-04-25,27.7167,27.9851,27.493,27.842,3157300
2016-04-26,27.8956,28.3161,27.8151,28.1014,2979500
2016-04-27,28.1104,28.3877,27.9046,28.1819,2581300
2016-04-28,27.9493,28.0209,27.0725,27.162,4322700
2016-04-29,27.1441,27.4394,26.491,26.8936,5670100
2016-05-02,27.0904,27.4662,26.9205,27.4036,3263700
2016-05-03,27.2068,27.3141,26.7415,26.831,3327500
2016-05-04,26.6252,26.7505,26.2316,26.6431,3181000
2016-05-05,26.6699,26.7326,26.33,26.491,3025100
2016-05-06,26.3837,26.661,26.0974,26.4284,3750500
2016-05-09,26.4642,26.7594,26.2495,26.4821,2133200
2016-05-10,26.5715,26.6342,26.3121,26.5984,2349000
2016-05-11,26.4459,26.6612,26.114,26.1229,3194600
2016-05-12,26.2216,26.3741,25.8897,26.1498,4002200
2016-05-13,26.096,26.4369,25.9884,26.105,2680600
2016-05-16,26.087,26.419,26.0153,26.3382,3410800
2016-05-17,26.3113,26.8047,26.2934,26.419,3141400
2016-05-18,26.3293,26.8496,26.1409,26.3651,3510900
2016-05-19,26.1229,26.2934,25.8538,26.2306,2987800
2016-05-20,26.4369,26.8047,26.3382,26.6522,2387700
2016-05-23,26.5894,26.7419,26.2216,26.2306,2291400
2016-05-24,26.6432,27.4685,26.4638,27.343,6425100
2016-05-25,27.5313,27.7197,27.325,27.4057,3287800
2016-05-26,27.4237,27.621,27.2532,27.4416,2459000
2016-05-27,27.4147,27.7466,27.3878,27.4327,2716900
2016-05-31,27.4775,27.4865,27.2084,27.4147,3923500
2016-06-01,27.2174,27.7466,27.0828,27.7018,3436300
2016-06-02,27.5941,27.8633,27.3609,27.8633,3806600
2016-06-03,27.7108,27.9081,27.2263,27.8005,3044900
2016-06-06,27.8722,27.944,27.5941,27.7646,2587500
2016-06-07,27.7646,28.7962,27.7646,28.3387,4452600
2016-06-08,28.3477,28.7603,28.2131,28.7065,3224400
2016-06-09,28.5361,28.6527,28.3656,28.4643,2232700
2016-06-10,28.2041,28.2221,27.8453,27.935,3218100
2016-06-13,27.7287,27.9799,27.4057,27.4237,2943000
2016-06-14,27.4237,27.63,27.029,27.2443,3283100
2016-06-15,27.2981,27.8543,27.1635,27.5583,2301800
2016-06-16,27.325,27.5044,27.0649,27.3968,3102300
2016-06-17,27.4057,27.8094,27.2802,27.7197,3068200
2016-06-20,28.1593,28.2669,27.8722,27.8812,2024800
2016-06-21,28.1414,28.2759,27.5403,27.8184,2541800
2016-06-22,27.7736,28.0247,27.6031,27.621,1839200
2016-06-23,27.9709,28.0696,27.6838,28.0696,1715300
2016-06-24,26.9393,27.6569,26.7778,27.2353,7777200
2016-06-27,26.8944,26.9572,26.1409,26.4459,3685500
2016-06-28,26.8316,27.2084,26.7599,27.1277,2626800
2016-06-29,27.4416,27.935,27.1546,27.7915,3079600
2016-06-30,27.8543,28.2849,27.5852,28.24,3494300
2016-07-01,28.24,28.6975,28.2131,28.572,3121300
2016-07-05,28.3925,28.5809,28.0516,28.5002,2936400
2016-07-06,28.2669,29.3524,28.24,29.3434,6325700
2016-07-07,29.5139,29.8189,29.2447,29.4511,5286700
2016-07-08,29.7651,30.4738,29.7023,30.3392,4712000
2016-07-11,30.4558,30.7339,30.3302,30.3751,3530100
2016-07-12,30.6352,30.6801,30.2495,30.3392,4258300
2016-07-13,30.4199,30.5724,30.2405,30.411,3079200
2016-07-14,30.6352,30.7519,30.411,30.5007,3394300
2016-07-15,30.5455,30.6083,30.0252,30.3213,4228100
2016-07-18,30.4289,30.5186,30.1688,30.4558,2205100
2016-07-19,30.4558,30.698,30.2854,30.5635,3534800
2016-07-20,30.5904,30.9133,30.4468,30.8685,5354100
2016-07-21,30.716,31.003,30.3661,30.7608,7138300
2016-07-22,30.5366,30.9133,30.0162,30.4648,6411900
2016-07-25,30.4558,30.6532,30.2226,30.2764,4170000
2016-07-26,30.3033,30.5007,29.9624,30.4379,4963700
2016-07-27,30.5186,30.7967,30.1777,30.3123,4060900
2016-07-28,30.2764,30.4827,30.1688,30.2674,3033500
2016-07-29,30.2943,30.3123,29.3345,29.4959,5547700
2016-08-01,29.4421,29.7023,29.3255,29.469,3164700
2016-08-02,29.3255,29.469,28.7334,28.7872,2890500
2016-08-03,28.6437,29.155,28.545,28.9667,3508900
2016-08-04,29.0206,29.1375,28.517,28.8408,3649900
2016-08-05,28.9936,29.1915,28.8318,29.0476,3550100
2016-08-08,29.1106,29.2454,28.8048,28.8767,2633100
2016-08-09,28.8677,29.0386,28.7418,29.0206,3261400
2016-08-10,29.1106,29.1195,28.6339,28.9217,2134200
2016-08-11,29.0386,29.3354,28.8857,29.0926,2530800
2016-08-12,29.0656,29.1465,28.7239,28.9217,2542900
2016-08-15,28.9487,29.5512,28.9487,29.1915,2601300
2016-08-16,29.1285,29.1555,28.8677,29.0926,2062200
2016-08-17,28.9846,29.1285,28.58,28.8228,3056100
2016-08-18,28.8498,28.9846,28.553,28.8228,3212700
2016-08-19,28.7418,28.8677,28.6249,28.6699,2919800
2016-08-22,28.6699,28.8947,28.4541,28.8408,3237200
2016-08-23,28.9757,29.9109,28.7958,29.6681,6104000
2016-08-24,29.5242,29.6861,29.2634,29.3803,3009000
2016-08-25,29.2904,29.5782,29.2275,29.3444,1851400
2016-08-26,29.3803,29.4883,28.517,28.7239,3420000
2016-08-29,28.6879,28.9667,28.58,28.6339,4786500
2016-08-30,28.6429,28.9127,28.571,28.8587,3211700
2016-08-31,28.8588,28.8857,28.6159,28.8318,2614800
2016-09-01,28.8767,28.9757,28.3012,28.3821,3592100
2016-09-02,28.58,28.8857,28.3731,28.4271,3098600
2016-09-06,28.4541,28.6249,28.1483,28.2832,2809200
2016-09-07,28.2472,28.9487,28.2472,28.7958,3308200
2016-09-08,28.7508,28.7508,28.3461,28.3641,2895000
2016-09-09,28.0853,28.1033,26.9702,27.177,4469300
2016-09-12,26.9612,27.6357,26.9252,27.4918,5251600
2016-09-13,27.7166,27.8515,26.8533,27.0062,6158400
2016-09-14,27.0152,27.3119,26.8803,27.0781,4542600
2016-09-15,27.0781,27.4918,26.9342,27.4019,4008100
2016-09-16,27.177,27.3479,26.8713,26.9522,5200100
2016-09-19,27.1411,27.7886,27.1411,27.3929,3385500
2016-09-20,27.5458,27.5458,26.8353,26.9252,4736500
2016-09-21,26.9612,27.249,26.6554,27.213,4603300
2016-09-22,27.4738,27.7616,27.3839,27.5278,3348700
2016-09-23,27.4288,27.6537,27.1411,27.1411,3160900
2016-09-26,27.0332,27.204,26.7274,26.9072,6189400
2016-09-27,26.8803,27.213,26.7634,26.9972,3389200
2016-09-28,27.0242,27.3029,26.9432,27.267,2505800
2016-09-29,27.3119,27.5458,27.0332,27.1051,4657600
2016-09-30,27.276,27.3479,26.9612,27.1591,4380100
2016-10-03,27.0332,27.1321,26.8443,27.0511,2215800
2016-10-04,27.0781,27.4109,26.7903,26.8893,3894400
2016-10-05,27.0511,27.3119,26.9972,27.0511,2729600
2016-10-06,26.8983,27.3299,26.7634,27.231,2286600
2016-10-07,27.276,27.5368,26.5565,26.6195,3508400
2016-10-10,26.9342,27.0781,26.5745,26.6375,3651200
2016-10-11,26.5925,26.6644,26.1249,26.2598,2624400
2016-10-12,26.3497,26.6375,26.2238,26.5026,2869000
2016-10-13,26.2508,26.2597,25.8191,25.972,4278700
2016-10-14,26.0979,26.3497,25.873,25.972,4698000
2016-10-17,26.0079,26.2867,25.7921,25.9,4226900
2016-10-18,26.1698,26.5655,25.981,26.4396,3438500
2016-10-19,26.5565,26.7724,26.2418,26.7364,4265200
2016-10-20,26.5475,26.5655,26.0889,26.4126,5191000
2016-10-21,26.1878,26.3317,26.0709,26.1518,4166400
2016-10-24,26.3317,26.5295,26.2777,26.3407,3031400
2016-10-25,26.1698,26.1698,25.7202,25.909,3804600
2016-10-26,25.8281,25.954,25.5943,25.7022,4861200
