date,open,high,low,close,volume
2016-04-18,91.805,93.9711,91.7128,93.5379,10665200
2016-04-19,94.0172,95.5288,93.9526,94.6071,10639800
2016-04-20,94.9573,95.3813,93.9803,95.1878,7712000
2016-04-21,95.2707,95.9712,94.6163,94.8559,6824800
2016-04-22,94.9942,95.8514,94.8744,95.6486,5731300
2016-04-25,95.3998,96.4321,95.2615,96.386,6117100
2016-04-26,96.3952,97.3078,96.0265,96.681,6452900
2016-04-27,96.9575,97.3354,96.5612,97.0405,5996100
2016-04-28,96.3584,97.234,95.6763,95.8883,5658300
2016-04-29,95.8146,96.0542,94.3859,95.1786,7006900
2016-05-02,95.2154,96.386,94.7546,96.1925,5285700
2016-05-03,95.75,95.8514,95.114,95.6579,6243300
2016-05-04,95.2246,96.3031,95.1232,95.5564,6445100
2016-05-05,95.8422,96.9022,95.3537,96.7178,6466000
2016-05-06,96.3307,97.4644,96.2201,97.2801,7407500
2016-05-09,97.7133,98.3309,96.7547,97.0958,8130300
2016-05-10,97.2709,98.3954,97.1972,98.2572,15177200
2016-05-11,93.5194,94.478,92.7452,94.2845,27068100
2016-05-12,94.478,94.8006,93.2152,93.7499,11251700
2016-05-13,93.7498,94.054,92.5055,92.653,9570200
2016-05-16,92.5516,92.7913,91.593,92.5055,9113000
2016-05-17,92.9019,93.3627,91.7589,92.1184,8694400
2016-05-18,91.7958,91.9617,90.662,91.252,9323100
2016-05-19,90.8648,90.8925,89.8786,90.7081,7063500
2016-05-20,91.2519,92.1092,91.0399,91.9709,7297000
2016-05-23,91.805,92.4779,91.3626,91.4179,5588600
2016-05-24,91.6667,92.2106,91.6022,91.722,5250800
2016-05-25,92.0999,92.9111,91.9985,92.0446,5667300
2016-05-26,92.0723,92.6253,91.7773,91.9986,3852600
2016-05-27,91.9986,92.6622,91.9986,92.441,4589100
2016-05-31,92.0354,92.0723,90.8556,91.4547,10396200
2016-06-01,90.9478,91.2427,90.0814,90.8095,7243900
2016-06-02,90.3947,90.9939,90.2104,90.9939,4830100
2016-06-03,90.9385,91.1782,90.0813,91.0215,6857500
2016-06-06,91.2151,91.3626,90.7634,91.0492,4986600
2016-06-07,91.2519,91.2888,90.6252,90.6528,5608400
2016-06-08,90.7819,91.086,90.0537,90.3671,5466200
2016-06-09,90.1643,90.2657,89.5007,90.1827,5379400
2016-06-10,89.5467,90.0629,89.2057,89.7219,7204400
2016-06-13,89.178,91.2335,89.1319,89.9339,8766300
2016-06-14,89.5928,90.8371,89.5744,90.6989,6125700
2016-06-15,90.5054,91.252,90.5054,90.5791,6663200
2016-06-16,90.1459,90.9109,89.2794,90.6805,7129700
2016-06-17,90.7081,91.381,90.5791,91.252,8959400
2016-06-20,92.2474,93.0586,91.7128,91.7773,8268600
2016-06-21,91.9248,91.9801,91.04,91.086,5202500
2016-06-22,91.3257,91.8234,90.9754,91.0584,4948900
2016-06-23,91.6575,91.8234,90.8925,91.2704,5826100
2016-06-24,88.496,89.6666,87.694,88.2287,15079900
2016-06-27,87.482,87.777,86.6433,86.9935,9438400
2016-06-28,87.989,88.7448,87.694,88.5328,7143100
2016-06-29,89.3255,89.6758,88.7448,89.39,6563600
2016-06-30,89.5006,90.3947,89.2979,90.1643,7189500
2016-07-01,90.0998,90.9201,90.0629,90.3579,5681600
2016-07-05,90.1182,90.3302,89.5652,90.0168,5846400
2016-07-06,89.4085,90.8095,89.1873,90.745,6223300
2016-07-07,90.6429,91.432,90.5964,91.367,5146000
2016-07-08,92.1469,92.704,91.7013,92.4904,6045800
2016-07-11,92.6576,93.1682,92.2862,92.8247,5428000
2016-07-12,93.0104,93.5767,92.8433,93.0289,8508500
2016-07-13,93.2703,93.586,92.704,92.7318,5494700
2016-07-14,93.2332,93.586,92.5462,92.8154,7461500
2016-07-15,93.2332,93.3446,92.4162,92.6576,5764400
2016-07-18,92.7504,93.5024,92.7226,92.9825,5051300
2016-07-19,92.6668,92.834,92.2491,92.3512,5742700
2016-07-20,91.5899,91.627,90.1879,91.1906,10664900
2016-07-21,91.1442,92.0355,90.6336,90.9957,6726600
2016-07-22,91.3485,91.3763,90.4943,90.7171,5381700
2016-07-25,90.8936,91.0421,90.2901,90.4201,4825500
2016-07-26,90.0765,90.2065,89.4452,89.7701,6274800
2016-07-27,89.7794,89.993,88.9995,89.4359,6911400
2016-07-28,89.5009,89.5844,88.9624,89.046,7713500
2016-07-29,88.9902,89.4823,88.9902,89.0831,8264000
2016-08-01,89.2688,89.3152,88.2754,88.7024,7131600
2016-08-02,88.526,88.8974,87.7926,88.2104,7644100
2016-08-03,88.2568,89.5287,88.2011,89.2131,9068700
2016-08-04,88.6932,89.111,87.9318,88.3496,10038300
2016-08-05,88.5725,89.1295,88.526,88.9717,6528500
2016-08-08,89.2316,89.3988,88.7396,88.8974,7792000
2016-08-09,88.7674,89.9187,88.4796,89.7516,15548700
2016-08-10,89.7794,92.1655,88.9903,90.8564,27181300
2016-08-11,91.1721,91.3485,90.1972,90.7728,9233900
2016-08-12,90.8193,90.8193,89.7423,89.9094,9360300
2016-08-15,90.3829,90.6243,89.9837,90.1508,5299600
2016-08-16,89.928,90.2901,89.3802,89.9465,5777800
2016-08-17,89.9094,90.0301,89.6123,89.9373,5697300
2016-08-18,89.9373,90.1694,89.6402,89.733,5250700
