date,open,high,low,close,volume
2016-04-21,45.4878,46.3836,44.4484,45.5972,2575783
2016-04-22,45.6246,46.4315,45.6246,46.0554,1540939
2016-04-25,46.2127,46.5956,45.4605,45.6725,1399930
2016-04-26,45.7135,45.8913,45.2622,45.6109,1922738
2016-04-27,45.6178,45.905,45.3511,45.6451,2172566
2016-04-28,45.3921,45.8366,45.016,45.1596,1873589
2016-04-29,45.0981,45.6178,44.6262,44.9271,2417566
2016-05-02,44.6125,45.1049,44.2775,44.7903,1347811
2016-05-03,44.4963,44.592,43.8672,44.2912,1694698
2016-05-04,44.0997,44.4826,43.2723,43.4227,1128066
2016-05-05,43.7646,44.0381,43.2859,43.3611,1691975
2016-05-06,43.1423,43.7646,43.1423,43.7099,1067899
2016-05-09,43.4159,43.4911,43.0056,43.156,1654339
2016-05-10,43.9287,45.1801,43.6142,45.0844,1896987
2016-05-11,45.0023,45.44,44.7562,45.1665,1571022
2016-05-12,45.2759,45.6793,44.6878,45.2211,1443260
2016-05-13,45.0981,45.4263,44.3117,44.4006,1293958
2016-05-16,44.6262,45.7067,44.5578,45.4742,1386065
2016-05-17,45.3784,45.8844,45.2006,45.563,1909367
2016-05-18,45.3306,45.4878,44.5168,44.804,1803147
2016-05-19,44.5031,44.5031,43.3406,43.8398,2163157
2016-05-20,44.1886,44.4895,43.8535,44.2091,1276997
2016-05-23,44.0792,44.4074,43.7783,44.1544,758894
2016-05-24,44.4416,45.0365,44.2228,44.9613,937166
2016-05-25,45.1733,45.6998,45.1528,45.5904,1722553
2016-05-26,45.9207,46.3612,45.7074,45.8932,1232677
2016-05-27,45.7831,46.0377,45.6661,45.9276,639922
2016-05-31,45.9689,46.2304,45.6592,45.9345,1315746
2016-06-01,45.5422,46.1409,45.3083,46.0928,1571022
2016-06-02,45.9758,46.1754,45.6386,46.1065,1181176
2016-06-03,46.0515,46.3405,45.4872,45.9414,911168
2016-06-06,46.2648,48.0953,46.0515,48.0334,2891349
2016-06-07,48.2398,48.694,48.116,48.5151,2008160
2016-06-08,49.3959,49.795,49.1688,49.2996,2245608
2016-06-09,48.7835,49.7331,48.7835,49.6024,1844372
2016-06-10,49.2514,49.5335,48.4187,48.6321,2245237
2016-06-13,48.3981,48.8936,48.171,48.3018,1237257
2016-06-14,48.1228,48.3981,47.5861,47.8957,2173309
