date,open,high,low,close,volume
2019-03-20,35.7317,36.2397,33.5302,33.7334,2350800
2019-03-21,33.8621,33.8689,32.6496,33.1779,1764700
2019-03-22,33.056,33.835,32.6225,32.9205,844700
2019-03-25,32.9205,33.4624,32.5141,33.2931,440900
2019-03-26,33.1915,33.6995,32.636,33.0899,504700
2019-03-27,33.1915,34.3972,33.1915,33.9366,1788600
2019-03-28,34.4785,34.5462,33.8113,34.4446,585400
2019-03-29,33.5437,35.5488,33.3134,34.973,1769000
2019-04-01,35.4268,36.8425,34.7156,36.2397,19663400
2019-04-02,37.337,38.8747,36.7816,38.1025,17414200
2019-04-03,38.6647,38.746,37.6012,38.5292,15066200
2019-04-04,38.746,40.9949,38.6782,40.4462,13309200
2019-04-05,39.552,39.9517,38.116,38.7731,17000800
2019-04-08,38.2718,39.5521,38.116,38.7121,10764600
2019-04-09,38.475,38.746,37.9873,38.116,9179900
2019-04-10,37.9264,38.2108,37.3235,37.7367,9081900
2019-04-11,37.7299,38.0754,37.1406,37.1812,7346100
2019-04-12,37.8857,39.5114,37.8857,39.4911,9281700
2019-04-15,39.674,39.8636,38.8069,39.1388,5727300
2019-04-16,39.7688,39.9585,39.1795,39.6266,6681600
2019-04-17,39.9314,39.9991,39.4233,39.5046,6420700
2019-04-18,39.5317,39.7011,38.983,39.1321,5178800
2019-04-22,38.9356,39.5656,38.7866,39.2134,4401700
2019-04-23,38.8069,39.1795,38.6105,39.044,5687200
2019-04-24,38.9424,39.2134,37.8417,37.9196,5431300
2019-04-25,37.7705,37.9196,37.1338,37.4793,6260500
2019-04-26,37.459,37.6622,37.2219,37.4251,4009800
2019-04-29,37.2896,37.7197,37.1203,37.5944,5935200
2019-04-30,37.7705,38.7494,37.6622,38.4276,6454100
2019-05-01,38.4886,38.9356,37.8518,38.0212,7644400
2019-05-02,37.6215,38.265,35.2439,35.6978,13932700
2019-05-03,36.0365,36.1381,35.0339,36.1042,7401700
2019-05-06,35.3252,36.5987,35.0204,36.2126,6089500
2019-05-07,35.8062,36.1211,35.6639,35.8671,7330800
2019-05-08,36.1245,36.1686,35.4336,35.5488,5390700
2019-05-09,35.3997,35.9958,34.9188,35.8536,4579700
2019-05-10,35.8603,36.3846,35.5555,35.9484,4758100
2019-05-13,35.4133,35.5962,34.3837,34.5124,4213100
2019-05-14,34.7698,35.901,34.4379,35.5488,4204500
2019-05-15,35.2101,36.1211,35.0001,35.8671,2928700
2019-05-16,36.0974,36.2735,35.7181,35.8874,3689700
2019-05-17,35.4539,35.5758,34.3159,34.4108,4440800
2019-05-20,34.1398,34.2346,33.8147,33.923,5168400
2019-05-21,34.0585,34.6749,33.8824,34.2956,4968400
2019-05-22,34.1804,34.2821,33.8451,34.0111,3019100
2019-05-23,33.5302,33.774,32.6563,32.995,4919200
2019-05-24,33.4557,33.581,32.8121,33.327,2918900
2019-05-28,33.4421,33.4827,32.5818,32.8934,6613000
2019-05-29,32.6496,33.4827,32.5209,32.995,3525900
2019-05-30,33.0706,33.3936,33.0019,33.3112,3777600
2019-05-31,32.9607,32.9882,32.1291,32.136,3396900
2019-06-03,32.1978,32.9607,32.1978,32.9607,5905200
2019-06-04,33.4555,34.3146,33.428,34.3146,7043000
2019-06-05,34.6994,34.7544,33.7098,34.5963,6413300
2019-06-06,34.5551,35.263,34.4658,35.0912,6228100
2019-06-07,35.1393,35.5241,34.9606,35.2561,5391100
2019-06-10,35.5447,35.8059,35.4485,35.476,5434400
2019-06-11,35.7372,35.854,35.4348,35.7647,5144300
2019-06-12,35.7784,36.177,35.5173,36.0739,3103900
2019-06-13,36.2045,36.3901,35.7647,36.342,4179800
2019-06-14,36.1701,36.2114,35.0499,35.153,3919300
2019-06-17,34.4039,34.5895,33.7098,33.916,5787300
2019-06-18,34.1909,34.7544,33.9503,34.0947,5014200
2019-06-19,34.3283,34.5276,33.215,33.3318,5404000
2019-06-20,33.7407,34.0809,33.4143,33.6273,4228300
2019-06-21,33.5517,33.861,33.2012,33.2356,9478500
2019-06-24,33.3387,34.1565,33.2081,34.074,4602300
2019-06-25,34.0122,34.5159,33.7098,34.1496,4005200
2019-06-26,34.2596,35.2011,34.2321,34.6719,5244400
2019-06-27,34.7819,35.1461,34.7276,34.9881,4097200
2019-06-28,35.0774,35.1874,33.7304,33.8885,6507400
2019-07-01,34.3627,34.5001,34.0328,34.4726,4641700
2019-07-02,34.3627,34.4039,33.5105,33.9503,4725800
2019-07-03,33.9916,34.1221,33.8129,33.9022,2479400
2019-07-05,33.6823,33.9297,33.6479,33.8885,2529800
2019-07-08,33.9091,34.0191,33.2528,33.3455,5936000
2019-07-09,33.1943,33.2837,32.6445,32.8988,4967400
2019-07-10,33.2218,33.2768,32.6583,32.6789,3507400
2019-07-11,32.8026,33.0294,32.4246,32.837,4202000
2019-07-12,33.3043,34.3902,33.0432,34.1634,4328400
2019-07-15,34.2046,35.0156,34.129,35.0018,4923800
2019-07-16,35.0156,36.1805,35.0156,35.9571,6011200
2019-07-17,35.8471,35.9434,35.208,35.4623,4417500
2019-07-18,35.4279,35.7715,35.2424,35.5654,3620300
2019-07-19,35.5791,35.6203,35.3935,35.4073,3221500
2019-07-22,35.3963,35.4417,34.775,34.9675,2814900
2019-07-23,35.0499,36.3557,35.0156,36.1633,4387700
2019-07-24,36.0808,36.4176,35.7647,36.2801,3516400
2019-07-25,35.4898,35.7303,34.5688,34.8919,4254600
2019-07-26,34.5482,34.5688,33.6204,33.751,5066000
2019-07-29,33.3455,33.593,32.9744,33.0225,4219800
2019-07-30,32.837,33.2906,32.837,33.2631,4194300
2019-07-31,33.3249,33.9709,32.9538,33.2906,5188500
2019-08-01,33.0913,33.4005,32.1497,32.1978,5803200
2019-08-02,32.0879,32.6445,31.1807,31.3388,5346400
2019-08-05,30.9676,31.0158,30.2873,30.7683,5147300
2019-08-06,31.002,31.2357,30.057,30.5347,4702800
2019-08-07,30.3079,30.9264,30.1773,30.8508,4490100
2019-08-08,31.0618,32.1772,31.057,32.1566,4573400
2019-08-09,31.9023,32.294,31.6824,32.0535,4468000
2019-08-12,31.8817,32.1635,31.2838,31.4006,4491600
2019-08-13,31.4625,32.8232,31.325,32.1978,5407300
2019-08-14,31.4762,31.7167,30.2391,30.2941,6178300
2019-08-15,30.4728,30.4934,29.5244,29.8131,3494600
2019-08-16,29.7512,30.7958,29.3938,30.5897,4586000
2019-08-19,31.1738,31.5195,31.0295,31.3388,3615500
2019-08-20,31.0982,31.0982,29.6,29.6619,5972800
2019-08-21,30.1361,30.4041,29.7168,29.7443,4397800
2019-08-22,29.7718,30.1704,28.8784,28.899,6072100
2019-08-23,28.8646,28.8784,27.7925,27.9781,6696800
2019-08-26,28.363,28.4179,27.9094,28.0537,3402400
2019-08-27,28.308,28.6791,28.1217,28.2942,4152200
2019-08-28,28.2805,29.3045,28.0124,29.222,4539300
2019-08-29,29.5784,30.0465,29.4945,29.6063,3292500
2019-08-30,29.9278,30.0465,29.5365,29.788,4099200
2019-09-03,29.4456,29.5085,28.7539,29.208,3343300
2019-09-04,29.7601,29.8998,29.243,29.7251,2651400
2019-09-05,30.1514,30.7244,30.1094,30.2981,4041400
2019-09-06,30.4239,30.5077,29.809,30.2143,3217900
2019-09-09,30.4169,31.1834,30.2282,31.0598,3848000
2019-09-10,31.5139,32.4014,31.2903,32.3664,4704000
2019-09-11,32.5062,32.8765,31.8493,32.7577,4445000
2019-09-12,32.8905,32.9743,31.8424,32.8206,3649700
2019-09-13,33.2888,33.8478,33.0163,33.6801,4027600
2019-09-16,34.0225,34.9239,33.736,34.2461,5040600
2019-09-17,34.0085,34.302,33.2678,33.5403,3741900
2019-09-18,33.4705,33.4705,32.8556,33.1979,2588200
2019-09-19,33.6242,33.8268,33.184,33.2888,2418300
2019-09-20,33.17,34.1343,32.8905,33.6871,10570400
2019-09-23,33.1141,33.6906,32.9254,33.4775,3599400
2019-09-24,33.3866,33.5403,32.1079,32.5621,4515300
2019-09-25,32.5271,33.5194,32.2337,33.3167,4396200
2019-09-26,33.1979,33.3237,32.7955,33.0023,2994200
2019-09-27,33.1211,33.4565,32.8486,32.8905,3722300
2019-09-30,33.0232,33.3936,32.9184,33.2958,2512200
2019-10-01,33.4984,33.9386,32.0729,32.1219,3838400
2019-10-02,31.2135,31.5629,30.9969,31.3952,4759500
2019-10-03,31.3392,31.7166,31.0038,31.6607,3422400
2019-10-04,31.5698,31.9891,31.4511,31.6816,3512300
2019-10-07,31.5,31.9821,31.2799,31.5629,2977900
2019-10-08,31.2694,31.479,30.6265,30.6405,2985900
2019-10-09,31.0178,31.1226,30.7453,30.7523,2844600
2019-10-10,30.9759,31.6467,30.7593,31.3882,4325000
2019-10-11,31.9681,33.3447,31.7955,32.9324,3675700
2019-10-14,32.6459,33.0302,32.3105,32.7158,3196500
2019-10-15,32.7158,33.6102,32.5132,32.9813,3216800
2019-10-16,33.184,33.4844,32.8486,32.9254,3626900
2019-10-17,33.149,33.9177,32.9394,33.4076,2724400
2019-10-18,33.4774,33.6738,33.0931,33.5124,2757600
2019-10-21,33.9526,34.2181,32.9045,32.9254,3967000
2019-10-22,32.8975,33.1099,32.1568,32.7158,4645400
2019-10-23,32.6878,33.1979,32.5271,33.0023,4152000
2019-10-24,33.9945,34.9309,33.4285,34.5675,6098900
2019-10-25,34.7841,35.4689,34.1692,35.2733,5361100
2019-10-28,35.4619,35.9441,35.2383,35.7833,4504100
2019-10-29,35.6087,36.0768,35.1964,35.979,3462100
2019-10-30,35.7764,35.965,35.1684,35.6576,3602100
2019-10-31,35.5528,35.6576,34.7352,35.2802,3744000
2019-11-01,35.6226,36.6778,35.5667,36.552,3207100
2019-11-04,36.7896,38.0194,36.6568,37.8517,5430200
2019-11-05,37.7399,38.4316,37.4883,37.8726,6044500
2019-11-06,37.8447,38.25,37.6001,37.9285,3847000
2019-11-07,38.3897,39.0885,38.0264,38.9906,5974300
2019-11-08,38.781,39.1234,38.4456,39.1234,4812000
2019-11-11,38.8159,39.3051,38.5854,38.9976,3184900
2019-11-12,39.1304,39.2073,38.1032,38.5434,2742700
2019-11-13,37.8657,38.0683,37.3556,37.4953,3426000
2019-11-14,37.2437,37.8307,37.1389,37.6979,2595500
2019-11-15,37.9215,38.6343,37.8307,38.3338,3865000
2019-11-18,38.2569,38.3687,37.8167,37.9565,3439900
2019-11-19,38.2989,38.2989,36.8874,37.3066,5208300
2019-11-20,37.1319,37.3486,36.4052,36.8035,5394100
2019-11-21,36.8315,37.677,36.5799,37.649,4618400
2019-11-22,37.7189,38.1941,37.4534,37.8726,3115600
2019-11-25,38.3059,38.5924,37.9844,38.5714,5073700
2019-11-26,38.6063,38.9557,38.3059,38.6902,4643800
2019-11-27,38.6973,38.8529,38.1452,38.4142,3926000
2019-11-29,38.2231,38.4142,37.5932,37.7702,1887600
2019-12-02,37.5083,38.0391,37.4305,37.6215,3349500
2019-12-03,36.7723,36.8077,36.1283,36.6732,3950100
2019-12-04,37.8551,37.8551,36.9492,36.9988,3791400
2019-12-05,37.1757,37.2606,36.5741,36.8006,2692600
2019-12-06,37.2181,38.0391,37.2181,37.664,2818800
2019-12-09,38.1877,38.2019,37.5012,37.6994,2377200
2019-12-10,37.7631,37.7843,37.2889,37.6003,2609700
2019-12-11,37.8622,38.2656,37.5437,37.5791,3253300
2019-12-12,37.6852,38.6265,37.3809,38.5345,2882300
2019-12-13,38.6689,38.7963,37.6852,37.7065,3198600
2019-12-16,37.94,38.5982,37.8692,38.3363,4040000
2019-12-17,38.2868,38.7397,38.1665,38.6831,2665300
2019-12-18,38.4708,38.7043,37.8905,38.3929,3659100
2019-12-19,38.5203,38.8317,38.2585,38.584,3356000
2019-12-20,38.9591,39.1006,38.2302,38.6477,10476700
2019-12-23,38.5628,38.9591,38.3717,38.8742,2678600
2019-12-24,38.9237,39.1006,38.676,38.8529,926200
2019-12-26,38.9096,39.0865,38.584,39.0794,1909600
2019-12-27,39.129,39.313,38.7256,38.8034,1688500
2019-12-30,38.8246,38.9591,38.3859,38.4566,1943300
2019-12-31,38.2302,38.768,38.1665,38.7326,2145700
2020-01-02,39.0865,39.3059,37.9612,38.0391,5145200
2020-01-03,37.5862,37.9329,37.0908,37.0978,5004300
2020-01-06,37.0271,37.4234,36.8006,36.9492,4293100
2020-01-07,37.0058,37.5543,36.7935,36.9351,5122800
2020-01-08,37.0908,37.6286,36.744,37.3172,3629700
2020-01-09,37.3314,37.5579,36.6661,36.9351,2667800
2020-01-10,37.4092,37.4163,36.376,36.4468,3277300
2020-01-13,36.4468,37.0837,36.4255,37.0483,2665500
2020-01-14,36.9351,37.4871,36.7652,36.9705,3689800
2020-01-15,36.9351,37.2606,36.5883,36.9917,2235400
2020-01-16,37.2111,37.4163,36.9209,37.1403,3765600
2020-01-17,37.1757,37.7631,37.1014,37.7489,3897500
