date,open,high,low,close,volume
2016-04-21,125.4024,125.5007,123.1511,123.1958,550400
2016-04-22,120.9088,121.6414,117.6837,118.2912,1475100
2016-04-25,118.3537,119.8278,118.3269,119.4168,724000
2016-04-26,119.7117,120.3817,118.8004,119.5419,786500
2016-04-27,119.5776,120.1762,117.5944,119.3811,1233800
2016-04-28,108.1246,111.573,107.2759,107.6243,4550500
2016-04-29,108.1514,108.5445,106.329,107.9906,1495400
2016-05-02,108.0264,108.6785,106.4183,107.535,1359000
2016-05-03,107.1509,107.2402,105.4892,105.918,1123700
2016-05-04,105.1408,106.9811,104.444,106.329,861300
2016-05-05,106.4094,107.6065,105.1676,107.1419,1066300
2016-05-06,106.5702,107.4189,105.0604,106.588,661900
2016-05-09,106.5166,109.295,106.5166,108.5535,620300
2016-05-10,108.7678,109.4111,107.6601,109.1877,650200
2016-05-11,108.9376,109.0359,106.6238,107.0526,575600
2016-05-12,107.5618,108.9912,107.2938,108.5088,579800
2016-05-13,108.1246,110.4921,107.8387,108.9465,1023500
2016-05-16,109.2235,110.2687,108.4373,110.0365,796300
2016-05-17,109.3932,109.7148,107.7405,108.1604,594500
2016-05-18,107.8298,109.3664,106.1503,108.2139,803400
2016-05-19,107.1955,108.9644,107.1509,107.937,537900
2016-05-20,108.4641,110.0275,108.4641,109.9382,776100
2016-05-23,109.8846,110.1704,108.8125,108.884,1134900
2016-05-24,108.9376,110.1436,108.8393,109.4557,1313900
2016-05-25,110.233,110.3223,108.1961,108.3569,932500
2016-05-26,108.3569,110.0454,108.205,109.8846,998300
2016-05-27,110.2687,110.3223,108.9644,109.152,596500
2016-05-31,109.42,109.9918,107.7316,107.9906,3110400
2016-06-01,107.7405,108.8751,107.5171,108.4552,1108500
2016-06-02,108.1961,110.1079,107.9102,110.1079,694600
2016-06-03,109.9471,109.9471,108.3033,109.1788,550000
2016-06-06,109.018,111.3944,108.8125,111.0996,601400
2016-06-07,111.0727,111.7964,110.2866,111.5105,720600
2016-06-08,111.4123,112.931,111.0996,112.9131,904000
2016-06-09,112.5647,113.9762,112.5647,113.8869,548500
