date,open,high,low,close,volume
2016-04-21,47.6214,48.1468,47.126,47.126,1989700
2016-04-22,47.096,47.5914,46.9159,47.5088,1713400
2016-04-25,47.3887,47.734,47.3062,47.6289,832200
2016-04-26,47.6364,48.0492,47.5989,47.9291,1367100
2016-04-27,47.8015,48.0192,47.4338,47.764,1599100
2016-04-28,47.3137,47.7565,46.6157,47.3962,1703500
2016-04-29,47.3362,47.5538,46.5256,46.7208,1421900
2016-05-02,46.8408,47.7715,46.7358,47.7415,1787900
2016-05-03,47.5013,48.1092,47.3962,47.6439,1480300
2016-05-04,47.4263,48.1092,47.4037,47.9817,888500
2016-05-05,47.6814,48.0492,47.1486,47.2611,1300200
2016-05-06,47.1936,47.3512,46.4581,46.9009,1817700
2016-05-09,46.9009,48.522,46.8784,48.3719,1311700
2016-05-10,48.3869,48.5596,47.8766,48.5295,1261700
2016-05-11,48.3569,48.522,47.2762,47.3737,1420300
2016-05-12,47.5539,48.1468,47.2536,47.8916,1381900
2016-05-13,47.6965,48.0792,47.1861,47.5163,1502600
2016-05-16,47.3737,47.6064,47.0885,47.4938,1529900
2016-05-17,47.9591,48.5821,47.6214,47.9591,2678200
2016-05-18,47.6664,48.0942,46.7583,47.3137,2792100
2016-05-19,47.2011,49.4677,47.2011,49.4602,3373400
2016-05-20,49.5353,49.858,49.13,49.6478,2047000
2016-05-23,49.6628,49.6929,48.7547,48.7847,2990400
2016-05-24,48.8598,49.5653,48.7472,49.3852,1260100
2016-05-25,49.4377,49.9405,49.0099,49.7229,1348500
2016-05-26,50.0606,50.7812,49.9406,50.4959,1976400
2016-05-27,50.6536,51.0138,50.4884,50.6461,1067000
2016-05-31,50.7361,50.9613,50.3308,50.9087,3095500
2016-06-01,50.7061,51.2315,50.5335,50.6085,1934400
2016-06-02,50.4734,51.0213,50.2708,50.8862,1278100
2016-06-03,50.6386,50.9388,50.4284,50.8487,1093200
2016-06-06,50.9012,50.9463,50.2558,50.5485,1526200
2016-06-07,50.7211,50.8787,50.4509,50.6235,1243400
2016-06-08,50.5185,50.7061,50.3759,50.5785,856800
2016-06-09,50.6686,51.5467,50.6085,51.284,1589200
2016-06-10,50.9913,51.1564,50.7061,50.8937,837800
2016-06-13,50.6836,51.1489,50.6761,50.8337,1203000
2016-06-14,50.7661,51.4116,50.7586,51.0964,1435600
2016-06-15,50.4884,51.1264,50.1507,50.6536,1608200
2016-06-16,50.4734,50.7962,50.3458,50.6836,1083200
2016-06-17,50.5635,50.7661,50.1882,50.6385,1292900
2016-06-20,50.9763,51.224,50.7061,50.8187,1059200
2016-06-21,50.7211,50.8187,50.3008,50.4359,1586200
2016-06-22,50.5185,50.556,50.2483,50.4209,1333600
2016-06-23,50.7887,51.0288,50.601,51.0213,1044300
2016-06-24,50.0832,50.8337,49.9706,50.1657,3753400
2016-06-27,49.798,49.9406,48.417,48.7397,4245900
2016-06-28,48.9348,49.1675,48.3869,48.9649,2236400
2016-06-29,49.3776,49.873,49.0474,49.5052,4975900
2016-06-30,48.1017,48.2368,46.9309,47.5388,6361400
2016-07-01,47.4113,47.8916,46.9309,47.2837,5500900
2016-07-05,46.9084,47.2386,46.0678,46.1504,3875400
2016-07-06,46.2329,46.9684,46.1729,46.6982,2727500
2016-07-07,46.7285,47.3041,46.7134,47.0088,2174400
2016-07-08,47.0845,47.4783,46.8421,46.9785,2177000
2016-07-11,47.2814,47.6222,47.0088,47.4253,2877300
2016-07-12,47.6904,47.6904,47.2587,47.5616,2479700
2016-07-13,47.0845,47.5995,47.0845,47.4707,2205300
2016-07-14,47.8418,48.372,47.5995,47.8267,3176400
2016-07-15,47.857,47.9176,47.2966,47.3193,2218500
