date,open,high,low,close,volume
2016-04-21,53.0896,53.1875,51.848,52.0315,1356420
2016-04-22,52.3251,52.7471,52.1171,52.4596,915090
2016-04-25,52.4107,52.7715,52.215,52.7654,986648
2016-04-26,52.7165,53.2364,52.2761,52.6431,1017903
2016-04-27,52.8816,53.8419,52.4963,53.4871,1109318
2016-04-28,52.8878,53.9031,52.8205,53.8541,882778
2016-04-29,53.5544,54.6309,53.1997,54.533,1919480
2016-05-02,54.4902,55.3465,54.3006,55.1263,1625965
2016-05-03,55.0713,55.3771,54.6125,54.8633,1050568
2016-05-04,54.7471,56.2395,54.7471,55.7869,1282043
2016-05-05,55.6278,56.4658,55.481,55.7196,1120128
2016-05-06,55.7074,55.7074,54.7777,55.0713,1572503
2016-05-09,55.1875,55.3465,54.9306,55.2547,1353483
2016-05-10,55.4382,55.53,55.0774,55.2181,932715
2016-05-11,55.2976,55.5483,54.845,55.4688,898875
2016-05-12,55.5422,56.0071,55.1936,55.8603,738018
2016-05-13,55.8358,55.9092,55.2731,55.5789,626275
2016-05-16,55.4811,55.6768,55.1447,55.5851,565175
2016-05-17,55.4138,55.5116,54.2517,54.5086,927663
2016-05-18,54.1416,54.8511,53.4199,53.6523,1126708
2016-05-19,53.4504,54.2394,53.0957,54.2211,740015
2016-05-20,54.4168,54.4168,53.8969,54.2456,908628
2016-05-23,54.2517,54.3067,53.6339,53.6706,561650
2016-05-24,53.8847,54.6493,53.8235,54.5697,808165
2016-05-25,54.4352,54.4963,54.0437,54.2456,889593
2016-05-26,54.2823,54.9856,54.0865,54.8755,710053
2016-05-27,54.9306,55.1936,54.7043,55.1752,663288
2016-05-31,55.0713,55.5178,54.9428,55.4627,1325165
2016-06-01,55.4138,55.7441,55.3037,55.7318,820503
2016-06-02,55.6034,55.7257,55.059,55.7257,621340
2016-06-03,56.2701,57.0468,56.2334,56.7777,753410
2016-06-06,56.7777,56.9673,56.3557,56.6309,744833
2016-06-07,56.7532,57.0407,56.582,56.6982,642255
2016-06-08,56.7043,57.1631,56.4964,57.1141,712873
2016-06-09,57.1202,57.634,57.0958,57.5239,1103913
2016-06-10,57.4872,57.7624,57.2059,57.4383,787133
2016-06-13,57.4933,57.7196,57.316,57.3894,910860
2016-06-14,57.4444,58.1233,57.1447,58.0927,1187573
2016-06-15,58.1233,58.1233,57.2242,57.4933,981243
2016-06-16,57.1913,58.0419,57.1913,57.9063,1080295
2016-06-17,57.9865,58.2454,57.5303,58.1775,1493778
2016-06-20,58.1221,58.2454,57.3824,57.8878,960563
2016-06-21,57.8878,58.3193,57.5427,57.9618,721568
2016-06-22,58.1098,58.1098,57.6844,57.7892,795945
2016-06-23,57.8878,57.9926,57.4995,57.9803,1018960
2016-06-24,57.6043,59.5029,57.5427,58.9173,2188673
2016-06-27,58.7816,59.7617,58.7816,59.4782,1737943
2016-06-28,59.4782,59.731,58.8125,59.6631,1501415
2016-06-29,59.8789,60.1439,59.6323,59.8542,955863
2016-06-30,59.9652,61.1055,59.8296,61.0994,1682600
2016-07-01,61.4199,61.6418,60.5754,61.198,1342908
2016-07-05,61.2596,61.8021,61.1918,61.7035,1220473
2016-07-06,61.7281,61.9192,61.235,61.611,1220238
2016-07-07,61.4507,61.6542,60.372,60.5261,884070
2016-07-08,60.3412,61.1302,59.8049,61.1117,989233
2016-07-11,60.8713,61.0377,60.1994,61.0007,584445
2016-07-12,60.5015,60.822,59.9898,60.2117,837188
2016-07-13,60.5199,60.6987,60.3288,60.4706,1133993
2016-07-14,60.0946,60.3967,59.7124,59.848,1362178
2016-07-15,59.9528,60.2857,59.8542,60.1994,1176528
2016-07-18,60.3227,60.6556,60.2795,60.3967,653770
2016-07-19,60.446,60.6555,60.1562,60.4398,661173
2016-07-20,60.409,60.5878,60.0083,60.1193,502548
2016-07-21,59.9467,60.7049,59.7679,60.6309,851053
2016-07-22,60.5878,61.4569,60.52,61.2781,1123888
2016-07-25,61.0994,61.272,60.7357,60.9144,1437143
2016-07-26,61.1364,61.2042,60.335,60.409,1475683
2016-07-27,60.4275,60.4768,59.5275,59.9344,1507173
2016-07-28,59.959,60.2117,59.7617,59.8542,2156595
2016-07-29,59.8049,60.2117,59.8049,60.1131,2914705
2016-08-01,60.0268,60.5693,59.9467,60.52,1982343
2016-08-02,60.52,60.6802,60.1748,60.4953,1648525
2016-08-03,60.4213,60.5446,59.3241,59.5892,1047630
2016-08-04,59.5892,60.1933,59.5029,59.7433,690665
2016-08-05,59.5953,59.6199,58.5042,58.6213,1294380
2016-08-08,58.7077,59.1453,58.3193,58.6152,894293
2016-08-09,58.6707,59.0344,58.4241,58.7447,671983
2016-08-10,58.9296,59.0467,58.5967,58.9111,685495
2016-08-11,58.9543,59.1392,58.7262,59.1022,825908
2016-08-12,59.3118,59.7741,59.3056,59.4104,830373
2016-08-15,59.4104,59.5645,58.3871,58.4118,842005
2016-08-16,58.2515,58.2515,57.5241,57.746,1586133
2016-08-17,57.4687,58.8125,57.1296,58.6029,2143435
2016-08-18,58.5227,59.5953,58.5227,59.5953,2428843
2016-08-19,59.3487,59.509,58.0912,58.3748,1695995
2016-08-22,58.4981,58.8124,58.3378,58.6337,523110
2016-08-23,58.683,58.9111,58.307,58.3193,686553
2016-08-24,58.2084,58.5412,57.82,58.5166,867385
2016-08-25,58.5166,58.794,58.3502,58.6584,808048
2016-08-26,58.7077,58.9543,57.0125,57.0742,1030358
2016-08-29,57.2714,57.7646,57.2714,57.6474,997458
2016-08-30,57.7214,57.9372,56.9139,57.0125,641668
2016-08-31,57.0742,57.3515,56.8584,57.2653,1280163
2016-09-01,57.1728,57.2714,56.692,56.8399,1031533
2016-09-02,56.8584,57.5673,56.7228,57.4502,984533
2016-09-06,57.6659,58.4365,57.6166,58.042,960915
2016-09-07,57.9741,58.3378,57.6043,58.2762,1181463
2016-09-08,57.9865,58.4549,57.857,58.2515,1118013
2016-09-09,57.9988,57.9988,56.0632,56.0941,1308363
2016-09-12,56.1927,57.2036,56.0447,57.0557,1403538
2016-09-13,56.9509,56.9509,55.8537,56.3098,1202848
2016-09-14,56.4084,56.9817,56.2112,56.9262,1844750
2016-09-15,56.9511,57.4608,56.6341,57.3862,1137870
