date,open,high,low,close,volume
2016-04-18,53.1407,53.4064,52.8019,53.4064,1993500
2016-04-19,53.5127,53.5658,52.6823,53.0012,3543500
2016-04-20,53.134,53.3067,51.8985,51.945,3238200
2016-04-21,51.945,52.0048,50.6231,50.7095,4967100
2016-04-22,50.9088,51.2276,50.7693,51.1546,2711600
2016-04-25,51.0283,51.2608,50.7693,50.9885,2807400
2016-04-26,51.128,51.2874,50.8357,51.1147,2105200
2016-04-27,51.3073,52.1974,51.1546,51.852,2927600
2016-04-28,51.3605,52.0911,51.1612,52.038,2287000
2016-04-29,51.6859,52.3768,51.3073,52.3303,2727400
2016-05-02,52.3635,52.8949,52.2639,52.4366,2990200
2016-05-03,52.4366,52.8816,52.0579,52.3701,3026800
2016-05-04,52.3635,53.5459,52.2373,53.1539,4192400
2016-05-05,52.9414,53.6322,52.8351,53.2602,3698400
2016-05-06,53.2137,53.227,52.0513,52.7288,4454200
2016-05-09,52.7023,53.4263,52.5694,53.1805,2679100
2016-05-10,53.413,53.4728,53.0344,53.1805,2457800
2016-05-11,53.3399,53.4728,52.8418,53.4662,2704400
2016-05-12,53.3732,53.9909,53.0809,53.8581,2762300
2016-05-13,53.8581,53.9046,53.32,53.6522,2612500
2016-05-16,53.526,53.8116,53.247,53.8049,2426500
2016-05-17,53.7385,53.7385,52.5163,52.8152,3682100
2016-05-18,52.7581,52.7581,51.2546,51.3955,4103700
2016-05-19,51.127,51.6909,50.825,51.664,2883000
2016-05-20,51.8587,51.8654,51.3284,51.6842,2444600
2016-05-23,51.711,51.805,51.0667,51.1136,2755000
2016-05-24,51.2949,51.7446,51.1673,51.6775,2423600
2016-05-25,51.6506,51.758,51.2479,51.6506,3613400
2016-05-26,51.6775,52.3621,51.6775,52.3285,1816700
2016-05-27,52.3151,52.4494,52.0869,52.342,2194200
2016-05-31,52.3621,52.6038,52.1406,52.5098,4165000
2016-06-01,52.5232,53.0468,52.3554,53.04,2917000
2016-06-02,52.8387,53.0333,52.3286,52.9864,2453100
2016-06-03,53.4562,54.0066,53.4428,53.7515,4171000
2016-06-06,53.8791,54.0133,53.4092,53.5904,3007800
2016-06-07,53.8589,54.0133,53.5837,53.6911,1957700
2016-06-08,53.5904,54.0402,53.5904,54.0402,1672300
2016-06-09,53.9865,54.6443,53.7851,54.5436,2533700
2016-06-10,54.5235,54.7718,54.114,54.5302,3223000
2016-06-13,54.7718,55.0403,54.5906,54.7785,2872000
2016-06-14,54.7114,55.3356,54.5704,55.3155,3120300
2016-06-15,55.3222,55.4296,54.557,54.7248,3229000
2016-06-16,54.9732,55.5169,54.8389,55.396,3395900
2016-06-17,55.4296,55.7115,54.953,55.6981,5575900
2016-06-20,55.5303,55.6444,54.5839,55.0403,3800800
2016-06-21,54.8188,55.3826,54.6913,55.0403,2042600
2016-06-22,55.0738,55.1611,54.8591,54.9262,1697700
2016-06-23,54.9463,55.0805,54.6107,55.0738,1582700
2016-06-24,54.7919,55.9062,54.6443,55.3289,3699300
2016-06-27,55.2954,56.4901,55.2349,56.376,4392800
2016-06-28,56.2283,56.3827,55.7921,56.3425,4507000
2016-06-29,56.5304,56.7183,56.1545,56.4834,3699800
2016-06-30,56.5841,57.5842,56.4767,57.5842,5473100
2016-07-01,57.6648,57.8259,56.8996,57.4768,3402700
2016-07-05,57.5842,58.4098,57.4634,58.3494,3746900
2016-07-06,58.3024,58.6045,57.9198,58.5508,3785900
2016-07-07,58.2554,58.4098,57.0137,57.2486,4186600
2016-07-08,57.1614,57.7655,56.5304,57.7319,2809900
2016-07-11,57.3426,57.8057,56.7721,57.7319,2648500
2016-07-12,57.3896,57.5574,56.6311,56.6781,3768900
2016-07-13,57.0472,57.1949,56.7251,57.0875,3694900
2016-07-14,56.6848,57.0137,56.517,56.8862,2990600
2016-07-15,57.0472,57.2486,56.6848,57.0003,2334400
2016-07-18,57.1412,57.4768,57.0539,57.2218,2965400
2016-07-19,57.1681,57.3829,56.9331,57.309,4025300
2016-07-20,57.309,57.3426,56.772,57.0003,2124900
2016-07-21,56.7586,57.3896,56.5371,57.3224,2342500
2016-07-22,57.2218,58.1078,57.054,58.0608,2226900
2016-07-25,58.0541,58.2017,57.7453,58.1883,2185600
2016-07-26,58.1548,58.289,57.4298,57.5574,2250000
2016-07-27,57.4567,57.4903,56.4834,56.9398,3751700
2016-07-28,56.9667,57.3426,56.8123,57.1882,1724800
2016-07-29,57.356,57.7185,57.1949,57.45,3197300
2016-08-01,57.3224,57.7252,57.2755,57.4902,2445500
2016-08-02,57.215,57.5439,56.9264,57.4298,3083400
2016-08-03,57.3426,57.4433,56.8526,57.1546,3076800
2016-08-04,57.054,57.3896,56.9197,57.2151,2351700
2016-08-05,57.054,57.054,56.4163,56.5371,3540200
2016-08-08,56.6042,57.1345,56.2821,56.8794,3977500
2016-08-09,56.8257,57.0741,56.6244,56.8727,3195900
2016-08-10,56.9778,57.3236,56.4693,56.8151,2732100
2016-08-11,56.9032,56.9371,56.5913,56.8965,2731400
