date,open,high,low,close,volume
2016-04-18,20.9512,22.5731,20.7834,22.3703,10880100
2016-04-19,22.9995,23.7335,22.6849,23.5028,11769100
2016-04-20,23.0694,24.7262,22.7968,24.2928,12902400
2016-04-21,24.3697,24.6423,23.6426,23.7195,14104500
2016-04-22,23.9572,24.8451,23.9502,24.6074,11294700
2016-04-25,24.4396,24.5934,23.4609,23.7335,11134700
2016-04-26,24.0132,24.4606,23.7056,24.2019,10971400
2016-04-27,24.3977,25.9915,24.3977,25.8028,14921700
2016-04-28,25.4812,26.3341,25.0967,25.2435,12081400
2016-04-29,25.5441,25.8308,23.6427,24.2439,17332000
2016-05-02,24.0691,24.3557,23.419,24.16,9928100
2016-05-03,23.6217,23.7545,22.65,22.8946,12722900
2016-05-04,23.7265,23.9433,21.1679,21.888,18024300
2016-05-05,22.7129,23.0275,21.4685,21.8111,11039800
2016-05-06,21.4755,22.608,21.3567,21.9509,10078600
2016-05-09,21.6713,21.7202,20.6926,21.0002,9751500
2016-05-10,21.2518,22.0627,21.0491,22.0488,7598600
2016-05-11,21.839,23.3421,21.4406,22.7478,10725500
2016-05-12,23.5588,23.8524,22.629,22.8667,9704200
2016-05-13,22.2934,23.3211,22.2305,22.7339,6731800
2016-05-16,23.405,24.0621,23.398,23.6217,8588000
2016-05-17,23.6916,24.5025,23.356,24.2089,9807600
2016-05-18,24.0901,24.4396,23.5867,23.8524,9747100
2016-05-19,23.4539,23.9293,22.9086,23.6986,8081000
2016-05-20,23.9572,24.146,23.5028,23.9433,7720300
2016-05-23,23.7475,24.2858,23.6077,24.146,6494600
2016-05-24,24.3208,24.7122,23.8454,24.111,7883800
2016-05-25,24.4675,25.628,24.3068,25.4742,9777800
2016-05-26,25.7399,25.9216,25.0618,25.0967,7546100
2016-05-27,24.859,25.1177,24.5375,25.0967,5385500
2016-05-31,25.2995,25.9776,25.0827,25.2295,6883100
2016-06-01,24.7262,25.2855,24.3907,25.2715,8027500
2016-06-02,24.7751,25.7399,24.7402,25.7329,6622900
2016-06-03,25.7888,26.1733,24.887,25.1107,6990300
2016-06-06,26.0475,26.3481,25.628,26.2572,7977200
2016-06-07,26.5368,27.3338,26.4389,27.0961,9766400
2016-06-08,27.3617,27.5924,26.2083,26.2712,9518100
2016-06-09,25.8238,26.3061,25.4672,26.1803,5823500
2016-06-10,25.5651,25.7399,24.3627,24.5514,8044300
2016-06-13,24.3974,25.5808,24.3554,25.0556,7993900
2016-06-14,24.9296,25.5108,24.1733,24.8946,7375800
2016-06-15,24.8036,25.2167,24.2783,24.5725,7003900
2016-06-16,24.4814,24.7895,23.5361,24.3694,17231400
2016-06-17,24.7055,25.5178,24.6145,25.1957,13328500
2016-06-20,25.7699,26.4422,25.7279,26.1341,9509700
2016-06-21,26.029,26.9044,25.7419,26.7433,7597400
2016-06-22,26.9884,27.2475,26.3021,26.5682,6678300
2016-06-23,26.9184,27.2125,26.6523,27.1705,5841200
2016-06-24,25.5108,26.4422,24.9646,25.1047,18759500
2016-06-27,24.6285,24.7475,22.9758,23.6341,15020900
2016-06-28,24.5234,25.3007,24.4254,25.2027,8328700
2016-06-29,25.6369,26.015,25.4338,25.6929,6788500
2016-06-30,25.5878,25.7629,25.0837,25.3848,6254100
2016-07-01,25.1957,26.3581,25.1257,26.2251,7255300
2016-07-05,25.5108,25.7209,24.8386,25.3147,6408600
2016-07-06,25.0906,25.924,24.9856,25.896,6966500
2016-07-07,26.2881,26.8833,25.4548,25.7769,7558900
2016-07-08,26.3161,26.5472,25.6579,26.3161,5699800
2016-07-11,26.6803,26.9324,26.3441,26.3791,5611900
2016-07-12,27.1845,28.2209,27.0444,28.0178,8801300
2016-07-13,28.0388,28.1858,26.7363,27.3105,6592900
2016-07-14,27.8917,27.9407,26.8063,26.8833,6364100
2016-07-15,27.0234,27.3175,26.5542,26.8133,5250900
2016-07-18,26.5262,26.8764,26.1761,26.6873,5425600
2016-07-19,26.8413,26.9534,26.3651,26.4352,5817200
2016-07-20,26.127,26.8343,25.7559,26.5822,6062000
2016-07-21,26.5822,27.2475,26.092,26.1411,5794200
2016-07-22,26.3301,26.5612,26.064,26.4352,4792500
2016-07-25,26.1481,26.2181,25.2097,25.2657,6405100
