date,open,high,low,close,volume
2016-04-22,64.0136,64.9364,63.4502,63.9845,2606400
2016-04-25,63.5571,64.1107,63.5473,64.0427,1153300
2016-04-26,64.0816,64.3924,63.3045,63.4599,1516800
2016-04-27,63.2656,63.5473,60.5652,61.5366,5537400
2016-04-28,61.3132,62.1874,60.1378,60.5361,4233500
2016-04-29,60.0407,60.6332,59.4773,60.0795,3729200
2016-05-02,60.2252,61.3132,59.9338,61.0898,3360400
2016-05-03,60.8178,61.42,60.2447,60.3029,3230100
2016-05-04,59.9727,60.6915,59.351,60.1087,3212800
2016-05-05,60.4972,60.9635,59.4287,60.4584,4874100
2016-05-06,60.4098,62.1583,60.2155,62.1097,3362800
2016-05-09,62.3428,63.1782,62.1777,62.6731,3044600
2016-05-10,63.1394,63.2365,61.9057,62.6925,7604400
2016-05-11,68.4139,72.7754,68.2294,71.2795,21901700
2016-05-12,71.5223,74.0576,71.2892,72.8628,8201300
2016-05-13,72.5908,73.9119,72.5229,73.0474,4189100
2016-05-16,72.9211,74.9416,72.6685,74.4267,4329200
2016-05-17,73.5525,74.4073,72.3966,72.9891,5105100
2016-05-18,72.5617,72.7268,71.1629,72.3577,4432500
2016-05-19,72.0954,72.0954,70.8521,71.396,3236700
2016-05-20,71.3766,71.8914,70.8424,71.0172,3772500
2016-05-23,71.2892,71.7749,70.3373,71.1435,3248300
2016-05-24,71.5709,73.4942,71.1532,73.1931,3781500
2016-05-25,73.2319,73.6594,72.6977,72.7948,2002500
2016-05-26,72.4937,73.2708,71.804,72.9599,1853200
2016-05-27,73.1737,74.2713,73.1737,73.5331,2311200
2016-05-31,73.8051,74.621,73.5331,74.553,4700100
2016-06-01,74.6113,75.165,74.0187,74.4267,3260500
2016-06-02,74.5239,74.7376,73.9216,74.3879,2062400
2016-06-03,74.5045,74.5045,73.2708,74.1742,1863900
2016-06-06,74.1839,74.757,73.0474,74.3005,2816800
2016-06-07,74.6599,75.8547,74.5628,75.0387,4215200
2016-06-08,74.8541,74.9804,73.8342,74.0965,2527100
2016-06-09,73.4262,74.5919,73.3582,74.0673,3055400
2016-06-10,73.2514,74.0576,72.6686,73.1251,3025100
2016-06-13,72.7462,73.2708,71.6875,72.1149,3680300
2016-06-14,72.0177,72.6394,71.2504,72.3869,2017000
