date,open,high,low,close,volume
2016-04-22,21.829,22.1483,21.6161,21.6427,10639600
2016-04-25,21.6427,21.7669,21.421,21.4831,16246800
2016-04-26,21.4387,21.9266,21.4387,21.7226,18002700
2016-04-27,22.4677,23.2482,22.3435,22.4144,29282900
2016-04-28,22.2548,22.4765,21.7758,21.8379,13422100
2016-04-29,21.6161,21.8024,21.3412,21.6694,20154900
2016-05-02,21.4476,21.6339,21.3412,21.5186,10646100
2016-05-03,21.35,21.5097,21.1815,21.2702,9531500
2016-05-04,21.1283,21.3234,21.0485,21.1105,8123200
2016-05-05,21.3057,21.3323,21.0751,21.1194,7915400
2016-05-06,20.9952,21.146,20.8799,21.1283,7928400
2016-05-09,21.1017,21.4121,21.0485,21.3057,7844700
2016-05-10,21.3234,21.4831,21.2436,21.4299,8497400
2016-05-11,21.3944,21.4476,21.0573,21.0573,7543900
2016-05-12,21.2081,21.217,20.8444,20.9154,10867900
2016-05-13,20.9775,21.2259,20.9331,21.0928,8556700
2016-05-16,21.0041,21.1815,20.942,21.1105,5589400
2016-05-17,20.9686,21.1105,20.5606,20.6404,9957800
2016-05-18,20.6759,21.1549,20.5961,21.013,8891000
2016-05-19,20.9243,20.9952,20.6227,20.7735,5194100
2016-05-20,20.7912,21.0751,20.6759,20.9775,6825000
2016-05-23,20.738,21.1283,20.7025,20.809,5367000
2016-05-24,20.9686,21.4476,20.9686,21.3323,8014000
2016-05-25,21.2081,21.4653,21.1904,21.3234,7342900
2016-05-26,21.2702,21.4033,21.1638,21.3944,5548900
2016-05-27,21.4387,21.6427,21.421,21.6073,8050500
2016-05-31,21.5452,21.8379,21.5008,21.696,11426400
2016-06-01,21.6694,21.6782,21.3234,21.35,7718000
2016-06-02,21.421,21.5274,21.1815,21.5097,10350100
2016-06-03,21.4742,21.5097,21.0662,21.2702,6413600
2016-06-06,21.2702,21.3766,21.1726,21.2791,7058900
2016-06-07,21.4033,21.6073,21.3855,21.5363,9760100
2016-06-08,21.5097,21.5895,21.3855,21.492,7722400
2016-06-09,21.4565,21.625,21.35,21.5807,7914800
2016-06-10,21.4299,21.5274,21.2081,21.35,7782000
2016-06-13,21.3057,21.4033,21.146,21.1904,8627500
2016-06-14,21.1017,21.2968,20.9598,21.1815,9928000
