date,open,high,low,close,volume
2016-04-22,103.674,104.6879,103.4677,104.2931,1052200
2016-04-25,103.9881,104.3739,103.5305,103.8355,1071500
2016-04-26,104.2931,104.4187,103.7189,104.0419,849400
2016-04-27,104.0868,104.8853,103.674,104.661,863600
2016-04-28,103.5035,103.8355,102.9024,103.4497,1796300
2016-04-29,103.037,103.5125,102.382,103.1626,1326200
2016-05-02,102.705,103.3062,102.1577,102.5256,2031500
2016-05-03,104.8494,104.8584,101.108,101.9155,2659400
2016-05-04,101.1439,103.7907,100.7581,103.4587,2036900
2016-05-05,103.4677,104.015,102.4807,103.2164,1241000
2016-05-06,103.1357,105.2711,102.5794,105.0198,1427000
2016-05-09,104.5892,104.6789,103.4138,103.6022,1085900
2016-05-10,104.1226,105.1275,104.015,105.0737,862200
2016-05-11,105.0198,105.4146,104.5264,104.5892,1067300
2016-05-12,105.2352,105.6479,104.6161,105.0916,944300
2016-05-13,105.0647,105.2442,103.8176,104.0957,1091400
2016-05-16,104.2841,106.2042,104.2841,106.0158,984800
2016-05-17,105.603,106.0247,104.8045,105.0019,1091400
2016-05-18,104.661,105.1006,103.6022,104.0867,1086900
2016-05-19,103.9521,104.32,103.1715,104.2213,943500
2016-05-20,104.8045,105.4954,104.4277,104.7238,1736100
2016-05-23,104.7596,105.1365,104.2482,104.8404,678900
2016-05-24,105.1096,106.7156,103.1985,106.3746,990400
2016-05-25,106.7515,107.218,106.258,106.3388,1119900
2016-05-26,106.6349,106.8502,105.9081,106.0517,846000
2016-05-27,106.0516,106.4016,105.7286,106.1773,882900
2016-05-31,106.4285,106.4285,104.8404,105.1903,1486600
2016-06-01,105.0288,106.4195,104.2841,106.3388,829800
2016-06-02,105.8273,106.6528,105.4236,106.6528,763400
2016-06-03,105.944,106.7425,105.612,106.581,1091200
2016-06-06,106.7694,107.9717,106.3029,107.7833,1131500
2016-06-07,107.891,108.537,107.4065,108.3934,950600
2016-06-08,108.5638,109.2906,108.0255,109.0573,1109200
2016-06-09,108.6895,108.9945,108.0973,108.3755,840500
2016-06-10,107.7205,108.0615,106.5631,107.891,1618000
2016-06-13,107.5141,108.8061,107.0476,107.0745,1011800
2016-06-14,106.7694,107.2809,106.5182,107.0835,1117400
2016-06-15,107.3706,107.559,106.3298,106.4105,1089800
2016-06-16,106.1683,107.218,105.5492,107.0565,1120000
2016-06-17,107.0565,107.0565,105.9947,106.7236,1359500
2016-06-20,107.4525,108.1364,107.1645,107.2095,925100
2016-06-21,107.3805,107.8304,107.0205,107.4705,608300
2016-06-22,107.7764,107.9834,107.3805,107.4795,705900
2016-06-23,108.6943,109.0362,108.2084,108.8293,807300
2016-06-24,106.0577,106.3277,104.4919,104.7169,1405200
2016-06-27,103.6371,103.916,102.3953,103.0072,1563300
2016-06-28,103.925,104.294,103.0612,103.7091,1232500
2016-06-29,104.3839,105.2208,104.3839,105.0948,1045900
2016-06-30,105.1398,107.0655,104.8969,106.7236,1706200
2016-07-01,106.9666,107.6145,106.7146,106.9486,894700
2016-07-05,106.5886,106.5886,105.5268,105.8147,1063400
2016-07-06,105.4998,106.3366,105.3918,106.0037,888100
2016-07-07,106.1387,106.9576,105.6348,105.8147,899800
2016-07-08,106.8226,107.6415,106.5436,107.2635,1384900
2016-07-11,107.5245,107.5245,106.9216,107.1735,731400
2016-07-12,107.7584,109.0273,107.6055,108.2534,977200
2016-07-13,108.5233,108.6313,107.9474,108.4874,786600
2016-07-14,108.8293,109.5581,108.8293,109.1262,720900
2016-07-15,109.5401,109.5581,108.6763,108.8382,779300
2016-07-18,108.5953,108.9732,108.0914,108.2893,696000
2016-07-19,108.0914,108.4783,107.9024,108.1094,680900
2016-07-20,108.1544,108.3703,107.7224,108.0104,840500
2016-07-21,107.6054,107.9474,106.7956,107.6594,1053800
2016-07-22,107.7495,108.3344,107.4525,108.0014,573000
2016-07-25,107.9834,108.1724,107.1015,107.7944,532500
2016-07-26,107.7044,108.0284,107.4255,107.7584,640300
2016-07-27,107.7945,107.8484,106.5256,107.2725,796800
2016-07-28,107.1735,107.7764,106.1927,107.2005,807300
2016-07-29,106.9126,106.9576,105.8327,106.5256,982700
2016-08-01,105.9227,107.2815,105.4998,106.7866,1342100
2016-08-02,107.4255,110.521,107.2545,110.512,2023300
2016-08-03,110.458,111.0519,108.6673,109.2522,1575100
2016-08-04,109.5042,110.377,109.3602,109.9901,1015800
2016-08-05,110.2331,110.494,109.4592,110.431,822800
2016-08-08,110.683,110.683,109.8101,110.0081,571300
2016-08-09,110.0171,111.0789,109.8371,110.503,606400
2016-08-10,110.782,110.89,110.1251,110.557,577100
2016-08-11,110.629,110.9529,110.395,110.818,481900
2016-08-12,110.503,110.728,109.9451,110.1881,631600
2016-08-15,110.602,110.665,109.1802,110.395,720900
2016-08-16,110.278,110.647,109.8011,109.9991,790700
2016-08-17,110.1071,110.305,109.3782,110.0171,608400
2016-08-18,109.9001,110.368,109.8461,110.1341,550200
2016-08-19,109.7201,110.629,109.3872,110.476,803200
2016-08-22,110.1251,110.323,109.4682,110.0171,670400
2016-08-23,110.503,110.9349,110.0981,110.386,563600
2016-08-24,110.0351,110.0531,109.2702,109.5222,636100
2016-08-25,109.6032,110.9259,109.1532,110.503,828000
2016-08-26,110.899,111.6819,110.3051,110.62,909900
2016-08-29,110.692,111.7268,110.26,111.4839,658800
2016-08-30,111.6638,111.7898,111.0789,111.5649,787200
2016-08-31,111.4569,111.7898,110.3591,110.728,786300
2016-09-01,110.449,111.0429,109.5312,110.773,864800
2016-09-02,111.3309,111.7988,111.0249,111.6279,577500
2016-09-06,111.7268,112.1228,110.944,111.3129,740700
2016-09-07,112.0058,112.0058,110.0171,110.449,698800
2016-09-08,110.1431,110.377,109.7741,110.1251,546300
2016-09-09,109.3242,109.7291,106.7866,106.7956,1270800
2016-09-12,106.4806,108.3793,106.3636,108.0374,923800
2016-09-13,107.5335,108.1094,105.4368,105.7788,1061200
2016-09-14,105.7607,106.3187,105.1758,105.7607,996900
2016-09-15,105.5538,106.5706,105.3018,106.2557,649200
2016-09-16,105.9488,106.1293,105.2899,105.8946,1057300
2016-09-19,106.5084,106.8604,105.8766,106.1564,599700
2016-09-20,106.4723,106.6979,105.7412,105.8766,1130600
2016-09-21,106.2737,107.0138,105.6058,106.9416,749500
2016-09-22,107.6997,108.0607,107.2575,107.5282,596800
2016-09-23,107.3026,107.808,106.7881,107.438,1107300
2016-09-26,107.447,107.8712,106.8423,107.3387,806000
2016-09-27,107.104,108.3044,106.9145,108.2322,866400
2016-09-28,108.7106,109.6041,108.2773,109.4777,888500
2016-09-29,109.2611,109.929,108.6745,108.9633,777900
2016-09-30,109.0535,110.1727,108.9362,109.8568,956800
2016-10-03,109.7034,109.8749,109.0355,109.3063,735200
2016-10-04,109.2521,109.4416,108.0246,108.4488,932800
2016-10-05,108.512,109.1799,108.2051,108.3134,672200
2016-10-06,108.0697,109.1799,107.6546,108.7918,607100
2016-10-07,108.7467,108.7467,107.077,107.4199,538200
2016-10-10,108.0066,108.3044,107.3838,107.4651,493800
2016-10-11,106.9326,107.5283,105.1456,105.7412,864300
2016-10-12,105.5968,106.2106,105.308,105.7232,705100
2016-10-13,105.1095,105.9488,104.7123,105.6059,660200
2016-10-14,106.1654,106.3369,105.3712,105.3802,903700
2016-10-17,105.1365,105.4073,104.8748,105.0011,656400
2016-10-18,106.0571,106.0932,105.2087,105.2358,634100
2016-10-19,105.4163,105.9307,105.0372,105.4343,778600
2016-10-20,105.3531,105.4975,104.6131,105.0824,588700
2016-10-21,104.7214,104.7214,103.8098,104.4957,741200
2016-10-24,104.8296,105.4163,104.8296,105.3351,676900
2016-10-25,105.0373,105.2087,104.5589,104.6492,621100
2016-10-26,104.3693,104.5769,103.891,104.1076,755300
2016-10-27,104.1889,104.1889,103.4759,103.7557,891800
2016-10-28,103.9813,104.8838,103.4127,103.882,860100
2016-10-31,104.1437,104.3332,102.8892,103.0426,1523400
2016-11-01,102.7087,103.6202,100.5336,101.2105,1673000
2016-11-02,101.2285,101.5986,100.6329,101.0751,919300
2016-11-03,101.2556,101.3639,100.2718,100.344,943000
2016-11-04,100.3441,100.8856,99.8657,99.8838,1012400
2016-11-07,101.0571,101.9957,100.8675,101.8694,840900
2016-11-08,101.8242,102.8982,101.6618,102.5282,583300
2016-11-09,100.9127,103.9542,100.2448,103.5751,1346100
2016-11-10,103.7917,105.5878,103.512,104.8297,1272900
2016-11-11,104.5499,105.1094,104.0896,104.3964,1062400
2016-11-14,104.5047,104.8748,102.6816,102.8711,1330000
2016-11-15,102.8711,103.1419,102.4379,103.0155,911900
2016-11-16,103.0065,103.6473,102.9343,103.5932,619000
2016-11-17,103.4668,103.6834,102.9975,103.6383,759500
2016-11-18,103.4758,104.0354,102.9704,103.1419,710300
2016-11-21,103.6473,103.9993,103.2141,103.7195,530300
2016-11-22,103.7827,105.1997,103.6925,105.0192,990200
2016-11-23,104.974,105.9939,104.974,105.4072,754300
2016-11-25,105.3712,105.4524,104.8026,105.2719,359300
2016-11-28,104.8206,105.5968,104.7394,105.0011,1070900
2016-11-29,104.7304,105.5788,104.4957,105.0643,725800
2016-11-30,105.2268,105.9307,104.8387,105.3531,1276500
2016-12-01,105.5156,106.9957,105.3351,106.9416,1925500
2016-12-02,106.8874,107.1672,105.0643,105.4975,1166000
2016-12-05,105.9127,107.447,105.5968,107.0048,1008400
2016-12-06,106.6979,106.8423,105.0733,105.4975,1136900
2016-12-07,105.5788,107.2394,105.2719,107.2304,1134300
2016-12-08,107.2665,108.0878,106.8784,107.9524,922600
2016-12-09,107.8712,108.7647,107.5373,108.7557,1121900
2016-12-12,108.9181,109.938,108.7467,109.6311,833900
2016-12-13,110.1095,110.3351,109.4326,110.3081,1521400
2016-12-14,110.2719,110.3622,109.0535,109.2521,876600
2016-12-15,108.9001,110.1907,108.0788,110.1456,1199900
2016-12-16,110.218,110.4443,108.8148,108.8782,2066000
2016-12-19,109.1588,109.4123,108.7334,109.1498,707700
2016-12-20,109.4576,109.7111,108.6247,109.014,848000
2016-12-21,108.9778,109.1407,108.0453,108.0635,1105200
2016-12-22,107.8914,108.163,107.14,107.3573,942300
2016-12-23,107.5384,107.8462,107.2758,107.5112,815900
2016-12-27,107.5112,108.2717,107.4026,107.9186,457700
2016-12-28,108.2264,108.3984,106.787,106.8232,574800
2016-12-29,106.7779,107.131,106.3525,106.5607,450500
2016-12-30,106.8685,107.0676,105.8455,106.1171,715200
2017-01-03,106.9318,107.1944,106.1804,106.8594,1080600
2017-01-04,107.0495,107.8371,106.8323,107.5384,720000
2017-01-05,107.2034,107.5112,106.5516,107.3754,731500
2017-01-06,107.4569,108.2445,107.1039,107.6561,864600
2017-01-09,107.6108,108.0815,107.1672,107.5836,914200
2017-01-10,107.2759,107.7466,106.6241,106.6965,784900
2017-01-11,106.3706,107.2577,106.2167,107.1129,771200
2017-01-12,106.615,107.466,106.3978,107.4026,897600
2017-01-13,107.5022,107.9277,107.1491,107.3392,596200
2017-01-17,107.0405,107.7647,106.5426,107.4388,754800
2017-01-18,107.5565,107.9005,106.8142,107.7919,1031600
2017-01-19,107.6199,108.1721,107.2397,107.5927,711400
2017-01-20,107.8643,108.2354,106.4158,107.1853,1355800
2017-01-23,107.1129,108.1087,106.9138,108.0454,927900
2017-01-24,108.498,110.4443,108.0906,110.1275,1255900
2017-01-25,110.1818,110.9332,110.0551,110.8879,1127500
2017-01-26,111.0237,111.0237,109.1498,109.4938,910100
2017-01-27,109.3399,110.0008,109.0231,109.8016,671800
2017-01-30,109.7382,110.0279,108.6971,109.9826,975800
2017-01-31,109.7111,110.218,108.4256,108.7515,1094100
2017-02-01,108.3984,109.4395,108.1902,109.3399,795600
2017-02-02,109.4395,109.7563,108.7786,108.8239,756200
2017-02-03,108.9597,109.4847,108.6428,109.3127,937900
2017-02-06,108.9959,109.0683,107.81,108.3622,813100
2017-02-07,108.6247,109.2946,108.1087,108.8601,708800
2017-02-08,108.7333,109.0955,108.2807,108.9416,604300
2017-02-09,108.9416,109.3942,108.7334,109.186,573600
2017-02-10,109.3127,109.9012,109.0502,109.7201,642300
2017-02-13,109.7382,110.734,109.3489,110.2271,732800
2017-02-14,110.2995,111.3044,110.046,111.2048,861600
2017-02-15,110.7612,112.1734,110.4896,111.7117,1045700
2017-02-16,111.594,111.8023,110.6797,111.6031,829600
2017-02-17,111.6393,112.3364,110.9422,112.2096,1249100
2017-02-21,111.1686,112.5265,110.2814,112.282,2200000
2017-02-22,110.2361,112.4993,109.9917,111.4401,1290700
2017-02-23,111.8023,111.9109,110.9151,111.1324,1005200
2017-02-24,110.7159,113.6128,110.7159,113.6128,1758000
2017-02-27,113.6128,114.0473,112.0829,112.11,1056800
2017-02-28,112.1191,112.9973,111.8476,112.2278,1328000
2017-03-01,113.1602,114.2193,112.9248,113.9478,1051300
2017-03-02,113.6943,113.9116,113.1692,113.2417,763700
2017-03-03,113.0968,113.7305,112.8705,113.3865,909300
2017-03-06,112.952,113.5947,112.9248,113.2145,729000
2017-03-07,113.3141,113.5675,112.6532,112.9067,842900
2017-03-08,112.8343,113.7577,112.5265,112.7075,1081800
2017-03-09,112.4541,112.7528,111.6574,111.9743,1338900
2017-03-10,112.608,113.0787,112.1463,112.4812,1125300
2017-03-13,112.4812,112.961,112.2187,112.952,925600
2017-03-14,112.3092,112.8796,111.7842,111.9652,931100
2017-03-15,112.5355,113.7667,111.9381,113.4951,929600
2017-03-16,113.4951,113.7215,112.6985,113.3322,928300
2017-03-17,113.8043,114.2402,113.5138,113.8679,1732800
2017-03-20,113.5955,114.1948,113.3322,113.6137,766300
2017-03-21,113.5138,113.9859,112.5513,112.7692,913500
2017-03-22,112.851,113.3685,112.5059,112.8055,732400
2017-03-23,112.7148,113.4684,112.2699,112.7511,996700
2017-03-24,112.742,113.1324,112.1428,112.4333,1007500
2017-03-27,111.2984,112.7511,111.2984,112.6875,791400
2017-03-28,112.5967,113.5955,112.2699,113.3776,1083000
2017-03-29,113.1233,113.5864,112.9327,113.2958,670400
2017-03-30,113.5774,113.877,113.2777,113.8044,575700
2017-03-31,113.1869,114.3855,113.1869,113.8044,1167300
2017-04-03,114.4036,115.366,113.4775,114.2946,1514500
2017-04-04,114.2674,114.4399,112.969,113.5501,1140000
2017-04-05,113.8588,114.2492,113.0235,113.3413,1102400
2017-04-06,113.3867,114.2038,113.2959,113.6863,795600
2017-04-07,113.3594,114.0313,113.2232,113.7226,841100
2017-04-10,113.7589,114.7214,113.5864,114.2856,750600
