date,open,high,low,close,volume
2016-04-21,160.0761,162.0533,154.0633,155.2545,422100
2016-04-22,155.7164,157.5883,154.7926,156.6969,321200
2016-04-25,156.6564,157.3047,154.6792,156.7455,372900
2016-04-26,153.6095,156.3404,150.4086,150.5869,667800
2016-04-27,150.3357,152.3373,149.4362,149.7523,725900
2016-04-28,148.869,150.4006,147.1754,149.3795,436200
2016-04-29,148.7312,150.3195,148.1316,149.8333,491000
2016-05-02,150.2871,151.1785,149.5659,150.7733,423200
2016-05-03,149.4768,150.6842,149.1202,149.6794,552600
2016-05-04,148.6583,149.7766,147.8965,148.091,351000
2016-05-05,148.9906,149.6469,148.083,148.4314,302800
2016-05-06,147.6211,148.7717,146.5676,147.1024,317800
2016-05-09,147.5238,148.6259,146.4217,146.4704,332500
2016-05-10,147.1105,148.5043,146.2191,148.5043,499600
2016-05-11,148.0182,149.6469,147.6859,147.9533,404400
2016-05-12,147.775,149.5011,147.0943,149.1688,328600
2016-05-13,148.6016,149.5011,147.848,148.6097,380100
2016-05-16,148.7879,150.1493,148.2531,149.3227,327500
2016-05-17,149.2823,149.6388,146.9809,147.6048,312100
2016-05-18,147.5076,148.5935,146.5271,147.4347,319800
2016-05-19,146.3488,147.7345,145.1981,145.7735,382400
2016-05-20,146.2515,147.5076,145.2467,145.9112,719300
2016-05-23,146.1058,146.357,143.9016,144.4365,324800
2016-05-24,145.2468,146.6487,144.7362,145.5385,276200
2016-05-25,145.8707,146.3488,144.9388,145.1252,233600
2016-05-26,144.8902,145.344,144.1609,145.1171,295800
2016-05-27,145.2557,146.0469,144.0079,145.6064,353900
2016-05-31,145.5167,146.4302,144.9213,146.0795,363700
2016-06-01,145.0926,146.3241,144.6033,145.9816,342300
2016-06-02,145.9898,145.9898,144.7908,145.0518,474900
2016-06-03,144.5788,145.8593,143.5919,145.06,326500
2016-06-06,145.5085,145.7695,144.3585,144.8805,446500
2016-06-07,144.4401,145.272,143.5919,143.7958,485500
2016-06-08,143.6979,147.1723,143.5593,146.9195,539400
2016-06-09,146.8298,147.8248,145.9734,147.1479,321800
2016-06-10,146.6585,147.6862,145.6798,146.0795,345900
2016-06-13,146.0224,146.4546,143.0863,143.2657,267300
2016-06-14,142.7274,143.4696,141.2512,141.6346,279700
2016-06-15,141.9852,141.9852,139.881,140.0605,184500
2016-06-16,139.3264,141.2023,138.9105,141.031,222500
2016-06-17,140.9494,143.1352,140.2562,143.0455,619500
2016-06-20,143.9671,144.5951,142.5398,142.8008,290800
2016-06-21,143.1434,143.592,142.2789,143.0047,232300
2016-06-22,143.2412,143.8692,143.07,143.1678,208800
2016-06-23,144.5869,144.9132,143.2739,144.7011,170800
2016-06-24,140.8842,142.2218,140.0605,140.6966,372000
2016-06-27,139.6282,140.0605,137.9889,138.0052,287800
2016-06-28,138.9268,141.92,138.9268,141.92,248400
2016-06-29,143.0292,143.4533,141.5693,141.8139,440400
2016-06-30,142.2462,148.9992,142.0097,148.9829,731900
2016-07-01,147.8656,149.3255,146.8706,148.045,300900
2016-07-05,146.8054,147.6617,145.843,146.5281,402900
2016-07-06,146.21,147.466,145.427,147.4333,295800
2016-07-07,147.4496,148.1429,146.4954,147.5149,471700
2016-07-08,148.3794,148.412,147.2702,148.2081,216400
2016-07-11,148.2081,148.3305,147.5638,147.784,225400
2016-07-12,148.2571,148.8606,147.7188,148.5996,292300
2016-07-13,148.5996,149.0808,147.8167,147.8493,241700
2016-07-14,148.934,148.934,147.4415,147.5883,265100
2016-07-15,147.9635,147.9635,146.5036,146.6096,327000
2016-07-18,146.1366,146.6422,144.954,144.9621,254100
2016-07-19,144.538,146.0876,143.9589,146.0876,373000
2016-07-20,146.5607,147.7596,146.2263,146.4954,256900
2016-07-21,146.3241,146.8542,145.3209,145.6472,170700
2016-07-22,146.0795,147.9064,146.0061,147.833,187800
2016-07-25,147.2947,148.3305,147.2539,147.9798,247900
2016-07-26,150.1982,152.2616,149.3173,150.7038,488300
2016-07-27,150.7935,151.8048,150.1574,151.6988,293200
2016-07-28,151.4216,154.2272,151.4216,154.1701,335100
2016-07-29,153.9662,154.3985,152.6858,154.1538,283500
2016-08-01,153.5258,154.9204,153.3137,154.6839,342100
2016-08-02,154.586,155.1569,154.2435,154.896,310300
2016-08-03,154.6839,155.3037,154.6105,155.2466,230300
2016-08-04,155.0346,155.5729,154.79,155.1814,263800
2016-08-05,155.6545,155.7442,154.2027,155.6952,183100
2016-08-08,155.6952,156.4782,154.7573,155.4342,148400
2016-08-09,155.3934,156.4455,155.1732,155.7523,211000
2016-08-10,156.0704,156.3477,155.4098,155.8828,365600
2016-08-11,155.7768,156.4048,154.4963,154.5289,320600
2016-08-12,154.5371,155.214,154.5371,154.7981,188700
2016-08-15,155.0427,155.5647,154.2598,155.0672,129900
2016-08-16,154.6431,155.4913,154.4311,154.6839,167100
2016-08-17,154.7573,154.7573,153.1098,153.852,240300
2016-08-18,154.0885,154.7084,153.8928,154.374,179000
2016-08-19,153.7296,154.3576,153.0772,154.0803,209100
2016-08-22,153.5502,154.2924,153.2403,154.2679,125800
2016-08-23,154.8144,154.8144,153.4442,153.5094,155000
2016-08-24,153.3708,154.6024,152.5226,154.4229,138200
2016-08-25,154.0151,155.5566,153.7215,155.0346,148800
2016-08-26,155.1814,156.0296,154.7002,155.0264,197700
2016-08-29,155.3363,156.3803,155.0264,156.0622,157300
2016-08-30,156.47,157.4079,156.2498,157.2774,143800
2016-08-31,157.204,157.8728,155.6136,157.7178,255700
2016-09-01,157.0327,157.7668,155.7278,157.0817,182600
2016-09-02,158.0581,158.214,156.9751,158.0499,181700
2016-09-06,158.0499,158.5668,156.9751,158.1648,222600
2016-09-07,157.6889,160.0683,157.2212,160.0601,243200
2016-09-08,159.9944,160.1175,158.5012,158.5504,182900
2016-09-09,157.5822,158.0499,155.3013,155.3259,224700
2016-09-12,154.8335,157.1965,154.0459,156.6386,213600
2016-09-13,155.4489,156.4335,154.6858,155.974,184700
2016-09-14,156.253,156.4909,154.9484,154.9894,227200
2016-09-15,155.2438,156.5402,154.7516,156.2941,186800
2016-09-16,155.1699,155.9248,154.3248,154.4233,374300
2016-09-19,154.7269,156.6961,154.7269,156.2448,150000
2016-09-20,156.335,157.615,156.335,156.9504,209100
2016-09-21,157.4017,159.0345,157.2376,158.9196,146200
2016-09-22,158.977,160.536,158.977,160.1175,182700
2016-09-23,159.256,159.6498,157.7545,157.7545,296600
2016-09-26,156.9832,158.0499,156.5484,157.1063,283600
2016-09-27,156.7535,157.6232,156.1874,157.2048,261100
2016-09-28,157.9268,158.6242,156.5648,158.4601,251800
2016-09-29,158.1155,158.4191,156.1546,156.2202,237800
2016-09-30,156.2202,156.5402,155.5474,155.8674,379100
2016-10-03,155.9002,156.13,154.1034,154.3741,228400
2016-10-04,155.1372,156.7617,152.5034,155.9905,372200
2016-10-05,157.3114,157.3443,152.1342,152.3065,368500
2016-10-06,152.4213,152.5608,150.1814,151.166,486700
2016-10-07,151.888,156.4417,151.5927,155.7361,390300
2016-10-10,156.335,157.6314,155.4243,157.0489,136900
2016-10-11,156.532,158.0253,155.7115,156.0561,189300
2016-10-12,156.8273,157.8447,156.2612,157.3853,182700
2016-10-13,157.0489,159.1494,156.4007,158.6653,195000
2016-10-14,159.1083,159.9862,158.4355,159.5514,225100
2016-10-17,159.3134,160.8149,159.0098,160.4539,233900
2016-10-18,161.1678,161.3811,160.2488,160.2734,150200
2016-10-19,160.6918,160.6918,159.1821,160.5031,222300
2016-10-20,160.1831,160.1831,157.8612,158.0253,136300
2016-10-21,157.3525,158.4027,156.8028,158.2879,190000
2016-10-24,159.9288,159.9288,158.1484,159.2888,274400
2016-10-25,161.7995,165.6722,160.9708,165.5163,527300
2016-10-26,165.0568,167.9777,164.7532,167.0424,492500
2016-10-27,167.4526,167.9121,164.6466,165.1471,462200
2016-10-28,164.8271,167.0752,164.2363,164.983,218300
2016-10-31,165.8362,167.3706,164.9583,166.9849,334800
2016-11-01,167.3706,168.2649,165.9676,167.2475,515300
2016-11-02,167.2557,168.1008,166.1317,167.9285,417200
2016-11-03,168.6013,170.7673,168.0515,168.8228,417300
2016-11-04,168.7736,169.9879,168.2157,168.5685,278300
2016-11-07,169.2495,170.2915,169.1264,169.9223,237300
2016-11-08,169.3725,171.3007,168.8803,170.6033,304300
2016-11-09,170.5541,171.0874,169.1018,170.5623,263600
2016-11-10,171.473,172.2607,170.3407,171.8997,402700
2016-11-11,171.9817,173.5816,171.194,173.557,300400
2016-11-14,174.7631,176.2318,173.598,174.0001,333900
2016-11-15,175.7395,176.0923,173.114,174.0001,241200
2016-11-16,174.0165,175.198,172.8842,174.8206,310700
2016-11-17,174.8288,176.2893,174.0576,174.6483,343600
2016-11-18,174.7057,175.1488,173.475,173.516,263800
2016-11-21,173.7129,176.1415,172.3509,173.0237,268600
2016-11-22,173.3683,173.9098,170.8248,171.0709,495700
2016-11-23,171.1449,173.1386,171.1449,172.031,225900
2016-11-25,171.8996,172.6217,171.1366,171.6043,136300
2016-11-28,171.5218,173.412,170.5313,172.2316,312700
2016-11-29,172.3389,175.2114,171.9592,174.9142,346000
2016-11-30,174.972,175.2361,173.2799,173.7916,422200
2016-12-01,174.2374,175.5333,173.7586,173.8412,230100
2016-12-02,174.6831,174.8977,172.9084,173.2964,234900
2016-12-05,173.8908,174.0393,171.6291,172.9828,455000
2016-12-06,172.6113,174.2786,171.7363,174.0228,412700
2016-12-07,173.1396,174.7491,172.925,174.7244,317400
2016-12-08,175.5745,176.1358,173.8164,176.0615,503500
2016-12-09,175.8634,177.3657,175.0958,176.9447,266800
2016-12-12,176.4082,179.4953,176.3587,179.4045,357500
2016-12-13,180.1391,180.4445,178.6864,178.9671,387000
2016-12-14,179.1816,181.1873,177.9269,178.8266,408200
2016-12-15,178.513,179.5696,176.0698,176.1854,558900
2016-12-16,176.6476,178.3067,175.5828,176.887,1230900
2016-12-19,177.2501,180.3537,176.1936,180.2546,454500
2016-12-20,181.0718,181.0718,178.4799,179.165,209200
2016-12-21,178.4883,179.2724,178.1664,178.6864,203900
2016-12-22,179.2559,179.4128,177.9353,179.3055,163200
2016-12-23,179.7181,180.4775,178.6203,179.4953,104600
2016-12-27,179.6851,180.2711,178.8102,179.454,112800
2016-12-28,180.1969,180.1969,177.6711,177.9435,122000
2016-12-29,178.0178,179.1321,177.9682,178.3892,126800
2016-12-30,179.2476,179.2558,178.0094,178.6202,152300
2017-01-03,179.7841,180.6673,177.2501,178.3231,231500
2017-01-04,179.0743,180.6508,178.1994,179.7759,263900
2017-01-05,179.7924,181.047,179.2476,179.7594,234200
2017-01-06,179.7677,181.0388,178.1581,180.6178,241200
2017-01-09,180.7499,180.7581,178.8432,179.0908,296600
2017-01-10,179.7099,181.2452,179.1238,181.1131,277900
2017-01-11,181.2369,181.988,180.0235,181.6661,274200
2017-01-12,180.8655,181.7734,179.9162,181.4102,268900
2017-01-13,182.0045,183.3004,180.8077,180.9727,231000
2017-01-17,179.6603,182.3099,179.2889,179.8337,239500
2017-01-18,180.5353,183.3004,179.7924,182.5658,335300
2017-01-19,182.9703,184.1506,180.1556,181.0883,188300
2017-01-20,181.5836,181.7404,180.0153,180.4527,227900
2017-01-23,180.2877,181.1296,179.5365,180.8902,148900
2017-01-24,181.0635,181.501,179.5778,180.2546,206700
2017-01-25,181.3194,182.021,180.2547,181.5093,204700
2017-01-26,182.1779,183.1271,180.5848,183.1271,278200
2017-01-27,182.7969,183.3665,181.6083,182.5163,105100
2017-01-30,181.4185,182.7557,180.1473,181.955,151600
2017-01-31,182.4833,183.1023,180.915,181.534,295500
2017-02-01,181.8642,183.9112,180.8159,181.1791,317000
2017-02-02,181.6744,184.456,181.435,183.3995,358500
2017-02-03,184.4643,186.3793,182.1531,182.9208,257100
2017-02-06,183.6224,183.9855,181.3194,183.3252,288900
2017-02-07,183.9608,189.8212,183.9608,188.0714,672100
2017-02-08,188.0219,189.8048,187.8898,189.4003,331100
2017-02-09,188.0136,189.6727,187.9063,189.6727,369900
2017-02-10,189.8873,190.6797,189.2517,190.4321,292400
2017-02-13,190.0606,192.7019,189.8212,192.3883,206400
2017-02-14,191.1667,193.5109,191.1667,192.7928,290400
2017-02-15,192.669,193.5026,191.2327,193.2385,199700
2017-02-16,193.1064,195.1287,193.0321,194.394,275000
2017-02-17,194.3775,194.3775,192.867,194.0721,250800
2017-02-21,194.4518,194.9636,192.7515,193.0981,247000
2017-02-22,192.4296,194.2868,192.0581,193.8988,246400
