date,open,high,low,close,volume
2016-04-22,44.9644,45.3066,44.9578,45.1815,1154900
2016-04-25,45.1618,45.2473,44.8919,45.2276,1422700
2016-04-26,45.3,45.5896,45.1815,45.3,1297100
2016-04-27,45.4843,46.307,45.3066,46.0569,1486500
2016-04-28,45.5896,46.2148,45.4185,46.1424,1264500
2016-04-29,45.8068,46.5439,45.5896,46.5373,2104800
2016-05-02,46.5834,47.1823,46.3267,47.0177,2311100
2016-05-03,46.8993,47.3468,46.3925,47.1691,2445200
2016-05-04,47.0441,48.1432,46.8993,47.8865,2329900
2016-05-05,47.8865,48.209,47.3073,47.5838,1572000
2016-05-06,47.5508,47.5508,46.8466,47.3797,1644700
2016-05-09,47.4719,47.8207,47.2876,47.7746,924000
2016-05-10,47.8009,47.8009,46.6163,46.9388,3237500
2016-05-11,47.123,47.3995,46.84,47.3666,2220200
2016-05-12,47.36,47.5837,47.123,47.3468,1865300
2016-05-13,47.3008,47.3797,46.8137,46.998,1588400
2016-05-16,46.8795,47.0967,46.6163,46.998,1581300
2016-05-17,46.8861,47.0441,45.9516,46.1424,1515400
2016-05-18,45.9318,46.3859,45.3,45.4053,2180600
2016-05-19,45.2803,45.7936,45.0631,45.7936,1651400
2016-05-20,45.9581,46.1227,45.504,46.1029,1475900
2016-05-23,46.1358,46.1753,45.5172,45.5567,1298700
2016-05-24,45.6422,46.0832,45.6422,46.0108,1103900
2016-05-25,45.9252,46.0766,45.5435,45.9187,1211800
2016-05-26,45.9779,46.6821,45.945,46.6229,1167400
2016-05-27,46.7018,46.8401,46.3794,46.5834,1157800
2016-05-31,46.59,47.1889,46.5505,47.1428,2173100
2016-06-01,47.0638,47.2876,46.8861,47.1033,1797200
2016-06-02,46.9388,47.2481,46.5439,47.2284,1532800
2016-06-03,47.6693,48.0445,47.6364,47.7351,1391000
2016-06-06,47.7614,47.9523,47.485,47.7417,1339900
2016-06-07,47.7351,47.9786,47.5245,47.6759,1196900
2016-06-08,47.6298,48.005,47.6101,47.9787,767400
2016-06-09,47.9326,48.5381,47.9326,48.4788,1344800
2016-06-10,48.4854,48.775,48.3604,48.6763,1290500
2016-06-13,48.7553,49.0054,48.492,48.6236,1550700
2016-06-14,48.617,48.775,48.1498,48.7552,1129900
2016-06-15,48.7552,48.8935,48.1761,48.3472,1132700
2016-06-16,48.4591,48.8013,48.4328,48.6499,923200
2016-06-17,48.6039,48.8013,48.1893,48.7816,1522800
2016-06-20,48.7223,48.8671,48.2024,48.6565,956500
2016-06-21,48.6565,49.0712,48.4393,48.7816,1150700
2016-06-22,48.9527,48.9527,48.5381,48.5973,1132300
2016-06-23,48.6631,48.696,48.3011,48.696,1072100
2016-06-24,48.2616,49.6043,48.1827,49.0909,2065000
2016-06-27,48.979,50.4138,48.979,50.315,2406700
2016-06-28,50.2157,50.4541,49.4474,50.3614,2572600
2016-06-29,50.4608,50.7257,50.1627,50.4011,2142300
2016-06-30,50.2753,51.4675,50.1429,51.441,3282800
2016-07-01,51.6595,51.6794,50.6992,51.4277,1606800
2016-07-05,51.5138,52.1165,51.3814,52.0238,2074600
2016-07-06,51.8913,52.1364,51.3747,51.9244,2471900
