date,open,high,low,close,volume
2016-04-21,267.2273,271.4224,262.1503,263.6503,695500
2016-04-22,263.8563,266.1475,260.6914,265.3975,395300
2016-04-25,265.0102,269.3867,263.8729,269.362,373300
2016-04-26,269.156,274.8264,268.3318,272.0736,653000
2016-04-27,272.0241,275.7494,268.8922,273.4829,623700
2016-04-28,272.6175,275.7907,269.6669,270.5323,471500
2016-04-29,269.6504,273.4993,267.6064,272.2713,465500
2016-05-02,272.8895,275.156,271.5708,274.9665,395000
2016-05-03,274.0021,274.8593,270.5488,274.3648,625700
2016-05-04,272.6588,277.8511,271.9994,275.9637,1049800
2016-05-05,275.494,277.6781,269.4691,272.7165,1010800
2016-05-06,271.0021,278.4033,269.1477,277.7192,820200
2016-05-09,277.6698,283.0847,276.5489,281.082,529000
2016-05-10,281.8155,282.6809,279.8621,281.1396,435300
2016-05-11,281.5188,283.0105,278.4445,280.7852,584300
2016-05-12,282.3676,285.9776,279.2604,285.343,491400
2016-05-13,285.3348,286.5134,282.8457,283.8265,354100
2016-05-16,284.2715,287.4364,283.1177,287.3128,414100
2016-05-17,284.3458,287.0656,281.4199,282.1369,462900
2016-05-18,281.8979,284.2221,277.4225,281.9143,550000
2016-05-19,279.3841,284.7413,279.3841,282.7385,610500
2016-05-20,283.7523,285.5078,280.2742,284.3457,534900
2016-05-23,284.4203,286.5079,282.8133,285.5138,332300
2016-05-24,286.3339,294.2699,285.5303,293.8557,1005400
2016-05-25,295.5208,297.4924,292.7871,296.3409,897400
2016-05-26,296.8793,300.8887,295.5704,300.781,756700
2016-05-27,300.7894,305.4201,300.7894,303.6556,824700
2016-05-31,305.4781,305.5858,299.4971,299.8781,1151500
2016-06-01,299.0249,303.2083,298.3953,303.142,643300
2016-06-02,302.3136,304.6993,300.6568,304.4591,587100
2016-06-03,304.4756,305.5691,299.9941,302.1064,593100
2016-06-06,302.3633,306.704,302.2556,305.9171,1001800
2016-06-07,305.8425,310.1419,305.7182,307.2922,568700
2016-06-08,308.6343,309.6118,306.497,308.9408,598800
2016-06-09,307.9385,309.7195,307.7562,309.1645,396400
2016-06-10,308.7336,309.9762,305.2378,306.7538,703800
2016-06-13,306.5135,312.0803,305.6851,305.9419,703300
2016-06-14,305.6768,307.6153,304.1857,305.9336,884700
2016-06-15,307.168,309.413,305.1965,308.245,442800
2016-06-16,305.8839,313.3478,305.8839,312.685,830800
2016-06-17,311.1857,313.3892,305.8674,310.2993,1338100
2016-06-20,313.7785,313.9608,309.5455,309.7443,551300
2016-06-21,310.3655,315.0045,310.3655,314.3832,553500
2016-06-22,317.4318,317.9619,314.3584,314.4992,688400
2016-06-23,316.214,320.9607,311.3762,319.2873,898600
2016-06-24,309.1643,318.1772,306.9774,311.4341,1408900
2016-06-27,310.6389,310.8212,304.4177,307.4662,838800
2016-06-28,309.2473,312.7846,308.2201,312.3289,579800
2016-06-29,314.2508,320.1655,314.2508,319.7762,614700
2016-06-30,320.6045,321.3583,317.3986,321.1927,525800
2016-07-01,321.2672,323.6861,318.7323,320.4885,397100
2016-07-05,319.7595,321.7311,317.8625,319.8755,469000
2016-07-06,318.3595,321.6317,314.4495,320.9524,627200
2016-07-07,320.8696,321.2755,316.3465,317.0092,386200
2016-07-08,318.6412,323.4873,318.2767,322.6175,400000
2016-07-11,323.0815,323.9596,319.13,322.0377,331500
2016-07-12,322.8495,323.3963,317.6638,320.7537,446000
