date,open,high,low,close,volume
2016-04-22,72.9896,74.3059,72.9896,73.6638,31000
2016-04-25,73.6076,73.6638,72.6364,73.6638,19500
2016-04-26,73.9447,75.0282,73.3829,73.7681,25600
2016-04-27,73.5113,75.4215,73.5113,74.6991,46700
2016-04-28,75.1646,75.4696,73.1421,73.423,39700
2016-04-29,72.7889,75.9753,72.4598,75.7586,103000
2016-05-02,76.0796,76.3846,75.3974,76.0315,40000
2016-05-03,75.3412,76.3686,75.3412,76.2161,58700
2016-05-04,76.1278,76.4168,75.1727,76.1037,58200
2016-05-05,75.895,77.0347,75.4456,76.6976,54700
2016-05-06,76.6816,76.9063,75.6061,75.9191,35200
2016-05-09,75.9191,77.2836,75.9191,77.115,36000
2016-05-10,77.6126,77.8213,77.099,77.1792,25800
2016-05-11,76.9465,77.6688,76.6736,76.9625,39500
2016-05-12,77.0187,78.0862,77.0187,77.9497,41800
2016-05-13,77.8052,78.0541,77.4441,77.8293,34700
2016-05-16,77.8052,78.3109,77.4521,77.6126,38000
2016-05-17,77.2193,77.717,76.3124,76.6013,58300
2016-05-18,76.4488,77.8374,76.4488,77.0749,30300
2016-05-19,76.9946,77.8695,76.3124,76.9304,20100
2016-05-20,77.428,77.9417,77.2434,77.7892,49600
2016-05-23,78.0139,78.0139,77.2835,77.2996,26700
2016-05-24,77.9256,78.3912,76.9705,78.038,63700
2016-05-25,78.5196,78.5757,77.3718,77.7972,46900
2016-05-26,78.054,78.1263,77.3156,77.9979,54900
2016-05-27,77.7491,78.656,77.5404,78.4233,31300
2016-05-31,78.9449,78.9449,77.741,78.5757,62200
2016-06-01,78.5918,79.4105,78.4474,79.3944,33600
2016-06-02,79.1777,79.5148,76.6575,79.3222,40900
2016-06-03,78.969,79.9643,77.9497,79.3703,36500
2016-06-06,79.3222,80.2532,78.7202,79.1938,34300
2016-06-07,79.0413,79.7636,78.6078,78.9289,29700
2016-06-08,78.7924,79.3864,75.7345,78.9209,20200
2016-06-09,78.6801,79.2901,77.7732,78.9771,37200
2016-06-10,78.648,79.1135,77.5163,78.5116,32600
2016-06-13,78.632,78.632,77.0107,77.1551,32900
2016-06-14,76.794,77.3157,76.1198,76.802,27900
2016-06-15,77.0187,77.0187,75.7987,76.1518,46500
2016-06-16,76.0074,77.2996,75.8469,76.5692,24200
2016-06-17,76.7137,76.7137,75.0362,75.2128,117000
2016-06-20,75.8549,77.6527,75.1325,77.4521,44700
2016-06-21,77.9176,79.3703,77.4842,78.0621,84800
2016-06-22,78.2307,78.8326,77.9417,78.351,48500
2016-06-23,78.9771,79.2901,78.648,79.0413,21900
2016-06-24,76.6896,78.3591,76.3927,77.7411,185400
2016-06-27,77.2354,78.2467,76.521,76.6254,42500
2016-06-28,77.123,78.4554,77.0107,78.1022,34100
2016-06-29,78.6319,79.4346,78.2708,78.5035,34200
2016-06-30,78.4474,80.2292,78.4474,79.7315,101700
2016-07-01,79.7801,80.2248,78.8017,79.0281,37800
2016-07-05,79.0685,79.3111,78.1306,79.1494,37800
2016-07-06,78.9472,79.4647,78.5025,78.9634,32800
2016-07-07,79.0442,79.1979,78.2842,78.5995,14900
2016-07-08,79.1979,79.7639,78.7208,79.6264,34500
2016-07-11,79.5455,80.0953,79.5455,79.9175,14600
2016-07-12,80.0873,80.0873,79.2545,79.4485,19700
2016-07-13,79.3353,80.0469,79.3272,79.6102,14900
2016-07-14,79.7558,79.7558,78.9553,79.1413,33700
2016-07-15,79.1251,79.7153,78.551,78.9876,33500
2016-07-18,79.2302,79.2302,78.1791,78.4621,14700
2016-07-19,78.0983,78.5915,77.8799,78.3247,16600
2016-07-20,78.8017,78.9715,77.9608,78.171,16400
2016-07-21,78.1629,78.3408,77.7667,78.2276,19300
2016-07-22,78.0255,79.3192,78.0255,78.9876,19400
