date,open,high,low,close,volume
2016-04-21,39.2361,39.3777,38.5988,38.9599,2802500
2016-04-22,39.0803,39.314,39.0662,39.229,1693600
2016-04-25,39.0732,39.3565,38.9883,39.2998,1223600
2016-04-26,39.3494,39.5193,39.052,39.2007,1337000
2016-04-27,39.2715,39.8451,39.0449,39.6893,1662900
2016-04-28,39.2432,39.8876,39.1582,39.6964,1486300
2016-04-29,39.5618,40.0504,39.2219,39.9655,1394000
2016-05-02,40.0787,40.5886,40.0009,40.4116,1329800
2016-05-03,40.4186,40.539,40.1,40.3407,1128800
2016-05-04,40.362,41.1126,40.2416,40.7231,1617700
2016-05-05,39.399,41.2542,39.399,40.6452,2212100
2016-05-06,40.6523,40.6594,39.9938,40.4753,2007600
2016-05-09,40.5107,40.8435,40.3053,40.7727,1340200
2016-05-10,40.9285,40.971,40.5886,40.7444,1287000
2016-05-11,40.8152,40.9568,40.3549,40.6169,2016400
2016-05-12,40.5744,41.1197,40.4824,40.8081,2605800
2016-05-13,40.8293,40.886,40.4186,40.6381,1351400
2016-05-16,40.5603,40.6806,40.3266,40.6311,1361600
2016-05-17,40.5107,40.5532,39.3848,39.5264,2676900
2016-05-18,39.2857,39.6822,38.6413,38.7971,2530900
2016-05-19,38.5988,39.1724,38.436,39.1511,1894200
2016-05-20,39.2857,39.2928,38.5563,38.8821,2698000
2016-05-23,38.8821,38.9458,38.3297,38.351,1795800
2016-05-24,38.3793,38.7546,38.2023,38.7121,1649600
2016-05-25,38.5988,38.79,38.3722,38.4501,1505600
2016-05-26,38.4822,39.1462,38.4822,39.1248,2818900
2016-05-27,39.1605,39.3247,39.032,39.2747,1296500
2016-05-31,39.1748,39.4889,39.032,39.4389,2213200
2016-06-01,39.3889,39.646,39.3176,39.6388,2421600
2016-06-02,39.6246,39.6603,39.1676,39.5175,1827800
2016-06-03,39.9316,40.4099,39.9316,40.0958,1306800
2016-06-06,40.0958,40.2243,39.6817,39.853,1497500
2016-06-07,39.8959,40.1315,39.696,39.7674,1132600
2016-06-08,39.7888,40.2243,39.6674,40.2172,1469000
2016-06-09,40.2314,40.6741,40.1743,40.6098,1240900
2016-06-10,40.5813,40.8311,40.3456,40.467,993800
2016-06-13,40.5956,40.824,40.4528,40.6384,1423900
2016-06-14,40.6384,40.9026,40.3314,40.9026,1010800
2016-06-15,40.9097,40.9525,40.26,40.3528,1448000
2016-06-16,40.3457,40.7098,40.2457,40.5384,1203000
2016-06-17,40.5313,40.617,40.2314,40.617,1858700
2016-06-20,40.5884,40.7241,40.21,40.567,1425000
2016-06-21,40.5598,40.9454,40.3599,40.7169,1205800
2016-06-22,40.9097,40.9097,40.4742,40.4742,1175200
2016-06-23,40.4956,40.5599,40.0815,40.2814,1770700
2016-06-24,40.0744,41.1881,39.8959,40.8526,2366500
2016-06-27,40.7812,41.9949,40.7812,41.8307,2988100
2016-06-28,41.8164,41.8307,41.081,41.6451,1643800
2016-06-29,41.7736,41.9663,41.5879,41.8235,1332000
2016-06-30,41.8807,42.8017,41.8021,42.766,2567100
